"pgoeffd","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","2011","inadequately","126","0.875270359178817","0.820538522825405","0.930002195532229"
"No","2011","general elemantary","994","0.849107211337174","0.828310605191277","0.869903817483071"
"No","2011","middle vocational","6196","0.797117260292805","0.788164006470215","0.806070514115394"
"No","2011","vocational + Abi","1080","0.77905764906788","0.757128538094618","0.800986760041143"
"No","2011","higher vocational","913","0.751603637464889","0.727308072384345","0.775899202545432"
"No","2011","higher education","2640","0.64105401162189","0.626605120207156","0.655502903036624"
"Yes","2012","in school","1","","",""
"Yes","2012","inadequately","16","","",""
"Yes","2012","general elemantary","155","0.161671187899298","0.140196610257026","0.18314576554157"
"Yes","2012","middle vocational","1512","0.202768401323075","0.193716012890043","0.211820789756107"
"Yes","2012","vocational + Abi","301","0.219590285055519","0.197982690136328","0.241197879974711"
"Yes","2012","higher vocational","287","0.252229777299067","0.227205377307525","0.277254177290609"
"Yes","2012","higher education","1561","0.365155980011703","0.350430872825486","0.37988108719792"
"No","2012","in school","57","0.984828631572717","0.95337094327476","1.01628631987067"
"No","2012","inadequately","130","0.907166214941142","0.860093621522894","0.95423880835939"
"No","2012","general elemantary","974","0.838328812100702","0.81685423445843","0.859803389742974"
"No","2012","middle vocational","6066","0.797231598676925","0.788179210243893","0.806283987109957"
"No","2012","vocational + Abi","1109","0.780409714944481","0.758802120025289","0.802017309863672"
"No","2012","higher vocational","870","0.747770222700933","0.722745822709391","0.772794622692475"
"No","2012","higher education","2546","0.634844019988297","0.62011891280208","0.649569127174514"
"Yes","2013","in school","7","","",""
"Yes","2013","inadequately","21","","",""
"Yes","2013","general elemantary","221","0.161688410279474","0.144294395427209","0.179082425131739"
"Yes","2013","middle vocational","1533","0.20130734512001","0.192526741324502","0.210087948915517"
"Yes","2013","vocational + Abi","350","0.228093780656115","0.208041023834159","0.248146537478071"
"Yes","2013","higher vocational","286","0.281447412285567","0.254207691035114","0.308687133536019"
"Yes","2013","higher education","1637","0.389390118605265","0.374809017144866","0.403971220065664"
"No","2013","in school","86","0.890722423356885","0.827314528149884","0.954130318563886"
"No","2013","inadequately","224","0.902307205516693","0.865130275154522","0.939484135878864"
"No","2013","general elemantary","1500","0.838311589720526","0.820917574868261","0.855705604572791"
"No","2013","middle vocational","6478","0.79869265487999","0.789912051084482","0.807473258675498"
"No","2013","vocational + Abi","1332","0.771906219343885","0.751853462521929","0.791958976165842"
"No","2013","higher vocational","761","0.718552587714433","0.691312866463981","0.745792308964886"
"No","2013","higher education","2659","0.610609881394735","0.596028779934336","0.625190982855134"
"Yes","2014","in school","6","","",""
"Yes","2014","inadequately","16","","",""
"Yes","2014","general elemantary","179","0.135253546991405","0.117484490534362","0.153022603448449"
"Yes","2014","middle vocational","1413","0.20928389356517","0.199823583310234","0.218744203820107"
"Yes","2014","vocational + Abi","320","0.22007140585698","0.199042411731746","0.241100399982213"
"Yes","2014","higher vocational","265","0.27426244694927","0.245907371722906","0.302617522175634"
"Yes","2014","higher education","1498","0.407848077952763","0.392382933430829","0.423313222474697"
"No","2014","in school","56","0.898558308842495","0.823407506981311","0.973709110703678"
"No","2014","inadequately","163","0.90816981157208","0.865864213017789","0.950475410126371"
"No","2014","general elemantary","1244","0.864746453008595","0.846977396551551","0.882515509465639"
"No","2014","middle vocational","5690","0.79071610643483","0.781255796179893","0.800176416689766"
"No","2014","vocational + Abi","1171","0.779928594143021","0.758899600017787","0.800957588268254"
"No","2014","higher vocational","686","0.72573755305073","0.697382477824366","0.754092628277094"
"No","2014","higher education","2381","0.592151922047237","0.576686777525303","0.607617066569171"
"Yes","2015","in school","8","","",""
"Yes","2015","inadequately","21","","",""
"Yes","2015","general elemantary","154","0.12879825776324","0.110982160790717","0.146614354735763"
"Yes","2015","middle vocational","1323","0.200812766481863","0.191331436121058","0.210294096842669"
"Yes","2015","vocational + Abi","338","0.222940207957591","0.202172596607645","0.243707819307538"
"Yes","2015","higher vocational","257","0.288137061504936","0.258759857770693","0.317514265239179"
"Yes","2015","higher education","1496","0.391542584412184","0.376446794792251","0.406638374032116"
"No","2015","in school","46","0.76414256237047","0.650912122536849","0.877373002204091"
"No","2015","inadequately","178","0.807097788271242","0.752275995334322","0.861919581208162"
"No","2015","general elemantary","1204","0.87120174223676","0.853385645264236","0.889017839209283"
"No","2015","middle vocational","5535","0.799187233518137","0.789705903157331","0.808668563878942"
"No","2015","vocational + Abi","1205","0.777059792042408","0.756292180692462","0.797827403392355"
"No","2015","higher vocational","656","0.711862938495064","0.682485734760822","0.741240142229307"
"No","2015","higher education","2520","0.608457415587816","0.593361625967884","0.623553205207749"
"Yes","2016","in school","7","","",""
"Yes","2016","inadequately","24","","",""
"Yes","2016","general elemantary","168","0.135670441865324","0.116807321304392","0.154533562426256"
"Yes","2016","middle vocational","1234","0.203091361393623","0.193207355440985","0.212975367346262"
"Yes","2016","vocational + Abi","330","0.21116401965816","0.190475433580358","0.231852605735963"
"Yes","2016","higher vocational","253","0.31482860732915","0.28345757932831","0.34619963532999"
"Yes","2016","higher education","1432","0.392409048720594","0.376824473114661","0.407993624326526"
"No","2016","in school","48","0.949594509147119","0.891774951095352","1.00741406719889"
"No","2016","inadequately","261","0.833405207192321","0.790145410188373","0.876665004196269"
"No","2016","general elemantary","1098","0.864329558134676","0.845466437573744","0.883192678695608"
"No","2016","middle vocational","5130","0.796908638606377","0.787024632653738","0.806792644559015"
"No","2016","vocational + Abi","1165","0.78883598034184","0.768147394264037","0.809524566419642"
"No","2016","higher vocational","589","0.68517139267085","0.65380036467001","0.71654242067169"
"No","2016","higher education","2339","0.607590951279406","0.592006375673474","0.623175526885339"
"Yes","2017","in school","5","","",""
"Yes","2017","inadequately","33","0.0867707886880518","0.0590803709563234","0.11446120641978"
"Yes","2017","general elemantary","204","0.161276089752348","0.142670122618527","0.179882056886169"
"Yes","2017","middle vocational","1446","0.19496069941119","0.185846433662096","0.204074965160283"
"Yes","2017","vocational + Abi","374","0.218741632184037","0.198891031294446","0.238592233073628"
"Yes","2017","higher vocational","286","0.323641202405563","0.293684171305845","0.353598233505282"
"Yes","2017","higher education","1629","0.394704305689621","0.380138833854092","0.40926977752515"
"No","2017","in school","66","0.897991633969765","0.827591585601413","0.968391682338116"
"No","2017","inadequately","364","0.913229211311948","0.88553879358022","0.940919629043677"
"No","2017","general elemantary","1297","0.838723910247652","0.820117943113831","0.857329877381473"
"No","2017","middle vocational","5812","0.80503930058881","0.795925034839717","0.814153566337904"
"No","2017","vocational + Abi","1292","0.781258367815963","0.761407766926372","0.801108968705553"
"No","2017","higher vocational","651","0.676358797594437","0.646401766494718","0.706315828694155"
"No","2017","higher education","2697","0.605295694310379","0.59073022247485","0.619861166145908"
"Yes","2018","in school","","","",""
"Yes","2018","inadequately","41","0.102299121463917","0.0748437741725378","0.129754468755296"
"Yes","2018","general elemantary","182","0.150549812147921","0.132398069037868","0.168701555257973"
"Yes","2018","middle vocational","1347","0.204141327573343","0.194524943048592","0.213757712098094"
"Yes","2018","vocational + Abi","367","0.220135941294427","0.199568514331772","0.240703368257081"
"Yes","2018","higher vocational","254","0.309515880581458","0.278345790875214","0.340685970287703"
"Yes","2018","higher education","1605","0.409782299183232","0.394763510475423","0.424801087891042"
"No","2018","in school","45","1","1","1"
"No","2018","inadequately","427","0.897700878536083","0.870245531244704","0.925156225827462"
"No","2018","general elemantary","1309","0.849450187852079","0.831298444742027","0.867601930962132"
"No","2018","middle vocational","5402","0.795858672426657","0.786242287901906","0.805475056951408"
"No","2018","vocational + Abi","1192","0.779864058705573","0.759296631742919","0.800431485668228"
"No","2018","higher vocational","591","0.690484119418541","0.659314029712297","0.721654209124786"
"No","2018","higher education","2514","0.590217700816768","0.575198912108958","0.605236489524577"
"Yes","2019","in school","2","","",""
"Yes","2019","inadequately","30","0.130849788383673","0.101864318065004","0.159835258702341"
"Yes","2019","general elemantary","164","0.162041604925166","0.142578791607711","0.181504418242622"
"Yes","2019","middle vocational","1285","0.205294854293717","0.195356274650376","0.215233433937058"
"Yes","2019","vocational + Abi","381","0.269235975045318","0.246944510202145","0.29152743988849"
"Yes","2019","higher vocational","262","0.322407499406009","0.291151141438194","0.353663857373824"
"Yes","2019","higher education","1539","0.38599648606627","0.371184914323372","0.400808057809168"
"No","2019","in school","64","0.977548147746209","0.941806769989771","1.01328952550265"
"No","2019","inadequately","490","0.869150211616327","0.840164741297659","0.898135681934996"
"No","2019","general elemantary","1213","0.837958395074834","0.818495581757378","0.857421208392289"
"No","2019","middle vocational","5060","0.794705145706283","0.784766566062942","0.804643725349624"
"No","2019","vocational + Abi","1140","0.730764024954682","0.70847256011151","0.753055489797855"
"No","2019","higher vocational","597","0.677592500593991","0.646336142626176","0.708848858561806"
"No","2019","higher education","2611","0.61400351393373","0.599191942190832","0.628815085676628"
