"pgoeffd","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1991","college entrance qualification","higher education","359","0.448792638471479","0.414498272550951","0.483087004392006"
"Yes","1991","Other degree","in school","","","",""
"Yes","1991","Other degree","inadequately","4","","",""
"Yes","1991","Other degree","general elemantary","32","0.0728849707633971","0.046180547567119","0.0995893939596752"
"Yes","1991","Other degree","middle vocational","27","","",""
"Yes","1991","Other degree","vocational + Abi","4","","",""
"Yes","1991","Other degree","higher vocational","1","","",""
"Yes","1991","Other degree","higher education","11","","",""
"Yes","1991","no degree/no degree yet","in school","1","","",""
"Yes","1991","no degree/no degree yet","inadequately","39","0.128349979965265","0.0924251311523652","0.164274828778164"
"Yes","1991","no degree/no degree yet","general elemantary","","","",""
"Yes","1991","no degree/no degree yet","middle vocational","6","","",""
"Yes","1991","no degree/no degree yet","vocational + Abi","","","",""
"Yes","1991","no degree/no degree yet","higher vocational","1","","",""
"Yes","1991","no degree/no degree yet","higher education","","","",""
"No","1991","lower secondary degree","in school","","","",""
"No","1991","lower secondary degree","inadequately","","","",""
"No","1991","lower secondary degree","general elemantary","642","0.791430243954893","0.762990738008935","0.81986974990085"
"No","1991","lower secondary degree","middle vocational","1882","0.792834367061853","0.776424236516169","0.809244497607537"
"No","1991","lower secondary degree","vocational + Abi","4","","",""
"No","1991","lower secondary degree","higher vocational","166","0.736694796017387","0.679018467855709","0.794371124179066"
"No","1991","lower secondary degree","higher education","37","0.567552870277165","0.445218782481395","0.689886958072934"
"No","1991","secondary school degree","in school","","","",""
"No","1991","secondary school degree","inadequately","","","",""
"No","1991","secondary school degree","general elemantary","222","0.698919702242419","0.648181149301122","0.749658255183717"
"No","1991","secondary school degree","middle vocational","1236","0.715938210435546","0.694761027121873","0.73711539374922"
"No","1991","secondary school degree","vocational + Abi","","","",""
"No","1991","secondary school degree","higher vocational","181","0.710071729541498","0.652548198898224","0.767595260184772"
"No","1991","secondary school degree","higher education","210","0.546293778056897","0.498337174751887","0.594250381361907"
"No","1991","college entrance qualification","in school","","","",""
"No","1991","college entrance qualification","inadequately","","","",""
"No","1991","college entrance qualification","general elemantary","","","",""
"No","1991","college entrance qualification","middle vocational","97","0.704949931566765","0.62913274106091","0.780767122072619"
"No","1991","college entrance qualification","vocational + Abi","171","0.796776545256172","0.74286318636113","0.850689904151214"
"No","1991","college entrance qualification","higher vocational","42","0.501888872024092","0.396824523954363","0.606953220093822"
"No","1991","college entrance qualification","higher education","449","0.551207361528521","0.516912995607994","0.585501727449048"
"No","1991","Other degree","in school","","","",""
"No","1991","Other degree","inadequately","11","","",""
"No","1991","Other degree","general elemantary","332","0.927115029236603","0.900410606040325","0.953819452432881"
"No","1991","Other degree","middle vocational","252","0.862985052165179","0.822636161316243","0.903333943014116"
"No","1991","Other degree","vocational + Abi","47","0.941374725056761","0.876900413117608","1.00584903699592"
"No","1991","Other degree","higher vocational","3","","",""
"No","1991","Other degree","higher education","20","","",""
"No","1991","no degree/no degree yet","in school","8","","",""
"No","1991","no degree/no degree yet","inadequately","294","0.871650020034735","0.835725171221836","0.907574868847635"
"No","1991","no degree/no degree yet","general elemantary","","","",""
"No","1991","no degree/no degree yet","middle vocational","41","0.866347440030286","0.769065135280409","0.963629744780163"
"No","1991","no degree/no degree yet","vocational + Abi","","","",""
"No","1991","no degree/no degree yet","higher vocational","1","","",""
"No","1991","no degree/no degree yet","higher education","","","",""
"Yes","1992","lower secondary degree","in school","","","",""
"Yes","1992","lower secondary degree","inadequately","","","",""
"Yes","1992","lower secondary degree","general elemantary","126","0.194751485628784","0.165519461512576","0.223983509744992"
"Yes","1992","lower secondary degree","middle vocational","443","0.211277634893453","0.193900866933905","0.228654402853001"
"Yes","1992","lower secondary degree","vocational + Abi","1","","",""
"Yes","1992","lower secondary degree","higher vocational","54","0.266384433208462","0.206451761521247","0.326317104895677"
"Yes","1992","lower secondary degree","higher education","24","","",""
"Yes","1992","secondary school degree","in school","","","",""
"Yes","1992","secondary school degree","inadequately","","","",""
"Yes","1992","secondary school degree","general elemantary","87","0.266443130353197","0.217308572255877","0.315577688450518"
"Yes","1992","secondary school degree","middle vocational","507","0.31093326480254","0.288238591285536","0.333627938319544"
"Yes","1992","secondary school degree","vocational + Abi","","","",""
"Yes","1992","secondary school degree","higher vocational","70","0.349423100640699","0.288593184847325","0.410253016434073"
"Yes","1992","secondary school degree","higher education","195","0.456790509488979","0.407289335272219","0.50629168370574"
"Yes","1992","college entrance qualification","in school","","","",""
"Yes","1992","college entrance qualification","inadequately","","","",""
"Yes","1992","college entrance qualification","general elemantary","","","",""
"Yes","1992","college entrance qualification","middle vocational","44","0.34774563698088","0.267108512368241","0.42838276159352"
"Yes","1992","college entrance qualification","vocational + Abi","44","0.256457674128013","0.195323964085698","0.317591384170328"
"Yes","1992","college entrance qualification","higher vocational","54","0.550692157997298","0.451188529079965","0.650195786914631"
"Yes","1992","college entrance qualification","higher education","352","0.460694963735526","0.425510991259486","0.495878936211567"
"Yes","1992","Other degree","in school","","","",""
"Yes","1992","Other degree","inadequately","2","","",""
"Yes","1992","Other degree","general elemantary","34","0.0776600548995082","0.0494597114838506","0.105860398315166"
"Yes","1992","Other degree","middle vocational","24","","",""
"Yes","1992","Other degree","vocational + Abi","3","","",""
"Yes","1992","Other degree","higher vocational","1","","",""
"Yes","1992","Other degree","higher education","10","","",""
"Yes","1992","no degree/no degree yet","in school","1","","",""
"Yes","1992","no degree/no degree yet","inadequately","39","0.17382192277438","0.130131295717805","0.217512549830954"
"Yes","1992","no degree/no degree yet","general elemantary","","","",""
"Yes","1992","no degree/no degree yet","middle vocational","6","","",""
"Yes","1992","no degree/no degree yet","vocational + Abi","","","",""
"Yes","1992","no degree/no degree yet","higher vocational","1","","",""
"Yes","1992","no degree/no degree yet","higher education","","","",""
"No","1992","lower secondary degree","in school","","","",""
"No","1992","lower secondary degree","inadequately","","","",""
"No","1992","lower secondary degree","general elemantary","579","0.805248514371216","0.776016490255008","0.834480538487424"
"No","1992","lower secondary degree","middle vocational","1677","0.788722365106547","0.771345597146999","0.806099133066095"
"No","1992","lower secondary degree","vocational + Abi","4","","",""
"No","1992","lower secondary degree","higher vocational","155","0.733615566791538","0.673682895104323","0.793548238478753"
"No","1992","lower secondary degree","higher education","25","","",""
"No","1992","secondary school degree","in school","","","",""
"No","1992","secondary school degree","inadequately","","","",""
"No","1992","secondary school degree","general elemantary","224","0.733556869646803","0.684422311549482","0.782691427744123"
"No","1992","secondary school degree","middle vocational","1091","0.68906673519746","0.666372061680456","0.711761408714464"
"No","1992","secondary school degree","vocational + Abi","","","",""
"No","1992","secondary school degree","higher vocational","166","0.650576899359301","0.589746983565927","0.711406815152675"
"No","1992","secondary school degree","higher education","194","0.543209490511021","0.49370831629426","0.592710664727781"
"No","1992","college entrance qualification","in school","","","",""
"No","1992","college entrance qualification","inadequately","","","",""
"No","1992","college entrance qualification","general elemantary","","","",""
"No","1992","college entrance qualification","middle vocational","90","0.65225436301912","0.57161723840648","0.732891487631759"
"No","1992","college entrance qualification","vocational + Abi","152","0.743542325871987","0.682408615829672","0.804676035914302"
"No","1992","college entrance qualification","higher vocational","42","0.449307842002702","0.349804213085369","0.548811470920035"
"No","1992","college entrance qualification","higher education","419","0.539305036264473","0.504121063788433","0.574489008740514"
"No","1992","Other degree","in school","","","",""
"No","1992","Other degree","inadequately","10","","",""
"No","1992","Other degree","general elemantary","312","0.922339945100492","0.894139601684834","0.950540288516149"
"No","1992","Other degree","middle vocational","229","0.873540136522192","0.832585260376553","0.914495012667832"
"No","1992","Other degree","vocational + Abi","41","0.942571831194457","0.873826775955126","1.01131688643379"
"No","1992","Other degree","higher vocational","2","","",""
"No","1992","Other degree","higher education","19","","",""
"No","1992","no degree/no degree yet","in school","6","","",""
"No","1992","no degree/no degree yet","inadequately","250","0.82617807722562","0.782487450169046","0.869868704282195"
"No","1992","no degree/no degree yet","general elemantary","","","",""
"No","1992","no degree/no degree yet","middle vocational","39","0.897206032516137","0.808475775208255","0.985936289824018"
"No","1992","no degree/no degree yet","vocational + Abi","","","",""
"No","1992","no degree/no degree yet","higher vocational","1","","",""
"No","1992","no degree/no degree yet","higher education","","","",""
"Yes","1993","lower secondary degree","in school","","","",""
"Yes","1993","lower secondary degree","inadequately","","","",""
"Yes","1993","lower secondary degree","general elemantary","111","0.185806709427449","0.156764280463569","0.214849138391329"
"Yes","1993","lower secondary degree","middle vocational","407","0.202119486106066","0.184559217904634","0.219679754307498"
"Yes","1993","lower secondary degree","vocational + Abi","1","","",""
"Yes","1993","lower secondary degree","higher vocational","41","0.237529480250686","0.177489612894042","0.297569347607331"
"Yes","1993","lower secondary degree","higher education","17","","",""
"Yes","1993","secondary school degree","in school","","","",""
"Yes","1993","secondary school degree","inadequately","","","",""
"Yes","1993","secondary school degree","general elemantary","96","0.310470215634132","0.25802583223426","0.362914599034004"
"Yes","1993","secondary school degree","middle vocational","479","0.282999385186814","0.26108439194039","0.304914378433238"
"Yes","1993","secondary school degree","vocational + Abi","","","",""
"Yes","1993","secondary school degree","higher vocational","65","0.331251307220868","0.270556382860088","0.391946231581649"
"Yes","1993","secondary school degree","higher education","193","0.460233547353544","0.410767424925812","0.509699669781276"
"Yes","1993","college entrance qualification","in school","","","",""
"Yes","1993","college entrance qualification","inadequately","","","",""
"Yes","1993","college entrance qualification","general elemantary","","","",""
"Yes","1993","college entrance qualification","middle vocational","51","0.336462285362673","0.26109886182773","0.411825708897616"
"Yes","1993","college entrance qualification","vocational + Abi","45","0.220533989529064","0.164591315520233","0.276476663537896"
"Yes","1993","college entrance qualification","higher vocational","53","0.538308486124946","0.435312951686884","0.641304020563007"
"Yes","1993","college entrance qualification","higher education","350","0.451179971171031","0.416009773977753","0.486350168364309"
"Yes","1993","Other degree","in school","","","",""
"Yes","1993","Other degree","inadequately","1","","",""
"Yes","1993","Other degree","general elemantary","31","0.0772576038006043","0.0483626487139332","0.106152558887275"
"Yes","1993","Other degree","middle vocational","18","","",""
"Yes","1993","Other degree","vocational + Abi","7","","",""
"Yes","1993","Other degree","higher vocational","1","","",""
"Yes","1993","Other degree","higher education","9","","",""
"Yes","1993","no degree/no degree yet","in school","2","","",""
"Yes","1993","no degree/no degree yet","inadequately","39","0.184236719935805","0.139463119430324","0.229010320441287"
"Yes","1993","no degree/no degree yet","general elemantary","","","",""
"Yes","1993","no degree/no degree yet","middle vocational","6","","",""
"Yes","1993","no degree/no degree yet","vocational + Abi","","","",""
"Yes","1993","no degree/no degree yet","higher vocational","1","","",""
"Yes","1993","no degree/no degree yet","higher education","","","",""
"No","1993","lower secondary degree","in school","","","",""
"No","1993","lower secondary degree","inadequately","","","",""
"No","1993","lower secondary degree","general elemantary","578","0.814193290572551","0.785150861608671","0.843235719536431"
"No","1993","lower secondary degree","middle vocational","1602","0.797880513893934","0.780320245692502","0.815440782095366"
"No","1993","lower secondary degree","vocational + Abi","3","","",""
"No","1993","lower secondary degree","higher vocational","152","0.762470519749314","0.702430652392669","0.822510387105958"
"No","1993","lower secondary degree","higher education","22","","",""
"No","1993","secondary school degree","in school","","","",""
"No","1993","secondary school degree","inadequately","","","",""
"No","1993","secondary school degree","general elemantary","203","0.689529784365868","0.637085400965996","0.74197416776574"
"No","1993","secondary school degree","middle vocational","1144","0.717000614813186","0.695085621566762","0.73891560805961"
"No","1993","secondary school degree","vocational + Abi","","","",""
"No","1993","secondary school degree","higher vocational","166","0.668748692779132","0.608053768418351","0.729443617139912"
"No","1993","secondary school degree","higher education","197","0.539766452646456","0.490300330218724","0.589232575074188"
"No","1993","college entrance qualification","in school","","","",""
"No","1993","college entrance qualification","inadequately","","","",""
"No","1993","college entrance qualification","general elemantary","","","",""
"No","1993","college entrance qualification","middle vocational","100","0.663537714637327","0.588174291102384","0.73890113817227"
"No","1993","college entrance qualification","vocational + Abi","166","0.779466010470936","0.723523336462104","0.835408684479767"
"No","1993","college entrance qualification","higher vocational","37","0.461691513875054","0.358695979436992","0.564687048313116"
"No","1993","college entrance qualification","higher education","419","0.548820028828969","0.513649831635691","0.583990226022247"
"No","1993","Other degree","in school","","","",""
"No","1993","Other degree","inadequately","11","","",""
"No","1993","Other degree","general elemantary","297","0.922742396199396","0.893847441112725","0.951637351286067"
"No","1993","Other degree","middle vocational","224","0.897610903411913","0.859415480479616","0.93580632634421"
"No","1993","Other degree","vocational + Abi","35","0.770749490488923","0.643623244148598","0.897875736829249"
"No","1993","Other degree","higher vocational","1","","",""
"No","1993","Other degree","higher education","20","","",""
"No","1993","no degree/no degree yet","in school","2","","",""
"No","1993","no degree/no degree yet","inadequately","249","0.815763280064195","0.770989679558713","0.860536880569677"
"No","1993","no degree/no degree yet","general elemantary","","","",""
"No","1993","no degree/no degree yet","middle vocational","34","0.776078641899597","0.646891669326796","0.905265614472398"
"No","1993","no degree/no degree yet","vocational + Abi","","","",""
"No","1993","no degree/no degree yet","higher vocational","1","","",""
"No","1993","no degree/no degree yet","higher education","","","",""
"Yes","1994","lower secondary degree","in school","","","",""
"Yes","1994","lower secondary degree","inadequately","","","",""
"Yes","1994","lower secondary degree","general elemantary","84","0.172959640438665","0.14193792743985","0.203981353437479"
"Yes","1994","lower secondary degree","middle vocational","372","0.205904947500035","0.187488865673231","0.224321029326839"
"Yes","1994","lower secondary degree","vocational + Abi","1","","",""
"Yes","1994","lower secondary degree","higher vocational","42","0.224775212296596","0.163623361017357","0.285927063575835"
"Yes","1994","lower secondary degree","higher education","17","","",""
"Yes","1994","secondary school degree","in school","","","",""
"Yes","1994","secondary school degree","inadequately","","","",""
"Yes","1994","secondary school degree","general elemantary","78","0.323437701420379","0.265451146921417","0.381424255919341"
"Yes","1994","secondary school degree","middle vocational","459","0.291124247582599","0.268646081827019","0.31360241333818"
"Yes","1994","secondary school degree","vocational + Abi","","","",""
"Yes","1994","secondary school degree","higher vocational","70","0.322298263232128","0.263415431162744","0.381181095301513"
"Yes","1994","secondary school degree","higher education","180","0.47044616182108","0.419311242718692","0.521581080923469"
"Yes","1994","college entrance qualification","in school","","","",""
"Yes","1994","college entrance qualification","inadequately","","","",""
"Yes","1994","college entrance qualification","general elemantary","","","",""
"Yes","1994","college entrance qualification","middle vocational","50","0.302761630856391","0.230663027988341","0.374860233724442"
"Yes","1994","college entrance qualification","vocational + Abi","44","0.230618292953065","0.17391634679731","0.287320239108819"
"Yes","1994","college entrance qualification","higher vocational","53","0.590498312780714","0.48595992297403","0.695036702587397"
"Yes","1994","college entrance qualification","higher education","356","0.445920211992747","0.411345977534952","0.480494446450542"
"Yes","1994","Other degree","in school","","","",""
"Yes","1994","Other degree","inadequately","1","","",""
"Yes","1994","Other degree","general elemantary","27","","",""
"Yes","1994","Other degree","middle vocational","20","","",""
"Yes","1994","Other degree","vocational + Abi","5","","",""
"Yes","1994","Other degree","higher vocational","1","","",""
"Yes","1994","Other degree","higher education","7","","",""
"Yes","1994","no degree/no degree yet","in school","2","","",""
"Yes","1994","no degree/no degree yet","inadequately","33","0.154136695907462","0.109377610728663","0.19889578108626"
"Yes","1994","no degree/no degree yet","general elemantary","","","",""
"Yes","1994","no degree/no degree yet","middle vocational","6","","",""
"Yes","1994","no degree/no degree yet","vocational + Abi","","","",""
"Yes","1994","no degree/no degree yet","higher vocational","1","","",""
"Yes","1994","no degree/no degree yet","higher education","","","",""
"No","1994","lower secondary degree","in school","","","",""
"No","1994","lower secondary degree","inadequately","","","",""
"No","1994","lower secondary degree","general elemantary","487","0.827040359561335","0.796018646562521","0.85806207256015"
"No","1994","lower secondary degree","middle vocational","1480","0.794095052499965","0.775678970673161","0.812511134326769"
"No","1994","lower secondary degree","vocational + Abi","3","","",""
"No","1994","lower secondary degree","higher vocational","137","0.775224787703404","0.714072936424166","0.836376638982643"
"No","1994","lower secondary degree","higher education","24","","",""
"No","1994","secondary school degree","in school","","","",""
"No","1994","secondary school degree","inadequately","","","",""
"No","1994","secondary school degree","general elemantary","172","0.676562298579621","0.618575744080659","0.734548853078583"
"No","1994","secondary school degree","middle vocational","1110","0.708875752417401","0.68639758666182","0.731353918172981"
"No","1994","secondary school degree","vocational + Abi","","","",""
"No","1994","secondary school degree","higher vocational","172","0.677701736767872","0.618818904698487","0.736584568837256"
"No","1994","secondary school degree","higher education","186","0.52955383817892","0.478418919076531","0.580688757281308"
"No","1994","college entrance qualification","in school","","","",""
"No","1994","college entrance qualification","inadequately","","","",""
"No","1994","college entrance qualification","general elemantary","","","",""
"No","1994","college entrance qualification","middle vocational","106","0.697238369143608","0.625139766275558","0.769336972011659"
"No","1994","college entrance qualification","vocational + Abi","168","0.769381707046936","0.712679760891181","0.82608365320269"
"No","1994","college entrance qualification","higher vocational","32","0.409501687219286","0.304963297412603","0.51404007702597"
"No","1994","college entrance qualification","higher education","438","0.554079788007253","0.519505553549458","0.588654022465048"
"No","1994","Other degree","in school","","","",""
"No","1994","Other degree","inadequately","9","","",""
"No","1994","Other degree","general elemantary","247","0.918040568990712","0.885561526776123","0.9505196112053"
"No","1994","Other degree","middle vocational","197","0.88737334346676","0.845311141034263","0.929435545899256"
"No","1994","Other degree","vocational + Abi","31","0.771769553245101","0.634672711082423","0.908866395407779"
"No","1994","Other degree","higher vocational","1","","",""
"No","1994","Other degree","higher education","17","","",""
"No","1994","no degree/no degree yet","in school","2","","",""
"No","1994","no degree/no degree yet","inadequately","217","0.845863304092538","0.80110421891374","0.890622389271336"
"No","1994","no degree/no degree yet","general elemantary","","","",""
"No","1994","no degree/no degree yet","middle vocational","30","0.773944796974791","0.637310701261916","0.910578892687666"
"No","1994","no degree/no degree yet","vocational + Abi","","","",""
"No","1994","no degree/no degree yet","higher vocational","2","","",""
"No","1994","no degree/no degree yet","higher education","","","",""
"Yes","1995","lower secondary degree","in school","","","",""
"Yes","1995","lower secondary degree","inadequately","","","",""
"Yes","1995","lower secondary degree","general elemantary","80","0.164727227100355","0.134302485852768","0.195151968347941"
"Yes","1995","lower secondary degree","middle vocational","370","0.210413728085134","0.191988791726512","0.228838664443756"
"Yes","1995","lower secondary degree","vocational + Abi","1","","",""
"Yes","1995","lower secondary degree","higher vocational","42","0.234171364435841","0.17160737255814","0.296735356313543"
"Yes","1995","lower secondary degree","higher education","19","","",""
"Yes","1995","secondary school degree","in school","","","",""
"Yes","1995","secondary school degree","inadequately","","","",""
"Yes","1995","secondary school degree","general elemantary","61","0.208223548262164","0.161571812341029","0.254875284183299"
"Yes","1995","secondary school degree","middle vocational","481","0.298724063226374","0.276712907456963","0.320735218995784"
"Yes","1995","secondary school degree","vocational + Abi","","","",""
"Yes","1995","secondary school degree","higher vocational","80","0.303766123898923","0.24870717210611","0.358825075691735"
"Yes","1995","secondary school degree","higher education","171","0.422444442861831","0.372384082207584","0.472504803516078"
"Yes","1995","college entrance qualification","in school","","","",""
"Yes","1995","college entrance qualification","inadequately","","","",""
"Yes","1995","college entrance qualification","general elemantary","","","",""
"Yes","1995","college entrance qualification","middle vocational","49","0.278703384800301","0.212463460753705","0.344943308846897"
"Yes","1995","college entrance qualification","vocational + Abi","51","0.235423968989366","0.180830614963561","0.290017323015172"
"Yes","1995","college entrance qualification","higher vocational","57","0.638919508662952","0.53913154170209","0.738707475623814"
"Yes","1995","college entrance qualification","higher education","358","0.432324541513199","0.399040326760051","0.465608756266346"
"Yes","1995","Other degree","in school","","","",""
"Yes","1995","Other degree","inadequately","3","","",""
"Yes","1995","Other degree","general elemantary","30","0.105328260115809","0.0699363921987565","0.140720128032861"
"Yes","1995","Other degree","middle vocational","30","0.114130679541454","0.0774712922664784","0.15079006681643"
"Yes","1995","Other degree","vocational + Abi","15","","",""
"Yes","1995","Other degree","higher vocational","1","","",""
"Yes","1995","Other degree","higher education","18","","",""
"Yes","1995","no degree/no degree yet","in school","","","",""
"Yes","1995","no degree/no degree yet","inadequately","35","0.19742318419432","0.144704032335732","0.250142336052908"
"Yes","1995","no degree/no degree yet","general elemantary","","","",""
"Yes","1995","no degree/no degree yet","middle vocational","4","","",""
"Yes","1995","no degree/no degree yet","vocational + Abi","","","",""
"Yes","1995","no degree/no degree yet","higher vocational","1","","",""
"Yes","1995","no degree/no degree yet","higher education","","","",""
"No","1995","lower secondary degree","in school","","","",""
"No","1995","lower secondary degree","inadequately","","","",""
"No","1995","lower secondary degree","general elemantary","491","0.835272772899645","0.804848031652059","0.865697514147232"
"No","1995","lower secondary degree","middle vocational","1510","0.789586271914866","0.771161335556244","0.808011208273488"
"No","1995","lower secondary degree","vocational + Abi","3","","",""
"No","1995","lower secondary degree","higher vocational","134","0.765828635564159","0.703264643686457","0.82839262744186"
"No","1995","lower secondary degree","higher education","25","","",""
"No","1995","secondary school degree","in school","","","",""
"No","1995","secondary school degree","inadequately","","","",""
"No","1995","secondary school degree","general elemantary","230","0.791776451737836","0.745124715816701","0.838428187658971"
"No","1995","secondary school degree","middle vocational","1180","0.701275936773626","0.679264781004216","0.723287092543037"
"No","1995","secondary school degree","vocational + Abi","3","","",""
"No","1995","secondary school degree","higher vocational","188","0.696233876101077","0.641174924308265","0.75129282789389"
"No","1995","secondary school degree","higher education","203","0.577555557138169","0.527495196483922","0.627615917792416"
"No","1995","college entrance qualification","in school","","","",""
"No","1995","college entrance qualification","inadequately","","","",""
"No","1995","college entrance qualification","general elemantary","","","",""
"No","1995","college entrance qualification","middle vocational","127","0.721296615199699","0.655056691153103","0.787536539246295"
"No","1995","college entrance qualification","vocational + Abi","181","0.764576031010634","0.709982676984828","0.819169385036439"
"No","1995","college entrance qualification","higher vocational","32","0.361080491337048","0.261292524376186","0.46086845829791"
"No","1995","college entrance qualification","higher education","493","0.567675458486801","0.534391243733654","0.600959673239949"
"No","1995","Other degree","in school","","","",""
"No","1995","Other degree","inadequately","11","","",""
"No","1995","Other degree","general elemantary","259","0.894671739884191","0.859279871967139","0.930063607801243"
"No","1995","Other degree","middle vocational","259","0.885869320458546","0.84920993318357","0.922528707733522"
"No","1995","Other degree","vocational + Abi","57","0.698756796002005","0.592781779164901","0.804731812839108"
"No","1995","Other degree","higher vocational","1","","",""
"No","1995","Other degree","higher education","47","0.761311417866917","0.657680723849228","0.864942111884607"
"No","1995","no degree/no degree yet","in school","6","","",""
"No","1995","no degree/no degree yet","inadequately","184","0.80257681580568","0.749857663947092","0.855295967664268"
"No","1995","no degree/no degree yet","general elemantary","","","",""
"No","1995","no degree/no degree yet","middle vocational","36","0.945523446813128","0.875190460559679","1.01585643306658"
"No","1995","no degree/no degree yet","vocational + Abi","","","",""
"No","1995","no degree/no degree yet","higher vocational","2","","",""
"No","1995","no degree/no degree yet","higher education","","","",""
"Yes","1996","lower secondary degree","in school","","","",""
"Yes","1996","lower secondary degree","inadequately","","","",""
"Yes","1996","lower secondary degree","general elemantary","74","0.155947042861965","0.124912749642056","0.186981336081874"
"Yes","1996","lower secondary degree","middle vocational","357","0.207409972292793","0.188674198772185","0.226145745813401"
"Yes","1996","lower secondary degree","vocational + Abi","4","","",""
"Yes","1996","lower secondary degree","higher vocational","39","0.26632006680193","0.199076721207942","0.333563412395919"
"Yes","1996","lower secondary degree","higher education","16","","",""
"Yes","1996","secondary school degree","in school","","","",""
"Yes","1996","secondary school degree","inadequately","","","",""
"Yes","1996","secondary school degree","general elemantary","48","0.170819533863825","0.126257386854411","0.215381680873239"
"Yes","1996","secondary school degree","middle vocational","452","0.304594662867714","0.281901255877933","0.327288069857495"
"Yes","1996","secondary school degree","vocational + Abi","","","",""
"Yes","1996","secondary school degree","higher vocational","89","0.338017174783923","0.282007177141196","0.394027172426649"
"Yes","1996","secondary school degree","higher education","173","0.445137281440823","0.394082413585324","0.496192149296322"
"Yes","1996","college entrance qualification","in school","","","",""
"Yes","1996","college entrance qualification","inadequately","","","",""
"Yes","1996","college entrance qualification","general elemantary","","","",""
"Yes","1996","college entrance qualification","middle vocational","47","0.288156843184827","0.218414391571025","0.35789929479863"
"Yes","1996","college entrance qualification","vocational + Abi","49","0.203407045218928","0.152691437478719","0.254122652959138"
"Yes","1996","college entrance qualification","higher vocational","56","0.585818082309239","0.485706674086","0.685929490532478"
"Yes","1996","college entrance qualification","higher education","341","0.42520062163025","0.391708670232563","0.458692573027937"
"Yes","1996","Other degree","in school","","","",""
"Yes","1996","Other degree","inadequately","2","","",""
"Yes","1996","Other degree","general elemantary","23","","",""
"Yes","1996","Other degree","middle vocational","26","","",""
"Yes","1996","Other degree","vocational + Abi","13","","",""
"Yes","1996","Other degree","higher vocational","1","","",""
"Yes","1996","Other degree","higher education","15","","",""
"Yes","1996","no degree/no degree yet","in school","","","",""
"Yes","1996","no degree/no degree yet","inadequately","36","0.229266276629698","0.17041683788657","0.288115715372827"
"Yes","1996","no degree/no degree yet","general elemantary","","","",""
"Yes","1996","no degree/no degree yet","middle vocational","3","","",""
"Yes","1996","no degree/no degree yet","vocational + Abi","","","",""
"Yes","1996","no degree/no degree yet","higher vocational","1","","",""
"Yes","1996","no degree/no degree yet","higher education","","","",""
"No","1996","lower secondary degree","in school","","","",""
"No","1996","lower secondary degree","inadequately","","","",""
"No","1996","lower secondary degree","general elemantary","451","0.844052957138035","0.813018663918126","0.875087250357944"
"No","1996","lower secondary degree","middle vocational","1442","0.792590027707207","0.773854254186599","0.811325801227815"
"No","1996","lower secondary degree","vocational + Abi","3","","",""
"No","1996","lower secondary degree","higher vocational","127","0.73367993319807","0.666436587604081","0.800923278792058"
"No","1996","lower secondary degree","higher education","20","","",""
"No","1996","secondary school degree","in school","","","",""
"No","1996","secondary school degree","inadequately","","","",""
"No","1996","secondary school degree","general elemantary","226","0.829180466136175","0.784618319126761","0.873742613145589"
"No","1996","secondary school degree","middle vocational","1128","0.695405337132286","0.672711930142505","0.718098744122067"
"No","1996","secondary school degree","vocational + Abi","2","","",""
"No","1996","secondary school degree","higher vocational","185","0.661982825216077","0.605972827573351","0.717992822858804"
"No","1996","secondary school degree","higher education","191","0.554862718559177","0.503807850703679","0.605917586414676"
"No","1996","college entrance qualification","in school","","","",""
"No","1996","college entrance qualification","inadequately","","","",""
"No","1996","college entrance qualification","general elemantary","","","",""
"No","1996","college entrance qualification","middle vocational","115","0.711843156815173","0.64210070520137","0.781585608428975"
"No","1996","college entrance qualification","vocational + Abi","193","0.796592954781072","0.745877347040862","0.847308562521281"
"No","1996","college entrance qualification","higher vocational","37","0.414181917690761","0.314070509467522","0.514293325914"
"No","1996","college entrance qualification","higher education","496","0.57479937836975","0.541307426972063","0.608291329767437"
"No","1996","Other degree","in school","","","",""
"No","1996","Other degree","inadequately","10","","",""
"No","1996","Other degree","general elemantary","224","0.897996287607031","0.860252552633589","0.935740022580472"
"No","1996","Other degree","middle vocational","231","0.884491870550377","0.845413654681456","0.923570086419298"
"No","1996","Other degree","vocational + Abi","46","0.676479651041004","0.557108259929648","0.795851042152361"
"No","1996","Other degree","higher vocational","","","",""
"No","1996","Other degree","higher education","43","0.764724743851525","0.655561912093337","0.873887575609714"
"No","1996","no degree/no degree yet","in school","5","","",""
"No","1996","no degree/no degree yet","inadequately","160","0.770733723370302","0.711884284627173","0.82958316211343"
"No","1996","no degree/no degree yet","general elemantary","","","",""
"No","1996","no degree/no degree yet","middle vocational","33","0.915389084952466","0.824478824628315","1.00629934527662"
"No","1996","no degree/no degree yet","vocational + Abi","","","",""
"No","1996","no degree/no degree yet","higher vocational","2","","",""
"No","1996","no degree/no degree yet","higher education","","","",""
"Yes","1997","lower secondary degree","in school","","","",""
"Yes","1997","lower secondary degree","inadequately","","","",""
"Yes","1997","lower secondary degree","general elemantary","69","0.168665815788734","0.136419168584182","0.200912462993286"
"Yes","1997","lower secondary degree","middle vocational","318","0.188612465079886","0.170156912344475","0.207068017815297"
"Yes","1997","lower secondary degree","vocational + Abi","4","","",""
