"pgoeffd","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"Yes","2005","35-65 y.","Not Working","10","","",""
"Yes","2005","66 and older","Full Time","","","",""
"Yes","2005","66 and older","Part Time","5","","",""
"Yes","2005","66 and older","Not Working","","","",""
"No","2005","16-34 y.","Full Time","1456","0.776899765829292","0.757871915145864","0.79592761651272"
"No","2005","16-34 y.","Part Time","721","0.801015681623962","0.774918225252039","0.827113137995885"
"No","2005","16-34 y.","Not Working","73","0.890131949024483","0.824037989496473","0.956225908552493"
"No","2005","35-65 y.","Full Time","4013","0.742706450024483","0.731203667414867","0.754209232634099"
"No","2005","35-65 y.","Part Time","1629","0.736118637320381","0.718226788492784","0.754010486147978"
"No","2005","35-65 y.","Not Working","47","0.848819892950734","0.755823573209901","0.941816212691568"
"No","2005","66 and older","Full Time","30","1","1","1"
"No","2005","66 and older","Part Time","72","0.934931928232549","0.879841430951377","0.990022425513721"
"No","2005","66 and older","Not Working","3","","",""
"Yes","2006","16-34 y.","Full Time","379","0.220488282063996","0.201245117215612","0.23973144691238"
"Yes","2006","16-34 y.","Part Time","154","0.19725765745807","0.169971518647271","0.224543796268869"
"Yes","2006","16-34 y.","Not Working","23","","",""
"Yes","2006","35-65 y.","Full Time","1620","0.256584095755502","0.245282586196316","0.267885605314688"
"Yes","2006","35-65 y.","Part Time","735","0.265211127270302","0.247879025587996","0.282543228952608"
"Yes","2006","35-65 y.","Not Working","25","","",""
"Yes","2006","66 and older","Full Time","2","","",""
"Yes","2006","66 and older","Part Time","7","","",""
"Yes","2006","66 and older","Not Working","","","",""
"No","2006","16-34 y.","Full Time","1404","0.779511717936004","0.76026855308762","0.798754882784389"
"No","2006","16-34 y.","Part Time","663","0.80274234254193","0.775456203731131","0.830028481352729"
"No","2006","16-34 y.","Not Working","79","0.76760680064026","0.685641673010671","0.84957192826985"
"No","2006","35-65 y.","Full Time","4117","0.743415904244498","0.732114394685312","0.754717413803684"
"No","2006","35-65 y.","Part Time","1757","0.734788872729698","0.717456771047392","0.752120974412004"
"No","2006","35-65 y.","Not Working","75","0.781757609698601","0.700800740510681","0.862714478886521"
"No","2006","66 and older","Full Time","42","0.910986869541222","0.826846415964442","0.995127323118002"
"No","2006","66 and older","Part Time","85","0.927869892822653","0.875006381376401","0.980733404268906"
"No","2006","66 and older","Not Working","2","","",""
"Yes","2007","16-34 y.","Full Time","363","0.194847250603705","0.176914389740552","0.212780111466857"
"Yes","2007","16-34 y.","Part Time","205","0.187225416821636","0.163191458989991","0.211259374653282"
"Yes","2007","16-34 y.","Not Working","22","","",""
"Yes","2007","35-65 y.","Full Time","1578","0.256168737606921","0.244827666434635","0.267509808779207"
"Yes","2007","35-65 y.","Part Time","685","0.247395460586489","0.230641107671345","0.264149813501632"
"Yes","2007","35-65 y.","Not Working","21","","",""
"Yes","2007","66 and older","Full Time","4","","",""
"Yes","2007","66 and older","Part Time","11","","",""
"Yes","2007","66 and older","Not Working","","","",""
"No","2007","16-34 y.","Full Time","1511","0.805152749396295","0.787219888533143","0.823085610259448"
"No","2007","16-34 y.","Part Time","807","0.812774583178364","0.788740625346719","0.83680854101001"
"No","2007","16-34 y.","Not Working","92","0.844113749502452","0.777525122818865","0.91070237618604"
"No","2007","35-65 y.","Full Time","4113","0.743831262393079","0.732490191220793","0.755172333565365"
"No","2007","35-65 y.","Part Time","1863","0.752604539413511","0.735850186498368","0.769358892328655"
"No","2007","35-65 y.","Not Working","69","0.784893205258956","0.700002686891515","0.869783723626398"
"No","2007","66 and older","Full Time","47","0.91506765680761","0.838556255055987","0.991579058559233"
"No","2007","66 and older","Part Time","111","0.898056354066485","0.84436553224747","0.9517471758855"
"No","2007","66 and older","Not Working","7","","",""
"Yes","2008","16-34 y.","Full Time","301","0.171839957959129","0.153659720413503","0.190020195504755"
"Yes","2008","16-34 y.","Part Time","183","0.184920052459643","0.158835978714563","0.211004126204722"
"Yes","2008","16-34 y.","Not Working","19","","",""
"Yes","2008","35-65 y.","Full Time","1454","0.255598550874529","0.2438607105994","0.267336391149658"
"Yes","2008","35-65 y.","Part Time","652","0.257707945290326","0.239875971035932","0.27553991954472"
"Yes","2008","35-65 y.","Not Working","11","","",""
"Yes","2008","66 and older","Full Time","3","","",""
"Yes","2008","66 and older","Part Time","6","","",""
"Yes","2008","66 and older","Not Working","1","","",""
"No","2008","16-34 y.","Full Time","1353","0.828160042040871","0.809979804495245","0.846340279586497"
"No","2008","16-34 y.","Part Time","668","0.815079947540357","0.788995873795278","0.841164021285437"
"No","2008","16-34 y.","Not Working","71","0.869204497643307","0.799544376745362","0.938864618541252"
"No","2008","35-65 y.","Full Time","3851","0.744401449125471","0.732663608850342","0.7561392894006"
"No","2008","35-65 y.","Part Time","1659","0.742292054709674","0.72446008045528","0.760124028964068"
"No","2008","35-65 y.","Not Working","67","0.855360369731496","0.777302085037903","0.933418654425089"
"No","2008","66 and older","Full Time","46","0.931585208667349","0.860898730124049","1.00227168721065"
"No","2008","66 and older","Part Time","99","0.944630509387094","0.900886388845684","0.988374629928504"
"No","2008","66 and older","Not Working","4","","",""
"Yes","2009","16-34 y.","Full Time","309","0.179310475764398","0.160664715468779","0.197956236060017"
"Yes","2009","16-34 y.","Part Time","199","0.177772856134144","0.152527077679896","0.203018634588392"
"Yes","2009","16-34 y.","Not Working","17","","",""
"Yes","2009","35-65 y.","Full Time","1378","0.255772424283863","0.243740387648371","0.267804460919356"
"Yes","2009","35-65 y.","Part Time","622","0.23844715710191","0.221058325965092","0.255835988238727"
"Yes","2009","35-65 y.","Not Working","10","","",""
"Yes","2009","66 and older","Full Time","4","","",""
"Yes","2009","66 and older","Part Time","14","","",""
"Yes","2009","66 and older","Not Working","1","","",""
"No","2009","16-34 y.","Full Time","1317","0.820689524235602","0.802043763939983","0.839335284531221"
"No","2009","16-34 y.","Part Time","682","0.822227143865856","0.796981365411608","0.847472922320104"
"No","2009","16-34 y.","Not Working","60","0.746541410271877","0.649382376565897","0.843700443977856"
"No","2009","35-65 y.","Full Time","3673","0.744227575716137","0.732195539080644","0.756259612351629"
"No","2009","35-65 y.","Part Time","1685","0.76155284289809","0.744164011761273","0.778941674034908"
"No","2009","35-65 y.","Not Working","49","0.829461208963709","0.733492044141584","0.925430373785833"
"No","2009","66 and older","Full Time","53","0.901933531980751","0.824726261892402","0.979140802069099"
"No","2009","66 and older","Part Time","150","0.92562206441383","0.885464711597617","0.965779417230043"
"No","2009","66 and older","Not Working","3","","",""
"Yes","2010","16-34 y.","Full Time","388","0.189048425202905","0.172528565161664","0.205568285244146"
"Yes","2010","16-34 y.","Part Time","248","0.18927497518886","0.166980916770041","0.211569033607679"
"Yes","2010","16-34 y.","Not Working","34","0.204493364090717","0.146685250061802","0.262301478119631"
"Yes","2010","35-65 y.","Full Time","1625","0.260594794348163","0.24979483360082","0.271394755095506"
"Yes","2010","35-65 y.","Part Time","855","0.243821777579121","0.229171715988301","0.258471839169941"
"Yes","2010","35-65 y.","Not Working","34","0.202617333451636","0.134305811132119","0.270928855771153"
"Yes","2010","66 and older","Full Time","7","","",""
"Yes","2010","66 and older","Part Time","11","","",""
"Yes","2010","66 and older","Not Working","","","",""
"No","2010","16-34 y.","Full Time","1770","0.810951574797095","0.794431714755854","0.827471434838336"
"No","2010","16-34 y.","Part Time","938","0.81072502481114","0.788430966392321","0.833019083229959"
"No","2010","16-34 y.","Not Working","153","0.795506635909283","0.737698521880369","0.853314749938198"
"No","2010","35-65 y.","Full Time","4721","0.739405205651837","0.728605244904494","0.75020516639918"
"No","2010","35-65 y.","Part Time","2445","0.756178222420879","0.741528160830059","0.770828284011699"
"No","2010","35-65 y.","Not Working","99","0.797382666548364","0.729071144228847","0.865694188867881"
"No","2010","66 and older","Full Time","46","0.905978712111579","0.82740409911261","0.984553325110548"
"No","2010","66 and older","Part Time","122","0.896714014110212","0.844992652595327","0.948435375625098"
"No","2010","66 and older","Not Working","1","","",""
"Yes","2011","16-34 y.","Full Time","454","0.200977182221424","0.18457867363573","0.217375690807117"
"Yes","2011","16-34 y.","Part Time","286","0.184883435900313","0.165011509640591","0.204755362160035"
"Yes","2011","16-34 y.","Not Working","29","","",""
"Yes","2011","35-65 y.","Full Time","2062","0.267951017297797","0.258000973191434","0.277901061404161"
"Yes","2011","35-65 y.","Part Time","1057","0.238036916875406","0.225147804759273","0.250926028991538"
"Yes","2011","35-65 y.","Not Working","34","0.291425159668559","0.224290291188544","0.358560028148575"
"Yes","2011","66 and older","Full Time","6","","",""
"Yes","2011","66 and older","Part Time","18","","",""
"Yes","2011","66 and older","Not Working","","","",""
"No","2011","16-34 y.","Full Time","1840","0.799022817778576","0.782624309192883","0.81542132636427"
"No","2011","16-34 y.","Part Time","1180","0.815116564099687","0.795244637839965","0.834988490359409"
"No","2011","16-34 y.","Not Working","162","0.82090415661498","0.76652651250949","0.87528180072047"
"No","2011","35-65 y.","Full Time","5549","0.732048982702203","0.722098938595839","0.741999026808566"
"No","2011","35-65 y.","Part Time","3137","0.761963083124594","0.749073971008461","0.774852195240727"
"No","2011","35-65 y.","Not Working","142","0.708574840331441","0.641439971851425","0.775709708811456"
"No","2011","66 and older","Full Time","38","0.873588424062225","0.775398118653482","0.971778729470967"
"No","2011","66 and older","Part Time","132","0.882213810870111","0.830627250312082","0.93380037142814"
"No","2011","66 and older","Not Working","4","","",""
"Yes","2012","16-34 y.","Full Time","430","0.20551239168863","0.188588953315164","0.222435830062096"
"Yes","2012","16-34 y.","Part Time","250","0.203865885162359","0.182351462872306","0.225380307452412"
"Yes","2012","16-34 y.","Not Working","29","","",""
"Yes","2012","35-65 y.","Full Time","2004","0.265119227185889","0.255101574824598","0.275136879547179"
"Yes","2012","35-65 y.","Part Time","1077","0.245712974227779","0.232629111044932","0.258796837410625"
"Yes","2012","35-65 y.","Not Working","46","0.186226531185558","0.138162481401377","0.234290580969739"
"Yes","2012","66 and older","Full Time","5","","",""
"Yes","2012","66 and older","Part Time","18","","",""
"Yes","2012","66 and older","Not Working","1","","",""
"No","2012","16-34 y.","Full Time","1760","0.79448760831137","0.777564169937904","0.811411046684836"
"No","2012","16-34 y.","Part Time","1097","0.796134114837641","0.774619692547588","0.817648537127694"
"No","2012","16-34 y.","Not Working","144","0.812282783992764","0.754095147628893","0.870470420356635"
"No","2012","35-65 y.","Full Time","5454","0.734880772814112","0.724863120452821","0.744898425175402"
"No","2012","35-65 y.","Part Time","3082","0.754287025772222","0.741203162589375","0.767370888955068"
"No","2012","35-65 y.","Not Working","206","0.813773468814442","0.765709419030261","0.861837518598623"
"No","2012","66 and older","Full Time","31","0.881609865461444","0.776075763619449","0.987143967303439"
"No","2012","66 and older","Part Time","135","0.866462532193879","0.812563764267395","0.920361300120362"
"No","2012","66 and older","Not Working","","","",""
"Yes","2013","16-34 y.","Full Time","424","0.229972423445794","0.211675534191703","0.248269312699886"
"Yes","2013","16-34 y.","Part Time","274","0.218903767938169","0.196730803938281","0.241076731938058"
"Yes","2013","16-34 y.","Not Working","203","0.150689064975168","0.131922723748799","0.169455406201536"
"Yes","2013","35-65 y.","Full Time","1839","0.280640544867708","0.269791624465581","0.291489465269834"
"Yes","2013","35-65 y.","Part Time","1050","0.261684841477785","0.247912640786572","0.275457042168998"
"Yes","2013","35-65 y.","Not Working","291","0.157497364275539","0.141337769591019","0.17365695896006"
"Yes","2013","66 and older","Full Time","2","","",""
"Yes","2013","66 and older","Part Time","23","","",""
"Yes","2013","66 and older","Not Working","2","","",""
"No","2013","16-34 y.","Full Time","1608","0.770027576554206","0.751730687300114","0.788324465808297"
"No","2013","16-34 y.","Part Time","1062","0.781096232061831","0.758923268061942","0.803269196061719"
"No","2013","16-34 y.","Not Working","1193","0.849310935024832","0.830544593798464","0.868077276251201"
"No","2013","35-65 y.","Full Time","4750","0.719359455132292","0.708510534730166","0.730208375534419"
"No","2013","35-65 y.","Part Time","2863","0.738315158522215","0.724542957831002","0.752087359213429"
"No","2013","35-65 y.","Not Working","1661","0.842502635724461","0.82634304103994","0.858662230408981"
"No","2013","66 and older","Full Time","7","","",""
"No","2013","66 and older","Part Time","109","0.806819867492578","0.739470945727593","0.874168789257563"
"No","2013","66 and older","Not Working","11","","",""
"Yes","2014","16-34 y.","Full Time","425","0.218269238002002","0.201269139679454","0.23526933632455"
"Yes","2014","16-34 y.","Part Time","314","0.252981991877108","0.231019066773289","0.274944916980928"
"Yes","2014","16-34 y.","Not Working","53","0.211092652559799","0.164524753804695","0.257660551314903"
"Yes","2014","35-65 y.","Full Time","1788","0.271250063170702","0.260687330032769","0.281812796308635"
"Yes","2014","35-65 y.","Part Time","1082","0.267180792184567","0.25356823854837","0.280793345820765"
"Yes","2014","35-65 y.","Not Working","59","0.229594670431869","0.180244741686997","0.27894459917674"
"Yes","2014","66 and older","Full Time","3","","",""
"Yes","2014","66 and older","Part Time","29","","",""
"Yes","2014","66 and older","Not Working","1","","",""
"No","2014","16-34 y.","Full Time","1843","0.781730761997998","0.76473066367545","0.798730860320546"
"No","2014","16-34 y.","Part Time","1191","0.747018008122892","0.725055083019073","0.768980933226711"
"No","2014","16-34 y.","Not Working","242","0.788907347440201","0.742339448685097","0.835475246195305"
"No","2014","35-65 y.","Full Time","5018","0.728749936829298","0.718187203691365","0.739312669967231"
"No","2014","35-65 y.","Part Time","2977","0.732819207815433","0.719206654179235","0.74643176145163"
"No","2014","35-65 y.","Not Working","220","0.770405329568131","0.72105540082326","0.819755258313003"
"No","2014","66 and older","Full Time","20","","",""
"No","2014","66 and older","Part Time","138","0.823597329889134","0.76578773876735","0.881406921010919"
"No","2014","66 and older","Not Working","6","","",""
"Yes","2015","16-34 y.","Full Time","393","0.215164649436738","0.197306051696845","0.23302324717663"
"Yes","2015","16-34 y.","Part Time","270","0.216564844241807","0.194444520165134","0.238685168318479"
"Yes","2015","16-34 y.","Not Working","98","0.156299935172213","0.130815545924623","0.181784324419803"
"Yes","2015","35-65 y.","Full Time","1710","0.273142912239263","0.262241877660428","0.284043946818097"
"Yes","2015","35-65 y.","Part Time","1050","0.259945107878001","0.246128249804659","0.273761965951343"
"Yes","2015","35-65 y.","Not Working","93","0.245356871631268","0.212277188835037","0.278436554427498"
"Yes","2015","66 and older","Full Time","3","","",""
"Yes","2015","66 and older","Part Time","34","0.181964115276905","0.124802022640882","0.239126207912928"
"Yes","2015","66 and older","Not Working","1","","",""
"No","2015","16-34 y.","Full Time","1641","0.784835350563262","0.76697675282337","0.802693948303155"
"No","2015","16-34 y.","Part Time","1062","0.783435155758193","0.761314831681521","0.805555479834866"
"No","2015","16-34 y.","Not Working","682","0.843700064827787","0.818215675580197","0.869184454075377"
"No","2015","35-65 y.","Full Time","4708","0.726857087760737","0.715956053181903","0.737758122339572"
"No","2015","35-65 y.","Part Time","2821","0.740054892121999","0.726238034048657","0.753871750195341"
"No","2015","35-65 y.","Not Working","557","0.754643128368732","0.721563445572502","0.787722811164963"
"No","2015","66 and older","Full Time","20","","",""
"No","2015","66 and older","Part Time","141","0.818035884723095","0.760873792087072","0.875197977359118"
"No","2015","66 and older","Not Working","7","","",""
"Yes","2016","16-34 y.","Full Time","414","0.233129349433149","0.214472251864228","0.251786447002071"
"Yes","2016","16-34 y.","Part Time","266","0.211017166161595","0.189202873920588","0.232831458402601"
"Yes","2016","16-34 y.","Not Working","64","0.188138121303795","0.153604269909572","0.222671972698017"
"Yes","2016","35-65 y.","Full Time","1653","0.269897357610089","0.25887181594883","0.280922899271349"
"Yes","2016","35-65 y.","Part Time","1003","0.258728208816595","0.244785758237763","0.272670659395427"
"Yes","2016","35-65 y.","Not Working","61","0.231631225588566","0.188232379270259","0.275030071906872"
"Yes","2016","66 and older","Full Time","6","","",""
"Yes","2016","66 and older","Part Time","32","0.171732206311194","0.117089297740902","0.226375114881487"
"Yes","2016","66 and older","Not Working","1","","",""
"No","2016","16-34 y.","Full Time","1559","0.766870650566851","0.748213552997929","0.785527748135772"
"No","2016","16-34 y.","Part Time","1078","0.788982833838405","0.767168541597399","0.810797126079412"
"No","2016","16-34 y.","Not Working","428","0.811861878696205","0.777328027301983","0.846395730090428"
"No","2016","35-65 y.","Full Time","4574","0.73010264238991","0.719077100728651","0.74112818405117"
"No","2016","35-65 y.","Part Time","2787","0.741271791183405","0.727329340604573","0.755214241762236"
"No","2016","35-65 y.","Not Working","302","0.768368774411434","0.724969928093128","0.811767620729741"
"No","2016","66 and older","Full Time","20","","",""
"No","2016","66 and older","Part Time","151","0.828267793688805","0.773624885118513","0.882910702259098"
"No","2016","66 and older","Not Working","3","","",""
"Yes","2017","16-34 y.","Full Time","484","0.211347106927778","0.194748519389274","0.227945694466282"
"Yes","2017","16-34 y.","Part Time","311","0.239922480136722","0.218426220178818","0.261418740094625"
"Yes","2017","16-34 y.","Not Working","78","0.177447326937014","0.148899670488145","0.205994983385884"
"Yes","2017","35-65 y.","Full Time","1866","0.268905288073012","0.258562628428174","0.279247947717849"
"Yes","2017","35-65 y.","Part Time","1162","0.264538528517294","0.251285267883958","0.277791789150629"
"Yes","2017","35-65 y.","Not Working","76","0.254414415752081","0.212811223832883","0.296017607671279"
"Yes","2017","66 and older","Full Time","7","","",""
"Yes","2017","66 and older","Part Time","39","0.156146714034765","0.10818036667087","0.20411306139866"
"Yes","2017","66 and older","Not Working","2","","",""
"No","2017","16-34 y.","Full Time","1840","0.788652893072222","0.772054305533718","0.805251480610726"
"No","2017","16-34 y.","Part Time","1205","0.760077519863278","0.738581259905375","0.781573779821182"
"No","2017","16-34 y.","Not Working","610","0.822552673062986","0.794005016614116","0.851100329511855"
"No","2017","35-65 y.","Full Time","5194","0.731094711926988","0.720752052282151","0.741437371571825"
"No","2017","35-65 y.","Part Time","3093","0.735461471482706","0.722208210849371","0.748714732116042"
"No","2017","35-65 y.","Not Working","345","0.745585584247919","0.703982392328721","0.787188776167117"
"No","2017","66 and older","Full Time","21","","",""
"No","2017","66 and older","Part Time","181","0.843853285965235","0.79588693860134","0.89181963332913"
"No","2017","66 and older","Not Working","7","","",""
"Yes","2018","16-34 y.","Full Time","470","0.2137189195524","0.196833172564282","0.230604666540519"
"Yes","2018","16-34 y.","Part Time","318","0.258711953366808","0.237314020775171","0.280109885958445"
"Yes","2018","16-34 y.","Not Working","82","0.136005292761135","0.109550663506654","0.162459922015615"
"Yes","2018","35-65 y.","Full Time","1814","0.278349851946064","0.267498424852787","0.289201279039342"
"Yes","2018","35-65 y.","Part Time","1081","0.27340482112187","0.259711770093371","0.287097872150368"
"Yes","2018","35-65 y.","Not Working","59","0.236389145843405","0.194330540284846","0.278447751401964"
"Yes","2018","66 and older","Full Time","6","","",""
"Yes","2018","66 and older","Part Time","41","0.16115403541273","0.112347099170557","0.209960971654903"
"Yes","2018","66 and older","Not Working","2","","",""
"No","2018","16-34 y.","Full Time","1794","0.786281080447599","0.769395333459481","0.803166827435718"
"No","2018","16-34 y.","Part Time","1291","0.741288046633192","0.719890114041555","0.762685979224829"
"No","2018","16-34 y.","Not Working","563","0.863994707238865","0.837540077984384","0.890449336493346"
"No","2018","35-65 y.","Full Time","4739","0.721650148053936","0.710798720960658","0.732501575147213"
"No","2018","35-65 y.","Part Time","2989","0.72659517887813","0.712902127849632","0.740288229906629"
"No","2018","35-65 y.","Not Working","333","0.763610854156595","0.721552248598036","0.805669459715154"
"No","2018","66 and older","Full Time","28","","",""
"No","2018","66 and older","Part Time","177","0.83884596458727","0.790039028345097","0.887652900829443"
"No","2018","66 and older","Not Working","5","","",""
"Yes","2019","16-34 y.","Full Time","468","0.250427075469042","0.232109100146058","0.268745050792027"
"Yes","2019","16-34 y.","Part Time","300","0.205444782749655","0.185324597157094","0.225564968342216"
"Yes","2019","16-34 y.","Not Working","71","0.255526419743501","0.21839404657666","0.292658792910342"
"Yes","2019","35-65 y.","Full Time","1688","0.270180608144206","0.259269068235133","0.281092148053278"
"Yes","2019","35-65 y.","Part Time","1072","0.278760553353948","0.264713246315974","0.292807860391922"
"Yes","2019","35-65 y.","Not Working","82","0.218228440563355","0.180686456357012","0.255770424769697"
"Yes","2019","66 and older","Full Time","10","","",""
"Yes","2019","66 and older","Part Time","41","0.19434668066042","0.143429216930392","0.245264144390447"
"Yes","2019","66 and older","Not Working","4","","",""
"No","2019","16-34 y.","Full Time","1681","0.749572924530958","0.731254949207973","0.767890899853942"
"No","2019","16-34 y.","Part Time","1249","0.794555217250345","0.774435031657784","0.814675402842906"
"No","2019","16-34 y.","Not Working","459","0.744473580256499","0.707341207089658","0.78160595342334"
"No","2019","35-65 y.","Full Time","4674","0.729819391855794","0.718907851946722","0.740730931764867"
"No","2019","35-65 y.","Part Time","2842","0.721239446646052","0.707192139608078","0.735286753684026"
"No","2019","35-65 y.","Not Working","383","0.781771559436645","0.744229575230303","0.819313543642988"
"No","2019","66 and older","Full Time","39","0.700571367252226","0.57233154530238","0.828811189202073"
"No","2019","66 and older","Part Time","191","0.80565331933958","0.754735855609553","0.856570783069608"
"No","2019","66 and older","Not Working","24","","",""
