"ple0004","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"Strong","2015","16-34 y.","Not Employed","","","","","1"
"Strong","2015","16-34 y.","Employed","","","","","1"
"Strong","2015","66 and older","Employed","","","","","1"
"Strong","2015","35-65 y.","Not Employed","","","","","1"
"Strong","2015","35-65 y.","Employed","","","","","1"
"Strong","2015","66 and older","Not Employed","","","","","1"
"A little","2016","16-34 y.","Not Employed","694","0.15437771443625","0.143265205846976","0.165490223025523","2"
"A little","2016","16-34 y.","Employed","645","0.155874426994308","0.144722184474543","0.167026669514072","2"
"A little","2016","66 and older","Not Employed","1852","0.43776122184164","0.42291732677179","0.452605116911489","2"
"A little","2016","66 and older","Employed","207","0.451070339400092","0.4075848279143","0.494555850885883","2"
"A little","2016","35-65 y.","Not Employed","1367","0.361528604232328","0.346920137637929","0.376137070826727","2"
"A little","2016","35-65 y.","Employed","3340","0.311886698869825","0.303447577455061","0.320325820284589","2"
"Not at all","2016","16-34 y.","Not Employed","3201","0.804804721630541","0.792614502621961","0.816994940639121","3"
"Not at all","2016","16-34 y.","Employed","3340","0.82377468141339","0.812060562901007","0.835488799925773","3"
"Not at all","2016","35-65 y.","Not Employed","2026","0.363521907005304","0.348896107992956","0.378147706017651","3"
"Not at all","2016","35-65 y.","Employed","7640","0.631765281518547","0.622978919843193","0.640551643193901","3"
"Not at all","2016","66 and older","Not Employed","1277","0.270407129252584","0.257117336961068","0.2836969215441","3"
"Not at all","2016","66 and older","Employed","226","0.418082068029416","0.374977257649289","0.461186878409542","3"
"Strong","2016","16-34 y.","Not Employed","166","0.0408175639332091","0.0347319311060313","0.046903196760387","1"
"Strong","2016","16-34 y.","Employed","79","0.0203508915923026","0.0160098071318861","0.0246919760527192","1"
"Strong","2016","66 and older","Employed","70","0.130847592570493","0.101376588290565","0.16031859685042","1"
"Strong","2016","35-65 y.","Not Employed","762","0.274949488762368","0.261373446953702","0.288525530571034","1"
"Strong","2016","35-65 y.","Employed","596","0.0563480196116275","0.0521473929132006","0.0605486463100545","1"
"Strong","2016","66 and older","Not Employed","1162","0.291831648905777","0.278229632788774","0.30543366502278","1"
"A little","2017","16-34 y.","Not Employed","291","0.148886654283275","0.1328379943515","0.164935314215051","2"
"A little","2017","16-34 y.","Employed","","","","","2"
