"ple0004","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Not at all","2014","35-65 y.","9742","0.585387111066246","0.577651025232056","0.593123196900436"
"Not at all","2014","66 and older","1551","0.280439674662692","0.267979600133423","0.292899749191962"
"Strong","2015","16-34 y.","","","",""
"Strong","2015","35-65 y.","","","",""
"Strong","2015","66 and older","","","",""
"A little","2015","16-34 y.","","","",""
"A little","2015","35-65 y.","","","",""
"A little","2015","66 and older","","","",""
"Not at all","2015","16-34 y.","","","",""
"Not at all","2015","35-65 y.","","","",""
"Not at all","2015","66 and older","","","",""
"Strong","2016","16-34 y.","245","0.0254857398851631","0.022061333142798","0.0289101466275281"
"Strong","2016","35-65 y.","1359","0.0933345991482731","0.0887901966872311","0.097879001609315"
"Strong","2016","66 and older","1232","0.275852486287419","0.263200723241253","0.288504249333584"
"A little","2016","16-34 y.","1342","0.155520636355209","0.147645988277993","0.163395284432425"
"A little","2016","35-65 y.","4710","0.32028717540426","0.312998234345755","0.327576116462765"
"A little","2016","66 and older","2059","0.439082275358458","0.425034045291195","0.45313050542572"
"Not at all","2016","16-34 y.","6549","0.818993623759628","0.81062739340355","0.827359854115705"
"Not at all","2016","35-65 y.","9672","0.586378225447467","0.578684750467479","0.594071700427455"
"Not at all","2016","66 and older","1503","0.285065238354124","0.272286016380407","0.297844460327841"
"Strong","2017","16-34 y.","72","0.0370587008829033","0.0285421804838275","0.0455752212819791"
"Strong","2017","35-65 y.","149","0.138662185899782","0.117036028210376","0.160288343589188"
"Strong","2017","66 and older","19","","",""
"A little","2017","16-34 y.","291","0.148886654283275","0.1328379943515","0.164935314215051"
"A little","2017","35-65 y.","325","0.335660109558539","0.306110032441958","0.36521018667512"
"A little","2017","66 and older","9","","",""
"Not at all","2017","16-34 y.","1527","0.814054644833821","0.796514360246324","0.831594929421318"
"Not at all","2017","35-65 y.","507","0.525677704541679","0.494430574432682","0.556924834650676"
"Not at all","2017","66 and older","10","","",""
"Strong","2018","16-34 y.","248","0.0259126189862312","0.0224946850977619","0.0293305528747005"
"Strong","2018","35-65 y.","1488","0.0886692309128676","0.0843446433156923","0.092993818510043"
"Strong","2018","66 and older","1251","0.271317485589265","0.259102378865014","0.283532592313517"
"A little","2018","16-34 y.","1418","0.161388390605461","0.15347385157128","0.169302929639642"
"A little","2018","35-65 y.","5147","0.326448770165351","0.319315099659312","0.333582440671391"
"A little","2018","66 and older","2182","0.431595343595195","0.417988531461302","0.445202155729088"
"Not at all","2018","16-34 y.","6634","0.812698990408308","0.804305473606617","0.821092507209998"
"Not at all","2018","35-65 y.","9963","0.584881998921781","0.5773858169315","0.592378180912062"
"Not at all","2018","66 and older","1657","0.297087170815539","0.284533177768458","0.30964116386262"
"Strong","2019","16-34 y.","12","","",""
"Strong","2019","35-65 y.","24","","",""
"Strong","2019","66 and older","3","","",""
"A little","2019","16-34 y.","21","","",""
"A little","2019","35-65 y.","36","0.313676341276541","0.232980417536732","0.394372265016349"
"A little","2019","66 and older","1","","",""
"Not at all","2019","16-34 y.","113","0.729598132763841","0.657550724421317","0.801645541106365"
"Not at all","2019","35-65 y.","67","0.504934937269131","0.417979832924132","0.591890041614131"
"Not at all","2019","66 and older","2","","",""
