"year","pgisced97","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2013","middle vocational","Rural Area","4.48","4.33","3698","3","3.67","5.33","6","7","4.44","4.52","1","7","4.33333349227905","4.66666650772095"
"2013","middle vocational","Urban Area","4.5","4.67","5729","3","3.67","5.33","6","7","4.47","4.53","1","7","4.33333349227905","4.66666650772095"
"2013","vocational + Abi","Rural Area","4.68","4.67","298","3.33","4","5.33","6","7","4.55","4.81","1","7","4.33333349227905","4.66666650772095"
"2013","vocational + Abi","Urban Area","4.79","5","802","3","4","5.67","6.33","7","4.71","4.87","1","7","4.66666650772095","5"
"2014","general elemantary","Rural Area","","","","","","","","","","","","","",""
"2014","general elemantary","Urban Area","","","","","","","","","","","","","",""
"2014","higher education","Rural Area","","","","","","","","","","","","","",""
"2014","higher education","Urban Area","","","","","","","","","","","","","",""
"2014","higher vocational","Rural Area","","","","","","","","","","","","","",""
"2014","higher vocational","Urban Area","","","","","","","","","","","","","",""
"2014","in school","Rural Area","","","","","","","","","","","","","",""
"2014","in school","Urban Area","","","","","","","","","","","","","",""
"2014","inadequately","Rural Area","","","","","","","","","","","","","",""
"2014","inadequately","Urban Area","","","","","","","","","","","","","",""
"2014","middle vocational","Rural Area","","","","","","","","","","","","","",""
"2014","middle vocational","Urban Area","","","","","","","","","","","","","",""
"2014","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"2014","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"2015","general elemantary","Rural Area","","","","","","","","","","","","","",""
"2015","general elemantary","Urban Area","","","","","","","","","","","","","",""
"2015","higher education","Rural Area","","","","","","","","","","","","","",""
"2015","higher education","Urban Area","","","","","","","","","","","","","",""
"2015","higher vocational","Rural Area","","","","","","","","","","","","","",""
"2015","higher vocational","Urban Area","","","","","","","","","","","","","",""
"2015","in school","Rural Area","","","","","","","","","","","","","",""
"2015","in school","Urban Area","","","","","","","","","","","","","",""
"2015","inadequately","Rural Area","","","","","","","","","","","","","",""
"2015","inadequately","Urban Area","","","","","","","","","","","","","",""
"2015","middle vocational","Rural Area","","","","","","","","","","","","","",""
"2015","middle vocational","Urban Area","","","","","","","","","","","","","",""
"2015","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"2015","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"2016","general elemantary","Rural Area","","","","","","","","","","","","","",""
"2016","general elemantary","Urban Area","","","","","","","","","","","","","",""
"2016","higher education","Rural Area","","","","","","","","","","","","","",""
"2016","higher education","Urban Area","","","","","","","","","","","","","",""
"2016","higher vocational","Rural Area","","","","","","","","","","","","","",""
"2016","higher vocational","Urban Area","","","","","","","","","","","","","",""
"2016","in school","Rural Area","","","","","","","","","","","","","",""
"2016","in school","Urban Area","","","","","","","","","","","","","",""
"2016","inadequately","Rural Area","","","","","","","","","","","","","",""
"2016","inadequately","Urban Area","","","","","","","","","","","","","",""
"2016","middle vocational","Rural Area","","","","","","","","","","","","","",""
"2016","middle vocational","Urban Area","","","","","","","","","","","","","",""
"2016","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"2016","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"2017","general elemantary","Rural Area","4.29","4.33","1163","2.67","3.33","5","6","7","4.21","4.37","1","7","4.66666650772095","4.66666650772095"
"2017","general elemantary","Urban Area","4.43","4.33","2125","2.67","3.67","5.33","6","7","4.37","4.49","1","7","4.66666650772095","4.66666650772095"
"2017","higher education","Rural Area","4.85","5","1972","3.33","4","5.67","6.33","7","4.8","4.9","1","7","5","5"
"2017","higher education","Urban Area","4.91","5","5048","3.33","4","5.67","6.33","7","4.88","4.94","1","7","5","5"
"2017","higher vocational","Rural Area","4.62","4.67","640","3","3.67","5.67","6","7","4.53","4.71","1.67","7","4.66666650772095","4.66666650772095"
"2017","higher vocational","Urban Area","4.73","4.67","904","3.33","4","5.67","6","7","4.66","4.8","1","7","4.66666650772095","5"
"2017","in school","Rural Area","4.68","4.67","119","3.67","4","5.33","6","6.5","4.5","4.86","2","7","4.33333349227905","5"
"2017","in school","Urban Area","4.88","5","294","3.33","4","5.67","6.33","7","4.75","5.01","1.67","7","4.66666650772095","5"
"2017","inadequately","Rural Area","4.46","4.5","436","2.33","4","5.33","6.33","7","4.33","4.59","1","7","5","5.66666650772095"
"2017","inadequately","Urban Area","4.55","4.67","929","3","3.67","5.33","6.33","7","4.46","4.64","1","7","5","5.33333349227905"
"2017","middle vocational","Rural Area","4.55","4.67","4989","3","3.67","5.33","6","7","4.52","4.58","1","7","4.66666650772095","4.66666650772095"
"2017","middle vocational","Urban Area","4.56","4.67","7586","3","3.67","5.33","6","7","4.53","4.59","1","7","4.66666650772095","4.66666650772095"
"2017","vocational + Abi","Rural Area","4.65","4.67","638","3.33","4","5.33","6","7","4.56","4.74","1.33","7","4.66666650772095","4.66666650772095"
"2017","vocational + Abi","Urban Area","4.73","4.67","1651","3","4","5.67","6.33","7","4.67","4.79","1","7","4.66666650772095","5"
"2018","general elemantary","Rural Area","","","","","","","","","","","","","",""
"2018","general elemantary","Urban Area","","","","","","","","","","","","","",""
"2018","higher education","Rural Area","","","","","","","","","","","","","",""
"2018","higher education","Urban Area","","","","","","","","","","","","","",""
"2018","higher vocational","Rural Area","","","","","","","","","","","","","",""
"2018","higher vocational","Urban Area","","","","","","","","","","","","","",""
"2018","in school","Rural Area","","","","","","","","","","","","","",""
"2018","in school","Urban Area","","","","","","","","","","","","","",""
"2018","inadequately","Rural Area","","","","","","","","","","","","","",""
"2018","inadequately","Urban Area","","","","","","","","","","","","","",""
"2018","middle vocational","Rural Area","","","","","","","","","","","","","",""
"2018","middle vocational","Urban Area","","","","","","","","","","","","","",""
"2018","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"2018","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"2019","general elemantary","Rural Area","4.17","4","908","2.5","3.33","5","5.67","7","4.09","4.25","1","7","4.33333349227905","4.33333349227905"
"2019","general elemantary","Urban Area","4.18","4.33","1405","2.67","3.33","5","5.67","7","4.11","4.25","1","7","4.33333349227905","4.33333349227905"
"2019","higher education","Rural Area","4.62","4.67","1907","3","3.67","5.33","6","7","4.57","4.67","1","7","4.66666650772095","5"
"2019","higher education","Urban Area","4.81","5","4486","3.33","4","5.67","6.33","7","4.78","4.84","1","7","5","5"
"2019","higher vocational","Rural Area","4.43","4.33","693","2.67","3.67","5.33","6","7","4.34","4.52","1.33","7","4.33333349227905","4.66666650772095"
"2019","higher vocational","Urban Area","4.58","4.67","909","3.33","3.67","5.33","6","7","4.5","4.66","1","7","4.66666650772095","5"
"2019","in school","Rural Area","4.71","4.33","85","3.33","4","5.33","6.67","6.67","4.49","4.93","1","7","4.66666650772095","5"
"2019","in school","Urban Area","5.09","5","234","3.67","4.33","6","6.67","7","4.93","5.25","1","7","4.66666650772095","5"
"2019","inadequately","Rural Area","4.09","4","110","2","3","5.33","6","7","3.81","4.37","1","7","3.66666674613953","4.33333349227905"
"2019","inadequately","Urban Area","4.31","4.33","260","2.67","3.67","5","6","7","4.15","4.47","1","7","4","4.33333349227905"
"2019","middle vocational","Rural Area","4.41","4.33","4318","3","3.67","5.33","6","7","4.37","4.45","1","7","4.33333349227905","4.33333349227905"
"2019","middle vocational","Urban Area","4.43","4.33","6235","3","3.67","5.33","6","7","4.4","4.46","1","7","4.33333349227905","4.66666650772095"
"2019","vocational + Abi","Rural Area","4.51","4.67","598","3","4","5.33","6","6.67","4.42","4.6","1","7","4.33333349227905","4.66666650772095"
"2019","vocational + Abi","Urban Area","4.63","4.67","1438","3","4","5.33","6","7","4.57","4.69","1","7","4.66666650772095","4.66666650772095"
