"pli0097_h","year","age_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"Daily","1995","16-34 y.","Schleswig-Holstein","","","",""
"Daily","1995","16-34 y.","Hamburg","","","",""
"Daily","1995","16-34 y.","Lower Saxony","","","",""
"Daily","1995","16-34 y.","Bremen","","","",""
"Daily","1995","16-34 y.","North Rhine-Westphalia","","","",""
"Daily","1995","16-34 y.","Hesse","","","",""
"Daily","1995","16-34 y.","Rhineland-Palatinate,Saarland","","","",""
"Daily","1995","16-34 y.","Baden-Württemberg","3","","",""
"Daily","1995","16-34 y.","Bavaria","1","","",""
"Daily","1995","16-34 y.","Berlin","","","",""
"Daily","1995","16-34 y.","Brandenburg","","","",""
"Daily","1995","16-34 y.","Mecklenburg-Western Pomerania","","","",""
"Daily","1995","16-34 y.","Saxony","","","",""
"Daily","1995","16-34 y.","Saxony-Anhalt","","","",""
"Daily","1995","16-34 y.","Thuringia","","","",""
"Daily","1995","35-65 y.","Schleswig-Holstein","1","","",""
"Daily","1995","35-65 y.","Hamburg","","","",""
"Daily","1995","35-65 y.","Lower Saxony","3","","",""
"Daily","1995","35-65 y.","Bremen","1","","",""
"Daily","1995","35-65 y.","North Rhine-Westphalia","4","","",""
"Daily","1995","35-65 y.","Hesse","1","","",""
"Daily","1995","35-65 y.","Rhineland-Palatinate,Saarland","1","","",""
"Daily","1995","35-65 y.","Baden-Württemberg","1","","",""
"Daily","1995","35-65 y.","Bavaria","2","","",""
"Daily","1995","35-65 y.","Berlin","","","",""
"Daily","1995","35-65 y.","Brandenburg","1","","",""
"Daily","1995","35-65 y.","Mecklenburg-Western Pomerania","","","",""
"Daily","1995","35-65 y.","Saxony","3","","",""
"Daily","1995","35-65 y.","Saxony-Anhalt","1","","",""
"Daily","1995","35-65 y.","Thuringia","2","","",""
"Daily","1995","66 and older","Schleswig-Holstein","","","",""
"Daily","1995","66 and older","Hamburg","","","",""
"Daily","1995","66 and older","Lower Saxony","","","",""
"Daily","1995","66 and older","Bremen","","","",""
"Daily","1995","66 and older","North Rhine-Westphalia","","","",""
"Daily","1995","66 and older","Hesse","","","",""
"Daily","1995","66 and older","Rhineland-Palatinate,Saarland","","","",""
"Daily","1995","66 and older","Baden-Württemberg","","","",""
"Daily","1995","66 and older","Bavaria","1","","",""
"Daily","1995","66 and older","Berlin","","","",""
"Daily","1995","66 and older","Brandenburg","","","",""
"Daily","1995","66 and older","Mecklenburg-Western Pomerania","1","","",""
"Daily","1995","66 and older","Saxony","","","",""
"Daily","1995","66 and older","Saxony-Anhalt","","","",""
"Daily","1995","66 and older","Thuringia","","","",""
"Min 1x per week","1995","16-34 y.","Schleswig-Holstein","2","","",""
"Min 1x per week","1995","16-34 y.","Hamburg","","","",""
"Min 1x per week","1995","16-34 y.","Lower Saxony","3","","",""
"Min 1x per week","1995","16-34 y.","Bremen","","","",""
"Min 1x per week","1995","16-34 y.","North Rhine-Westphalia","4","","",""
"Min 1x per week","1995","16-34 y.","Hesse","2","","",""
"Min 1x per week","1995","16-34 y.","Rhineland-Palatinate,Saarland","2","","",""
"Min 1x per week","1995","16-34 y.","Baden-Württemberg","","","",""
"Min 1x per week","1995","16-34 y.","Bavaria","6","","",""
"Min 1x per week","1995","16-34 y.","Berlin","3","","",""
"Min 1x per week","1995","16-34 y.","Brandenburg","1","","",""
"Min 1x per week","1995","16-34 y.","Mecklenburg-Western Pomerania","","","",""
"Min 1x per week","1995","16-34 y.","Saxony","1","","",""
"Min 1x per week","1995","16-34 y.","Saxony-Anhalt","1","","",""
"Min 1x per week","1995","16-34 y.","Thuringia","1","","",""
"Min 1x per week","1995","35-65 y.","Schleswig-Holstein","","","",""
"Min 1x per week","1995","35-65 y.","Hamburg","","","",""
"Min 1x per week","1995","35-65 y.","Lower Saxony","10","","",""
"Min 1x per week","1995","35-65 y.","Bremen","1","","",""
"Min 1x per week","1995","35-65 y.","North Rhine-Westphalia","16","","",""
"Min 1x per week","1995","35-65 y.","Hesse","8","","",""
"Min 1x per week","1995","35-65 y.","Rhineland-Palatinate,Saarland","8","","",""
"Min 1x per week","1995","35-65 y.","Baden-Württemberg","5","","",""
"Min 1x per week","1995","35-65 y.","Bavaria","8","","",""
"Min 1x per week","1995","35-65 y.","Berlin","6","","",""
"Min 1x per week","1995","35-65 y.","Brandenburg","6","","",""
"Min 1x per week","1995","35-65 y.","Mecklenburg-Western Pomerania","6","","",""
"Min 1x per week","1995","35-65 y.","Saxony","5","","",""
"Min 1x per week","1995","35-65 y.","Saxony-Anhalt","7","","",""
"Min 1x per week","1995","35-65 y.","Thuringia","2","","",""
"Min 1x per week","1995","66 and older","Schleswig-Holstein","","","",""
"Min 1x per week","1995","66 and older","Hamburg","","","",""
"Min 1x per week","1995","66 and older","Lower Saxony","","","",""
"Min 1x per week","1995","66 and older","Bremen","","","",""
"Min 1x per week","1995","66 and older","North Rhine-Westphalia","2","","",""
"Min 1x per week","1995","66 and older","Hesse","","","",""
"Min 1x per week","1995","66 and older","Rhineland-Palatinate,Saarland","","","",""
"Min 1x per week","1995","66 and older","Baden-Württemberg","1","","",""
"Min 1x per week","1995","66 and older","Bavaria","2","","",""
"Min 1x per week","1995","66 and older","Berlin","","","",""
"Min 1x per week","1995","66 and older","Brandenburg","","","",""
"Min 1x per week","1995","66 and older","Mecklenburg-Western Pomerania","1","","",""
"Min 1x per week","1995","66 and older","Saxony","3","","",""
"Min 1x per week","1995","66 and older","Saxony-Anhalt","","","",""
"Min 1x per week","1995","66 and older","Thuringia","","","",""
"Min 1x per month","1995","16-34 y.","Schleswig-Holstein","","","",""
"Min 1x per month","1995","16-34 y.","Hamburg","","","",""
"Min 1x per month","1995","16-34 y.","Lower Saxony","3","","",""
"Min 1x per month","1995","16-34 y.","Bremen","2","","",""
"Min 1x per month","1995","16-34 y.","North Rhine-Westphalia","11","","",""
"Min 1x per month","1995","16-34 y.","Hesse","6","","",""
"Min 1x per month","1995","16-34 y.","Rhineland-Palatinate,Saarland","1","","",""
"Min 1x per month","1995","16-34 y.","Baden-Württemberg","5","","",""
"Min 1x per month","1995","16-34 y.","Bavaria","6","","",""
"Min 1x per month","1995","16-34 y.","Berlin","3","","",""
"Min 1x per month","1995","16-34 y.","Brandenburg","2","","",""
"Min 1x per month","1995","16-34 y.","Mecklenburg-Western Pomerania","1","","",""
"Min 1x per month","1995","16-34 y.","Saxony","2","","",""
"Min 1x per month","1995","16-34 y.","Saxony-Anhalt","2","","",""
"Min 1x per month","1995","16-34 y.","Thuringia","3","","",""
"Min 1x per month","1995","35-65 y.","Schleswig-Holstein","4","","",""
"Min 1x per month","1995","35-65 y.","Hamburg","1","","",""
"Min 1x per month","1995","35-65 y.","Lower Saxony","12","","",""
"Min 1x per month","1995","35-65 y.","Bremen","1","","",""
"Min 1x per month","1995","35-65 y.","North Rhine-Westphalia","22","","",""
"Min 1x per month","1995","35-65 y.","Hesse","5","","",""
"Min 1x per month","1995","35-65 y.","Rhineland-Palatinate,Saarland","10","","",""
"Min 1x per month","1995","35-65 y.","Baden-Württemberg","12","","",""
"Min 1x per month","1995","35-65 y.","Bavaria","21","","",""
"Min 1x per month","1995","35-65 y.","Berlin","9","","",""
"Min 1x per month","1995","35-65 y.","Brandenburg","13","","",""
"Min 1x per month","1995","35-65 y.","Mecklenburg-Western Pomerania","10","","",""
"Min 1x per month","1995","35-65 y.","Saxony","17","","",""
"Min 1x per month","1995","35-65 y.","Saxony-Anhalt","9","","",""
"Min 1x per month","1995","35-65 y.","Thuringia","11","","",""
"Min 1x per month","1995","66 and older","Schleswig-Holstein","2","","",""
"Min 1x per month","1995","66 and older","Hamburg","","","",""
"Min 1x per month","1995","66 and older","Lower Saxony","2","","",""
"Min 1x per month","1995","66 and older","Bremen","1","","",""
"Min 1x per month","1995","66 and older","North Rhine-Westphalia","6","","",""
"Min 1x per month","1995","66 and older","Hesse","2","","",""
"Min 1x per month","1995","66 and older","Rhineland-Palatinate,Saarland","2","","",""
"Min 1x per month","1995","66 and older","Baden-Württemberg","7","","",""
"Min 1x per month","1995","66 and older","Bavaria","2","","",""
"Min 1x per month","1995","66 and older","Berlin","3","","",""
"Min 1x per month","1995","66 and older","Brandenburg","2","","",""
"Min 1x per month","1995","66 and older","Mecklenburg-Western Pomerania","3","","",""
"Min 1x per month","1995","66 and older","Saxony","2","","",""
"Min 1x per month","1995","66 and older","Saxony-Anhalt","3","","",""
"Min 1x per month","1995","66 and older","Thuringia","","","",""
"Rarely","1995","16-34 y.","Schleswig-Holstein","4","","",""
"Rarely","1995","16-34 y.","Hamburg","3","","",""
"Rarely","1995","16-34 y.","Lower Saxony","24","","",""
"Rarely","1995","16-34 y.","Bremen","","","",""
"Rarely","1995","16-34 y.","North Rhine-Westphalia","70","0.0788339366790209","0.0619015864499503","0.0957662869080916"
"Rarely","1995","16-34 y.","Hesse","25","","",""
"Rarely","1995","16-34 y.","Rhineland-Palatinate,Saarland","20","","",""
"Rarely","1995","16-34 y.","Baden-Württemberg","37","0.0544883754824551","0.0382763988442594","0.0707003521206509"
"Rarely","1995","16-34 y.","Bavaria","70","0.0958936271015601","0.0740028929451795","0.117784361257941"
"Rarely","1995","16-34 y.","Berlin","7","","",""
"Rarely","1995","16-34 y.","Brandenburg","17","","",""
"Rarely","1995","16-34 y.","Mecklenburg-Western Pomerania","8","","",""
"Rarely","1995","16-34 y.","Saxony","29","","",""
"Rarely","1995","16-34 y.","Saxony-Anhalt","19","","",""
"Rarely","1995","16-34 y.","Thuringia","11","","",""
"Rarely","1995","35-65 y.","Schleswig-Holstein","18","","",""
"Rarely","1995","35-65 y.","Hamburg","6","","",""
"Rarely","1995","35-65 y.","Lower Saxony","50","0.122805008082746","0.0944032306863195","0.151206785479173"
"Rarely","1995","35-65 y.","Bremen","3","","",""
"Rarely","1995","35-65 y.","North Rhine-Westphalia","114","0.089275774023189","0.0739858573461824","0.104565690700196"
"Rarely","1995","35-65 y.","Hesse","43","0.122608280546713","0.0938881840515166","0.15132837704191"
"Rarely","1995","35-65 y.","Rhineland-Palatinate,Saarland","41","0.132678036135998","0.0965137888332443","0.168842283438751"
"Rarely","1995","35-65 y.","Baden-Württemberg","61","0.0980354805205074","0.0780801032241589","0.117990857816856"
"Rarely","1995","35-65 y.","Bavaria","71","0.102146432386922","0.0811083614613751","0.123184503312469"
"Rarely","1995","35-65 y.","Berlin","22","","",""
"Rarely","1995","35-65 y.","Brandenburg","28","","",""
"Rarely","1995","35-65 y.","Mecklenburg-Western Pomerania","20","","",""
"Rarely","1995","35-65 y.","Saxony","44","0.0726296446330622","0.0518980165347285","0.093361272731396"
"Rarely","1995","35-65 y.","Saxony-Anhalt","45","0.0982376237452127","0.0684684035113791","0.128006843979046"
"Rarely","1995","35-65 y.","Thuringia","33","0.0744199326391771","0.0468848102921228","0.101955054986231"
"Rarely","1995","66 and older","Schleswig-Holstein","2","","",""
"Rarely","1995","66 and older","Hamburg","","","",""
"Rarely","1995","66 and older","Lower Saxony","6","","",""
"Rarely","1995","66 and older","Bremen","","","",""
"Rarely","1995","66 and older","North Rhine-Westphalia","15","","",""
"Rarely","1995","66 and older","Hesse","7","","",""
"Rarely","1995","66 and older","Rhineland-Palatinate,Saarland","4","","",""
"Rarely","1995","66 and older","Baden-Württemberg","12","","",""
"Rarely","1995","66 and older","Bavaria","13","","",""
"Rarely","1995","66 and older","Berlin","2","","",""
"Rarely","1995","66 and older","Brandenburg","3","","",""
"Rarely","1995","66 and older","Mecklenburg-Western Pomerania","","","",""
"Rarely","1995","66 and older","Saxony","9","","",""
"Rarely","1995","66 and older","Saxony-Anhalt","3","","",""
"Rarely","1995","66 and older","Thuringia","1","","",""
"Never","1995","16-34 y.","Schleswig-Holstein","101","0.914235986830211","0.861179571315654","0.967292402344769"
"Never","1995","16-34 y.","Hamburg","38","0.848439478175722","0.738675549559299","0.958203406792144"
"Never","1995","16-34 y.","Lower Saxony","379","0.892101755618402","0.862034013056147","0.922169498180657"
"Never","1995","16-34 y.","Bremen","31","0.923313143632126","0.832525635187364","1.01410065207689"
"Never","1995","16-34 y.","North Rhine-Westphalia","888","0.911276631801715","0.893410283428434","0.929142980174996"
"Never","1995","16-34 y.","Hesse","298","0.871835802410668","0.835824833608377","0.90784677121296"
"Never","1995","16-34 y.","Rhineland-Palatinate,Saarland","243","0.895465153759366","0.85869781807083","0.932232489447901"
"Never","1995","16-34 y.","Baden-Württemberg","708","0.937615454033828","0.920341112944127","0.954889795123529"
"Never","1995","16-34 y.","Bavaria","612","0.888381977883939","0.864970829381199","0.911793126386679"
"Never","1995","16-34 y.","Berlin","179","0.921542187579014","0.883508083993096","0.959576291164933"
"Never","1995","16-34 y.","Brandenburg","165","0.865454065644734","0.816281878306886","0.914626252982582"
"Never","1995","16-34 y.","Mecklenburg-Western Pomerania","134","0.94000208183896","0.901078520397353","0.978925643280568"
"Never","1995","16-34 y.","Saxony","330","0.898145957949141","0.866988903024638","0.929303012873643"
"Never","1995","16-34 y.","Saxony-Anhalt","203","0.905237470161813","0.866967650449399","0.943507289874227"
"Never","1995","16-34 y.","Thuringia","209","0.942064214385553","0.911470107088507","0.972658321682599"
"Never","1995","35-65 y.","Schleswig-Holstein","116","0.778599348915847","0.709577409868718","0.847621287962976"
"Never","1995","35-65 y.","Hamburg","54","0.880077733577865","0.79855220862029","0.96160325853544"
"Never","1995","35-65 y.","Lower Saxony","438","0.836180368777449","0.804152918613463","0.868207818941434"
"Never","1995","35-65 y.","Bremen","31","0.807618174771938","0.680609819721443","0.934626529822433"
"Never","1995","35-65 y.","North Rhine-Westphalia","1180","0.876782547777391","0.859157637184848","0.894407458369934"
"Never","1995","35-65 y.","Hesse","444","0.840673016551799","0.808626011495995","0.872720021607604"
"Never","1995","35-65 y.","Rhineland-Palatinate,Saarland","278","0.815261071513573","0.773888043835114","0.856634099192031"
"Never","1995","35-65 y.","Baden-Württemberg","774","0.87251935242541","0.850138159024528","0.894900545826292"
"Never","1995","35-65 y.","Bavaria","694","0.856618261241457","0.832272007574628","0.880964514908286"
"Never","1995","35-65 y.","Berlin","273","0.87742423258174","0.8409173821241","0.91393108303938"
"Never","1995","35-65 y.","Brandenburg","289","0.850489866968724","0.81241810063005","0.888561633307398"
"Never","1995","35-65 y.","Mecklenburg-Western Pomerania","205","0.863265705124319","0.819889601130456","0.906641809118182"
"Never","1995","35-65 y.","Saxony","533","0.885329904500906","0.859877577192609","0.910782231809203"
"Never","1995","35-65 y.","Saxony-Anhalt","322","0.865022220270018","0.830845746561938","0.899198693978098"
"Never","1995","35-65 y.","Thuringia","301","0.891099124338609","0.858416714486861","0.923781534190358"
"Never","1995","66 and older","Schleswig-Holstein","30","0.832700625858702","0.707242083844929","0.958159167872475"
"Never","1995","66 and older","Hamburg","28","","",""
"Never","1995","66 and older","Lower Saxony","112","0.929926576107249","0.88425368884562","0.975599463368878"
"Never","1995","66 and older","Bremen","25","","",""
"Never","1995","66 and older","North Rhine-Westphalia","250","0.909627012703776","0.875616141161813","0.943637884245739"
"Never","1995","66 and older","Hesse","107","0.904415862002952","0.85091064920446","0.957921074801444"
"Never","1995","66 and older","Rhineland-Palatinate,Saarland","97","0.939406775833671","0.893331456504524","0.985482095162818"
"Never","1995","66 and older","Baden-Württemberg","174","0.890009985424316","0.845982762211818","0.934037208636813"
"Never","1995","66 and older","Bavaria","175","0.902047727428926","0.860111297779287","0.943984157078565"
"Never","1995","66 and older","Berlin","57","0.949621645823869","0.89517770708433","1.00406558456341"
"Never","1995","66 and older","Brandenburg","60","0.9376830147898","0.878917485149822","0.996448544429778"
"Never","1995","66 and older","Mecklenburg-Western Pomerania","27","","",""
"Never","1995","66 and older","Saxony","115","0.928296952726027","0.883775891817378","0.972818013634677"
"Never","1995","66 and older","Saxony-Anhalt","74","0.917384093755002","0.857057259450845","0.977710928059159"
"Never","1995","66 and older","Thuringia","74","0.985427760369542","0.95830755288746","1.01254796785162"
"Daily","1996","16-34 y.","Schleswig-Holstein","","","",""
"Daily","1996","16-34 y.","Hamburg","","","",""
"Daily","1996","16-34 y.","Lower Saxony","","","",""
"Daily","1996","16-34 y.","Bremen","","","",""
"Daily","1996","16-34 y.","North Rhine-Westphalia","","","",""
"Daily","1996","16-34 y.","Hesse","","","",""
"Daily","1996","16-34 y.","Rhineland-Palatinate,Saarland","","","",""
"Daily","1996","16-34 y.","Baden-Württemberg","","","",""
"Daily","1996","16-34 y.","Bavaria","","","",""
"Daily","1996","16-34 y.","Berlin","","","",""
"Daily","1996","16-34 y.","Brandenburg","","","",""
"Daily","1996","16-34 y.","Mecklenburg-Western Pomerania","","","",""
"Daily","1996","16-34 y.","Saxony","","","",""
"Daily","1996","16-34 y.","Saxony-Anhalt","","","",""
"Daily","1996","16-34 y.","Thuringia","","","",""
"Daily","1996","35-65 y.","Schleswig-Holstein","","","",""
"Daily","1996","35-65 y.","Hamburg","","","",""
"Daily","1996","35-65 y.","Lower Saxony","","","",""
"Daily","1996","35-65 y.","Bremen","","","",""
"Daily","1996","35-65 y.","North Rhine-Westphalia","","","",""
"Daily","1996","35-65 y.","Hesse","","","",""
"Daily","1996","35-65 y.","Rhineland-Palatinate,Saarland","","","",""
"Daily","1996","35-65 y.","Baden-Württemberg","","","",""
"Daily","1996","35-65 y.","Bavaria","","","",""
"Daily","1996","35-65 y.","Berlin","","","",""
"Daily","1996","35-65 y.","Brandenburg","","","",""
"Daily","1996","35-65 y.","Mecklenburg-Western Pomerania","","","",""
"Daily","1996","35-65 y.","Saxony","","","",""
"Daily","1996","35-65 y.","Saxony-Anhalt","","","",""
"Daily","1996","35-65 y.","Thuringia","","","",""
"Daily","1996","66 and older","Schleswig-Holstein","","","",""
"Daily","1996","66 and older","Hamburg","","","",""
"Daily","1996","66 and older","Lower Saxony","","","",""
"Daily","1996","66 and older","Bremen","","","",""
"Daily","1996","66 and older","North Rhine-Westphalia","","","",""
"Daily","1996","66 and older","Hesse","","","",""
"Daily","1996","66 and older","Rhineland-Palatinate,Saarland","","","",""
"Daily","1996","66 and older","Baden-Württemberg","","","",""
"Daily","1996","66 and older","Bavaria","","","",""
"Daily","1996","66 and older","Berlin","","","",""
"Daily","1996","66 and older","Brandenburg","","","",""
"Daily","1996","66 and older","Mecklenburg-Western Pomerania","","","",""
"Daily","1996","66 and older","Saxony","","","",""
"Daily","1996","66 and older","Saxony-Anhalt","","","",""
"Daily","1996","66 and older","Thuringia","","","",""
"Min 1x per week","1996","16-34 y.","Schleswig-Holstein","1","","",""
"Min 1x per week","1996","16-34 y.","Hamburg","","","",""
"Min 1x per week","1996","16-34 y.","Lower Saxony","","","",""
"Min 1x per week","1996","16-34 y.","Bremen","","","",""
"Min 1x per week","1996","16-34 y.","North Rhine-Westphalia","5","","",""
"Min 1x per week","1996","16-34 y.","Hesse","","","",""
"Min 1x per week","1996","16-34 y.","Rhineland-Palatinate,Saarland","","","",""
"Min 1x per week","1996","16-34 y.","Baden-Württemberg","1","","",""
"Min 1x per week","1996","16-34 y.","Bavaria","3","","",""
"Min 1x per week","1996","16-34 y.","Berlin","","","",""
"Min 1x per week","1996","16-34 y.","Brandenburg","","","",""
"Min 1x per week","1996","16-34 y.","Mecklenburg-Western Pomerania","","","",""
"Min 1x per week","1996","16-34 y.","Saxony","1","","",""
"Min 1x per week","1996","16-34 y.","Saxony-Anhalt","","","",""
"Min 1x per week","1996","16-34 y.","Thuringia","","","",""
"Min 1x per week","1996","35-65 y.","Schleswig-Holstein","1","","",""
"Min 1x per week","1996","35-65 y.","Hamburg","","","",""
"Min 1x per week","1996","35-65 y.","Lower Saxony","12","","",""
"Min 1x per week","1996","35-65 y.","Bremen","3","","",""
"Min 1x per week","1996","35-65 y.","North Rhine-Westphalia","12","","",""
"Min 1x per week","1996","35-65 y.","Hesse","4","","",""
"Min 1x per week","1996","35-65 y.","Rhineland-Palatinate,Saarland","7","","",""
"Min 1x per week","1996","35-65 y.","Baden-Württemberg","5","","",""
"Min 1x per week","1996","35-65 y.","Bavaria","12","","",""
"Min 1x per week","1996","35-65 y.","Berlin","3","","",""
"Min 1x per week","1996","35-65 y.","Brandenburg","6","","",""
"Min 1x per week","1996","35-65 y.","Mecklenburg-Western Pomerania","3","","",""
"Min 1x per week","1996","35-65 y.","Saxony","7","","",""
"Min 1x per week","1996","35-65 y.","Saxony-Anhalt","6","","",""
"Min 1x per week","1996","35-65 y.","Thuringia","3","","",""
"Min 1x per week","1996","66 and older","Schleswig-Holstein","","","",""
"Min 1x per week","1996","66 and older","Hamburg","","","",""
"Min 1x per week","1996","66 and older","Lower Saxony","","","",""
"Min 1x per week","1996","66 and older","Bremen","","","",""
"Min 1x per week","1996","66 and older","North Rhine-Westphalia","1","","",""
"Min 1x per week","1996","66 and older","Hesse","","","",""
"Min 1x per week","1996","66 and older","Rhineland-Palatinate,Saarland","","","",""
"Min 1x per week","1996","66 and older","Baden-Württemberg","1","","",""
"Min 1x per week","1996","66 and older","Bavaria","1","","",""
"Min 1x per week","1996","66 and older","Berlin","1","","",""
"Min 1x per week","1996","66 and older","Brandenburg","","","",""
"Min 1x per week","1996","66 and older","Mecklenburg-Western Pomerania","","","",""
"Min 1x per week","1996","66 and older","Saxony","3","","",""
"Min 1x per week","1996","66 and older","Saxony-Anhalt","1","","",""
"Min 1x per week","1996","66 and older","Thuringia","","","",""
"Min 1x per month","1996","16-34 y.","Schleswig-Holstein","","","",""
"Min 1x per month","1996","16-34 y.","Hamburg","1","","",""
"Min 1x per month","1996","16-34 y.","Lower Saxony","2","","",""
"Min 1x per month","1996","16-34 y.","Bremen","","","",""
"Min 1x per month","1996","16-34 y.","North Rhine-Westphalia","8","","",""
"Min 1x per month","1996","16-34 y.","Hesse","4","","",""
"Min 1x per month","1996","16-34 y.","Rhineland-Palatinate,Saarland","","","",""
"Min 1x per month","1996","16-34 y.","Baden-Württemberg","5","","",""
"Min 1x per month","1996","16-34 y.","Bavaria","8","","",""
"Min 1x per month","1996","16-34 y.","Berlin","2","","",""
"Min 1x per month","1996","16-34 y.","Brandenburg","2","","",""
"Min 1x per month","1996","16-34 y.","Mecklenburg-Western Pomerania","3","","",""
"Min 1x per month","1996","16-34 y.","Saxony","1","","",""
"Min 1x per month","1996","16-34 y.","Saxony-Anhalt","2","","",""
"Min 1x per month","1996","16-34 y.","Thuringia","3","","",""
"Min 1x per month","1996","35-65 y.","Schleswig-Holstein","2","","",""
"Min 1x per month","1996","35-65 y.","Hamburg","","","",""
"Min 1x per month","1996","35-65 y.","Lower Saxony","4","","",""
"Min 1x per month","1996","35-65 y.","Bremen","","","",""
"Min 1x per month","1996","35-65 y.","North Rhine-Westphalia","15","","",""
"Min 1x per month","1996","35-65 y.","Hesse","9","","",""
"Min 1x per month","1996","35-65 y.","Rhineland-Palatinate,Saarland","10","","",""
"Min 1x per month","1996","35-65 y.","Baden-Württemberg","11","","",""
"Min 1x per month","1996","35-65 y.","Bavaria","13","","",""
"Min 1x per month","1996","35-65 y.","Berlin","10","","",""
"Min 1x per month","1996","35-65 y.","Brandenburg","11","","",""
"Min 1x per month","1996","35-65 y.","Mecklenburg-Western Pomerania","5","","",""
"Min 1x per month","1996","35-65 y.","Saxony","13","","",""
"Min 1x per month","1996","35-65 y.","Saxony-Anhalt","5","","",""
"Min 1x per month","1996","35-65 y.","Thuringia","10","","",""
"Min 1x per month","1996","66 and older","Schleswig-Holstein","","","",""
"Min 1x per month","1996","66 and older","Hamburg","","","",""
"Min 1x per month","1996","66 and older","Lower Saxony","2","","",""
"Min 1x per month","1996","66 and older","Bremen","","","",""
"Min 1x per month","1996","66 and older","North Rhine-Westphalia","5","","",""
"Min 1x per month","1996","66 and older","Hesse","1","","",""
"Min 1x per month","1996","66 and older","Rhineland-Palatinate,Saarland","2","","",""
"Min 1x per month","1996","66 and older","Baden-Württemberg","5","","",""
"Min 1x per month","1996","66 and older","Bavaria","2","","",""
"Min 1x per month","1996","66 and older","Berlin","1","","",""
"Min 1x per month","1996","66 and older","Brandenburg","","","",""
"Min 1x per month","1996","66 and older","Mecklenburg-Western Pomerania","5","","",""
"Min 1x per month","1996","66 and older","Saxony","3","","",""
"Min 1x per month","1996","66 and older","Saxony-Anhalt","2","","",""
"Min 1x per month","1996","66 and older","Thuringia","","","",""
"Rarely","1996","16-34 y.","Schleswig-Holstein","8","","",""
"Rarely","1996","16-34 y.","Hamburg","4","","",""
"Rarely","1996","16-34 y.","Lower Saxony","26","","",""
"Rarely","1996","16-34 y.","Bremen","3","","",""
"Rarely","1996","16-34 y.","North Rhine-Westphalia","67","0.0972931239053463","0.0784180982406601","0.116168149570033"
"Rarely","1996","16-34 y.","Hesse","23","","",""
"Rarely","1996","16-34 y.","Rhineland-Palatinate,Saarland","17","","",""
"Rarely","1996","16-34 y.","Baden-Württemberg","48","0.0978226834859255","0.0756082388478155","0.120037128124036"
"Rarely","1996","16-34 y.","Bavaria","49","0.0824920915388395","0.0616915558298294","0.10329262724785"
"Rarely","1996","16-34 y.","Berlin","7","","",""
"Rarely","1996","16-34 y.","Brandenburg","8","","",""
"Rarely","1996","16-34 y.","Mecklenburg-Western Pomerania","10","","",""
"Rarely","1996","16-34 y.","Saxony","25","","",""
"Rarely","1996","16-34 y.","Saxony-Anhalt","15","","",""
"Rarely","1996","16-34 y.","Thuringia","8","","",""
"Rarely","1996","35-65 y.","Schleswig-Holstein","21","","",""
"Rarely","1996","35-65 y.","Hamburg","3","","",""
"Rarely","1996","35-65 y.","Lower Saxony","40","0.10683957243358","0.0800821720240201","0.133596972843139"
"Rarely","1996","35-65 y.","Bremen","3","","",""
"Rarely","1996","35-65 y.","North Rhine-Westphalia","116","0.099447263066972","0.0833761124438021","0.115518413690142"
"Rarely","1996","35-65 y.","Hesse","46","0.108970675269993","0.0810072916123156","0.13693405892767"
"Rarely","1996","35-65 y.","Rhineland-Palatinate,Saarland","26","","",""
"Rarely","1996","35-65 y.","Baden-Württemberg","71","0.110405587099929","0.0889683870112611","0.131842787188598"
"Rarely","1996","35-65 y.","Bavaria","76","0.12077507697756","0.0979939358408194","0.1435562181143"
"Rarely","1996","35-65 y.","Berlin","13","","",""
"Rarely","1996","35-65 y.","Brandenburg","26","","",""
"Rarely","1996","35-65 y.","Mecklenburg-Western Pomerania","23","","",""
"Rarely","1996","35-65 y.","Saxony","45","0.0632872598225489","0.043949738554304","0.0826247810907938"
"Rarely","1996","35-65 y.","Saxony-Anhalt","39","0.0791500525328672","0.0523217417941828","0.105978363271552"
"Rarely","1996","35-65 y.","Thuringia","32","0.0883178053357408","0.0587586288336644","0.117876981837817"
"Rarely","1996","66 and older","Schleswig-Holstein","4","","",""
"Rarely","1996","66 and older","Hamburg","","","",""
"Rarely","1996","66 and older","Lower Saxony","7","","",""
"Rarely","1996","66 and older","Bremen","","","",""
"Rarely","1996","66 and older","North Rhine-Westphalia","13","","",""
"Rarely","1996","66 and older","Hesse","8","","",""
"Rarely","1996","66 and older","Rhineland-Palatinate,Saarland","5","","",""
"Rarely","1996","66 and older","Baden-Württemberg","16","","",""
"Rarely","1996","66 and older","Bavaria","16","","",""
"Rarely","1996","66 and older","Berlin","3","","",""
"Rarely","1996","66 and older","Brandenburg","5","","",""
"Rarely","1996","66 and older","Mecklenburg-Western Pomerania","1","","",""
"Rarely","1996","66 and older","Saxony","6","","",""
"Rarely","1996","66 and older","Saxony-Anhalt","7","","",""
"Rarely","1996","66 and older","Thuringia","4","","",""
"Never","1996","16-34 y.","Schleswig-Holstein","100","0.945671559362349","0.903119691763286","0.988223426961411"
"Never","1996","16-34 y.","Hamburg","35","0.897509314811447","0.803519720308443","0.991498909314452"
"Never","1996","16-34 y.","Lower Saxony","385","0.902936810228441","0.87438530401584","0.931488316441041"
