"year","migback","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2014","no migration background","Female","2420.58","0","11151","0","0","3936","7332","19968","2324.08","2517.08","0","48919","2208","2208"
"2014","no migration background","Male","2481.52","0","9520","0","0","4380","7356","18680","2382.76","2580.28","0","48919","2208","2208"
"2015","direct migration background","Female","4557.12","2208","3240","0","0","6696","13366","31080","4302.87","4811.37","0","44416","4368","4416"
"2015","direct migration background","Male","4368.25","2208","2757","0","0","6480","12186","29160","4094.5","4642","0","44416","4056","4416"
"2015","indirect migration background","Female","5291.6","2934.08","973","0","0","7020","14020","28320","4876.56","5706.64","0","40895","4416","4416"
"2015","indirect migration background","Male","4982.47","2557.52","835","0","0","6696","12825","29616","4526.48","5438.46","0","41898","4416","4416"
"2015","no migration background","Female","2327.39","0","10631","0","0","3300","6960","19408","2231.74","2423.04","0","50691","2208","2208"
"2015","no migration background","Male","2387.73","0","9076","0","0","4008","7067","20141","2288.14","2487.32","0","57400","2160","2208"
"2016","direct migration background","Female","4688.85","2232","2690","0","0","6684","14104","28806","4401.61","4976.09","0","62220","4416","4440"
"2016","direct migration background","Male","4753.97","2232","2236","0","0","6696","14160","30540","4436.83","5071.11","0","62220","4416","4416"
"2016","indirect migration background","Female","5176.09","4081.44","919","0","0","6864","13560","26512","4719.91","5632.27","0","62220","4416","4608"
"2016","indirect migration background","Male","5225.39","4080","769","0","0","6840","12264","36856","4709.2","5741.58","0","41700","4440","4560"
"2016","no migration background","Female","2333.24","0","9898","0","0","3600","6960","19200","2232.35","2434.13","0","48009","2208","2208"
"2016","no migration background","Male","2457.28","0","8445","0","0","4320","7332","19392","2352.59","2561.97","0","43716","1968","2208"
"2017","direct migration background","Female","4850.63","2280","3406","0","0","6707","14360","30292","4512.08","5189.18","0","71880","4914","6300"
"2017","direct migration background","Male","5098.94","2304","3511","0","0","7084","14360","30570","4758.68","5439.2","0","71880","4908","6413"
"2017","indirect migration background","Female","4924.53","2304","987","0","0","6840","12605","35250","4443.57","5405.49","0","70544","4464","4560"
"2017","indirect migration background","Male","5385.73","3600","850","0","0","6912","13728","35250","4861.91","5909.55","0","49200","4512","4608"
"2017","no migration background","Female","2348.81","0","11062","0","0","3480","6984","20353","2253.36","2444.26","0","71887","2208","2256"
"2017","no migration background","Male","2391.38","0","9636","0","0","3764","7032","19788","2293.76","2489","0","46809","1580","2208"
"2018","direct migration background","Female","5127.69","2304","3840","0","0","7056","15415","32112","4747.87","5507.51","0","94800","6960","7378"
"2018","direct migration background","Male","5153.9","2304","4268","0","0","7056","14315","33516","4794.29","5513.51","0","135312","6786","7200"
"2018","indirect migration background","Female","4751.17","2328","989","0","0","6810","12000","26066","4331.41","5170.93","0","44301","4584","4656"
"2018","indirect migration background","Male","5268.52","2997.23","830","0","0","7020","13680","32304","4724.61","5812.43","0","55996","4560","4632"
"2018","no migration background","Female","2353.47","0","10677","0","0","3360","7008","19155","2252.79","2454.15","0","86400","2212","2280"
"2018","no migration background","Male","2389.62","0","9286","0","0","3792","7056","18948","2287.39","2491.85","0","86400","1153","2172"
"2019","direct migration background","Female","5291.95","2328","3428","0","0","7056","16878","36000","4902.08","5681.82","0","90144","7092","8400"
"2019","direct migration background","Male","5383.66","2328","3835","0","0","7200","16068","36000","5015.18","5752.14","0","69540","7056","7848"
"2019","indirect migration background","Female","4989.52","2400","944","0","0","7032","13464","28563","4531.28","5447.76","0","50400","4524","4656"
"2019","indirect migration background","Male","5749.42","3600","837","0","0","7176","15334","44832","5193.86","6304.98","0","54588","3600","4656"
"2019","no migration background","Female","2439.59","0","10648","0","0","3684","7056","20930","2344.98","2534.2","0","54588","2036","2280"
"2019","no migration background","Male","2447.03","0","9966","0","0","3800","7062","20340","2354.16","2539.9","0","51516","0","1164"
