"year","e11102","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2008","Employed","direct migration background","4142.69","2857","1111","0","0","6048","11020","23784","3849.95","4435.43","0","29971","2848","3696"
"2008","Employed","indirect migration background","4038.76","1848","566","0","0","5472","10202","27885","3565.29","4512.23","0","31954","1848","3120"
"2008","Employed","no migration background","2638.43","1800","10252","0","0","3696","6960","16625","2565.79","2711.07","0","40200","1848","1848"
"2008","Not Employed","direct migration background","4603.93","1800","809","0","0","7786","13680","29736","4145.42","5062.44","0","31954","0","1848"
"2008","Not Employed","indirect migration background","6859.11","4790.15","264","0","1848","9144","15224","29896","6052.87","7665.35","0","31954","3696","5544"
"2008","Not Employed","no migration background","2211.87","0","6684","0","0","2556","7692","20712","2103.57","2320.17","0","40200","0","0"
"2009","Employed","direct migration background","3920.92","2322.92","983","0","0","5544","9356","22748","3614.35","4227.49","0","37875","2813","3696"
"2009","Employed","indirect migration background","3666.11","1872","521","0","0","5100","9020","21552","3212.86","4119.36","0","37875","1848","3472"
"2009","Employed","no migration background","2573.97","1757.82","9742","0","0","3696","6952","17148","2498.6","2649.34","0","51016","1848","1848"
"2009","Not Employed","direct migration background","4062.79","1842.94","693","0","0","7440","12384","21024","3610.32","4515.26","0","37875","0","1848"
"2009","Not Employed","indirect migration background","6860.15","4994.29","236","1848","3600","9020","14112","30080","5989.38","7730.92","0","37875","3892","5544"
"2009","Not Employed","no migration background","2027.9","0","6188","0","0","2400","6904","19444","1918.32","2137.48","0","51016","0","0"
"2010","Employed","direct migration background","4646.91","3600","1705","0","984","6496","11000","23100","4378.5","4915.32","0","51900","3936","4416"
"2010","Employed","indirect migration background","3770.41","1980","805","0","0","5880","10773","18232","3399.71","4141.11","0","32808","3668","3936"
"2010","Employed","no migration background","2654.64","1800","13104","0","0","3936","7196","16900","2575.74","2733.54","0","51900","2580","3096"
"2010","Not Employed","direct migration background","5251.25","1980","1216","0","0","7776","16312","25786","4781.43","5721.07","0","53600","4716","5868"
"2010","Not Employed","indirect migration background","8157.06","6485.28","423","1872","3696","12156","16080","34248","7423.8","8890.32","0","42358","6464","8328"
"2010","Not Employed","no migration background","2182.18","0","7179","0","0","2500","7464","20400","2045.9","2318.46","0","42337","0","840"
"2011","Employed","direct migration background","4363.37","2232","1943","0","0","6276","10776","25776","4085.21","4641.53","0","58350","4416","4416"
"2011","Employed","indirect migration background","3799.6","2208","911","0","0","4896","9050","23400","3373.48","4225.72","0","101700","3936","4416"
"2011","Employed","no migration background","2630.23","1223.26","15467","0","0","4320","7216","17916","2553.18","2707.28","0","75159","2232","2800"
"2011","Not Employed","direct migration background","5497.44","2208","1337","0","0","8908","17241","30808","5020.88","5974","0","58350","4416","5952"
"2011","Not Employed","indirect migration background","7951.07","5449.19","499","1472","2208","11976","17208","32160","7274.14","8628","0","40205","6816","8928"
"2011","Not Employed","no migration background","2361.53","0","8858","0","0","2400","8336","22023","2228.15","2494.91","0","101700","0","0"
"2012","Employed","direct migration background","4040.76","2208","1893","0","0","5580","9482","25032","3769.74","4311.78","0","50496","4416","4416"
"2012","Employed","indirect migration background","3597.1","2208","940","0","0","5070","9600","21408","3275.52","3918.68","0","40740","4160","4416"
"2012","Employed","no migration background","2543.21","952","15084","0","0","4344","7020","17496","2470.11","2616.31","0","59651","2208","2232"
"2012","Not Employed","direct migration background","4934.01","2201.49","1178","0","0","8400","15463","26016","4464.41","5403.61","0","50496","4416","5280"
"2012","Not Employed","indirect migration background","7323.47","5857.68","434","1848","3216","9554","16428","28512","6577.32","8069.62","0","63616","6696","7800"
"2012","Not Employed","no migration background","2338.3","0","8747","0","0","2260","7906","24340","2210.72","2465.88","0","63616","0","0"
"2013","Employed","direct migration background","3422.17","2208","1738","0","0","4416","8904","23525","3149.31","3695.03","0","54888","4416","4416"
"2013","Employed","indirect migration background","3710.15","2208","888","0","0","5706","8208","19104","3348.7","4071.6","0","44210","4416","4416"
"2013","Employed","no migration background","2500.21","930","14286","0","0","4416","6809","17701","2424.96","2575.46","0","61701","2208","2220"
"2013","Not Employed","direct migration background","4832.27","2208","4691","0","0","7016","14112","27852","4624.23","5040.31","0","45000","4416","4416"
"2013","Not Employed","indirect migration background","6166.45","4416","1349","0","1203","8400","15096","31086","5764.96","6567.94","0","49140","4416","4608"
"2013","Not Employed","no migration background","2372.38","0","8364","0","0","2700","8376","22272","2240.67","2504.09","0","61701","0","0"
"2014","Employed","direct migration background","4152.46","2208","3419","0","0","6240","10764","23346","3949.81","4355.11","0","49229","4416","4416"
"2014","Employed","indirect migration background","3766.9","2208","1281","0","0","5479","9216","23693","3473.85","4059.95","0","39192","3960","4416"
"2014","Employed","no migration background","2536.45","850.75","13117","0","0","4416","6875","18000","2457.72","2615.18","0","48919","2208","2208"
"2014","Not Employed","direct migration background","6142.78","3056.31","1763","0","0","9600","17880","33696","5709.33","6576.23","0","48103","6036","6768"
"2014","Not Employed","indirect migration background","8699.23","6696","652","1917","3601","11816","19001","33211","8077.93","9320.53","0","47330","6624","7476"
"2014","Not Employed","no migration background","2316.68","0","7554","0","0","2383","8624","20698","2186.08","2447.28","0","48919","0","0"
"2015","Employed","direct migration background","3844.75","2208","2995","0","0","4632","9996","28296","3634.62","4054.88","0","44416","4320","4416"
"2015","Employed","indirect migration background","3526.29","2208","1190","0","0","4632","9216","19896","3244.15","3808.43","0","35520","3447","4416"
"2015","Employed","no migration background","2419.68","0","12478","0","0","4368","6696","18115","2343.47","2495.89","0","50691","2208","2208"
"2015","Not Employed","direct migration background","5266.91","2208","3002","0","0","8400","15768","33096","4963.86","5569.96","0","43056","4320","4416"
"2015","Not Employed","indirect migration background","9115.58","6696","618","0","2400","13560","20400","34296","8470.82","9760.34","0","41898","6696","7680"
"2015","Not Employed","no migration background","2258.17","0","7229","0","0","2232","8160","22320","2123.66","2392.68","0","57400","0","0"
"2016","Employed","direct migration background","3730.02","2208","3372","0","0","4776","9980","23916","3528.46","3931.58","0","62220","3888","4416"
"2016","Employed","indirect migration background","3923.28","2256","1153","0","0","4798","10416","22800","3603.41","4243.15","0","41700","4344","4416"
"2016","Employed","no migration background","2423.98","186","11641","0","0","4416","6756","16504","2343.69","2504.27","0","43716","2244","2256"
"2016","Not Employed","direct migration background","6617.63","3823.89","1554","0","0","10788","19008","35524","6143.99","7091.27","0","62220","6720","8090"
"2016","Not Employed","indirect migration background","8332.98","6083.04","535","552","2280","10974","20760","36856","7577.93","9088.03","0","62220","6720","8016"
"2016","Not Employed","no migration background","2344.9","0","6702","0","0","2401","8688","22620","2203.03","2486.77","0","48009","0","0"
"2017","Employed","direct migration background","3950.53","2280","3427","0","0","4752","10200","28204","3731.53","4169.53","0","70544","4272","4416"
"2017","Employed","indirect migration background","3863.15","2208","1265","0","0","4608","11388","30202","3512.29","4214.01","0","42240","3150","4416"
"2017","Employed","no migration background","2372.46","0","13588","0","0","4320","6780","17256","2298.47","2446.45","0","46809","2280","2280"
"2017","Not Employed","direct migration background","6822.4","4416","3490","0","0","10178","18912","32544","6441.81","7202.99","0","71880","10320","11388"
