"year","pgisced97","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2009","higher education","West Germany","","","","","","","","","","","","","",""
"2009","higher vocational","East Germany","","","","","","","","","","","","","",""
"2009","higher vocational","West Germany","","","","","","","","","","","","","",""
"2009","in school","East Germany","","","","","","","","","","","","","",""
"2009","in school","West Germany","","","","","","","","","","","","","",""
"2009","inadequately","East Germany","","","","","","","","","","","","","",""
"2009","inadequately","West Germany","","","","","","","","","","","","","",""
"2009","middle vocational","East Germany","","","","","","","","","","","","","",""
"2009","middle vocational","West Germany","","","","","","","","","","","","","",""
"2009","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"2009","vocational + Abi","West Germany","","","","","","","","","","","","","",""
"2010","general elemantary","East Germany","","","","","","","","","","","","","",""
"2010","general elemantary","West Germany","33.82","20","103","9","12","50","75","156","27.24","40.4","1","200","17","22"
"2010","higher education","East Germany","19.91","15.68","193","5","9","25","35","130","16.17","23.65","1","258","13","16"
"2010","higher education","West Germany","43.78","30","514","8","14","55","80","200","38.2","49.36","1","870","30","40"
"2010","higher vocational","East Germany","52.8","12","41","2","4","29","38","1600","-25.35","130.95","1","1600","10","20"
"2010","higher vocational","West Germany","39.42","25","185","8","14","54","80","179","34","44.84","1","239","19","29"
"2010","in school","East Germany","","","","","","","","","","","","","",""
"2010","in school","West Germany","","","","","","","","","","","","","",""
"2010","inadequately","East Germany","","","","","","","","","","","","","",""
"2010","inadequately","West Germany","","","","","","","","","","","","","",""
"2010","middle vocational","East Germany","16.75","14","185","4","9","20","34","63","14.3","19.2","1","125","13","17"
"2010","middle vocational","West Germany","39.58","23","1102","8","13","50","82","234","37.03","42.13","0","620","20","25"
"2010","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"2010","vocational + Abi","West Germany","32.54","24.45","220","8","15","45","65","141","26.87","38.21","2","380","23","30"
"2011","general elemantary","East Germany","","","","","","","","","","","","","",""
"2011","general elemantary","West Germany","33.9","20","160","9","15","49","75","150","29.22","38.58","2","160","20","24"
"2011","higher education","East Germany","18.97","16","240","3","9","25","35","80","16.95","20.99","1","110","15","20"
"2011","higher education","West Germany","47.84","30","634","9","16","55","100","350","43.36","52.32","1","600","30","39"
"2011","higher vocational","East Germany","24.07","15","48","5","10","32","48","80","13.85","34.29","3","240","12","20"
"2011","higher vocational","West Germany","36.73","22","226","9","12","45","92","235","31.83","41.63","2","270","20","29"
"2011","in school","East Germany","","","","","","","","","","","","","",""
"2011","in school","West Germany","","","","","","","","","","","","","",""
"2011","inadequately","East Germany","","","","","","","","","","","","","",""
"2011","inadequately","West Germany","","","","","","","","","","","","","",""
"2011","middle vocational","East Germany","17.81","15","243","6","9","20","31","74","15.58","20.04","1","160","14","16"
"2011","middle vocational","West Germany","36.31","23","1493","9","13","45","80","210","34.15","38.47","1","450","21","25"
"2011","vocational + Abi","East Germany","22.79","22.37","36","7","14","26","50","50","19.1","26.48","1","50","12","23"
"2011","vocational + Abi","West Germany","35.58","25","286","8","13","40","75","200","29.98","41.18","1","410","23","30"
"2012","general elemantary","East Germany","","","","","","","","","","","","","",""
"2012","general elemantary","West Germany","37.01","23","175","9","12","50","80","170","31.9","42.12","1","186","20","25"
"2012","higher education","East Germany","21.29","15","234","1","7","25","35","56","11.15","31.43","1","1200","15","19"
"2012","higher education","West Germany","41.83","30","682","10","17","54","90","200","38.27","45.39","1","400","30","35"
"2012","higher vocational","East Germany","25.17","14.61","52","2","8","30","64","180","17.3","33.04","1","180","12","21"
"2012","higher vocational","West Germany","35.61","25","229","11","16","48","75","170","31.52","39.7","1","180","21","30"
"2012","in school","East Germany","","","","","","","","","","","","","",""
"2012","in school","West Germany","","","","","","","","","","","","","",""
"2012","inadequately","East Germany","","","","","","","","","","","","","",""
"2012","inadequately","West Germany","","","","","","","","","","","","","",""
"2012","middle vocational","East Germany","17.6","15","269","5","9","20","33","67","15.43","19.77","1","180","14","16"
"2012","middle vocational","West Germany","34.72","23","1627","8","12","42","80","185","32.94","36.5","1","350","22","25"
"2012","vocational + Abi","East Germany","17.87","20","41","8","9","25","26","38","15.15","20.59","3","38","11","20"
"2012","vocational + Abi","West Germany","37.32","28","281","10","15","44","75","180","31.45","43.19","1","480","22","30"
"2013","general elemantary","East Germany","","","","","","","","","","","","","",""
"2013","general elemantary","West Germany","37.05","25","155","10","15","50","88","170","31.89","42.21","1","170","19","25"
"2013","higher education","East Germany","19.02","16","258","4","10","25","37","60","16.69","21.35","1","180","15","20"
"2013","higher education","West Germany","45.92","32.88","648","9","17","60","100","250","42.3","49.54","0","500","30","36"
"2013","higher vocational","East Germany","22.15","14.83","47","9","12","30","42","100","16.2","28.1","1","100","12","26"
"2013","higher vocational","West Germany","40.49","28","227","10","15","40","75","300","35.98","45","1","300","25","30"
"2013","in school","East Germany","","","","","","","","","","","","","",""
"2013","in school","West Germany","","","","","","","","","","","","","",""
"2013","inadequately","East Germany","","","","","","","","","","","","","",""
"2013","inadequately","West Germany","","","","","","","","","","","","","",""
"2013","middle vocational","East Germany","18.04","15","276","6","10","23","35","59","16.39","19.69","1","125","13","17"
"2013","middle vocational","West Germany","36.12","24","1573","9","14","45","80","194","34.22","38.02","1","400","23","25"
"2013","vocational + Abi","East Germany","20.97","19.75","37","8","10","25","38","52","17.52","24.42","2","52","11","21"
"2013","vocational + Abi","West Germany","37.65","27.45","288","9","14","50","80","150","32.53","42.77","0","410","24","30"
"2014","general elemantary","East Germany","","","","","","","","","","","","","",""
"2014","general elemantary","West Germany","30.04","22","227","8","15","35","66","125","26.29","33.79","1","182","18","22"
"2014","higher education","East Germany","23.01","20","289","2","10","28","42","60","19.71","26.31","1","428","16","20"
"2014","higher education","West Germany","41.09","30","959","10","16","53","82","180","38.45","43.73","1","500","30","32"
"2014","higher vocational","East Germany","18.62","13.2","52","8","10","24","30","60","14.4","22.84","1","80","11","22"
"2014","higher vocational","West Germany","34.97","25","303","10","15","50","80","120","31.63","38.31","1","200","22","28"
"2014","in school","East Germany","","","","","","","","","","","","","",""
