"plh0177","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"9 on Scale 1 to 10","1984","Employed","middle vocational","478","0.133017536359177","0.1222428778508","0.143792194867555","9"
"9 on Scale 1 to 10","1984","Employed","vocational + Abi","34","0.163054602502805","0.115416199417195","0.210693005588415","9"
"9 on Scale 1 to 10","1984","Employed","higher education","100","0.167493719715004","0.13838101369755","0.196606425732457","9"
"0 Completely dissatisfied","1985","Not Employed","in school","","","","","0"
"0 Completely dissatisfied","1985","Not Employed","inadequately","15","","","","0"
"0 Completely dissatisfied","1985","Not Employed","general elemantary","20","","","","0"
"0 Completely dissatisfied","1985","Not Employed","middle vocational","15","","","","0"
"0 Completely dissatisfied","1985","Not Employed","vocational + Abi","2","","","","0"
"0 Completely dissatisfied","1985","Not Employed","higher vocational","1","","","","0"
"0 Completely dissatisfied","1985","Not Employed","higher education","","","","","0"
"0 Completely dissatisfied","1985","Employed","in school","1","","","","0"
"0 Completely dissatisfied","1985","Employed","inadequately","23","","","","0"
"0 Completely dissatisfied","1985","Employed","general elemantary","42","0.0159874617350769","0.00966743810405745","0.0223074853660964","0"
"0 Completely dissatisfied","1985","Employed","middle vocational","36","0.00939075573673644","0.00617142257797241","0.0126100888955005","0"
"0 Completely dissatisfied","1985","Employed","vocational + Abi","4","","","","0"
"0 Completely dissatisfied","1985","Employed","higher vocational","2","","","","0"
"0 Completely dissatisfied","1985","Employed","higher education","1","","","","0"
"1 on Scale 1 to 10","1985","Employed","higher vocational","1","","","","1"
"1 on Scale 1 to 10","1985","Not Employed","in school","1","","","","1"
"1 on Scale 1 to 10","1985","Not Employed","middle vocational","12","","","","1"
"1 on Scale 1 to 10","1985","Not Employed","inadequately","8","","","","1"
"1 on Scale 1 to 10","1985","Not Employed","general elemantary","11","","","","1"
"1 on Scale 1 to 10","1985","Not Employed","vocational + Abi","1","","","","1"
"1 on Scale 1 to 10","1985","Not Employed","higher vocational","","","","","1"
"1 on Scale 1 to 10","1985","Not Employed","higher education","2","","","","1"
"1 on Scale 1 to 10","1985","Employed","in school","","","","","1"
"1 on Scale 1 to 10","1985","Employed","inadequately","7","","","","1"
"1 on Scale 1 to 10","1985","Employed","general elemantary","10","","","","1"
"1 on Scale 1 to 10","1985","Employed","middle vocational","38","0.00804375203701024","0.00506221603253863","0.0110252880414819","1"
"1 on Scale 1 to 10","1985","Employed","vocational + Abi","4","","","","1"
"1 on Scale 1 to 10","1985","Employed","higher education","3","","","","1"
"10 Completely satisfied","1985","Not Employed","in school","63","0.371821561864545","0.299595711185777","0.444047412543313","10"
"10 Completely satisfied","1985","Not Employed","inadequately","58","0.212932405760777","0.169289200656454","0.2565756108651","10"
"10 Completely satisfied","1985","Not Employed","general elemantary","480","0.333193241581912","0.309497277363659","0.356889205800165","10"
"10 Completely satisfied","1985","Not Employed","vocational + Abi","20","","","","10"
"10 Completely satisfied","1985","Not Employed","higher vocational","64","0.413778777779229","0.339524818891418","0.48803273666704","10"
"10 Completely satisfied","1985","Not Employed","higher education","55","0.407858520016937","0.329213727065804","0.486503312968069","10"
"10 Completely satisfied","1985","Employed","in school","1","","","","10"
"10 Completely satisfied","1985","Employed","inadequately","92","0.210032050662992","0.174470528275329","0.245593573050655","10"
"10 Completely satisfied","1985","Employed","general elemantary","369","0.28167984132381","0.259014329114619","0.304345353533002","10"
"10 Completely satisfied","1985","Employed","middle vocational","930","0.282122639941111","0.267101303944535","0.297143975937688","10"
"10 Completely satisfied","1985","Employed","higher vocational","135","0.301221204864817","0.258784901052038","0.343657508677596","10"
