"party","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"SPD","1985","(Married) couple without C. ","West Germany","688","0.454524106952801","0.42907878227628","0.479969431629321","2"
"SPD","1985","Couple + C. GT 16 ","West Germany","481","0.432520216991231","0.402190765132193","0.462849668850269","2"
"SPD","1985","Couple + C. LE 16 ","East Germany","","","","","2"
"SPD","1985","Couple + C. GT 16 ","East Germany","","","","","2"
"SPD","1985","Couple + C. LE and GT 16","East Germany","","","","","2"
"SPD","1985","Couple + C. LE and GT 16","West Germany","284","0.367077124167266","0.329136339981271","0.40501790835326","2"
"AfD","1986","(Married) couple without C. ","East Germany","","","","","7"
"AfD","1986","Single parent ","West Germany","","","","","7"
"AfD","1986","Single parent ","East Germany","","","","","7"
"AfD","1986","Couple + C. LE 16 ","West Germany","","","","","7"
"AfD","1986","1-pers.-HH","West Germany","","","","","7"
"AfD","1986","1-pers.-HH","East Germany","","","","","7"
"AfD","1986","(Married) couple without C. ","West Germany","","","","","7"
"AfD","1986","Couple + C. LE 16 ","East Germany","","","","","7"
"AfD","1986","Couple + C. GT 16 ","West Germany","","","","","7"
"AfD","1986","Couple + C. GT 16 ","East Germany","","","","","7"
"AfD","1986","Couple + C. LE and GT 16","West Germany","","","","","7"
"AfD","1986","Couple + C. LE and GT 16","East Germany","","","","","7"
"CDU/CSU","1986","1-pers.-HH","West Germany","239","0.421623980446047","0.382940217305329","0.460307743586765","1"
"CDU/CSU","1986","1-pers.-HH","East Germany","","","","","1"
"CDU/CSU","1986","Couple + C. LE 16 ","West Germany","439","0.386987018848481","0.360262752713148","0.413711284983815","1"
"CDU/CSU","1986","Couple + C. LE 16 ","East Germany","","","","","1"
"CDU/CSU","1986","Couple + C. LE and GT 16","East Germany","","","","","1"
"CDU/CSU","1986","(Married) couple without C. ","West Germany","604","0.447195264808122","0.421066492677749","0.473324036938496","1"
"CDU/CSU","1986","(Married) couple without C. ","East Germany","","","","","1"
"CDU/CSU","1986","Single parent ","West Germany","84","0.415113195013143","0.350149437705133","0.480076952321153","1"
"CDU/CSU","1986","Single parent ","East Germany","","","","","1"
"CDU/CSU","1986","Couple + C. GT 16 ","West Germany","470","0.479626404682571","0.449664347224602","0.50958846214054","1"
"CDU/CSU","1986","Couple + C. GT 16 ","East Germany","","","","","1"
"CDU/CSU","1986","Couple + C. LE and GT 16","West Germany","248","0.510466078707401","0.470129698266554","0.550802459148248","1"
"FDP","1986","Couple + C. LE and GT 16","West Germany","13","","","","3"
"FDP","1986","1-pers.-HH","West Germany","22","","","","3"
"FDP","1986","1-pers.-HH","East Germany","","","","","3"
"FDP","1986","Couple + C. LE 16 ","East Germany","","","","","3"
"FDP","1986","Couple + C. GT 16 ","East Germany","","","","","3"
"FDP","1986","(Married) couple without C. ","West Germany","55","0.0438774995115945","0.0331137835130695","0.0546412155101196","3"
"FDP","1986","(Married) couple without C. ","East Germany","","","","","3"
"FDP","1986","Single parent ","West Germany","2","","","","3"
"FDP","1986","Couple + C. GT 16 ","West Germany","31","0.0278328072490055","0.0179674810196185","0.0376981334783924","3"
"FDP","1986","Couple + C. LE and GT 16","East Germany","","","","","3"
"FDP","1986","Couple + C. LE 16 ","West Germany","37","0.0356199816422091","0.0254506197847051","0.0457893434997131","3"
"FDP","1986","Single parent ","East Germany","","","","","3"
"NPD Combination","1986","(Married) couple without C. ","East Germany","","","","","6"
"NPD Combination","1986","Couple + C. LE 16 ","East Germany","","","","","6"
"NPD Combination","1986","Couple + C. LE and GT 16","East Germany","","","","","6"
"NPD Combination","1986","1-pers.-HH","West Germany","","","","","6"
"NPD Combination","1986","1-pers.-HH","East Germany","","","","","6"
"NPD Combination","1986","Single parent ","West Germany","","","","","6"
"NPD Combination","1986","Single parent ","East Germany","","","","","6"
"NPD Combination","1986","Couple + C. LE 16 ","West Germany","","","","","6"
"NPD Combination","1986","Couple + C. GT 16 ","West Germany","","","","","6"
"NPD Combination","1986","Couple + C. GT 16 ","East Germany","","","","","6"
"NPD Combination","1986","Couple + C. LE and GT 16","West Germany","","","","","6"
"NPD Combination","1986","(Married) couple without C. ","West Germany","","","","","6"
"Other","1986","(Married) couple without C. ","East Germany","","","","","8"
"Other","1986","Single parent ","West Germany","2","","","","8"
"Other","1986","Single parent ","East Germany","","","","","8"
"Other","1986","Couple + C. LE 16 ","West Germany","5","","","","8"
"Other","1986","1-pers.-HH","West Germany","5","","","","8"
"Other","1986","1-pers.-HH","East Germany","","","","","8"
"Other","1986","(Married) couple without C. ","West Germany","9","","","","8"
"Other","1986","Couple + C. LE 16 ","East Germany","","","","","8"
"Other","1986","Couple + C. GT 16 ","West Germany","5","","","","8"
"Other","1986","Couple + C. GT 16 ","East Germany","","","","","8"
"Other","1986","Couple + C. LE and GT 16","West Germany","2","","","","8"
"Other","1986","Couple + C. LE and GT 16","East Germany","","","","","8"
"PDS/Linke","1986","(Married) couple without C. ","East Germany","","","","","5"
"PDS/Linke","1986","Single parent ","West Germany","","","","","5"
"PDS/Linke","1986","Single parent ","East Germany","","","","","5"
"PDS/Linke","1986","Couple + C. GT 16 ","East Germany","","","","","5"
"PDS/Linke","1986","Couple + C. LE and GT 16","West Germany","","","","","5"
"PDS/Linke","1986","Couple + C. LE 16 ","West Germany","","","","","5"
"PDS/Linke","1986","Couple + C. LE 16 ","East Germany","","","","","5"
"PDS/Linke","1986","Couple + C. GT 16 ","West Germany","","","","","5"
"PDS/Linke","1986","1-pers.-HH","West Germany","","","","","5"
"PDS/Linke","1986","1-pers.-HH","East Germany","","","","","5"
"PDS/Linke","1986","(Married) couple without C. ","West Germany","","","","","5"
"PDS/Linke","1986","Couple + C. LE and GT 16","East Germany","","","","","5"
