"party","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"FDP","1998","Not Employed","West Germany","41","0.0275762077009598","0.0200091408947132","0.0351432745072064","3"
"FDP","1998","Not Employed","East Germany","3","","","","3"
"NPD Combination","1998","Not Employed","West Germany","24","","","","6"
"NPD Combination","1998","Not Employed","East Germany","6","","","","6"
"NPD Combination","1998","Employed","West Germany","40","0.0154608835568446","0.0109336713944239","0.0199880957192654","6"
"NPD Combination","1998","Employed","East Germany","27","","","","6"
"Other","1998","Employed","East Germany","16","","","","8"
"Other","1998","Employed","West Germany","40","0.0168988179793912","0.0121692172606139","0.0216284186981684","8"
"Other","1998","Not Employed","West Germany","16","","","","8"
"Other","1998","Not Employed","East Germany","8","","","","8"
"PDS/Linke","1998","Employed","West Germany","20","","","","5"
"PDS/Linke","1998","Not Employed","West Germany","10","","","","5"
"PDS/Linke","1998","Not Employed","East Germany","117","0.233556473470141","0.196133061564929","0.270979885375353","5"
"PDS/Linke","1998","Employed","East Germany","123","0.164190963086943","0.136865099442098","0.191516826731789","5"
"SPD","1998","Employed","West Germany","1410","0.466994895342242","0.448687820540327","0.485301970144158","2"
"SPD","1998","Not Employed","East Germany","188","0.396254430159965","0.35299095625595","0.43951790406398","2"
"SPD","1998","Employed","East Germany","222","0.297225714835581","0.263512756670371","0.330938673000791","2"
"SPD","1998","Not Employed","West Germany","838","0.453844916096045","0.430838750730271","0.476851081461818","2"
"AfD","1999","Not Employed","East Germany","","","","","7"
"AfD","1999","Not Employed","West Germany","","","","","7"
"AfD","1999","Employed","West Germany","","","","","7"
"AfD","1999","Employed","East Germany","","","","","7"
"CDU/CSU","1999","Not Employed","West Germany","785","0.481396362596147","0.457865203038805","0.504927522153488","1"
"CDU/CSU","1999","Employed","East Germany","284","0.32835809025707","0.29698991398693","0.35972626652721","1"
"CDU/CSU","1999","Employed","West Germany","1164","0.390346368129577","0.373154432152555","0.407538304106599","1"
"CDU/CSU","1999","Not Employed","East Germany","179","0.28732829687155","0.250721393121143","0.323935200621957","1"
"FDP","1999","Employed","East Germany","18","","","","3"
"FDP","1999","Employed","West Germany","90","0.0347923877001489","0.0283342006821457","0.041250574718152","3"
"FDP","1999","Not Employed","West Germany","33","0.021438340042058","0.0146170923035099","0.0282595877806062","3"
"FDP","1999","Not Employed","East Germany","6","","","","3"
"NPD Combination","1999","Not Employed","West Germany","13","","","","6"
"NPD Combination","1999","Not Employed","East Germany","2","","","","6"
"NPD Combination","1999","Employed","West Germany","39","0.00973673929531706","0.00627622828559427","0.0131972503050398","6"
"NPD Combination","1999","Employed","East Germany","27","","","","6"
"Other","1999","Employed","West Germany","31","0.0101740870677702","0.006637492581162","0.0137106815543784","8"
"Other","1999","Employed","East Germany","18","","","","8"
"Other","1999","Not Employed","West Germany","13","","","","8"
"Other","1999","Not Employed","East Germany","10","","","","8"
"PDS/Linke","1999","Employed","West Germany","32","0.0102460291923171","0.00669708187997542","0.0137949765046587","5"
"PDS/Linke","1999","Not Employed","West Germany","11","","","","5"
"PDS/Linke","1999","Not Employed","East Germany","124","0.209241045304128","0.176335087217164","0.242147003391092","5"
"PDS/Linke","1999","Employed","East Germany","156","0.180348327240855","0.154667013334556","0.206029641147154","5"
"SPD","1999","Employed","West Germany","1445","0.451149415297018","0.433612815298388","0.468686015295647","2"
"SPD","1999","Not Employed","East Germany","242","0.439568633498419","0.399416964283575","0.479720302713264","2"
"SPD","1999","Employed","East Germany","302","0.342604866718576","0.31090506676482","0.374304666672331","2"
"SPD","1999","Not Employed","West Germany","773","0.426731445815519","0.403438172065529","0.450024719565509","2"
"AfD","2000","Not Employed","West Germany","","","","","7"
"AfD","2000","Not Employed","East Germany","","","","","7"
"AfD","2000","Employed","West Germany","","","","","7"
"AfD","2000","Employed","East Germany","","","","","7"
"CDU/CSU","2000","Employed","East Germany","454","0.35138049808811","0.325206715396145","0.377554280780074","1"
"CDU/CSU","2000","Employed","West Germany","1964","0.368142628781955","0.355156828657491","0.381128428906419","1"
"CDU/CSU","2000","Not Employed","East Germany","281","0.311299671433717","0.28058503030229","0.342014312565145","1"
"CDU/CSU","2000","Not Employed","West Germany","1483","0.469121929858129","0.451927645889844","0.486316213826415","1"
"FDP","2000","Employed","East Germany","33","0.0249179227606608","0.0163719959582621","0.0334638495630595","3"
"FDP","2000","Not Employed","West Germany","88","0.0335883491768607","0.0273808132357755","0.0397958851179459","3"
"FDP","2000","Employed","West Germany","164","0.033689644462304","0.0288316427673126","0.0385476461572955","3"
"FDP","2000","Not Employed","East Germany","7","","","","3"
"NPD Combination","2000","Not Employed","West Germany","21","","","","6"
"NPD Combination","2000","Not Employed","East Germany","10","","","","6"
"NPD Combination","2000","Employed","East Germany","38","0.0286781278422465","0.0195277369601217","0.0378285187243714","6"
"NPD Combination","2000","Employed","West Germany","55","0.00905652493049831","0.00650584264539542","0.0116072072156012","6"
"Other","2000","Employed","West Germany","54","0.0106544599717197","0.00789012382621485","0.0134187961172246","8"
"Other","2000","Employed","East Germany","19","","","","8"
"Other","2000","Not Employed","West Germany","28","","","","8"
"Other","2000","Not Employed","East Germany","9","","","","8"
"PDS/Linke","2000","Employed","West Germany","55","0.00987626818188014","0.00721375170882094","0.0125387846549393","5"
"PDS/Linke","2000","Not Employed","West Germany","15","","","","5"
"PDS/Linke","2000","Not Employed","East Germany","204","0.235484910957334","0.207338984924383","0.263630836990284","5"
"PDS/Linke","2000","Employed","East Germany","284","0.225615715758247","0.202699357480498","0.248532074035995","5"
"SPD","2000","Not Employed","East Germany","334","0.392596096474907","0.360202978921549","0.424989214028265","2"
"SPD","2000","Not Employed","West Germany","1433","0.430710672808339","0.413649724298829","0.447771621317849","2"
"SPD","2000","Employed","West Germany","2464","0.463136837815585","0.449711117465346","0.476562558165823","2"
"SPD","2000","Employed","East Germany","377","0.295768267948993","0.270746600477225","0.320789935420761","2"
"AfD","2001","Not Employed","West Germany","","","","","7"
"AfD","2001","Not Employed","East Germany","","","","","7"
"AfD","2001","Employed","West Germany","","","","","7"
"AfD","2001","Employed","East Germany","","","","","7"
"CDU/CSU","2001","Employed","East Germany","367","0.346256098674979","0.317423433431934","0.375088763918024","1"
"CDU/CSU","2001","Employed","West Germany","1677","0.353288599579385","0.339639260932619","0.366937938226151","1"
"CDU/CSU","2001","Not Employed","East Germany","244","0.314721909941122","0.281855874332739","0.347587945549505","1"
"CDU/CSU","2001","Not Employed","West Germany","1245","0.464515026685142","0.446018671732603","0.483011381637682","1"
"FDP","2001","Employed","West Germany","185","0.0435686871741341","0.0377395312974201","0.0493978430508481","3"
"FDP","2001","Not Employed","West Germany","85","0.0351112785726482","0.028285148486334","0.0419374086589623","3"
"FDP","2001","Employed","East Germany","43","0.0378101091118222","0.0262512063857018","0.0493690118379425","3"
"FDP","2001","Not Employed","East Germany","13","","","","3"
"NPD Combination","2001","Not Employed","West Germany","11","","","","6"
"NPD Combination","2001","Not Employed","East Germany","8","","","","6"
"NPD Combination","2001","Employed","West Germany","58","0.00976413413185293","0.00695625936926002","0.0125720088944458","6"
"NPD Combination","2001","Employed","East Germany","23","","","","6"
"Other","2001","Not Employed","West Germany","12","","","","8"
"Other","2001","Not Employed","East Germany","13","","","","8"
"Other","2001","Employed","West Germany","50","0.012325412836648","0.00917476969090796","0.015476055982388","8"
"Other","2001","Employed","East Germany","15","","","","8"
"PDS/Linke","2001","Not Employed","West Germany","15","","","","5"
"PDS/Linke","2001","Not Employed","East Germany","179","0.235065478929865","0.205056102812164","0.265074855047566","5"
"PDS/Linke","2001","Employed","West Germany","44","0.0101362016724974","0.00727586679979342","0.0129965365452014","5"
"PDS/Linke","2001","Employed","East Germany","209","0.208725697315196","0.184097436735514","0.233353957894877","5"
"SPD","2001","Not Employed","East Germany","284","0.372259475858141","0.338048664623886","0.406470287092395","2"
"SPD","2001","Employed","West Germany","2193","0.464536940070825","0.450295089521378","0.478778790620271","2"
"SPD","2001","Not Employed","West Germany","1275","0.439743435174507","0.421335470062082","0.458151400286931","2"
"SPD","2001","Employed","East Germany","326","0.302165302198757","0.274337377154566","0.329993227242948","2"
"AfD","2002","Not Employed","West Germany","","","","","7"
"AfD","2002","Not Employed","East Germany","","","","","7"
"AfD","2002","Employed","West Germany","","","","","7"
"AfD","2002","Employed","East Germany","","","","","7"
"CDU/CSU","2002","Employed","East Germany","412","0.35172772020053","0.323972167305209","0.379483273095851","1"
"CDU/CSU","2002","Not Employed","West Germany","1399","0.46449125549208","0.446703683361082","0.482278827623078","1"
"CDU/CSU","2002","Employed","West Germany","2104","0.371799807110046","0.359086278926715","0.384513335293377","1"
"CDU/CSU","2002","Not Employed","East Germany","240","0.287135443313394","0.255506569309187","0.318764317317601","1"
"FDP","2002","Employed","West Germany","323","0.0496190386886479","0.0439064163447957","0.0553316610325002","3"
"FDP","2002","Not Employed","West Germany","110","0.0358114434208301","0.0291841451207586","0.0424387417209016","3"
"FDP","2002","Employed","East Germany","63","0.057183673558429","0.0436872893915627","0.0706800577252953","3"
"FDP","2002","Not Employed","East Germany","19","","","","3"
"NPD Combination","2002","Not Employed","West Germany","8","","","","6"
"NPD Combination","2002","Not Employed","East Germany","5","","","","6"
"NPD Combination","2002","Employed","West Germany","42","0.0090247608356823","0.00653698222398135","0.0115125394473832","6"
"NPD Combination","2002","Employed","East Germany","23","","","","6"
"Other","2002","Not Employed","West Germany","19","","","","8"
"Other","2002","Not Employed","East Germany","9","","","","8"
"Other","2002","Employed","West Germany","60","0.0133833943281913","0.0103605218620938","0.0164062667942887","8"
"Other","2002","Employed","East Germany","15","","","","8"
"PDS/Linke","2002","Not Employed","East Germany","228","0.29990174969778","0.267868144858216","0.331935354537345","5"
"PDS/Linke","2002","Not Employed","West Germany","24","","","","5"
"PDS/Linke","2002","Employed","West Germany","60","0.0121922863824373","0.00930532309238693","0.0150792496724876","5"
"PDS/Linke","2002","Employed","East Germany","260","0.242992233138794","0.21806269557686","0.267921770700727","5"
"SPD","2002","Not Employed","West Germany","1314","0.440166163161193","0.422461709944048","0.457870616378338","2"
"SPD","2002","Employed","West Germany","2389","0.443355760863063","0.430287207525134","0.456424314200991","2"
"SPD","2002","Not Employed","East Germany","257","0.336192308352142","0.303166622556632","0.369217994147652","2"
"SPD","2002","Employed","East Germany","307","0.263088509863363","0.237495199496621","0.288681820230105","2"
"AfD","2003","Not Employed","West Germany","","","","","7"
"AfD","2003","Not Employed","East Germany","","","","","7"
"AfD","2003","Employed","West Germany","","","","","7"
"AfD","2003","Employed","East Germany","","","","","7"
"CDU/CSU","2003","Employed","East Germany","489","0.413717122868391","0.385363293194339","0.442070952542442","1"
"CDU/CSU","2003","Employed","West Germany","2352","0.409571734619888","0.396650527466627","0.422492941773149","1"
"CDU/CSU","2003","Not Employed","East Germany","262","0.291462874130893","0.26067651797422","0.322249230287566","1"
"CDU/CSU","2003","Not Employed","West Germany","1553","0.490102561909926","0.472564317905315","0.507640805914537","1"
"FDP","2003","Employed","West Germany","272","0.0453297891550153","0.0398637458829456","0.050795832427085","3"
"FDP","2003","Employed","East Germany","54","0.0482255637295491","0.0358913335902534","0.0605597938688448","3"
"FDP","2003","Not Employed","West Germany","108","0.0317120314451479","0.02556429124492","0.0378597716453758","3"
"FDP","2003","Not Employed","East Germany","19","","","","3"
"NPD Combination","2003","Employed","West Germany","29","","","","6"
"NPD Combination","2003","Employed","East Germany","23","","","","6"
"NPD Combination","2003","Not Employed","West Germany","10","","","","6"
"NPD Combination","2003","Not Employed","East Germany","6","","","","6"
"Other","2003","Not Employed","West Germany","22","","","","8"
"Other","2003","Not Employed","East Germany","10","","","","8"
"Other","2003","Employed","West Germany","47","0.00814735302539838","0.00578531776718405","0.0105093882836127","8"
"Other","2003","Employed","East Germany","12","","","","8"
"PDS/Linke","2003","Not Employed","West Germany","12","","","","5"
"PDS/Linke","2003","Not Employed","East Germany","177","0.223782095377322","0.195546961055696","0.252017229698947","5"
"PDS/Linke","2003","Employed","West Germany","37","0.0093999901752838","0.00686446811089462","0.011935512239673","5"
"PDS/Linke","2003","Employed","East Germany","182","0.162469347316361","0.141232382561854","0.183706312070867","5"
"SPD","2003","Not Employed","West Germany","1208","0.40502259310664","0.387800296325322","0.422244889887959","2"
"SPD","2003","Employed","West Germany","2080","0.380933860152709","0.368173943296941","0.393693777008478","2"
"SPD","2003","Not Employed","East Germany","323","0.392714483498326","0.359630310503451","0.425798656493202","2"
"SPD","2003","Employed","East Germany","306","0.258559981192637","0.23335275616751","0.283767206217764","2"
"AfD","2004","Not Employed","West Germany","","","","","7"
"AfD","2004","Employed","West Germany","","","","","7"
"AfD","2004","Employed","East Germany","","","","","7"
"AfD","2004","Not Employed","East Germany","","","","","7"
"CDU/CSU","2004","Employed","East Germany","376","0.381803369213672","0.351055007411058","0.412551731016286","1"
"CDU/CSU","2004","Employed","West Germany","2042","0.426010171270922","0.411851939047437","0.440168403494407","1"
"CDU/CSU","2004","Not Employed","East Germany","224","0.317654406240008","0.282941681461205","0.35236713101881","1"
"CDU/CSU","2004","Not Employed","West Germany","1389","0.509800173830576","0.491023838344497","0.528576509316654","1"
"FDP","2004","Employed","West Germany","236","0.0471831374662051","0.041112349365421","0.0532539255669892","3"
"FDP","2004","Employed","East Germany","55","0.052750308318356","0.0386026838030221","0.0668979328336899","3"
"FDP","2004","Not Employed","West Germany","91","0.0318787411014742","0.0252803245276829","0.0384771576752656","3"
"FDP","2004","Not Employed","East Germany","13","","","","3"
"NPD Combination","2004","Employed","West Germany","35","0.00907030121681511","0.00635586759390013","0.0117847348397301","6"
"NPD Combination","2004","Employed","East Germany","21","","","","6"
"NPD Combination","2004","Not Employed","West Germany","7","","","","6"
"NPD Combination","2004","Not Employed","East Germany","6","","","","6"
"Other","2004","Not Employed","West Germany","28","","","","8"
"Other","2004","Not Employed","East Germany","11","","","","8"
"Other","2004","Employed","West Germany","45","0.00911217638047735","0.00639154155131835","0.0118328112096364","8"
"Other","2004","Employed","East Germany","8","","","","8"
"PDS/Linke","2004","Not Employed","West Germany","19","","","","5"
"PDS/Linke","2004","Not Employed","East Germany","187","0.266417013241416","0.233454928600429","0.299379097882403","5"
"PDS/Linke","2004","Employed","West Germany","39","0.0110225397897108","0.0080331607619897","0.014011918817432","5"
"PDS/Linke","2004","Employed","East Germany","187","0.205199998015487","0.179640260277943","0.230759735753031","5"
"SPD","2004","Not Employed","West Germany","995","0.386631088831964","0.36834025364259","0.404921924021338","2"
"SPD","2004","Employed","West Germany","1660","0.358834197314874","0.34510076672771","0.372567627902037","2"
"SPD","2004","Not Employed","East Germany","216","0.321529961246945","0.286705442103602","0.356354480390289","2"
"SPD","2004","Employed","East Germany","230","0.233236238730786","0.206471217539374","0.260001259922198","2"
"AfD","2005","Not Employed","West Germany","","","","","7"
"AfD","2005","Employed","West Germany","","","","","7"
"AfD","2005","Employed","East Germany","","","","","7"
"AfD","2005","Not Employed","East Germany","","","","","7"
"CDU/CSU","2005","Employed","East Germany","368","0.325836701808834","0.296903241371525","0.354770162246143","1"
"CDU/CSU","2005","Employed","West Germany","1848","0.392628601371215","0.378465749262632","0.406791453479798","1"
"CDU/CSU","2005","Not Employed","East Germany","214","0.283582220532195","0.251062815804937","0.316101625259454","1"
"CDU/CSU","2005","Not Employed","West Germany","1335","0.477921118453516","0.459382814108959","0.496459422798072","1"
"FDP","2005","Employed","West Germany","230","0.0440653945536864","0.0381129479458381","0.0500178411615348","3"
"FDP","2005","Not Employed","West Germany","93","0.0271554840826296","0.0211233036164063","0.0331876645488529","3"
"FDP","2005","Not Employed","East Germany","19","","","","3"
"FDP","2005","Employed","East Germany","57","0.0579196925431425","0.0434993720830985","0.0723400130031865","3"
"NPD Combination","2005","Employed","West Germany","62","0.0165155431459037","0.0128192809884464","0.020211805303361","6"
"NPD Combination","2005","Employed","East Germany","39","0.0786982738830657","0.0620755813896663","0.095320966376465","6"
"NPD Combination","2005","Not Employed","West Germany","15","","","","6"
"NPD Combination","2005","Not Employed","East Germany","17","","","","6"
"Other","2005","Not Employed","West Germany","19","","","","8"
"Other","2005","Not Employed","East Germany","13","","","","8"
"Other","2005","Employed","West Germany","44","0.00980069631678789","0.00694361658880443","0.0126577760447714","8"
"Other","2005","Employed","East Germany","9","","","","8"
"PDS/Linke","2005","Not Employed","West Germany","13","","","","5"
"PDS/Linke","2005","Not Employed","East Germany","194","0.260017985675561","0.228371011917624","0.291664959433499","5"
"PDS/Linke","2005","Employed","West Germany","48","0.0117017409838525","0.00858283818004682","0.0148206437876582","5"
"PDS/Linke","2005","Employed","East Germany","200","0.196565027558953","0.172032272836789","0.221097782281117","5"
"SPD","2005","Not Employed","East Germany","251","0.336392586988112","0.302304805842692","0.370480368133532","2"
"SPD","2005","Not Employed","West Germany","1124","0.422154354599515","0.403824231016155","0.440484478182875","2"
"SPD","2005","Employed","West Germany","1681","0.371755214121348","0.357739166451589","0.385771261791108","2"
"SPD","2005","Employed","East Germany","241","0.212483118119407","0.187230292682692","0.237735943556122","2"
"AfD","2006","Not Employed","West Germany","","","","","7"
"AfD","2006","Employed","West Germany","","","","","7"
"AfD","2006","Employed","East Germany","","","","","7"
"AfD","2006","Not Employed","East Germany","","","","","7"
"CDU/CSU","2006","Employed","East Germany","415","0.342052456632316","0.314764314218115","0.369340599046517","1"
"CDU/CSU","2006","Employed","West Germany","2085","0.381878644589662","0.368689889947661","0.395067399231663","1"
"CDU/CSU","2006","Not Employed","West Germany","1561","0.46155849330514","0.44447184605532","0.47864514055496","1"
"CDU/CSU","2006","Not Employed","East Germany","263","0.297730047524654","0.267044282699879","0.32841581234943","1"
"FDP","2006","Employed","West Germany","291","0.0541240955986596","0.0479819990925577","0.0602661921047615","3"
"FDP","2006","Not Employed","East Germany","17","","","","3"
"FDP","2006","Not Employed","West Germany","122","0.0381407072707987","0.0315758640576696","0.0447055504839277","3"
"FDP","2006","Employed","East Germany","76","0.0595679890791961","0.0459534747768205","0.0731825033815718","3"
"NPD Combination","2006","Employed","East Germany","38","0.0632412610609384","0.0492406781280346","0.0772418439938423","6"
"NPD Combination","2006","Employed","West Germany","74","0.0202839232465966","0.0164571711820499","0.0241106753111432","6"
"NPD Combination","2006","Not Employed","East Germany","12","","","","6"
"NPD Combination","2006","Not Employed","West Germany","12","","","","6"
"Other","2006","Not Employed","West Germany","26","","","","8"
"Other","2006","Not Employed","East Germany","8","","","","8"
"Other","2006","Employed","West Germany","48","0.0100663610949368","0.00735652188660214","0.0127762003032715","8"
"Other","2006","Employed","East Germany","10","","","","8"
"PDS/Linke","2006","Not Employed","West Germany","55","0.0190819279834807","0.0143926961039945","0.023771159862967","5"
"PDS/Linke","2006","Not Employed","East Germany","238","0.295928198466319","0.265296207445199","0.326560189487438","5"
"PDS/Linke","2006","Employed","West Germany","112","0.0242200588428658","0.0200468725847966","0.028393245100935","5"
"PDS/Linke","2006","Employed","East Germany","230","0.202818806004469","0.179689392820414","0.225948219188524","5"
"SPD","2006","Not Employed","West Germany","1301","0.42433111473845","0.407391129321934","0.441271100154965","2"
"SPD","2006","Not Employed","East Germany","285","0.326093005244137","0.294634049743175","0.3575519607451","2"
"SPD","2006","Employed","West Germany","1924","0.373009738205639","0.359881854784971","0.386137621626307","2"
"SPD","2006","Employed","East Germany","302","0.249750497281979","0.224851146700583","0.274649847863375","2"
"AfD","2007","Not Employed","West Germany","","","","","7"
"AfD","2007","Employed","West Germany","","","","","7"
"AfD","2007","Employed","East Germany","","","","","7"
"AfD","2007","Not Employed","East Germany","","","","","7"
"CDU/CSU","2007","Employed","West Germany","1707","0.377266457653021","0.362884079245956","0.391648836060087","1"
"CDU/CSU","2007","Not Employed","West Germany","1343","0.461724546923546","0.443327830353048","0.480121263494043","1"
"CDU/CSU","2007","Not Employed","East Germany","217","0.271866267071597","0.239938987509276","0.303793546633918","1"
"CDU/CSU","2007","Employed","East Germany","294","0.273560921897077","0.244707983280804","0.30241386051335","1"
"FDP","2007","Not Employed","East Germany","14","","","","3"
"FDP","2007","Employed","East Germany","66","0.0653553017550805","0.0493587229930089","0.0813518805171522","3"
"FDP","2007","Employed","West Germany","262","0.0486824041567687","0.0422967666972901","0.0550680416162472","3"
"FDP","2007","Not Employed","West Germany","126","0.041230271370676","0.0338933848596059","0.0485671578817461","3"
"NPD Combination","2007","Not Employed","West Germany","16","","","","6"
"NPD Combination","2007","Not Employed","East Germany","6","","","","6"
"NPD Combination","2007","Employed","West Germany","61","0.017367971563189","0.0134915991691343","0.0212443439572437","6"
"NPD Combination","2007","Employed","East Germany","33","0.0596086204502367","0.0442846156874105","0.0749326252130629","6"
"Other","2007","Not Employed","West Germany","18","","","","8"
"Other","2007","Not Employed","East Germany","4","","","","8"
"Other","2007","Employed","West Germany","46","0.00992797770843757","0.00698613617346261","0.0128698192434125","8"
"Other","2007","Employed","East Germany","10","","","","8"
"PDS/Linke","2007","Not Employed","West Germany","47","0.0176407123921334","0.0127829106598576","0.0224985141244091","5"
"PDS/Linke","2007","Not Employed","East Germany","217","0.295201911231862","0.262470056232768","0.327933766230957","5"
"PDS/Linke","2007","Employed","West Germany","95","0.0254833117496013","0.0208072734628147","0.0301593500363879","5"
"PDS/Linke","2007","Employed","East Germany","204","0.23808383231775","0.210517310672765","0.265650353962735","5"
"SPD","2007","Employed","East Germany","229","0.239587978244164","0.211961824672966","0.267214131815362","2"
"SPD","2007","Not Employed","West Germany","1088","0.409688874560202","0.391541486869459","0.427836262250944","2"
"SPD","2007","Employed","West Germany","1582","0.368143848289005","0.353832736720265","0.382454959857745","2"
"SPD","2007","Not Employed","East Germany","248","0.347283850759317","0.31311871502448","0.381448986494153","2"
"AfD","2008","Not Employed","East Germany","","","","","7"
"AfD","2008","Not Employed","West Germany","","","","","7"
"AfD","2008","Employed","West Germany","","","","","7"
"AfD","2008","Employed","East Germany","","","","","7"
"CDU/CSU","2008","Employed","West Germany","1658","0.383899408379071","0.369068934514488","0.398729882243655","1"
"CDU/CSU","2008","Employed","East Germany","294","0.321641508197686","0.290513185845196","0.352769830550177","1"
"CDU/CSU","2008","Not Employed","West Germany","1340","0.489505665238113","0.470590415514781","0.508420914961445","1"
"CDU/CSU","2008","Not Employed","East Germany","208","0.287420182684449","0.253918665813671","0.320921699555227","1"
"FDP","2008","Not Employed","East Germany","15","","","","3"
"FDP","2008","Employed","East Germany","65","0.0665144593848049","0.04990896279736","0.0831199559722499","3"
"FDP","2008","Employed","West Germany","258","0.0583194065182513","0.0511731458818364","0.0654656671546663","3"
"FDP","2008","Not Employed","West Germany","127","0.0413500199762482","0.0338163663243103","0.0488836736281862","3"
"NPD Combination","2008","Not Employed","West Germany","8","","","","6"
"NPD Combination","2008","Not Employed","East Germany","12","","","","6"
"NPD Combination","2008","Employed","West Germany","56","0.0139684973826171","0.0103896701441031","0.017547324621131","6"
"NPD Combination","2008","Employed","East Germany","29","","","","6"
"Other","2008","Not Employed","West Germany","21","","","","8"
"Other","2008","Not Employed","East Germany","2","","","","8"
"Other","2008","Employed","West Germany","32","0.00825775036620532","0.00549812088371603","0.0110173798486946","8"
"Other","2008","Employed","East Germany","3","","","","8"
"PDS/Linke","2008","Not Employed","East Germany","226","0.314496461387337","0.28012469794585","0.348868224828823","5"
"PDS/Linke","2008","Not Employed","West Germany","60","0.0209547223975213","0.0155349618522378","0.0263744829428047","5"
"PDS/Linke","2008","Employed","West Germany","129","0.0324889864271435","0.0270824823652668","0.0378954904890202","5"
"PDS/Linke","2008","Employed","East Germany","195","0.247087161088404","0.218343804778248","0.27583051739856","5"
"SPD","2008","Not Employed","West Germany","969","0.385503967312571","0.367087271189275","0.403920663435866","2"
"SPD","2008","Employed","East Germany","198","0.202109612911537","0.175348440328142","0.228870785494932","2"
"SPD","2008","Employed","West Germany","1422","0.354461102850181","0.339874102489404","0.369048103210958","2"
"SPD","2008","Not Employed","East Germany","211","0.297406574483066","0.263567661374134","0.331245487591998","2"
"AfD","2009","Not Employed","East Germany","","","","","7"
"AfD","2009","Not Employed","West Germany","","","","","7"
"AfD","2009","Employed","West Germany","","","","","7"
"AfD","2009","Employed","East Germany","","","","","7"
"CDU/CSU","2009","Not Employed","West Germany","1197","0.471511997077663","0.45195201833458","0.491071975820746","1"
"CDU/CSU","2009","Employed","East Germany","253","0.26789154773819","0.23729887880122","0.298484216675161","1"
"CDU/CSU","2009","Not Employed","East Germany","213","0.296070704643526","0.261707355673533","0.330434053613519","1"
"CDU/CSU","2009","Employed","West Germany","1395","0.367703935171108","0.352137835609013","0.383270034733204","1"
"FDP","2009","Employed","East Germany","71","0.101351880393375","0.0805040487568339","0.122199712029917","3"
"FDP","2009","Not Employed","East Germany","22","","","","3"
"FDP","2009","Employed","West Germany","352","0.0956100956815266","0.0861171683834587","0.105103022979595","3"
"FDP","2009","Not Employed","West Germany","199","0.0667191938520161","0.0569415097811999","0.0764968779228324","3"
"NPD Combination","2009","Not Employed","East Germany","15","","","","6"
"NPD Combination","2009","Employed","West Germany","52","0.0198500374859878","0.0153470850974528","0.0243529898745227","6"
"NPD Combination","2009","Not Employed","West Germany","10","","","","6"
"NPD Combination","2009","Employed","East Germany","25","","","","6"
"Other","2009","Not Employed","East Germany","6","","","","8"
"Other","2009","Not Employed","West Germany","21","","","","8"
"Other","2009","Employed","West Germany","40","0.0111730229492061","0.00777977243079464","0.0145662734676175","8"
"Other","2009","Employed","East Germany","9","","","","8"
"PDS/Linke","2009","Not Employed","East Germany","205","0.290983964195909","0.256794223970479","0.32517370442134","5"
"PDS/Linke","2009","Not Employed","West Germany","55","0.0238251334210687","0.0178494728616715","0.0298007939804659","5"
"PDS/Linke","2009","Employed","West Germany","94","0.0259226071209343","0.0207927355022668","0.0310524787396018","5"
"PDS/Linke","2009","Employed","East Germany","184","0.245907385808382","0.216160035971676","0.275654735645089","5"
"SPD","2009","Not Employed","West Germany","856","0.366894834565362","0.348010000833207","0.385779668297517","2"
"SPD","2009","Employed","East Germany","174","0.18889797528517","0.161858295447111","0.21593765512323","2"
"SPD","2009","Employed","West Germany","1172","0.314388106684","0.299400142345993","0.329376071022007","2"
"SPD","2009","Not Employed","East Germany","186","0.275566145400491","0.241934699148239","0.309197591652743","2"
"AfD","2010","Not Employed","East Germany","","","","","7"
"AfD","2010","Not Employed","West Germany","","","","","7"
"AfD","2010","Employed","West Germany","","","","","7"
"AfD","2010","Employed","East Germany","","","","","7"
"CDU/CSU","2010","Employed","East Germany","399","0.278532112131582","0.253955115884174","0.30310910837899","1"
"CDU/CSU","2010","Not Employed","West Germany","1388","0.44715697998219","0.429727496114391","0.46458646384999","1"
"CDU/CSU","2010","Employed","West Germany","2128","0.360083464833793","0.347714819628889","0.372452110038698","1"
"CDU/CSU","2010","Not Employed","East Germany","261","0.303432304994716","0.27228661657023","0.334577993419202","1"
"FDP","2010","Employed","East Germany","94","0.0546984565442554","0.0422316453150142","0.0671652677734967","3"
"FDP","2010","Not Employed","East Germany","19","","","","3"
"FDP","2010","Employed","West Germany","442","0.0772523608764775","0.0703728711249523","0.0841318506280028","3"
"FDP","2010","Not Employed","West Germany","200","0.053727734497024","0.0458234798347188","0.0616319891593292","3"
"NPD Combination","2010","Not Employed","East Germany","16","","","","6"
"NPD Combination","2010","Employed","West Germany","66","0.012968805603187","0.0100535656601977","0.0158840455461762","6"
"NPD Combination","2010","Not Employed","West Germany","25","","","","6"
"NPD Combination","2010","Employed","East Germany","57","0.0760642342181355","0.0615299448547808","0.0905985235814903","6"
"Other","2010","Not Employed","East Germany","6","","","","8"
"Other","2010","Not Employed","West Germany","26","","","","8"
"Other","2010","Employed","West Germany","67","0.0153350688328262","0.0121688131912971","0.0185013244743552","8"
"Other","2010","Employed","East Germany","15","","","","8"
