"party","year","migback","n","percent","lower_confidence","upper_confidence","value"
"CDU/CSU","2005","direct migration background","346","0.460255081560075","0.423974631577418","0.496535531542732","2"
"CDU/CSU","2005","indirect migration background","59","0.292540807820508","0.231446293821842","0.353635321819174","2"
"CDU/CSU","2005","no migration background","3360","0.412765949439008","0.402019023873249","0.423512875004767","2"
"FDP","2005","no migration background","362","0.038105110665066","0.0339260168904982","0.0422842044396338","3"
"FDP","2005","direct migration background","18","","","","3"
"FDP","2005","indirect migration background","5","","","","3"
"NPD","2005","no migration background","126","0.0201663761214743","0.0170979420611872","0.0232348101817614","6"
"NPD","2005","direct migration background","1","","","","6"
"NPD","2005","indirect migration background","2","","","","6"
"Other","2005","no migration background","78","0.0118353178195907","0.00947466934769115","0.0141959662914903","8"
"Other","2005","direct migration background","5","","","","8"
"Other","2005","indirect migration background","2","","","","8"
"PDS/Linke","2005","no migration background","413","0.0410013119672738","0.0366728403169679","0.0453297836175797","5"
"PDS/Linke","2005","direct migration background","22","","","","5"
"PDS/Linke","2005","indirect migration background","2","","","","5"
"SPD","2005","no migration background","2896","0.375573024979663","0.36500205795099","0.386143992008337","1"
"SPD","2005","direct migration background","290","0.394095828854341","0.358525983419679","0.429665674289004","1"
"SPD","2005","indirect migration background","111","0.447933044105856","0.381150844907651","0.514715243304062","1"
"AfD","2006","direct migration background","","","","","7"
"AfD","2006","no migration background","","","","","7"
"AfD","2006","indirect migration background","","","","","7"
"CDU/CSU","2006","direct migration background","329","0.381620925110572","0.347061167671215","0.416180682549928","2"
"CDU/CSU","2006","indirect migration background","63","0.234257403365053","0.181331460539783","0.287183346190322","2"
"CDU/CSU","2006","no migration background","3932","0.411954075555583","0.402006924453109","0.421901226658057","2"
"FDP","2006","no migration background","462","0.0469099668244872","0.0426366192480327","0.0511833144009417","3"
"FDP","2006","direct migration background","21","","","","3"
"FDP","2006","indirect migration background","10","","","","3"
"NPD","2006","no migration background","128","0.0176600966080211","0.0149981697296745","0.0203220234863677","6"
"NPD","2006","direct migration background","1","","","","6"
"NPD","2006","indirect migration background","3","","","","6"
"Other","2006","no migration background","81","0.00990908460499888","0.00790727394716764","0.0119108952628301","8"
"Other","2006","direct migration background","7","","","","8"
"Other","2006","indirect migration background","4","","","","8"
"PDS/Linke","2006","no migration background","583","0.0579060358331153","0.0531856475995945","0.062626424066636","5"
"PDS/Linke","2006","direct migration background","27","","","","5"
"PDS/Linke","2006","indirect migration background","6","","","","5"
"SPD","2006","no migration background","3360","0.370499506487615","0.36073926539668","0.380259747578551","1"
"SPD","2006","direct migration background","325","0.467725444635946","0.432228534243021","0.503222355028871","1"
"SPD","2006","indirect migration background","126","0.455370726034315","0.393138751313856","0.517602700754773","1"
"AfD","2007","no migration background","","","","","7"
"AfD","2007","direct migration background","","","","","7"
"AfD","2007","indirect migration background","","","","","7"
"CDU/CSU","2007","direct migration background","260","0.373328504548408","0.334398335448549","0.412258673648267","2"
"CDU/CSU","2007","indirect migration background","59","0.233328648446209","0.176395026811083","0.290262270081335","2"
"CDU/CSU","2007","no migration background","3242","0.402877142598707","0.392105712609101","0.413648572588313","2"
"FDP","2007","no migration background","426","0.043471335830017","0.0389931131164387","0.0479495585435952","3"
"FDP","2007","direct migration background","17","","","","3"
"FDP","2007","indirect migration background","9","","","","3"
"NPD","2007","no migration background","112","0.0172024664148926","0.0143469636223462","0.0200579692074391","6"
"NPD","2007","direct migration background","3","","","","6"
"NPD","2007","indirect migration background","","","","","6"
"Other","2007","no migration background","71","0.00847781350485381","0.00646432873665208","0.0104912982730555","8"
"Other","2007","direct migration background","5","","","","8"
"Other","2007","indirect migration background","2","","","","8"
"PDS/Linke","2007","direct migration background","22","","","","5"
"PDS/Linke","2007","no migration background","522","0.0609020284287552","0.0556500064963995","0.0661540503611108","5"
"PDS/Linke","2007","indirect migration background","6","","","","5"
"SPD","2007","no migration background","2792","0.365920820330322","0.355342407590628","0.376499233070016","1"
"SPD","2007","direct migration background","243","0.442330618224595","0.402356154530874","0.482305081918317","1"
"SPD","2007","indirect migration background","109","0.468783321719325","0.401609185982932","0.535957457455717","1"
"AfD","2008","direct migration background","","","","","7"
"AfD","2008","no migration background","","","","","7"
"AfD","2008","indirect migration background","","","","","7"
"CDU/CSU","2008","direct migration background","266","0.422468235845335","0.381557334703591","0.46337913698708","2"
"CDU/CSU","2008","indirect migration background","69","0.276400388243694","0.217170008021505","0.335630768465883","2"
"CDU/CSU","2008","no migration background","3165","0.419242037708392","0.408082193792724","0.430401881624061","2"
"FDP","2008","no migration background","410","0.0458787565499968","0.0411468547348992","0.0506106583650945","3"
"FDP","2008","direct migration background","18","","","","3"
"FDP","2008","indirect migration background","11","","","","3"
"NPD","2008","no migration background","99","0.0148072968555252","0.0120756370813078","0.0175389566297425","6"
"NPD","2008","direct migration background","","","","","6"
"NPD","2008","indirect migration background","2","","","","6"
"Other","2008","no migration background","50","0.0068256874443504","0.00496354002058556","0.00868783486811525","8"
"Other","2008","direct migration background","3","","","","8"
"Other","2008","indirect migration background","5","","","","8"
"PDS/Linke","2008","no migration background","568","0.0676199228200334","0.0619410525135161","0.0732987931265507","5"
"PDS/Linke","2008","direct migration background","25","","","","5"
"PDS/Linke","2008","indirect migration background","5","","","","5"
"SPD","2008","no migration background","2482","0.345150783944581","0.334398438453298","0.355903129435864","1"
"SPD","2008","direct migration background","216","0.413744791730135","0.372953852576445","0.454535730883825","1"
"SPD","2008","indirect migration background","99","0.421725141444545","0.356320595442048","0.487129687447041","1"
"AfD","2009","no migration background","","","","","7"
"AfD","2009","direct migration background","","","","","7"
"AfD","2009","indirect migration background","","","","","7"
"CDU/CSU","2009","direct migration background","224","0.387081897732529","0.343462166105971","0.430701629359088","2"
"CDU/CSU","2009","indirect migration background","46","0.233592715868695","0.171082468575226","0.296102963162164","2"
"CDU/CSU","2009","no migration background","2788","0.403091070446202","0.391553911880208","0.414628229012197","2"
"FDP","2009","no migration background","571","0.075488950229316","0.0692753832949906","0.0817025171636415","3"
"FDP","2009","direct migration background","21","","","","3"
"FDP","2009","indirect migration background","19","","","","3"
"NPD","2009","no migration background","97","0.0190755013215305","0.0158581461544191","0.022292856488642","6"
"NPD","2009","direct migration background","2","","","","6"
"NPD","2009","indirect migration background","2","","","","6"
"Other","2009","no migration background","69","0.00946739974210644","0.0071897183222028","0.0117450811620101","8"
"Other","2009","direct migration background","4","","","","8"
"Other","2009","indirect migration background","3","","","","8"
"PDS/Linke","2009","no migration background","513","0.0679675838874363","0.0620477481034708","0.0738874196714018","5"
"PDS/Linke","2009","direct migration background","19","","","","5"
"PDS/Linke","2009","indirect migration background","4","","","","5"
"SPD","2009","no migration background","2145","0.316319523492154","0.305381651841342","0.327257395142966","1"
"SPD","2009","direct migration background","163","0.365143983950795","0.322026835721816","0.408261132179773","1"
"SPD","2009","indirect migration background","78","0.418697335581158","0.345811520893933","0.491583150268383","1"
"AfD","2010","no migration background","","","","","7"
"AfD","2010","direct migration background","","","","","7"
"AfD","2010","indirect migration background","","","","","7"
"CDU/CSU","2010","no migration background","3682","0.387500419226488","0.377763090093069","0.397237748359907","2"
"CDU/CSU","2010","direct migration background","392","0.406810782648514","0.374805869483677","0.438815695813351","2"
"CDU/CSU","2010","indirect migration background","102","0.252867390417239","0.209165366322588","0.29656941451189","2"
"FDP","2010","direct migration background","42","0.0427410716949819","0.0295627162223685","0.0559194271675953","3"
"FDP","2010","no migration background","641","0.0583167723134161","0.0536329542110049","0.0630005904158274","3"
"FDP","2010","indirect migration background","27","","","","3"
"NPD","2010","no migration background","157","0.0175160729048181","0.0148940772786337","0.0201380685310026","6"
"NPD","2010","direct migration background","1","","","","6"
"NPD","2010","indirect migration background","3","","","","6"
"Other","2010","no migration background","106","0.011261810996125","0.0091527184577266","0.0133709035345234","8"
"Other","2010","direct migration background","2","","","","8"
"Other","2010","indirect migration background","6","","","","8"
"PDS/Linke","2010","no migration background","808","0.0853420970689778","0.0797578854946473","0.0909263086433083","5"
"PDS/Linke","2010","direct migration background","55","0.0572039352824617","0.0420737016125066","0.0723341689524169","5"
"PDS/Linke","2010","indirect migration background","18","","","","5"
"SPD","2010","direct migration background","322","0.390686374555836","0.358898727745673","0.422474021365999","1"
"SPD","2010","no migration background","2776","0.312609903899806","0.303344723805918","0.321875083993693","1"
"SPD","2010","indirect migration background","144","0.419031683097141","0.369423199980696","0.468640166213585","1"
"AfD","2011","no migration background","","","","","7"
"AfD","2011","direct migration background","","","","","7"
"AfD","2011","indirect migration background","","","","","7"
"CDU/CSU","2011","no migration background","3233","0.391900366616809","0.381314844876828","0.40248588835679","2"
"CDU/CSU","2011","indirect migration background","59","0.242724283202941","0.186704624194434","0.298743942211448","2"
"CDU/CSU","2011","direct migration background","266","0.374338376678133","0.336305880211132","0.412370873145134","2"
"FDP","2011","direct migration background","15","","","","3"
"FDP","2011","no migration background","277","0.0264870882853903","0.0230051182430201","0.0299690583277606","3"
"FDP","2011","indirect migration background","8","","","","3"
"NPD","2011","no migration background","105","0.0157887234921589","0.0130856693757514","0.0184917776085664","6"
"NPD","2011","direct migration background","1","","","","6"
"NPD","2011","indirect migration background","1","","","","6"
"Other","2011","no migration background","98","0.014453028649797","0.0118650829581517","0.0170409743414422","8"
"Other","2011","direct migration background","6","","","","8"
"Other","2011","indirect migration background","4","","","","8"
"PDS/Linke","2011","no migration background","542","0.0617317401234715","0.0565131302102624","0.0669503500366806","5"
"PDS/Linke","2011","direct migration background","31","0.0506370276384066","0.033406318727253","0.0678677365495603","5"
"PDS/Linke","2011","indirect migration background","11","","","","5"
"SPD","2011","direct migration background","218","0.380989946127174","0.342825540088793","0.419154352165555","1"
"SPD","2011","no migration background","2529","0.327042567167503","0.316869942955165","0.337215191379841","1"
"SPD","2011","indirect migration background","85","0.39003366452899","0.326301185466096","0.453766143591884","1"
"AfD","2012","no migration background","","","","","7"
"AfD","2012","direct migration background","","","","","7"
"AfD","2012","indirect migration background","","","","","7"
"CDU/CSU","2012","no migration background","3179","0.404419979408818","0.393541038456198","0.415298920361439","2"
"CDU/CSU","2012","direct migration background","270","0.423465977593746","0.383426178442426","0.463505776745065","2"
"CDU/CSU","2012","indirect migration background","61","0.268028502023341","0.209231197212983","0.326825806833699","2"
"FDP","2012","no migration background","205","0.0222562974321614","0.0189863616026519","0.025526233261671","3"
"FDP","2012","direct migration background","17","","","","3"
"FDP","2012","indirect migration background","6","","","","3"
"NPD","2012","no migration background","82","0.013415257219393","0.0108650999905617","0.0159654144482243","6"
"NPD","2012","indirect migration background","2","","","","6"
"NPD","2012","direct migration background","3","","","","6"
"Other","2012","no migration background","53","0.00727570111096318","0.00539182643147057","0.00915957579045578","8"
"Other","2012","direct migration background","3","","","","8"
"Other","2012","indirect migration background","1","","","","8"
"PDS/Linke","2012","no migration background","495","0.0599910513749044","0.0547271288507835","0.0652549738990252","5"
"PDS/Linke","2012","direct migration background","26","","","","5"
"PDS/Linke","2012","indirect migration background","9","","","","5"
"SPD","2012","direct migration background","202","0.374662247775619","0.335438647964264","0.413885847586974","1"
"SPD","2012","no migration background","2570","0.336053841138148","0.325583251931188","0.346524430345108","1"
"SPD","2012","indirect migration background","94","0.451515032249479","0.385455070811392","0.517574993687566","1"
"AfD","2013","no migration background","","","","","7"
"AfD","2013","direct migration background","","","","","7"
"AfD","2013","indirect migration background","","","","","7"
"CDU/CSU","2013","no migration background","3243","0.426311503996244","0.415246825728155","0.437376182264332","2"
"CDU/CSU","2013","indirect migration background","114","0.232741867063281","0.194938065083638","0.270545669042923","2"
"CDU/CSU","2013","direct migration background","605","0.412959063268297","0.386915493211012","0.439002633325581","2"
"FDP","2013","direct migration background","31","0.0323997421325976","0.0230342287889217","0.0417652554762734","3"
"FDP","2013","no migration background","229","0.024711687012549","0.0212382862045396","0.0281850878205583","3"
"FDP","2013","indirect migration background","12","","","","3"
"NPD","2013","no migration background","57","0.00988440930443324","0.00767103173951591","0.0120977868693506","6"
"NPD","2013","direct migration background","4","","","","6"
"NPD","2013","indirect migration background","2","","","","6"
"Other","2013","no migration background","79","0.0136849548765684","0.0110855932256439","0.016284316527493","8"
"Other","2013","direct migration background","15","","","","8"
"Other","2013","indirect migration background","6","","","","8"
"PDS/Linke","2013","no migration background","442","0.0508340981855598","0.0459195248577245","0.055748671513395","5"
"PDS/Linke","2013","direct migration background","67","0.0475323950296002","0.0362777247045872","0.0587870653546132","5"
"PDS/Linke","2013","indirect migration background","30","0.0516559970306662","0.031855741381518","0.0714562526798143","5"
"SPD","2013","direct migration background","489","0.368909963244915","0.343387729808621","0.394432196681208","1"
"SPD","2013","no migration background","2415","0.325090270341464","0.314610252452953","0.335570288229975","1"
"SPD","2013","indirect migration background","223","0.442278782125609","0.397847984646294","0.486709579604924","1"
"AfD","2014","no migration background","181","0.0164388465025508","0.0139179891116399","0.0189597038934618","7"
"AfD","2014","direct migration background","17","","","","7"
"AfD","2014","indirect migration background","11","","","","7"
"CDU/CSU","2014","no migration background","4054","0.422441188338204","0.412648697845606","0.432233678830801","2"
"CDU/CSU","2014","indirect migration background","135","0.213392099044602","0.179609567811299","0.247174630277905","2"
"CDU/CSU","2014","direct migration background","615","0.42204652584525","0.396120060707","0.447972990983501","2"
"FDP","2014","no migration background","263","0.0245766039838006","0.0215070912208454","0.0276461167467557","3"
"FDP","2014","direct migration background","24","","","","3"
"FDP","2014","indirect migration background","15","","","","3"
"NPD","2014","no migration background","88","0.0104469164282487","0.00843121811607308","0.0124626147404244","6"
"NPD","2014","indirect migration background","7","","","","6"
"NPD","2014","direct migration background","4","","","","6"
"Other","2014","no migration background","91","0.00870515053392243","0.00686352430654575","0.0105467767612991","8"
"Other","2014","direct migration background","10","","","","8"
"Other","2014","indirect migration background","5","","","","8"
"PDS/Linke","2014","no migration background","735","0.0679214726404939","0.0629332971747163","0.0729096481062715","5"
"PDS/Linke","2014","direct migration background","130","0.0783249649593557","0.0642205290791726","0.0924294008395389","5"
"PDS/Linke","2014","indirect migration background","49","0.0952336608175069","0.0710296507977195","0.119437670837294","5"
"SPD","2014","direct migration background","447","0.343602171515189","0.318671830342557","0.368532512687822","1"
"SPD","2014","no migration background","2907","0.317659629995647","0.308429804929983","0.326889455061311","1"
"SPD","2014","indirect migration background","234","0.413171817733975","0.372570073246732","0.453773562221218","1"
"AfD","2015","no migration background","247","0.0309813951400148","0.0272946873990978","0.0346681028809318","7"
"AfD","2015","direct migration background","19","","","","7"
"AfD","2015","indirect migration background","7","","","","7"
"CDU/CSU","2015","no migration background","3481","0.425515948510754","0.414995867670891","0.436036029350616","2"
"CDU/CSU","2015","indirect migration background","123","0.247195690364192","0.207731495757899","0.286659884970484","2"
"CDU/CSU","2015","direct migration background","542","0.430417070436818","0.402656031568659","0.458178109304977","2"
"FDP","2015","no migration background","237","0.0254893101367589","0.0221358394674862","0.0288427808060316","3"
"FDP","2015","direct migration background","23","","","","3"
"FDP","2015","indirect migration background","10","","","","3"
"NPD","2015","no migration background","87","0.0111440296994621","0.00891040698168631","0.0133776524172378","6"
"NPD","2015","direct migration background","6","","","","6"
"NPD","2015","indirect migration background","5","","","","6"
"Other","2015","no migration background","80","0.0100602939012063","0.00793689360368095","0.0121836941987316","8"
"Other","2015","direct migration background","7","","","","8"
"Other","2015","indirect migration background","11","","","","8"
"PDS/Linke","2015","direct migration background","144","0.0854079722203629","0.0697377411978809","0.101078203242845","5"
"PDS/Linke","2015","no migration background","638","0.0643708705160553","0.0591490886453198","0.0695926523867908","5"
"PDS/Linke","2015","indirect migration background","40","0.096430249641791","0.0694261790013395","0.123434320282242","5"
"SPD","2015","direct migration background","359","0.316770585759849","0.290686946242","0.342854225277698","1"
"SPD","2015","no migration background","2448","0.298821020321617","0.289081396484951","0.308560644158282","1"
"SPD","2015","indirect migration background","179","0.373454236561722","0.329201835232816","0.417706637890629","1"
"AfD","2016","no migration background","449","0.0572162180657822","0.0520738103953714","0.0623586257361929","7"
"AfD","2016","direct migration background","50","0.0246221778691174","0.0152841551209466","0.0339602006172883","7"
"AfD","2016","indirect migration background","18","","","","7"
"CDU/CSU","2016","no migration background","3135","0.407048616560554","0.396171004596453","0.417926228524655","2"
"CDU/CSU","2016","indirect migration background","108","0.21484506163555","0.176159891257234","0.253530232013867","2"
"CDU/CSU","2016","direct migration background","430","0.392992231283507","0.363561953282907","0.422422509284108","2"
"FDP","2016","no migration background","246","0.030206261703563","0.0264166993655965","0.0339958240415296","3"
"FDP","2016","direct migration background","21","","","","3"
"FDP","2016","indirect migration background","13","","","","3"
"NPD","2016","no migration background","59","0.00949642019901485","0.00734904039813708","0.0116437999998926","6"
"NPD","2016","indirect migration background","5","","","","6"
"NPD","2016","direct migration background","7","","","","6"
"Other","2016","no migration background","83","0.0108541995625834","0.00856000664788851","0.0131483924772784","8"
"Other","2016","direct migration background","10","","","","8"
"Other","2016","indirect migration background","8","","","","8"
"PDS/Linke","2016","no migration background","559","0.0631610128489318","0.057775117653763","0.0685469080441007","5"
"PDS/Linke","2016","direct migration background","99","0.0775077801225204","0.061395416201117","0.0936201440439237","5"
"PDS/Linke","2016","indirect migration background","45","0.0921316204146536","0.0648908150777701","0.119372425751537","5"
"SPD","2016","direct migration background","298","0.332095897042338","0.303717094393377","0.360474699691299","1"
"SPD","2016","no migration background","2025","0.266245716561001","0.256459439277605","0.276031993844396","1"
"SPD","2016","indirect migration background","158","0.397562211659845","0.351466259038986","0.443658164280704","1"
"AfD","2017","no migration background","442","0.0563660246074903","0.0515493802551188","0.0611826689598618","7"
"AfD","2017","direct migration background","57","0.0422905243127252","0.0323165523373606","0.0522644962880899","7"
"AfD","2017","indirect migration background","13","","","","7"
"CDU/CSU","2017","indirect migration background","127","0.20389486180966","0.168038553292521","0.239751170326799","2"
"CDU/CSU","2017","no migration background","3385","0.388010771140771","0.377833581364325","0.398187960917218","2"
"CDU/CSU","2017","direct migration background","787","0.36571836837302","0.341848821714042","0.389587915031998","2"
"FDP","2017","no migration background","374","0.0396282760979742","0.0355539445637396","0.0437026076322087","3"
"FDP","2017","direct migration background","35","0.0337136793697974","0.024768568897789","0.0426587898418057","3"
"FDP","2017","indirect migration background","20","","","","3"
"NPD","2017","no migration background","80","0.00733903365985619","0.00555643323777764","0.00912163408193475","6"
"NPD","2017","direct migration background","4","","","","6"
"NPD","2017","indirect migration background","3","","","","6"
"Other","2017","no migration background","88","0.0112886915013593","0.00908225900097932","0.0134951240017393","8"
"Other","2017","direct migration background","18","","","","8"
"Other","2017","indirect migration background","13","","","","8"
"PDS/Linke","2017","no migration background","641","0.0675492973641991","0.0623077749043139","0.0727908198240843","5"
"PDS/Linke","2017","direct migration background","120","0.0845043496185969","0.0707196473269","0.0982890519102939","5"
"PDS/Linke","2017","indirect migration background","56","0.135263380555129","0.104825860431685","0.165700900678574","5"
"SPD","2017","direct migration background","391","0.346976583872349","0.323385701923565","0.370567465821134","1"
"SPD","2017","no migration background","2626","0.312308028735564","0.302629203583196","0.321986853887931","1"
"SPD","2017","indirect migration background","179","0.405739022268823","0.362038239365753","0.449439805171893","1"
"AfD","2018","no migration background","596","0.0692472363647676","0.0639516906369775","0.0745427820925576","7"
"AfD","2018","direct migration background","96","0.0725144073887775","0.0602726097161096","0.0847562050614454","7"
"AfD","2018","indirect migration background","27","","","","7"
"CDU/CSU","2018","no migration background","3176","0.376741772249522","0.366634167960273","0.386849376538771","2"
"CDU/CSU","2018","indirect migration background","123","0.185192447542078","0.152214498306254","0.218170396777903","2"
"CDU/CSU","2018","direct migration background","844","0.365351484892797","0.342621375136357","0.388081594649236","2"
"FDP","2018","no migration background","461","0.0499681541229608","0.0454234243276882","0.0545128839182334","3"
"FDP","2018","direct migration background","45","0.0273274799897553","0.0196315239918863","0.0350234359876243","3"
"FDP","2018","indirect migration background","35","0.0759648845000489","0.0534725172834637","0.0984572517166341","3"
"NPD","2018","no migration background","26","","","","6"
"NPD","2018","direct migration background","2","","","","6"
"NPD","2018","indirect migration background","2","","","","6"
"Other","2018","no migration background","131","0.0158496662560279","0.0132445139689515","0.0184548185431042","8"
"Other","2018","direct migration background","25","","","","8"
"Other","2018","indirect migration background","10","","","","8"
"PDS/Linke","2018","no migration background","788","0.077561396965833","0.0719820434652713","0.0831407504663948","5"
"PDS/Linke","2018","direct migration background","120","0.0751767895247661","0.0627301902293859","0.0876233888201462","5"
"PDS/Linke","2018","indirect migration background","69","0.142620399563028","0.112933702277851","0.172307096848205","5"
"SPD","2018","direct migration background","371","0.331077664416546","0.308863383967481","0.35329194486561","1"
"SPD","2018","indirect migration background","177","0.306116265613199","0.266989761749694","0.345242769476703","1"
"SPD","2018","no migration background","2197","0.260051620697637","0.250901584194918","0.269201657200356","1"
"AfD","2019","direct migration background","77","0.0715767191673166","0.0555187951439215","0.0876346431907117","7"
"AfD","2019","indirect migration background","32","0.0592664258671227","0.0402938062841699","0.0782390454500755","7"
"AfD","2019","no migration background","632","0.0763935855957644","0.0711039548210515","0.0816832163704774","7"
"CDU/CSU","2019","no migration background","3287","0.335878721771497","0.326473514204733","0.345283929338262","2"
"CDU/CSU","2019","direct migration background","370","0.337688140342219","0.308229027510188","0.367147253174251","2"
"CDU/CSU","2019","indirect migration background","145","0.187717379996358","0.156341535011095","0.219093224981621","2"
"FDP","2019","no migration background","597","0.0485131826349958","0.0442347498615214","0.0527916154084702","3"
"FDP","2019","direct migration background","39","0.0320421555997103","0.0210718284723948","0.0430124827270258","3"
"FDP","2019","indirect migration background","32","0.0541890241411305","0.0359984063857531","0.0723796418965079","3"
"NPD","2019","no migration background","27","","","","6"
"NPD","2019","indirect migration background","2","","","","6"
"NPD","2019","direct migration background","","","","","6"
"Other","2019","no migration background","234","0.0223693735986243","0.0194244925869085","0.0253142546103401","8"
"Other","2019","direct migration background","13","","","","8"
"Other","2019","indirect migration background","17","","","","8"
"PDS/Linke","2019","no migration background","771","0.0790795611451851","0.0737055740116998","0.0844535482786704","5"
"PDS/Linke","2019","direct migration background","78","0.0796991031359161","0.0628288292446427","0.0965693770271894","5"
"PDS/Linke","2019","indirect migration background","58","0.125123217176481","0.0985385024024242","0.151707931950537","5"
"SPD","2019","direct migration background","224","0.273642566535455","0.24587118314864","0.301413949922271","1"
"SPD","2019","no migration background","1785","0.207822306712579","0.199742316659138","0.21590229676602","1"
"SPD","2019","indirect migration background","119","0.235730902626055","0.201625669890909","0.269836135361202","1"
