"party","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Other","2008","West Germany","53","0.00890181326834898","0.00665939964360031","0.0111442268930977","8"
"Other","2008","East Germany","5","","","","8"
"PDS/Linke","2008","West Germany","183","0.0272188777245056","0.0233341479243159","0.0311036075246953","5"
"PDS/Linke","2008","East Germany","415","0.278634003606624","0.256307677025488","0.300960330187761","5"
"SPD","2008","West Germany","2389","0.371869803564977","0.360331593647374","0.383408013482579","1"
"SPD","2008","East Germany","408","0.247123043219336","0.225642710387427","0.268603376051246","1"
"AfD","2009","East Germany","","","","","7"
"AfD","2009","West Germany","","","","","7"
"CDU/CSU","2009","East Germany","466","0.283538153814749","0.260528947578301","0.306547360051196","2"
"CDU/CSU","2009","West Germany","2592","0.418025071890213","0.405672757200606","0.43037738657982","2"
"FDP","2009","East Germany","91","0.0686973102755694","0.0557846821285489","0.0816099384225898","3"
"FDP","2009","West Germany","520","0.0763331104391079","0.0696833008148804","0.0829829200633354","3"
"Grüne","2009","West Germany","715","0.116932292443707","0.10888482407526","0.124979760812155","4"
"Grüne","2009","East Germany","116","0.0919367050071705","0.0771863702307776","0.106687039783563","4"
"NPD","2009","West Germany","62","0.0129187287893184","0.0100907158589854","0.0157467417196514","6"
"NPD","2009","East Germany","39","0.0488528613330651","0.0378484147929141","0.0598573078732162","6"
"Other","2009","West Germany","61","0.0100457319218864","0.00754830146967884","0.0125431623740941","8"
"Other","2009","East Germany","15","","","","8"
"PDS/Linke","2009","West Germany","149","0.0254298283396559","0.0214873136856054","0.0293723429937064","5"
"PDS/Linke","2009","East Germany","387","0.268617539010753","0.245989922855544","0.291245155165962","5"
"SPD","2009","West Germany","2026","0.340315236176111","0.328449246450741","0.352181225901481","1"
"SPD","2009","East Germany","360","0.231222036482037","0.209698460724493","0.25274561223958","1"
"AfD","2010","East Germany","","","","","7"
"AfD","2010","West Germany","","","","","7"
"CDU/CSU","2010","East Germany","660","0.29729026343435","0.277647854335864","0.316932672532835","2"
"CDU/CSU","2010","West Germany","3516","0.402071372947807","0.391839257543272","0.412303488352342","2"
"FDP","2010","East Germany","103","0.0338387782384471","0.0260682854464478","0.0416092710304463","3"
"FDP","2010","West Germany","607","0.0615842810316623","0.0565675391713666","0.0666010228919581","3"
"Grüne","2010","West Germany","1412","0.132468050178424","0.125393684728332","0.139542415628516","4"
"Grüne","2010","East Germany","205","0.0883496037432212","0.0761531692069368","0.100546038279506","4"
"NPD","2010","West Germany","91","0.0100479525124559","0.00796665077855052","0.0121292542463612","6"
"NPD","2010","East Germany","70","0.0489744156002632","0.0396997735992939","0.0582490576012326","6"
"Other","2010","West Germany","93","0.0119270659182684","0.00966163673272152","0.0141924951038152","8"
"Other","2010","East Germany","21","","","","8"
"PDS/Linke","2010","West Germany","319","0.0385938524065079","0.034574077884554","0.0426136269284618","5"
"PDS/Linke","2010","East Germany","562","0.311889897711506","0.291981053673114","0.331798741749897","5"
"SPD","2010","West Germany","2783","0.343307425004875","0.33339883562822","0.353216014381529","1"
"SPD","2010","East Germany","459","0.211439060370692","0.193891099225071","0.228987021516312","1"
"AfD","2011","East Germany","","","","","7"
"AfD","2011","West Germany","","","","","7"
"CDU/CSU","2011","East Germany","535","0.320725560558409","0.298197324612594","0.343253796504224","2"
"CDU/CSU","2011","West Germany","3023","0.397608100102146","0.386433282175947","0.408782918028344","2"
"FDP","2011","East Germany","49","0.0211618632255378","0.0142152973975862","0.0281084290534894","3"
"FDP","2011","West Germany","251","0.0270766193350483","0.0233705817264191","0.0307826569436774","3"
"Grüne","2011","West Germany","1374","0.177334941650429","0.168613626778737","0.186056256522121","4"
"Grüne","2011","East Germany","154","0.0889797672840458","0.0752378475627717","0.10272168700532","4"
"NPD","2011","East Germany","52","0.0472625684729401","0.0370206093747196","0.0575045275711606","6"
"NPD","2011","West Germany","55","0.00899249798001962","0.00683697861950816","0.0111480173405311","6"
"Other","2011","West Germany","95","0.0156838286662845","0.0128467809700625","0.0185208763625066","8"
"Other","2011","East Germany","13","","","","8"
"PDS/Linke","2011","West Germany","165","0.024670619842427","0.0211286980589313","0.0282125416259227","5"
"PDS/Linke","2011","East Germany","419","0.27031255818339","0.248876777228352","0.291748339138429","5"
"SPD","2011","East Germany","427","0.241751971208917","0.221087303785763","0.262416638632071","1"
"SPD","2011","West Germany","2405","0.348633392423646","0.337752349621142","0.35951443522615","1"
"AfD","2012","East Germany","","","","","7"
"AfD","2012","West Germany","","","","","7"
"CDU/CSU","2012","East Germany","534","0.339479940630451","0.316041693653684","0.362918187607219","2"
"CDU/CSU","2012","West Germany","2976","0.413002888522415","0.401511945380602","0.424493831664228","2"
"FDP","2012","West Germany","194","0.0231277576057906","0.0196198608940964","0.0266356543174849","3"
"FDP","2012","East Germany","34","0.0175385922774618","0.0110413333013842","0.0240358512535394","3"
"Grüne","2012","East Germany","135","0.0833753397632186","0.069692077888159","0.0970586016382783","4"
"Grüne","2012","West Germany","1208","0.167694789033039","0.158975878130158","0.17641369993592","4"
"NPD","2012","West Germany","45","0.00845832281657401","0.00632105589642611","0.0105955897367219","6"
"NPD","2012","East Germany","42","0.0398131454842696","0.0301355785168154","0.0494907124517237","6"
"Other","2012","East Germany","3","","","","8"
"Other","2012","West Germany","54","0.00809957327536044","0.00600774390210783","0.0101914026486131","8"
"PDS/Linke","2012","West Germany","143","0.0215843921783709","0.0181928849519817","0.0249758994047601","5"
"PDS/Linke","2012","East Germany","387","0.269770705634181","0.247802120802985","0.291739290465376","5"
"SPD","2012","East Germany","433","0.249361638245592","0.227947270285152","0.270776006206032","1"
"SPD","2012","West Germany","2433","0.35803227656845","0.34684359701366","0.36922095612324","1"
"AfD","2013","East Germany","","","","","7"
"AfD","2013","West Germany","","","","","7"
"CDU/CSU","2013","East Germany","601","0.366728111553361","0.343224801294699","0.390231421812023","2"
"CDU/CSU","2013","West Germany","3361","0.427624998294805","0.416723735145034","0.438526261444575","2"
"FDP","2013","East Germany","42","0.0231513460089461","0.015816962894142","0.0304857291237502","3"
"FDP","2013","West Germany","230","0.0263986827266655","0.0228661462391484","0.0299312192141827","3"
"Grüne","2013","East Germany","138","0.0839438568678311","0.0704194778556813","0.0974682358799809","4"
"Grüne","2013","West Germany","1326","0.160341736559973","0.152256745828692","0.168426727291254","4"
"NPD","2013","West Germany","36","0.00588158376336515","0.00419669530793285","0.00756647221879746","6"
"NPD","2013","East Germany","27","","","","6"
"Other","2013","East Germany","8","","","","8"
"Other","2013","West Germany","92","0.0137527770832858","0.0111865620181255","0.0163189921484462","8"
"PDS/Linke","2013","West Germany","183","0.0202787600879358","0.0171729355839978","0.0233845845918738","5"
"PDS/Linke","2013","East Germany","356","0.229601326460922","0.209089384110407","0.250113268811437","5"
"SPD","2013","East Germany","443","0.259577324920671","0.238195978052683","0.280958671788658","1"
"SPD","2013","West Germany","2684","0.34572146148397","0.335241746790293","0.356201176177647","1"
"AfD","2014","East Germany","50","0.0215570005942679","0.0153748142348979","0.027739186953638","7"
"AfD","2014","West Germany","159","0.0145724531589216","0.0121769469375391","0.0169679593803042","7"
"CDU/CSU","2014","West Germany","4024","0.42439017293897","0.414509981052828","0.434270364825112","2"
"CDU/CSU","2014","East Germany","780","0.363810904578779","0.343331792301989","0.384290016855568","2"
"FDP","2014","East Germany","56","0.021204092050816","0.0150716129966222","0.0273365711050097","3"
"FDP","2014","West Germany","246","0.0239688506084779","0.0209112971204693","0.0270264040964865","3"
"Grüne","2014","West Germany","1523","0.144779222366565","0.137745084736994","0.151813359996135","4"
"Grüne","2014","East Germany","188","0.0764379010079291","0.0651277712369451","0.087748030778913","4"
"NPD","2014","West Germany","52","0.00640171487725292","0.0048074069694666","0.00799602278503925","6"
"NPD","2014","East Germany","47","0.027040602008269","0.0201360469470638","0.0339451570694742","6"
"Other","2014","East Germany","10","","","","8"
"Other","2014","West Germany","96","0.00916593639242959","0.00726088145721718","0.011070991327642","8"
"PDS/Linke","2014","West Germany","397","0.0361876283633384","0.0324543108382462","0.0399209458884307","5"
"PDS/Linke","2014","East Germany","517","0.259622662624597","0.240959810337151","0.278285514912043","5"
"SPD","2014","West Germany","3116","0.340534021294045","0.331060856962362","0.350007185625729","1"
"SPD","2014","East Germany","472","0.226470870573664","0.208654277054338","0.24428746409299","1"
"AfD","2015","East Germany","95","0.0628915149133103","0.051768730764704","0.0740142990619167","7"
"AfD","2015","West Germany","178","0.0232760278150899","0.0200392745463097","0.02651278108387","7"
"CDU/CSU","2015","West Germany","3517","0.433059309616126","0.42242249128796","0.443696127944293","2"
"CDU/CSU","2015","East Germany","629","0.346434465948834","0.324633403290552","0.368235528607116","2"
"FDP","2015","West Germany","237","0.0259524298939508","0.0225393352211542","0.0293655245667474","3"
"FDP","2015","East Germany","33","0.0146652235341047","0.00915766913770928","0.0201727779305002","3"
"Grüne","2015","West Germany","1316","0.146593372312443","0.139000529458343","0.154186215166543","4"
"Grüne","2015","East Germany","157","0.0738216021594588","0.0618414701644315","0.0858017341544862","4"
"NPD","2015","West Germany","55","0.00681299898482846","0.00504714856251444","0.00857884940714248","6"
"NPD","2015","East Germany","43","0.030137195894997","0.022304178002953","0.0379702137870411","6"
"Other","2015","East Germany","20","","","","8"
"Other","2015","West Germany","78","0.00976094595668651","0.00765044663264336","0.0118714452807297","8"
"PDS/Linke","2015","West Germany","357","0.0327690980756591","0.0289473103280047","0.0365908858233134","5"
"PDS/Linke","2015","East Germany","465","0.267554280016861","0.247272025872698","0.287836534161025","5"
"SPD","2015","West Germany","2598","0.321775817345216","0.311747395955245","0.331804238735186","1"
"SPD","2015","East Germany","388","0.19370535242469","0.175598613270807","0.211812091578572","1"
"AfD","2016","East Germany","191","0.132907287759907","0.116581639301953","0.149232936217861","7"
"AfD","2016","West Germany","326","0.0406605770203151","0.0362394132942842","0.0450817407463461","7"
"CDU/CSU","2016","West Germany","3127","0.412030109109616","0.401012034631554","0.423048183587678","2"
"CDU/CSU","2016","East Germany","546","0.318308696217975","0.295906974211108","0.340710418224843","2"
"FDP","2016","East Germany","32","0.0155222062437804","0.00957732803394591","0.0214670844536149","3"
"FDP","2016","West Germany","248","0.0317633947248111","0.0278376876723083","0.0356891017773139","3"
"Grüne","2016","West Germany","1357","0.169033490381148","0.160643879396513","0.177423101365783","4"
"Grüne","2016","East Germany","144","0.0743860969727481","0.0617671215243931","0.0870050724211031","4"
"NPD","2016","West Germany","38","0.00637619335904324","0.00459440787254074","0.00815797884554574","6"
"NPD","2016","East Germany","33","0.0248214870669388","0.0173394606902993","0.0323035134435782","6"
"Other","2016","East Germany","23","","","","8"
"Other","2016","West Germany","78","0.0103854345620345","0.00811604496484321","0.0126548241592257","8"
"PDS/Linke","2016","West Germany","311","0.036180077558505","0.0319998841140213","0.0403602710029887","5"
"PDS/Linke","2016","East Germany","392","0.243673750878354","0.223028401552016","0.264319100204692","5"
"SPD","2016","West Germany","2181","0.293570723284527","0.283376493943851","0.303764952625202","1"
"SPD","2016","East Germany","300","0.176640968093396","0.15830078699058","0.194981149196212","1"
"AfD","2017","East Germany","181","0.117581312361156","0.102978048231686","0.132184576490625","7"
"AfD","2017","West Germany","331","0.0435837442502197","0.039362636256231","0.0478048522442084","7"
"CDU/CSU","2017","East Germany","612","0.30315095609565","0.282313616689742","0.323988295501559","2"
"CDU/CSU","2017","West Germany","3687","0.391079438466514","0.380990312805621","0.401168564127407","2"
"FDP","2017","East Germany","62","0.0309785568141118","0.0231236556485974","0.0388334579796262","3"
"FDP","2017","West Germany","367","0.0401380306923732","0.0360799269715042","0.0441961344132421","3"
"Grüne","2017","West Germany","1252","0.125907413297282","0.119048661460967","0.132766165133597","4"
"Grüne","2017","East Germany","145","0.0729301007436334","0.0611417489650576","0.0847184525222091","4"
"NPD","2017","West Germany","56","0.00511119395235767","0.0036368827243693","0.00658550518034605","6"
"NPD","2017","East Germany","31","0.0157144615516126","0.0100760893031478","0.0213528338000775","6"
"Other","2017","West Germany","102","0.0115457181243808","0.00933705495600477","0.0137543812927569","8"
"Other","2017","East Germany","17","","","","8"
"PDS/Linke","2017","West Germany","407","0.0465722493500082","0.042215643990567","0.0509288547094493","5"
"PDS/Linke","2017","East Germany","410","0.229143944193283","0.210090026858064","0.248197861528503","5"
"SPD","2017","West Germany","2785","0.336062211866864","0.326296267306106","0.345828156427621","1"
"SPD","2017","East Germany","411","0.214981801130214","0.196357321327419","0.233606280933009","1"
"AfD","2018","West Germany","478","0.0555600558368603","0.0508797364906132","0.0602403751831073","7"
"AfD","2018","East Germany","241","0.156297505193527","0.139899979072563","0.172695031314491","7"
"CDU/CSU","2018","West Germany","3554","0.379628795217289","0.369713346663027","0.389544243771552","2"
"CDU/CSU","2018","East Germany","589","0.285438724794518","0.265045597682031","0.305831851907006","2"
"FDP","2018","West Germany","470","0.0502112412629187","0.0457493295990333","0.0546731529268042","3"
"FDP","2018","East Germany","71","0.0396552966051271","0.0308433508346332","0.0484672423756211","3"
"Grüne","2018","West Germany","1587","0.156511987909693","0.149088290910787","0.163935684908599","4"
"Grüne","2018","East Germany","178","0.0904421181326504","0.0774909728549598","0.103393263410341","4"
"NPD","2018","West Germany","16","","","","6"
"NPD","2018","East Germany","14","","","","6"
"Other","2018","West Germany","140","0.0161082616701339","0.0135360602633609","0.0186804630769069","8"
"Other","2018","East Germany","26","","","","8"
"PDS/Linke","2018","West Germany","524","0.0557259349201836","0.0510390456942625","0.0604128241461047","5"
"PDS/Linke","2018","East Germany","453","0.238128016424325","0.218894712661591","0.257361320187058","5"
"SPD","2018","West Germany","2433","0.285104961245279","0.275880723126758","0.294329199363801","1"
"SPD","2018","East Germany","312","0.168668957325635","0.151760179380753","0.185577735270517","1"
"AfD","2019","East Germany","279","0.162533615622034","0.146605500527136","0.178461730716933","7"
"AfD","2019","West Germany","460","0.0608221496809961","0.0559284867619916","0.0657158126000006","7"
"CDU/CSU","2019","West Germany","3190","0.341687153515631","0.331976247784595","0.351398059246667","2"
"CDU/CSU","2019","East Germany","609","0.261400412098606","0.242430437053047","0.280370387144165","2"
"FDP","2019","West Germany","563","0.0488294963481293","0.0444168455812431","0.0532421471150155","3"
"FDP","2019","East Germany","105","0.0373635159194972","0.0291757744307706","0.0455512574082238","3"
"Grüne","2019","East Germany","309","0.13803583942898","0.123143955936469","0.152927722921491","4"
"Grüne","2019","West Germany","2401","0.241290995350173","0.232530323273355","0.25005166742699","4"
"NPD","2019","West Germany","13","","","","6"
"NPD","2019","East Germany","16","","","","6"
"Other","2019","West Germany","219","0.022105206453715","0.0190948175647431","0.0251155953426869","8"
"Other","2019","East Germany","42","0.0193425711526106","0.0133965717943492","0.025288570510872","8"
"PDS/Linke","2019","West Germany","462","0.0556195036209488","0.0509268736857382","0.0603121335561595","5"
"PDS/Linke","2019","East Germany","436","0.234476963661368","0.216185927092938","0.252768000229798","5"
"SPD","2019","West Germany","1855","0.228333180066394","0.219738520602723","0.236927839530066","1"
"SPD","2019","East Germany","265","0.139933658072092","0.124956267165799","0.154911048978385","1"
