"party","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"PDS/Linke","1992","(2c_voc) vocational maturity certificate","West Germany","2","","",""
"PDS/Linke","1992","(2c_voc) vocational maturity certificate","East Germany","2","","",""
"PDS/Linke","1992","(3a) lower tertiary education","West Germany","","","",""
"PDS/Linke","1992","(3a) lower tertiary education","East Germany","29","","",""
"PDS/Linke","1992","(3b) higher tertiary education","West Germany","1","","",""
"PDS/Linke","1992","(3b) higher tertiary education","East Germany","32","0.256172113729841","0.185845551674487","0.326498675785195"
"NPD Combination","1992","(0) in school","West Germany","","","",""
"NPD Combination","1992","(0) in school","East Germany","","","",""
"NPD Combination","1992","(1a) inadequately completed","West Germany","","","",""
"NPD Combination","1992","(1a) inadequately completed","East Germany","","","",""
"NPD Combination","1992","(1b) general elementary school","West Germany","","","",""
"NPD Combination","1992","(1b) general elementary school","East Germany","","","",""
"NPD Combination","1992","(1c) basic vocational qualification","West Germany","","","",""
"NPD Combination","1992","(1c) basic vocational qualification","East Germany","","","",""
"NPD Combination","1992","(2b) intermediate general qualification","West Germany","","","",""
"NPD Combination","1992","(2b) intermediate general qualification","East Germany","","","",""
"NPD Combination","1992","(2a) intermediate vocational","West Germany","","","",""
"NPD Combination","1992","(2a) intermediate vocational","East Germany","","","",""
"NPD Combination","1992","(2c_gen) general maturity certificate","West Germany","","","",""
"NPD Combination","1992","(2c_gen) general maturity certificate","East Germany","","","",""
"NPD Combination","1992","(2c_voc) vocational maturity certificate","West Germany","","","",""
"NPD Combination","1992","(2c_voc) vocational maturity certificate","East Germany","","","",""
"NPD Combination","1992","(3a) lower tertiary education","West Germany","","","",""
"NPD Combination","1992","(3a) lower tertiary education","East Germany","","","",""
"NPD Combination","1992","(3b) higher tertiary education","West Germany","","","",""
"NPD Combination","1992","(3b) higher tertiary education","East Germany","","","",""
"AfD","1992","(0) in school","West Germany","","","",""
"AfD","1992","(0) in school","East Germany","","","",""
"AfD","1992","(1a) inadequately completed","West Germany","","","",""
"AfD","1992","(1a) inadequately completed","East Germany","","","",""
"AfD","1992","(1b) general elementary school","West Germany","","","",""
"AfD","1992","(1b) general elementary school","East Germany","","","",""
"AfD","1992","(1c) basic vocational qualification","West Germany","","","",""
"AfD","1992","(1c) basic vocational qualification","East Germany","","","",""
"AfD","1992","(2b) intermediate general qualification","West Germany","","","",""
"AfD","1992","(2b) intermediate general qualification","East Germany","","","",""
"AfD","1992","(2a) intermediate vocational","West Germany","","","",""
"AfD","1992","(2a) intermediate vocational","East Germany","","","",""
"AfD","1992","(2c_gen) general maturity certificate","West Germany","","","",""
"AfD","1992","(2c_gen) general maturity certificate","East Germany","","","",""
"AfD","1992","(2c_voc) vocational maturity certificate","West Germany","","","",""
"AfD","1992","(2c_voc) vocational maturity certificate","East Germany","","","",""
"AfD","1992","(3a) lower tertiary education","West Germany","","","",""
"AfD","1992","(3a) lower tertiary education","East Germany","","","",""
"AfD","1992","(3b) higher tertiary education","West Germany","","","",""
"AfD","1992","(3b) higher tertiary education","East Germany","","","",""
"Other","1992","(0) in school","West Germany","","","",""
"Other","1992","(0) in school","East Germany","","","",""
"Other","1992","(1a) inadequately completed","West Germany","3","","",""
"Other","1992","(1a) inadequately completed","East Germany","","","",""
"Other","1992","(1b) general elementary school","West Germany","17","","",""
"Other","1992","(1b) general elementary school","East Germany","2","","",""
"Other","1992","(1c) basic vocational qualification","West Germany","35","0.0225210894816779","0.0151982310127639","0.029843947950592"
"Other","1992","(1c) basic vocational qualification","East Germany","4","","",""
"Other","1992","(2b) intermediate general qualification","West Germany","4","","",""
"Other","1992","(2b) intermediate general qualification","East Germany","4","","",""
"Other","1992","(2a) intermediate vocational","West Germany","13","","",""
"Other","1992","(2a) intermediate vocational","East Germany","13","","",""
"Other","1992","(2c_gen) general maturity certificate","West Germany","2","","",""
"Other","1992","(2c_gen) general maturity certificate","East Germany","","","",""
"Other","1992","(2c_voc) vocational maturity certificate","West Germany","10","","",""
"Other","1992","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Other","1992","(3a) lower tertiary education","West Germany","2","","",""
"Other","1992","(3a) lower tertiary education","East Germany","5","","",""
"Other","1992","(3b) higher tertiary education","West Germany","1","","",""
"Other","1992","(3b) higher tertiary education","East Germany","2","","",""
"CDU/CSU","1993","(0) in school","West Germany","7","","",""
"CDU/CSU","1993","(0) in school","East Germany","","","",""
"CDU/CSU","1993","(1a) inadequately completed","West Germany","6","","",""
"CDU/CSU","1993","(1a) inadequately completed","East Germany","2","","",""
"CDU/CSU","1993","(1b) general elementary school","West Germany","235","0.410226032424797","0.372671722022589","0.447780342827006"
"CDU/CSU","1993","(1b) general elementary school","East Germany","25","","",""
"CDU/CSU","1993","(1c) basic vocational qualification","West Germany","553","0.418709432499892","0.392689614054477","0.444729250945308"
"CDU/CSU","1993","(1c) basic vocational qualification","East Germany","139","0.408196294919494","0.355485662519182","0.460906927319807"
"CDU/CSU","1993","(2b) intermediate general qualification","West Germany","40","0.429936315494714","0.3374206022556","0.522452028733828"
"CDU/CSU","1993","(2b) intermediate general qualification","East Germany","9","","",""
"CDU/CSU","1993","(2a) intermediate vocational","West Germany","262","0.448930674388546","0.409297107169687","0.488564241607406"
"CDU/CSU","1993","(2a) intermediate vocational","East Germany","95","0.291686546618203","0.240422183742275","0.342950909494131"
"CDU/CSU","1993","(2c_gen) general maturity certificate","West Germany","38","0.326635314847174","0.254638874330347","0.398631755364001"
"CDU/CSU","1993","(2c_gen) general maturity certificate","East Germany","2","","",""
"CDU/CSU","1993","(2c_voc) vocational maturity certificate","West Germany","66","0.308460014585505","0.248245393602647","0.368674635568363"
"CDU/CSU","1993","(2c_voc) vocational maturity certificate","East Germany","7","","",""
"CDU/CSU","1993","(3a) lower tertiary education","West Germany","50","0.377776043250972","0.300445655420734","0.45510643108121"
"CDU/CSU","1993","(3a) lower tertiary education","East Germany","41","0.192571175947298","0.136205212828946","0.248937139065651"
"CDU/CSU","1993","(3b) higher tertiary education","West Germany","105","0.360466014455023","0.306931628229642","0.414000400680403"
"CDU/CSU","1993","(3b) higher tertiary education","East Germany","18","","",""
"SPD","1993","(0) in school","West Germany","16","","",""
"SPD","1993","(0) in school","East Germany","","","",""
"SPD","1993","(1a) inadequately completed","West Germany","94","0.87574136491847","0.812644953047105","0.938837776789836"
"SPD","1993","(1a) inadequately completed","East Germany","2","","",""
"SPD","1993","(1b) general elementary school","West Germany","364","0.517403606089429","0.479252059723591","0.555555152455268"
"SPD","1993","(1b) general elementary school","East Germany","18","","",""
"SPD","1993","(1c) basic vocational qualification","West Germany","695","0.48369286407972","0.457336217346127","0.510049510813313"
"SPD","1993","(1c) basic vocational qualification","East Germany","139","0.401800680536873","0.349222791088531","0.454378569985214"
"SPD","1993","(2b) intermediate general qualification","West Germany","53","0.434217696745248","0.341592277274059","0.526843116216438"
"SPD","1993","(2b) intermediate general qualification","East Germany","10","","",""
"SPD","1993","(2a) intermediate vocational","West Germany","234","0.355876709565985","0.317725818292115","0.394027600839855"
"SPD","1993","(2a) intermediate vocational","East Germany","117","0.411236441472078","0.35574054433325","0.466732338610905"
"SPD","1993","(2c_gen) general maturity certificate","West Germany","74","0.358111014221904","0.284508425417327","0.431713603026481"
"SPD","1993","(2c_gen) general maturity certificate","East Germany","3","","",""
"SPD","1993","(2c_voc) vocational maturity certificate","West Germany","88","0.354764590243119","0.292387788881003","0.417141391605236"
"SPD","1993","(2c_voc) vocational maturity certificate","East Germany","9","","",""
"SPD","1993","(3a) lower tertiary education","West Germany","57","0.318983946068736","0.244643920615972","0.393323971521501"
"SPD","1993","(3a) lower tertiary education","East Germany","74","0.387092189768687","0.317465788518151","0.456718591019223"
"SPD","1993","(3b) higher tertiary education","West Germany","99","0.288419237033792","0.237907411732226","0.338931062335358"
"SPD","1993","(3b) higher tertiary education","East Germany","40","0.251372938767647","0.178732270715162","0.324013606820133"
"FDP","1993","(0) in school","West Germany","2","","",""
"FDP","1993","(0) in school","East Germany","","","",""
"FDP","1993","(1a) inadequately completed","West Germany","","","",""
"FDP","1993","(1a) inadequately completed","East Germany","","","",""
"FDP","1993","(1b) general elementary school","West Germany","7","","",""
"FDP","1993","(1b) general elementary school","East Germany","2","","",""
"FDP","1993","(1c) basic vocational qualification","West Germany","35","0.0276584059422646","0.0190092394530258","0.0363075724315035"
"FDP","1993","(1c) basic vocational qualification","East Germany","10","","",""
"FDP","1993","(2b) intermediate general qualification","West Germany","3","","",""
"FDP","1993","(2b) intermediate general qualification","East Germany","","","",""
"FDP","1993","(2a) intermediate vocational","West Germany","27","","",""
"FDP","1993","(2a) intermediate vocational","East Germany","21","","",""
"FDP","1993","(2c_gen) general maturity certificate","West Germany","9","","",""
"FDP","1993","(2c_gen) general maturity certificate","East Germany","","","",""
"FDP","1993","(2c_voc) vocational maturity certificate","West Germany","19","","",""
"FDP","1993","(2c_voc) vocational maturity certificate","East Germany","2","","",""
"FDP","1993","(3a) lower tertiary education","West Germany","13","","",""
"FDP","1993","(3a) lower tertiary education","East Germany","12","","",""
"FDP","1993","(3b) higher tertiary education","West Germany","31","0.115158827596187","0.0795670130388332","0.15075064215354"
"FDP","1993","(3b) higher tertiary education","East Germany","8","","",""
"Grüne","1993","(0) in school","West Germany","8","","",""
"Grüne","1993","(0) in school","East Germany","","","",""
"Grüne","1993","(1a) inadequately completed","West Germany","4","","",""
"Grüne","1993","(1a) inadequately completed","East Germany","3","","",""
"Grüne","1993","(1b) general elementary school","West Germany","30","0.0288739302891409","0.0160890654235216","0.0416587951547601"
"Grüne","1993","(1b) general elementary school","East Germany","1","","",""
"Grüne","1993","(1c) basic vocational qualification","West Germany","36","0.0215101705157265","0.0138585867638946","0.0291617542675584"
"Grüne","1993","(1c) basic vocational qualification","East Germany","8","","",""
"Grüne","1993","(2b) intermediate general qualification","West Germany","10","","",""
"Grüne","1993","(2b) intermediate general qualification","East Germany","10","","",""
"Grüne","1993","(2a) intermediate vocational","West Germany","53","0.0812475258158591","0.0594767083379239","0.103018343293794"
"Grüne","1993","(2a) intermediate vocational","East Germany","34","0.105796627915595","0.0711070764915437","0.140486179339646"
"Grüne","1993","(2c_gen) general maturity certificate","West Germany","41","0.253192236473907","0.186437222165364","0.31994725078245"
"Grüne","1993","(2c_gen) general maturity certificate","East Germany","4","","",""
"Grüne","1993","(2c_voc) vocational maturity certificate","West Germany","41","0.160848830450404","0.112950218604443","0.208747442296365"
"Grüne","1993","(2c_voc) vocational maturity certificate","East Germany","3","","",""
"Grüne","1993","(3a) lower tertiary education","West Germany","27","","",""
"Grüne","1993","(3a) lower tertiary education","East Germany","21","","",""
"Grüne","1993","(3b) higher tertiary education","West Germany","68","0.212712650957058","0.167084575851127","0.258340726062988"
"Grüne","1993","(3b) higher tertiary education","East Germany","29","","",""
"PDS/Linke","1993","(0) in school","West Germany","1","","",""
"PDS/Linke","1993","(0) in school","East Germany","","","",""
"PDS/Linke","1993","(1a) inadequately completed","West Germany","","","",""
"PDS/Linke","1993","(1a) inadequately completed","East Germany","1","","",""
"PDS/Linke","1993","(1b) general elementary school","West Germany","","","",""
"PDS/Linke","1993","(1b) general elementary school","East Germany","6","","",""
"PDS/Linke","1993","(1c) basic vocational qualification","West Germany","3","","",""
"PDS/Linke","1993","(1c) basic vocational qualification","East Germany","27","","",""
"PDS/Linke","1993","(2b) intermediate general qualification","West Germany","1","","",""
"PDS/Linke","1993","(2b) intermediate general qualification","East Germany","3","","",""
"PDS/Linke","1993","(2a) intermediate vocational","West Germany","3","","",""
"PDS/Linke","1993","(2a) intermediate vocational","East Germany","17","","",""
"PDS/Linke","1993","(2c_gen) general maturity certificate","West Germany","","","",""
"PDS/Linke","1993","(2c_gen) general maturity certificate","East Germany","2","","",""
"PDS/Linke","1993","(2c_voc) vocational maturity certificate","West Germany","","","",""
"PDS/Linke","1993","(2c_voc) vocational maturity certificate","East Germany","4","","",""
"PDS/Linke","1993","(3a) lower tertiary education","West Germany","","","",""
"PDS/Linke","1993","(3a) lower tertiary education","East Germany","36","0.222607218720163","0.163142545046254","0.282071892394073"
"PDS/Linke","1993","(3b) higher tertiary education","West Germany","1","","",""
"PDS/Linke","1993","(3b) higher tertiary education","East Germany","38","0.33696026767214","0.257810994384482","0.416109540959799"
"NPD Combination","1993","(0) in school","West Germany","","","",""
"NPD Combination","1993","(0) in school","East Germany","","","",""
"NPD Combination","1993","(1a) inadequately completed","West Germany","","","",""
"NPD Combination","1993","(1a) inadequately completed","East Germany","2","","",""
"NPD Combination","1993","(1b) general elementary school","West Germany","17","","",""
"NPD Combination","1993","(1b) general elementary school","East Germany","1","","",""
"NPD Combination","1993","(1c) basic vocational qualification","West Germany","47","0.0372293233740081","0.0272441582650104","0.0472144884830059"
"NPD Combination","1993","(1c) basic vocational qualification","East Germany","10","","",""
"NPD Combination","1993","(2b) intermediate general qualification","West Germany","3","","",""
"NPD Combination","1993","(2b) intermediate general qualification","East Germany","4","","",""
"NPD Combination","1993","(2a) intermediate vocational","West Germany","19","","",""
"NPD Combination","1993","(2a) intermediate vocational","East Germany","13","","",""
"NPD Combination","1993","(2c_gen) general maturity certificate","West Germany","1","","",""
"NPD Combination","1993","(2c_gen) general maturity certificate","East Germany","1","","",""
"NPD Combination","1993","(2c_voc) vocational maturity certificate","West Germany","9","","",""
"NPD Combination","1993","(2c_voc) vocational maturity certificate","East Germany","","","",""
"NPD Combination","1993","(3a) lower tertiary education","West Germany","3","","",""
"NPD Combination","1993","(3a) lower tertiary education","East Germany","2","","",""
"NPD Combination","1993","(3b) higher tertiary education","West Germany","3","","",""
"NPD Combination","1993","(3b) higher tertiary education","East Germany","1","","",""
"AfD","1993","(0) in school","West Germany","","","",""
"AfD","1993","(0) in school","East Germany","","","",""
"AfD","1993","(1a) inadequately completed","West Germany","","","",""
"AfD","1993","(1a) inadequately completed","East Germany","","","",""
"AfD","1993","(1b) general elementary school","West Germany","","","",""
"AfD","1993","(1b) general elementary school","East Germany","","","",""
"AfD","1993","(1c) basic vocational qualification","West Germany","","","",""
"AfD","1993","(1c) basic vocational qualification","East Germany","","","",""
"AfD","1993","(2b) intermediate general qualification","West Germany","","","",""
"AfD","1993","(2b) intermediate general qualification","East Germany","","","",""
"AfD","1993","(2a) intermediate vocational","West Germany","","","",""
"AfD","1993","(2a) intermediate vocational","East Germany","","","",""
"AfD","1993","(2c_gen) general maturity certificate","West Germany","","","",""
"AfD","1993","(2c_gen) general maturity certificate","East Germany","","","",""
"AfD","1993","(2c_voc) vocational maturity certificate","West Germany","","","",""
"AfD","1993","(2c_voc) vocational maturity certificate","East Germany","","","",""
"AfD","1993","(3a) lower tertiary education","West Germany","","","",""
"AfD","1993","(3a) lower tertiary education","East Germany","","","",""
"AfD","1993","(3b) higher tertiary education","West Germany","","","",""
"AfD","1993","(3b) higher tertiary education","East Germany","","","",""
"Other","1993","(0) in school","West Germany","","","",""
"Other","1993","(0) in school","East Germany","","","",""
"Other","1993","(1a) inadequately completed","West Germany","1","","",""
"Other","1993","(1a) inadequately completed","East Germany","1","","",""
"Other","1993","(1b) general elementary school","West Germany","6","","",""
"Other","1993","(1b) general elementary school","East Germany","","","",""
"Other","1993","(1c) basic vocational qualification","West Germany","12","","",""
"Other","1993","(1c) basic vocational qualification","East Germany","1","","",""
"Other","1993","(2b) intermediate general qualification","West Germany","","","",""
"Other","1993","(2b) intermediate general qualification","East Germany","1","","",""
"Other","1993","(2a) intermediate vocational","West Germany","7","","",""
"Other","1993","(2a) intermediate vocational","East Germany","5","","",""
"Other","1993","(2c_gen) general maturity certificate","West Germany","","","",""
"Other","1993","(2c_gen) general maturity certificate","East Germany","","","",""
"Other","1993","(2c_voc) vocational maturity certificate","West Germany","3","","",""
"Other","1993","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Other","1993","(3a) lower tertiary education","West Germany","1","","",""
"Other","1993","(3a) lower tertiary education","East Germany","2","","",""
"Other","1993","(3b) higher tertiary education","West Germany","2","","",""
"Other","1993","(3b) higher tertiary education","East Germany","3","","",""
"CDU/CSU","1994","(0) in school","West Germany","11","","",""
"CDU/CSU","1994","(0) in school","East Germany","1","","",""
"CDU/CSU","1994","(1a) inadequately completed","West Germany","15","","",""
"CDU/CSU","1994","(1a) inadequately completed","East Germany","1","","",""
"CDU/CSU","1994","(1b) general elementary school","West Germany","213","0.360336047771889","0.324037165821932","0.396634929721846"
"CDU/CSU","1994","(1b) general elementary school","East Germany","30","0.414874190087072","0.29689822842735","0.532850151746795"
"CDU/CSU","1994","(1c) basic vocational qualification","West Germany","554","0.40221534325068","0.377002781053945","0.427427905447416"
"CDU/CSU","1994","(1c) basic vocational qualification","East Germany","138","0.388892643480116","0.336374699698219","0.441410587262012"
"CDU/CSU","1994","(2b) intermediate general qualification","West Germany","41","0.430057027343092","0.340348467212333","0.51976558747385"
"CDU/CSU","1994","(2b) intermediate general qualification","East Germany","6","","",""
"CDU/CSU","1994","(2a) intermediate vocational","West Germany","274","0.484206056840554","0.445213057783994","0.523199055897113"
"CDU/CSU","1994","(2a) intermediate vocational","East Germany","109","0.325578207722909","0.272816330580927","0.378340084864891"
"CDU/CSU","1994","(2c_gen) general maturity certificate","West Germany","39","0.306729815730918","0.235277327361736","0.378182304100101"
"CDU/CSU","1994","(2c_gen) general maturity certificate","East Germany","2","","",""
"CDU/CSU","1994","(2c_voc) vocational maturity certificate","West Germany","66","0.309395152250632","0.249526164745864","0.3692641397554"
"CDU/CSU","1994","(2c_voc) vocational maturity certificate","East Germany","4","","",""
"CDU/CSU","1994","(3a) lower tertiary education","West Germany","65","0.400248683191228","0.327027890115506","0.47346947626695"
"CDU/CSU","1994","(3a) lower tertiary education","East Germany","47","0.235583489210241","0.17602163082417","0.295145347596312"
"CDU/CSU","1994","(3b) higher tertiary education","West Germany","109","0.348990782770584","0.296602389594642","0.401379175946525"
"CDU/CSU","1994","(3b) higher tertiary education","East Germany","20","","",""
"SPD","1994","(0) in school","West Germany","12","","",""
"SPD","1994","(0) in school","East Germany","1","","",""
"SPD","1994","(1a) inadequately completed","West Germany","100","0.793825250429959","0.722330241013654","0.865320259846264"
"SPD","1994","(1a) inadequately completed","East Germany","","","",""
"SPD","1994","(1b) general elementary school","West Germany","407","0.571281942510919","0.533864457701537","0.6086994273203"
"SPD","1994","(1b) general elementary school","East Germany","22","","",""
"SPD","1994","(1c) basic vocational qualification","West Germany","774","0.515878309314616","0.490182269977408","0.541574348651824"
"SPD","1994","(1c) basic vocational qualification","East Germany","127","0.373313351547762","0.321206350744138","0.425420352351386"
"SPD","1994","(2b) intermediate general qualification","West Germany","57","0.450093118190203","0.359946191786605","0.5402400445938"
"SPD","1994","(2b) intermediate general qualification","East Germany","10","","",""
"SPD","1994","(2a) intermediate vocational","West Germany","282","0.400432510749883","0.362201382535886","0.43866363896388"
"SPD","1994","(2a) intermediate vocational","East Germany","102","0.353359762187065","0.2995369126912","0.40718261168293"
"SPD","1994","(2c_gen) general maturity certificate","West Germany","78","0.408819022263544","0.332643774926841","0.484994269600248"
"SPD","1994","(2c_gen) general maturity certificate","East Germany","9","","",""
"SPD","1994","(2c_voc) vocational maturity certificate","West Germany","100","0.406755184002984","0.343132223460014","0.470378144545953"
"SPD","1994","(2c_voc) vocational maturity certificate","East Germany","7","","",""
"SPD","1994","(3a) lower tertiary education","West Germany","73","0.40056803443512","0.327337540816502","0.473798528053738"
"SPD","1994","(3a) lower tertiary education","East Germany","64","0.333953708462334","0.267758564977032","0.400148851947636"
"SPD","1994","(3b) higher tertiary education","West Germany","112","0.316910288249516","0.265772543342482","0.36804803315655"
"SPD","1994","(3b) higher tertiary education","East Germany","39","0.221255147994095","0.153692233384083","0.288818062604107"
"FDP","1994","(0) in school","West Germany","1","","",""
"FDP","1994","(0) in school","East Germany","","","",""
"FDP","1994","(1a) inadequately completed","West Germany","","","",""
"FDP","1994","(1a) inadequately completed","East Germany","","","",""
"FDP","1994","(1b) general elementary school","West Germany","8","","",""
"FDP","1994","(1b) general elementary school","East Germany","4","","",""
"FDP","1994","(1c) basic vocational qualification","West Germany","28","","",""
"FDP","1994","(1c) basic vocational qualification","East Germany","7","","",""
"FDP","1994","(2b) intermediate general qualification","West Germany","2","","",""
"FDP","1994","(2b) intermediate general qualification","East Germany","","","",""
"FDP","1994","(2a) intermediate vocational","West Germany","12","","",""
"FDP","1994","(2a) intermediate vocational","East Germany","8","","",""
"FDP","1994","(2c_gen) general maturity certificate","West Germany","7","","",""
"FDP","1994","(2c_gen) general maturity certificate","East Germany","2","","",""
"FDP","1994","(2c_voc) vocational maturity certificate","West Germany","12","","",""
"FDP","1994","(2c_voc) vocational maturity certificate","East Germany","1","","",""
"FDP","1994","(3a) lower tertiary education","West Germany","7","","",""
"FDP","1994","(3a) lower tertiary education","East Germany","9","","",""
"FDP","1994","(3b) higher tertiary education","West Germany","29","","",""
"FDP","1994","(3b) higher tertiary education","East Germany","10","","",""
"Grüne","1994","(0) in school","West Germany","9","","",""
"Grüne","1994","(0) in school","East Germany","2","","",""
"Grüne","1994","(1a) inadequately completed","West Germany","4","","",""
"Grüne","1994","(1a) inadequately completed","East Germany","2","","",""
"Grüne","1994","(1b) general elementary school","West Germany","27","","",""
"Grüne","1994","(1b) general elementary school","East Germany","1","","",""
"Grüne","1994","(1c) basic vocational qualification","West Germany","38","0.0229316570969974","0.0152351180938793","0.0306281961001156"
"Grüne","1994","(1c) basic vocational qualification","East Germany","11","","",""
"Grüne","1994","(2b) intermediate general qualification","West Germany","13","","",""
"Grüne","1994","(2b) intermediate general qualification","East Germany","8","","",""
"Grüne","1994","(2a) intermediate vocational","West Germany","45","0.0597636859068726","0.0412679928712036","0.0782593789425415"
"Grüne","1994","(2a) intermediate vocational","East Germany","38","0.150877522733949","0.110575743676238","0.19117930179166"
"Grüne","1994","(2c_gen) general maturity certificate","West Germany","32","0.217486611266632","0.153564626480266","0.281408596052997"
"Grüne","1994","(2c_gen) general maturity certificate","East Germany","6","","",""
"Grüne","1994","(2c_voc) vocational maturity certificate","West Germany","43","0.180493804221483","0.130681386682108","0.230306221760857"
"Grüne","1994","(2c_voc) vocational maturity certificate","East Germany","4","","",""
"Grüne","1994","(3a) lower tertiary education","West Germany","26","","",""
"Grüne","1994","(3a) lower tertiary education","East Germany","16","","",""
"Grüne","1994","(3b) higher tertiary education","West Germany","63","0.208756074834496","0.164086760460271","0.253425389208722"
"Grüne","1994","(3b) higher tertiary education","East Germany","23","","",""
"PDS/Linke","1994","(0) in school","West Germany","1","","",""
"PDS/Linke","1994","(0) in school","East Germany","1","","",""
"PDS/Linke","1994","(1a) inadequately completed","West Germany","","","",""
"PDS/Linke","1994","(1a) inadequately completed","East Germany","1","","",""
"PDS/Linke","1994","(1b) general elementary school","West Germany","1","","",""
"PDS/Linke","1994","(1b) general elementary school","East Germany","9","","",""
"PDS/Linke","1994","(1c) basic vocational qualification","West Germany","4","","",""
"PDS/Linke","1994","(1c) basic vocational qualification","East Germany","42","0.147448175819382","0.109252500752759","0.185643850886005"
"PDS/Linke","1994","(2b) intermediate general qualification","West Germany","2","","",""
"PDS/Linke","1994","(2b) intermediate general qualification","East Germany","1","","",""
"PDS/Linke","1994","(2a) intermediate vocational","West Germany","1","","",""
"PDS/Linke","1994","(2a) intermediate vocational","East Germany","30","0.0902922023447204","0.0580219130681655","0.122562491621275"
"PDS/Linke","1994","(2c_gen) general maturity certificate","West Germany","3","","",""
"PDS/Linke","1994","(2c_gen) general maturity certificate","East Germany","2","","",""
"PDS/Linke","1994","(2c_voc) vocational maturity certificate","West Germany","2","","",""
"PDS/Linke","1994","(2c_voc) vocational maturity certificate","East Germany","6","","",""
"PDS/Linke","1994","(3a) lower tertiary education","West Germany","","","",""
"PDS/Linke","1994","(3a) lower tertiary education","East Germany","54","0.276586912369024","0.21380424267149","0.339369582066558"
"PDS/Linke","1994","(3b) higher tertiary education","West Germany","1","","",""
"PDS/Linke","1994","(3b) higher tertiary education","East Germany","48","0.369685325704294","0.291114936416894","0.448255714991694"
"NPD Combination","1994","(0) in school","West Germany","","","",""
"NPD Combination","1994","(0) in school","East Germany","","","",""
"NPD Combination","1994","(1a) inadequately completed","West Germany","","","",""
"NPD Combination","1994","(1a) inadequately completed","East Germany","2","","",""
"NPD Combination","1994","(1b) general elementary school","West Germany","13","","",""
"NPD Combination","1994","(1b) general elementary school","East Germany","1","","",""
"NPD Combination","1994","(1c) basic vocational qualification","West Germany","38","0.0199202936953454","0.0127358383330637","0.0271047490576271"
"NPD Combination","1994","(1c) basic vocational qualification","East Germany","3","","",""
"NPD Combination","1994","(2b) intermediate general qualification","West Germany","1","","",""
"NPD Combination","1994","(2b) intermediate general qualification","East Germany","5","","",""
"NPD Combination","1994","(2a) intermediate vocational","West Germany","10","","",""
"NPD Combination","1994","(2a) intermediate vocational","East Germany","7","","",""
"NPD Combination","1994","(2c_gen) general maturity certificate","West Germany","","","",""
"NPD Combination","1994","(2c_gen) general maturity certificate","East Germany","1","","",""
"NPD Combination","1994","(2c_voc) vocational maturity certificate","West Germany","3","","",""
"NPD Combination","1994","(2c_voc) vocational maturity certificate","East Germany","","","",""
"NPD Combination","1994","(3a) lower tertiary education","West Germany","1","","",""
"NPD Combination","1994","(3a) lower tertiary education","East Germany","2","","",""
"NPD Combination","1994","(3b) higher tertiary education","West Germany","3","","",""
"NPD Combination","1994","(3b) higher tertiary education","East Germany","","","",""
"AfD","1994","(0) in school","West Germany","","","",""
"AfD","1994","(0) in school","East Germany","","","",""
"AfD","1994","(1a) inadequately completed","West Germany","","","",""
"AfD","1994","(1a) inadequately completed","East Germany","","","",""
"AfD","1994","(1b) general elementary school","West Germany","","","",""
"AfD","1994","(1b) general elementary school","East Germany","","","",""
"AfD","1994","(1c) basic vocational qualification","West Germany","","","",""
"AfD","1994","(1c) basic vocational qualification","East Germany","","","",""
"AfD","1994","(2b) intermediate general qualification","West Germany","","","",""
"AfD","1994","(2b) intermediate general qualification","East Germany","","","",""
"AfD","1994","(2a) intermediate vocational","West Germany","","","",""
"AfD","1994","(2a) intermediate vocational","East Germany","","","",""
"AfD","1994","(2c_gen) general maturity certificate","West Germany","","","",""
"AfD","1994","(2c_gen) general maturity certificate","East Germany","","","",""
"AfD","1994","(2c_voc) vocational maturity certificate","West Germany","","","",""
"AfD","1994","(2c_voc) vocational maturity certificate","East Germany","","","",""
"AfD","1994","(3a) lower tertiary education","West Germany","","","",""
"AfD","1994","(3a) lower tertiary education","East Germany","","","",""
"AfD","1994","(3b) higher tertiary education","West Germany","","","",""
"AfD","1994","(3b) higher tertiary education","East Germany","","","",""
"Other","1994","(0) in school","West Germany","","","",""
"Other","1994","(0) in school","East Germany","","","",""
"Other","1994","(1a) inadequately completed","West Germany","4","","",""
"Other","1994","(1a) inadequately completed","East Germany","1","","",""
"Other","1994","(1b) general elementary school","West Germany","3","","",""
"Other","1994","(1b) general elementary school","East Germany","","","",""
"Other","1994","(1c) basic vocational qualification","West Germany","17","","",""
"Other","1994","(1c) basic vocational qualification","East Germany","3","","",""
"Other","1994","(2b) intermediate general qualification","West Germany","1","","",""
"Other","1994","(2b) intermediate general qualification","East Germany","4","","",""
"Other","1994","(2a) intermediate vocational","West Germany","7","","",""
"Other","1994","(2a) intermediate vocational","East Germany","9","","",""
"Other","1994","(2c_gen) general maturity certificate","West Germany","1","","",""
"Other","1994","(2c_gen) general maturity certificate","East Germany","","","",""
"Other","1994","(2c_voc) vocational maturity certificate","West Germany","3","","",""
"Other","1994","(2c_voc) vocational maturity certificate","East Germany","1","","",""
"Other","1994","(3a) lower tertiary education","West Germany","","","",""
"Other","1994","(3a) lower tertiary education","East Germany","3","","",""
"Other","1994","(3b) higher tertiary education","West Germany","1","","",""
