"party","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"PDS/Linke","1988","Employed","indirect migration background","","","",""
"NPD Combination","1988","Not Employed","no migration background","","","",""
"NPD Combination","1988","Not Employed","direct migration background","","","",""
"NPD Combination","1988","Not Employed","indirect migration background","","","",""
"NPD Combination","1988","Employed","no migration background","","","",""
"NPD Combination","1988","Employed","direct migration background","","","",""
"NPD Combination","1988","Employed","indirect migration background","","","",""
"AfD","1988","Not Employed","no migration background","","","",""
"AfD","1988","Not Employed","direct migration background","","","",""
"AfD","1988","Not Employed","indirect migration background","","","",""
"AfD","1988","Employed","no migration background","","","",""
"AfD","1988","Employed","direct migration background","","","",""
"AfD","1988","Employed","indirect migration background","","","",""
"Other","1988","Not Employed","no migration background","16","","",""
"Other","1988","Not Employed","direct migration background","1","","",""
"Other","1988","Not Employed","indirect migration background","1","","",""
"Other","1988","Employed","no migration background","24","","",""
"Other","1988","Employed","direct migration background","5","","",""
"Other","1988","Employed","indirect migration background","1","","",""
"CDU/CSU","1989","Not Employed","no migration background","605","0.417466026908987","0.392179208980936","0.442752844837039"
"CDU/CSU","1989","Not Employed","direct migration background","66","0.418866104887974","0.359010675616405","0.478721534159544"
"CDU/CSU","1989","Not Employed","indirect migration background","9","","",""
"CDU/CSU","1989","Employed","no migration background","935","0.38013604065479","0.36105058157218","0.3992214997374"
"CDU/CSU","1989","Employed","direct migration background","108","0.268056600836974","0.234982314464557","0.301130887209392"
"CDU/CSU","1989","Employed","indirect migration background","7","","",""
"SPD","1989","Not Employed","no migration background","662","0.457398901895438","0.431853609618097","0.482944194172779"
"SPD","1989","Not Employed","direct migration background","165","0.478675135891355","0.41807096818473","0.539279303597981"
"SPD","1989","Not Employed","indirect migration background","31","0.401233798129869","0.25802515576049","0.544442440499248"
"SPD","1989","Employed","no migration background","1192","0.475476552781058","0.455841507797434","0.495111597764681"
"SPD","1989","Employed","direct migration background","494","0.589262946239682","0.552528373893485","0.625997518585879"
"SPD","1989","Employed","indirect migration background","39","0.742452213697221","0.626886259317172","0.85801816807727"
"FDP","1989","Not Employed","no migration background","42","0.0325936221152697","0.0234883323925551","0.0416989118379842"
"FDP","1989","Not Employed","direct migration background","2","","",""
"FDP","1989","Not Employed","indirect migration background","1","","",""
"FDP","1989","Employed","no migration background","85","0.0325387838934847","0.0255628503404394","0.03951471744653"
"FDP","1989","Employed","direct migration background","8","","",""
"FDP","1989","Employed","indirect migration background","1","","",""
"Grüne","1989","Not Employed","no migration background","89","0.0502418237180114","0.0390406843408749","0.0614429630951478"
"Grüne","1989","Not Employed","direct migration background","24","","",""
"Grüne","1989","Not Employed","indirect migration background","4","","",""
"Grüne","1989","Employed","no migration background","169","0.0678499326789946","0.0579620678076965","0.0777377975502927"
"Grüne","1989","Employed","direct migration background","64","0.099571833963999","0.0772139205980046","0.121929747329993"
"Grüne","1989","Employed","indirect migration background","8","","",""
"PDS/Linke","1989","Not Employed","no migration background","","","",""
"PDS/Linke","1989","Not Employed","direct migration background","","","",""
"PDS/Linke","1989","Not Employed","indirect migration background","","","",""
"PDS/Linke","1989","Employed","no migration background","","","",""
"PDS/Linke","1989","Employed","direct migration background","","","",""
"PDS/Linke","1989","Employed","indirect migration background","","","",""
"NPD Combination","1989","Not Employed","no migration background","","","",""
"NPD Combination","1989","Not Employed","direct migration background","","","",""
"NPD Combination","1989","Not Employed","indirect migration background","","","",""
"NPD Combination","1989","Employed","no migration background","","","",""
"NPD Combination","1989","Employed","direct migration background","","","",""
"NPD Combination","1989","Employed","indirect migration background","","","",""
"AfD","1989","Not Employed","no migration background","","","",""
"AfD","1989","Not Employed","direct migration background","","","",""
"AfD","1989","Not Employed","indirect migration background","","","",""
"AfD","1989","Employed","no migration background","","","",""
