"party","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"PDS/Linke","1993","Other degree","East Germany","","","",""
"PDS/Linke","1993","no degree/no degree yet","West Germany","","","",""
"PDS/Linke","1993","no degree/no degree yet","East Germany","","","",""
"NPD Combination","1993","lower secondary degree","West Germany","63","0.0344890503817775","0.0261938359666212","0.0427842647969338"
"NPD Combination","1993","lower secondary degree","East Germany","","","",""
"NPD Combination","1993","secondary school degree","West Germany","","","",""
"NPD Combination","1993","secondary school degree","East Germany","","","",""
"NPD Combination","1993","college entrance qualification","West Germany","","","",""
"NPD Combination","1993","college entrance qualification","East Germany","","","",""
"NPD Combination","1993","Other degree","West Germany","","","",""
"NPD Combination","1993","Other degree","East Germany","","","",""
"NPD Combination","1993","no degree/no degree yet","West Germany","","","",""
"NPD Combination","1993","no degree/no degree yet","East Germany","","","",""
"AfD","1993","lower secondary degree","West Germany","","","",""
"AfD","1993","lower secondary degree","East Germany","","","",""
"AfD","1993","secondary school degree","West Germany","","","",""
"AfD","1993","secondary school degree","East Germany","","","",""
"AfD","1993","college entrance qualification","West Germany","","","",""
"AfD","1993","college entrance qualification","East Germany","","","",""
"AfD","1993","Other degree","West Germany","","","",""
"AfD","1993","Other degree","East Germany","","","",""
"AfD","1993","no degree/no degree yet","West Germany","","","",""
"AfD","1993","no degree/no degree yet","East Germany","","","",""
"Other","1993","lower secondary degree","West Germany","","","",""
"Other","1993","lower secondary degree","East Germany","","","",""
"Other","1993","secondary school degree","West Germany","","","",""
"Other","1993","secondary school degree","East Germany","","","",""
"Other","1993","college entrance qualification","West Germany","","","",""
"Other","1993","college entrance qualification","East Germany","","","",""
"Other","1993","Other degree","West Germany","","","",""
"Other","1993","Other degree","East Germany","","","",""
"Other","1993","no degree/no degree yet","West Germany","","","",""
"Other","1993","no degree/no degree yet","East Germany","","","",""
"CDU/CSU","1994","lower secondary degree","West Germany","740","0.396329800690625","0.374653163997327","0.418006437383923"
"CDU/CSU","1994","lower secondary degree","East Germany","172","0.364985133169123","0.320305438602436","0.40966482773581"
"CDU/CSU","1994","secondary school degree","West Germany","330","0.473975439159717","0.439068019428123","0.508882858891311"
"CDU/CSU","1994","secondary school degree","East Germany","144","0.310331971236309","0.267251590308404","0.353412352164214"
"CDU/CSU","1994","college entrance qualification","West Germany","251","0.349689507706646","0.316072424781801","0.383306590631491"
"CDU/CSU","1994","college entrance qualification","East Germany","36","0.158681992221517","0.110400502122503","0.206963482320531"
"CDU/CSU","1994","Other degree","West Germany","37","0.178768279304024","0.128924237637704","0.228612320970343"
"CDU/CSU","1994","Other degree","East Germany","","","",""
"CDU/CSU","1994","no degree/no degree yet","West Germany","","","",""
"CDU/CSU","1994","no degree/no degree yet","East Germany","","","",""
"SPD","1994","lower secondary degree","West Germany","1049","0.525102352919375","0.50297213671404","0.54723256912471"
"SPD","1994","lower secondary degree","East Germany","169","0.382318570596852","0.337218665210046","0.427418475983659"
"SPD","1994","secondary school degree","West Germany","354","0.405878403129939","0.371548509375624","0.440208296884253"
"SPD","1994","secondary school degree","East Germany","141","0.319770657937792","0.276340319475898","0.363200996399686"
"SPD","1994","college entrance qualification","West Germany","309","0.364073803746818","0.330153758924003","0.397993848569633"
"SPD","1994","college entrance qualification","East Germany","66","0.270077636557016","0.2114071894618","0.328748083652233"
"SPD","1994","Other degree","West Germany","167","0.696302058540323","0.636480885340143","0.756123231740502"
"SPD","1994","Other degree","East Germany","","","",""
"SPD","1994","no degree/no degree yet","West Germany","110","0.601969331087368","0.524909563838225","0.679029098336511"
"SPD","1994","no degree/no degree yet","East Germany","","","",""
"FDP","1994","lower secondary degree","West Germany","36","0.023124984382433","0.0164642227639403","0.0297857460009258"
"FDP","1994","lower secondary degree","East Germany","","","",""
"FDP","1994","secondary school degree","West Germany","","","",""
"FDP","1994","secondary school degree","East Germany","","","",""
"FDP","1994","college entrance qualification","West Germany","46","0.0729154873122115","0.054586946183025","0.0912440284413979"
"FDP","1994","college entrance qualification","East Germany","","","",""
"FDP","1994","Other degree","West Germany","","","",""
"FDP","1994","Other degree","East Germany","","","",""
"FDP","1994","no degree/no degree yet","West Germany","","","",""
"FDP","1994","no degree/no degree yet","East Germany","","","",""
"Grüne","1994","lower secondary degree","West Germany","59","0.0242031503608308","0.0173926452834365","0.0310136554382252"
"Grüne","1994","lower secondary degree","East Germany","","","",""
"Grüne","1994","secondary school degree","West Germany","60","0.0625118513012082","0.0455879341144053","0.079435768488011"
"Grüne","1994","secondary school degree","East Germany","56","0.144375980882227","0.111646796282769","0.177105165481685"
"Grüne","1994","college entrance qualification","West Germany","151","0.193520456329108","0.165670888396137","0.221370024262079"
"Grüne","1994","college entrance qualification","East Germany","38","0.182775682986971","0.13170559586289","0.233845770111053"
"Grüne","1994","Other degree","West Germany","","","",""
"Grüne","1994","Other degree","East Germany","","","",""
"Grüne","1994","no degree/no degree yet","West Germany","","","",""
"Grüne","1994","no degree/no degree yet","East Germany","","","",""
"PDS/Linke","1994","lower secondary degree","West Germany","","","",""
"PDS/Linke","1994","lower secondary degree","East Germany","70","0.169847258369544","0.134998369506419","0.204696147232668"
"PDS/Linke","1994","secondary school degree","West Germany","","","",""
"PDS/Linke","1994","secondary school degree","East Germany","64","0.143764209899896","0.11109276757558","0.176435652224211"
"PDS/Linke","1994","college entrance qualification","West Germany","","","",""
"PDS/Linke","1994","college entrance qualification","East Germany","55","0.259196233136316","0.201293017279124","0.317099448993509"
"PDS/Linke","1994","Other degree","West Germany","","","",""
"PDS/Linke","1994","Other degree","East Germany","","","",""
"PDS/Linke","1994","no degree/no degree yet","West Germany","","","",""
"PDS/Linke","1994","no degree/no degree yet","East Germany","","","",""
"NPD Combination","1994","lower secondary degree","West Germany","48","0.0182080515759413","0.0122828226225923","0.0241332805292902"
"NPD Combination","1994","lower secondary degree","East Germany","","","",""
"NPD Combination","1994","secondary school degree","West Germany","","","",""
"NPD Combination","1994","secondary school degree","East Germany","","","",""
"NPD Combination","1994","college entrance qualification","West Germany","","","",""
"NPD Combination","1994","college entrance qualification","East Germany","","","",""
"NPD Combination","1994","Other degree","West Germany","","","",""
"NPD Combination","1994","Other degree","East Germany","","","",""
"NPD Combination","1994","no degree/no degree yet","West Germany","","","",""
"NPD Combination","1994","no degree/no degree yet","East Germany","","","",""
"AfD","1994","lower secondary degree","West Germany","","","",""
"AfD","1994","lower secondary degree","East Germany","","","",""
"AfD","1994","secondary school degree","West Germany","","","",""
"AfD","1994","secondary school degree","East Germany","","","",""
"AfD","1994","college entrance qualification","West Germany","","","",""
"AfD","1994","college entrance qualification","East Germany","","","",""
"AfD","1994","Other degree","West Germany","","","",""
"AfD","1994","Other degree","East Germany","","","",""
"AfD","1994","no degree/no degree yet","West Germany","","","",""
"AfD","1994","no degree/no degree yet","East Germany","","","",""
"Other","1994","lower secondary degree","West Germany","","","",""
"Other","1994","lower secondary degree","East Germany","","","",""
"Other","1994","secondary school degree","West Germany","","","",""
"Other","1994","secondary school degree","East Germany","","","",""
"Other","1994","college entrance qualification","West Germany","","","",""
"Other","1994","college entrance qualification","East Germany","","","",""
"Other","1994","Other degree","West Germany","","","",""
"Other","1994","Other degree","East Germany","","","",""
"Other","1994","no degree/no degree yet","West Germany","","","",""
"Other","1994","no degree/no degree yet","East Germany","","","",""
"CDU/CSU","1995","lower secondary degree","West Germany","819","0.413857083615968","0.392447591809764","0.435266575422172"
"CDU/CSU","1995","lower secondary degree","East Germany","217","0.415300427573755","0.372193823590407","0.458407031557103"
"CDU/CSU","1995","secondary school degree","West Germany","406","0.473860722114916","0.441889884567408","0.505831559662424"
"CDU/CSU","1995","secondary school degree","East Germany","223","0.376414070709079","0.335960825232701","0.416867316185457"
"CDU/CSU","1995","college entrance qualification","West Germany","301","0.357567970443018","0.326167983264413","0.388967957621623"
"CDU/CSU","1995","college entrance qualification","East Germany","73","0.25360738383636","0.200824580581744","0.306390187090975"
"CDU/CSU","1995","Other degree","West Germany","139","0.427085152264961","0.375629132450792","0.478541172079129"
"CDU/CSU","1995","Other degree","East Germany","","","",""
"CDU/CSU","1995","no degree/no degree yet","West Germany","36","0.25444093470219","0.191163783907886","0.317718085496494"
"CDU/CSU","1995","no degree/no degree yet","East Germany","","","",""
"SPD","1995","lower secondary degree","West Germany","1054","0.515410421942606","0.493686259851994","0.537134584033217"
"SPD","1995","lower secondary degree","East Germany","186","0.362177762983078","0.320133479889767","0.404222046076388"
"SPD","1995","secondary school degree","West Germany","396","0.390383115797422","0.359147339631545","0.421618891963299"
"SPD","1995","secondary school degree","East Germany","159","0.287858499855364","0.250053871934476","0.325663127776252"
"SPD","1995","college entrance qualification","West Germany","301","0.321703311922346","0.291099594194285","0.352307029650408"
"SPD","1995","college entrance qualification","East Germany","71","0.26150807128469","0.208193826369206","0.314822316200175"
"SPD","1995","Other degree","West Germany","174","0.438398488983535","0.386782699717105","0.490014278249966"
"SPD","1995","Other degree","East Germany","","","",""
"SPD","1995","no degree/no degree yet","West Germany","106","0.441929853516595","0.369780330779423","0.514079376253768"
"SPD","1995","no degree/no degree yet","East Germany","","","",""
"FDP","1995","lower secondary degree","West Germany","42","0.0215658309792357","0.0152514859982222","0.0278801759602492"
"FDP","1995","lower secondary degree","East Germany","","","",""
"FDP","1995","secondary school degree","West Germany","","","",""
"FDP","1995","secondary school degree","East Germany","","","",""
"FDP","1995","college entrance qualification","West Germany","42","0.0586618291717497","0.0432665627648638","0.0740570955786357"
"FDP","1995","college entrance qualification","East Germany","","","",""
"FDP","1995","Other degree","West Germany","","","",""
"FDP","1995","Other degree","East Germany","","","",""
"FDP","1995","no degree/no degree yet","West Germany","","","",""
"FDP","1995","no degree/no degree yet","East Germany","","","",""
"Grüne","1995","lower secondary degree","West Germany","69","0.0281544204971937","0.0209640489892689","0.0353447920051185"
"Grüne","1995","lower secondary degree","East Germany","","","",""
"Grüne","1995","secondary school degree","West Germany","92","0.0846986177199632","0.0668707864107177","0.102526449029209"
"Grüne","1995","secondary school degree","East Germany","51","0.104630108277634","0.0790735790963885","0.130186637458879"
"Grüne","1995","college entrance qualification","West Germany","236","0.248350459608672","0.220044573461011","0.276656345756333"
"Grüne","1995","college entrance qualification","East Germany","36","0.14339796897832","0.100878396677468","0.185917541279173"
"Grüne","1995","Other degree","West Germany","","","",""
"Grüne","1995","Other degree","East Germany","","","",""
"Grüne","1995","no degree/no degree yet","West Germany","32","0.26454258656081","0.20046015832928","0.328625014792341"
"Grüne","1995","no degree/no degree yet","East Germany","","","",""
"PDS/Linke","1995","lower secondary degree","West Germany","","","",""
"PDS/Linke","1995","lower secondary degree","East Germany","73","0.166076921814384","0.133522208724024","0.198631634904744"
"PDS/Linke","1995","secondary school degree","West Germany","","","",""
"PDS/Linke","1995","secondary school degree","East Germany","91","0.18953859981309","0.156813024256971","0.222264175369209"
"PDS/Linke","1995","college entrance qualification","West Germany","","","",""
"PDS/Linke","1995","college entrance qualification","East Germany","69","0.29258270210636","0.237388939906185","0.347776464306534"
"PDS/Linke","1995","Other degree","West Germany","","","",""
"PDS/Linke","1995","Other degree","East Germany","","","",""
"PDS/Linke","1995","no degree/no degree yet","West Germany","","","",""
"PDS/Linke","1995","no degree/no degree yet","East Germany","","","",""
"NPD Combination","1995","lower secondary degree","West Germany","","","",""
"NPD Combination","1995","lower secondary degree","East Germany","","","",""
"NPD Combination","1995","secondary school degree","West Germany","","","",""
"NPD Combination","1995","secondary school degree","East Germany","","","",""
"NPD Combination","1995","college entrance qualification","West Germany","","","",""
"NPD Combination","1995","college entrance qualification","East Germany","","","",""
"NPD Combination","1995","Other degree","West Germany","","","",""
"NPD Combination","1995","Other degree","East Germany","","","",""
"NPD Combination","1995","no degree/no degree yet","West Germany","","","",""
"NPD Combination","1995","no degree/no degree yet","East Germany","","","",""
"AfD","1995","lower secondary degree","West Germany","","","",""
"AfD","1995","lower secondary degree","East Germany","","","",""
"AfD","1995","secondary school degree","West Germany","","","",""
"AfD","1995","secondary school degree","East Germany","","","",""
"AfD","1995","college entrance qualification","West Germany","","","",""
"AfD","1995","college entrance qualification","East Germany","","","",""
"AfD","1995","Other degree","West Germany","","","",""
"AfD","1995","Other degree","East Germany","","","",""
"AfD","1995","no degree/no degree yet","West Germany","","","",""
"AfD","1995","no degree/no degree yet","East Germany","","","",""
"Other","1995","lower secondary degree","West Germany","","","",""
"Other","1995","lower secondary degree","East Germany","","","",""
"Other","1995","secondary school degree","West Germany","","","",""
"Other","1995","secondary school degree","East Germany","","","",""
"Other","1995","college entrance qualification","West Germany","","","",""
"Other","1995","college entrance qualification","East Germany","","","",""
"Other","1995","Other degree","West Germany","","","",""
"Other","1995","Other degree","East Germany","","","",""
"Other","1995","no degree/no degree yet","West Germany","","","",""
"Other","1995","no degree/no degree yet","East Germany","","","",""
"CDU/CSU","1996","lower secondary degree","West Germany","800","0.443182119591784","0.420594371393188","0.46576986779038"
"CDU/CSU","1996","lower secondary degree","East Germany","216","0.455732765108216","0.410514243981639","0.500951286234794"
"CDU/CSU","1996","secondary school degree","West Germany","416","0.496790353582562","0.464604185120689","0.528976522044434"
"CDU/CSU","1996","secondary school degree","East Germany","205","0.382534491152686","0.340062194102707","0.425006788202664"
"CDU/CSU","1996","college entrance qualification","West Germany","293","0.370004515228959","0.337528220336102","0.402480810121816"
"CDU/CSU","1996","college entrance qualification","East Germany","58","0.224614985840491","0.17125788483169","0.277972086849292"
"CDU/CSU","1996","Other degree","West Germany","135","0.455862506219969","0.400686890896867","0.511038121543072"
"CDU/CSU","1996","Other degree","East Germany","","","",""
"CDU/CSU","1996","no degree/no degree yet","West Germany","46","0.392044010944724","0.317776729058548","0.466311292830899"
"CDU/CSU","1996","no degree/no degree yet","East Germany","","","",""
"SPD","1996","lower secondary degree","West Germany","896","0.471474852406945","0.448776866036692","0.494172838777197"
"SPD","1996","lower secondary degree","East Germany","147","0.315708332155347","0.273507717106299","0.357908947204395"
"SPD","1996","secondary school degree","West Germany","354","0.344874892220056","0.314276321912685","0.375473462527427"
"SPD","1996","secondary school degree","East Germany","123","0.254488735933965","0.216423766481435","0.292553705386495"
"SPD","1996","college entrance qualification","West Germany","282","0.306007663724567","0.27500937387762","0.337005953571514"
"SPD","1996","college entrance qualification","East Germany","50","0.191149346788799","0.140876354067637","0.241422339509961"
"SPD","1996","Other degree","West Germany","148","0.405451683117569","0.351059179029915","0.459844187205223"
"SPD","1996","Other degree","East Germany","","","",""
"SPD","1996","no degree/no degree yet","West Germany","92","0.37668717849169","0.302975297070971","0.450399059912409"
"SPD","1996","no degree/no degree yet","East Germany","","","",""
"FDP","1996","lower secondary degree","West Germany","35","0.0226332380137609","0.0158704252406538","0.029396050786868"
"FDP","1996","lower secondary degree","East Germany","","","",""
"FDP","1996","secondary school degree","West Germany","","","",""
"FDP","1996","secondary school degree","East Germany","","","",""
"FDP","1996","college entrance qualification","West Germany","34","0.0447238032293188","0.030820176874312","0.0586274295843255"
"FDP","1996","college entrance qualification","East Germany","","","",""
"FDP","1996","Other degree","West Germany","","","",""
"FDP","1996","Other degree","East Germany","","","",""
"FDP","1996","no degree/no degree yet","West Germany","","","",""
"FDP","1996","no degree/no degree yet","East Germany","","","",""
"Grüne","1996","lower secondary degree","West Germany","73","0.0330087782561716","0.0248851278231074","0.0411324286892358"
"Grüne","1996","lower secondary degree","East Germany","","","",""
"Grüne","1996","secondary school degree","West Germany","98","0.0873390319378569","0.0691643361785485","0.105513727697165"
"Grüne","1996","secondary school degree","East Germany","53","0.0982312318947584","0.0722214632821395","0.124241000507377"
"Grüne","1996","college entrance qualification","West Germany","222","0.258570765649797","0.22911849317354","0.288023038126055"
"Grüne","1996","college entrance qualification","East Germany","51","0.234039414056787","0.17990644193332","0.288172386180254"
"Grüne","1996","Other degree","West Germany","","","",""
"Grüne","1996","Other degree","East Germany","","","",""
"Grüne","1996","no degree/no degree yet","West Germany","","","",""
"Grüne","1996","no degree/no degree yet","East Germany","","","",""
"PDS/Linke","1996","lower secondary degree","West Germany","","","",""
"PDS/Linke","1996","lower secondary degree","East Germany","82","0.189046146329544","0.15349634991045","0.224595942748638"
"PDS/Linke","1996","secondary school degree","West Germany","","","",""
"PDS/Linke","1996","secondary school degree","East Germany","93","0.19665721373633","0.161922038958089","0.231392388514571"
"PDS/Linke","1996","college entrance qualification","West Germany","","","",""
"PDS/Linke","1996","college entrance qualification","East Germany","68","0.313378108642217","0.254070923713584","0.372685293570851"
"PDS/Linke","1996","Other degree","West Germany","","","",""
"PDS/Linke","1996","Other degree","East Germany","","","",""
"PDS/Linke","1996","no degree/no degree yet","West Germany","","","",""
"PDS/Linke","1996","no degree/no degree yet","East Germany","","","",""
"NPD Combination","1996","lower secondary degree","West Germany","33","0.0181611749323066","0.0120893770301865","0.0242329728344267"
"NPD Combination","1996","lower secondary degree","East Germany","","","",""
"NPD Combination","1996","secondary school degree","West Germany","","","",""
"NPD Combination","1996","secondary school degree","East Germany","","","",""
"NPD Combination","1996","college entrance qualification","West Germany","","","",""
"NPD Combination","1996","college entrance qualification","East Germany","","","",""
"NPD Combination","1996","Other degree","West Germany","","","",""
"NPD Combination","1996","Other degree","East Germany","","","",""
"NPD Combination","1996","no degree/no degree yet","West Germany","","","",""
"NPD Combination","1996","no degree/no degree yet","East Germany","","","",""
"AfD","1996","lower secondary degree","West Germany","","","",""
"AfD","1996","lower secondary degree","East Germany","","","",""
"AfD","1996","secondary school degree","West Germany","","","",""
"AfD","1996","secondary school degree","East Germany","","","",""
"AfD","1996","college entrance qualification","West Germany","","","",""
"AfD","1996","college entrance qualification","East Germany","","","",""
"AfD","1996","Other degree","West Germany","","","",""
"AfD","1996","Other degree","East Germany","","","",""
"AfD","1996","no degree/no degree yet","West Germany","","","",""
"AfD","1996","no degree/no degree yet","East Germany","","","",""
"Other","1996","lower secondary degree","West Germany","","","",""
"Other","1996","lower secondary degree","East Germany","","","",""
"Other","1996","secondary school degree","West Germany","","","",""
"Other","1996","secondary school degree","East Germany","","","",""
"Other","1996","college entrance qualification","West Germany","","","",""
"Other","1996","college entrance qualification","East Germany","","","",""
"Other","1996","Other degree","West Germany","","","",""
"Other","1996","Other degree","East Germany","","","",""
"Other","1996","no degree/no degree yet","West Germany","","","",""
"Other","1996","no degree/no degree yet","East Germany","","","",""
"CDU/CSU","1997","lower secondary degree","West Germany","726","0.412870222818826","0.390175613431522","0.435564832206129"
"CDU/CSU","1997","lower secondary degree","East Germany","177","0.378995203641267","0.333034090261813","0.424956317020722"
"CDU/CSU","1997","secondary school degree","West Germany","346","0.461629240118067","0.427896276521234","0.4953622037149"
"CDU/CSU","1997","secondary school degree","East Germany","161","0.382645075984477","0.337127769080241","0.428162382888714"
"CDU/CSU","1997","college entrance qualification","West Germany","274","0.363829653904031","0.330260117260542","0.397399190547521"
"CDU/CSU","1997","college entrance qualification","East Germany","62","0.243825729825911","0.187719957337553","0.29993150231427"
"CDU/CSU","1997","Other degree","West Germany","120","0.437634766300533","0.380240001236585","0.495029531364481"
"CDU/CSU","1997","Other degree","East Germany","","","",""
"CDU/CSU","1997","no degree/no degree yet","West Germany","39","0.315094474449295","0.240751798367963","0.389437150530626"
"CDU/CSU","1997","no degree/no degree yet","East Germany","","","",""
"SPD","1997","lower secondary degree","West Germany","925","0.508626536159199","0.485582728863689","0.531670343454709"
"SPD","1997","lower secondary degree","East Germany","158","0.386824876285936","0.340685080516002","0.43296467205587"
"SPD","1997","secondary school degree","West Germany","350","0.37506287322457","0.342303369655911","0.407822376793229"
"SPD","1997","secondary school degree","East Germany","129","0.271610176272471","0.229955286526187","0.313265066018755"
"SPD","1997","college entrance qualification","West Germany","264","0.329857529126046","0.297051296398738","0.362663761853354"
"SPD","1997","college entrance qualification","East Germany","52","0.228716902726778","0.173837058561126","0.28359674689243"
"SPD","1997","Other degree","West Germany","144","0.473211264978545","0.41544784218182","0.53097468777527"
"SPD","1997","Other degree","East Germany","","","",""
"SPD","1997","no degree/no degree yet","West Germany","82","0.45683233430276","0.377115905679427","0.536548762926093"
"SPD","1997","no degree/no degree yet","East Germany","","","",""
"FDP","1997","lower secondary degree","West Germany","33","0.0198104418547721","0.0133872485102242","0.0262336351993201"
"FDP","1997","lower secondary degree","East Germany","","","",""
"FDP","1997","secondary school degree","West Germany","","","",""
"FDP","1997","secondary school degree","East Germany","","","",""
"FDP","1997","college entrance qualification","West Germany","32","0.0401965119873906","0.0264910103462834","0.0539020136284978"
"FDP","1997","college entrance qualification","East Germany","","","",""
"FDP","1997","Other degree","West Germany","","","",""
"FDP","1997","Other degree","East Germany","","","",""
"FDP","1997","no degree/no degree yet","West Germany","","","",""
"FDP","1997","no degree/no degree yet","East Germany","","","",""
"Grüne","1997","lower secondary degree","West Germany","66","0.032879990145705","0.0246603103078298","0.0410996699835803"
"Grüne","1997","lower secondary degree","East Germany","","","",""
"Grüne","1997","secondary school degree","West Germany","94","0.0975117629512272","0.0774385732099515","0.117584952692503"
"Grüne","1997","secondary school degree","East Germany","33","0.0800735285258521","0.0546560727188054","0.105490984332899"
"Grüne","1997","college entrance qualification","West Germany","199","0.238123602364124","0.208403310417748","0.2678438943105"
"Grüne","1997","college entrance qualification","East Germany","37","0.1760290096959","0.126266197449121","0.22579182194268"
"Grüne","1997","Other degree","West Germany","","","",""
"Grüne","1997","Other degree","East Germany","","","",""
"Grüne","1997","no degree/no degree yet","West Germany","","","",""
"Grüne","1997","no degree/no degree yet","East Germany","","","",""
"PDS/Linke","1997","lower secondary degree","West Germany","","","",""
"PDS/Linke","1997","lower secondary degree","East Germany","72","0.17936403129461","0.143016982095931","0.215711080493289"
"PDS/Linke","1997","secondary school degree","West Germany","","","",""
"PDS/Linke","1997","secondary school degree","East Germany","81","0.184080454332133","0.147786144442638","0.220374764221627"
"PDS/Linke","1997","college entrance qualification","West Germany","","","",""
"PDS/Linke","1997","college entrance qualification","East Germany","61","0.282183584425769","0.2233765339087","0.340990634942839"
"PDS/Linke","1997","Other degree","West Germany","","","",""
"PDS/Linke","1997","Other degree","East Germany","","","",""
"PDS/Linke","1997","no degree/no degree yet","West Germany","","","",""
"PDS/Linke","1997","no degree/no degree yet","East Germany","","","",""
"NPD Combination","1997","lower secondary degree","West Germany","34","0.0151162122830026","0.00949198499318823","0.020740439572817"
"NPD Combination","1997","lower secondary degree","East Germany","","","",""
"NPD Combination","1997","secondary school degree","West Germany","","","",""
"NPD Combination","1997","secondary school degree","East Germany","","","",""
"NPD Combination","1997","college entrance qualification","West Germany","","","",""
"NPD Combination","1997","college entrance qualification","East Germany","","","",""
"NPD Combination","1997","Other degree","West Germany","","","",""
"NPD Combination","1997","Other degree","East Germany","","","",""
"NPD Combination","1997","no degree/no degree yet","West Germany","","","",""
"NPD Combination","1997","no degree/no degree yet","East Germany","","","",""
"AfD","1997","lower secondary degree","West Germany","","","",""
"AfD","1997","lower secondary degree","East Germany","","","",""
"AfD","1997","secondary school degree","West Germany","","","",""
"AfD","1997","secondary school degree","East Germany","","","",""
"AfD","1997","college entrance qualification","West Germany","","","",""
"AfD","1997","college entrance qualification","East Germany","","","",""
"AfD","1997","Other degree","West Germany","","","",""
"AfD","1997","Other degree","East Germany","","","",""
"AfD","1997","no degree/no degree yet","West Germany","","","",""
"AfD","1997","no degree/no degree yet","East Germany","","","",""
"Other","1997","lower secondary degree","West Germany","","","",""
"Other","1997","lower secondary degree","East Germany","","","",""
"Other","1997","secondary school degree","West Germany","","","",""
"Other","1997","secondary school degree","East Germany","","","",""
"Other","1997","college entrance qualification","West Germany","","","",""
"Other","1997","college entrance qualification","East Germany","","","",""
"Other","1997","Other degree","West Germany","","","",""
"Other","1997","Other degree","East Germany","","","",""
"Other","1997","no degree/no degree yet","West Germany","","","",""
"Other","1997","no degree/no degree yet","East Germany","","","",""
"CDU/CSU","1998","lower secondary degree","West Germany","779","0.387506331728332","0.366427350547597","0.408585312909067"
"CDU/CSU","1998","lower secondary degree","East Germany","150","0.3462311327974","0.301104874018585","0.391357391576216"
"CDU/CSU","1998","secondary school degree","West Germany","369","0.418339444176148","0.387392170417532","0.449286717934763"
"CDU/CSU","1998","secondary school degree","East Germany","143","0.298431859845772","0.257412236834151","0.339451482857393"
"CDU/CSU","1998","college entrance qualification","West Germany","288","0.325770354679026","0.296030858548519","0.355509850809533"
"CDU/CSU","1998","college entrance qualification","East Germany","54","0.197403787570199","0.147254276693241","0.247553298447157"
"CDU/CSU","1998","Other degree","West Germany","120","0.424519186153583","0.368211676296019","0.480826696011146"
"CDU/CSU","1998","Other degree","East Germany","","","",""
"CDU/CSU","1998","no degree/no degree yet","West Germany","45","0.336895192444696","0.263886655062717","0.409903729826675"
"CDU/CSU","1998","no degree/no degree yet","East Germany","","","",""
"SPD","1998","lower secondary degree","West Germany","1106","0.528019850090976","0.50642021548105","0.549619484700901"
"SPD","1998","lower secondary degree","East Germany","176","0.419387648972515","0.372583418772931","0.466191879172099"
"SPD","1998","secondary school degree","West Germany","450","0.422107482442703","0.391122001375596","0.453092963509809"
"SPD","1998","secondary school degree","East Germany","149","0.293574170975857","0.252749156324715","0.334399185627"
"SPD","1998","college entrance qualification","West Germany","353","0.350442661704145","0.320167174858152","0.380718148550137"
"SPD","1998","college entrance qualification","East Germany","71","0.277205762699377","0.220809688157472","0.333601837241281"
"SPD","1998","Other degree","West Germany","151","0.482840045883117","0.425913304976723","0.53976678678951"
"SPD","1998","Other degree","East Germany","","","",""
"SPD","1998","no degree/no degree yet","West Germany","92","0.498882203446242","0.42164899584449","0.576115411047993"
"SPD","1998","no degree/no degree yet","East Germany","","","",""
"FDP","1998","lower secondary degree","West Germany","32","0.0194413182155933","0.0134674029004485","0.0254152335307381"
"FDP","1998","lower secondary degree","East Germany","","","",""
"FDP","1998","secondary school degree","West Germany","","","",""
"FDP","1998","secondary school degree","East Germany","","","",""
"FDP","1998","college entrance qualification","West Germany","46","0.059168266200935","0.044196456301919","0.0741400760999511"
"FDP","1998","college entrance qualification","East Germany","","","",""
"FDP","1998","Other degree","West Germany","","","",""
"FDP","1998","Other degree","East Germany","","","",""
"FDP","1998","no degree/no degree yet","West Germany","","","",""
"FDP","1998","no degree/no degree yet","East Germany","","","",""
"Grüne","1998","lower secondary degree","West Germany","63","0.0285154977644196","0.0213140829179004","0.0357169126109389"
"Grüne","1998","lower secondary degree","East Germany","","","",""
"Grüne","1998","secondary school degree","West Germany","106","0.10011851473657","0.0812875296460884","0.118949499827052"
"Grüne","1998","secondary school degree","East Germany","50","0.124572918204775","0.0949685395357684","0.154177296873781"
"Grüne","1998","college entrance qualification","West Germany","241","0.23461359111013","0.207723587516394","0.261503594703867"
"Grüne","1998","college entrance qualification","East Germany","44","0.208162228237452","0.157010598033387","0.259313858441517"
"Grüne","1998","Other degree","West Germany","","","",""
"Grüne","1998","Other degree","East Germany","","","",""
"Grüne","1998","no degree/no degree yet","West Germany","","","",""
"Grüne","1998","no degree/no degree yet","East Germany","","","",""
"PDS/Linke","1998","lower secondary degree","West Germany","","","",""
"PDS/Linke","1998","lower secondary degree","East Germany","76","0.178333927479442","0.1420262208158","0.214641634143084"
"PDS/Linke","1998","secondary school degree","West Germany","","","",""
"PDS/Linke","1998","secondary school degree","East Germany","92","0.188480282435219","0.153419900498479","0.223540664371959"
"PDS/Linke","1998","college entrance qualification","West Germany","","","",""
"PDS/Linke","1998","college entrance qualification","East Germany","60","0.250711695511882","0.196104209661346","0.305319181362418"
"PDS/Linke","1998","Other degree","West Germany","","","",""
"PDS/Linke","1998","Other degree","East Germany","","","",""
"PDS/Linke","1998","no degree/no degree yet","West Germany","","","",""
"PDS/Linke","1998","no degree/no degree yet","East Germany","","","",""
"NPD Combination","1998","lower secondary degree","West Germany","36","0.0178477123619486","0.0121192230367283","0.023576201687169"
