"party","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"NPD Combination","1993","(2c_gen) general maturity certificate","","","",""
"NPD Combination","1993","(2c_voc) vocational maturity certificate","","","",""
"NPD Combination","1993","(3a) lower tertiary education","","","",""
"NPD Combination","1993","(3b) higher tertiary education","","","",""
"AfD","1993","(0) in school","","","",""
"AfD","1993","(1a) inadequately completed","","","",""
"AfD","1993","(1b) general elementary school","","","",""
"AfD","1993","(1c) basic vocational qualification","","","",""
"AfD","1993","(2b) intermediate general qualification","","","",""
"AfD","1993","(2a) intermediate vocational","","","",""
"AfD","1993","(2c_gen) general maturity certificate","","","",""
"AfD","1993","(2c_voc) vocational maturity certificate","","","",""
"AfD","1993","(3a) lower tertiary education","","","",""
"AfD","1993","(3b) higher tertiary education","","","",""
"Other","1993","(0) in school","","","",""
"Other","1993","(1a) inadequately completed","","","",""
"Other","1993","(1b) general elementary school","","","",""
"Other","1993","(1c) basic vocational qualification","","","",""
"Other","1993","(2b) intermediate general qualification","","","",""
"Other","1993","(2a) intermediate vocational","","","",""
"Other","1993","(2c_gen) general maturity certificate","","","",""
"Other","1993","(2c_voc) vocational maturity certificate","","","",""
"Other","1993","(3a) lower tertiary education","","","",""
"Other","1993","(3b) higher tertiary education","","","",""
"CDU/CSU","1994","(0) in school","","","",""
"CDU/CSU","1994","(1a) inadequately completed","","","",""
"CDU/CSU","1994","(1b) general elementary school","243","0.364411895721701","0.329713449741853","0.399110341701549"
"CDU/CSU","1994","(1c) basic vocational qualification","692","0.400608572510369","0.377869850678086","0.423347294342651"
"CDU/CSU","1994","(2b) intermediate general qualification","47","0.399722032552834","0.321592565367069","0.477851499738599"
"CDU/CSU","1994","(2a) intermediate vocational","383","0.455826682026445","0.423886076419228","0.487767287633662"
"CDU/CSU","1994","(2c_gen) general maturity certificate","41","0.294482659181528","0.22826160250224","0.360703715860815"
"CDU/CSU","1994","(2c_voc) vocational maturity certificate","70","0.298407196570298","0.241914145622324","0.354900247518272"
"CDU/CSU","1994","(3a) lower tertiary education","112","0.343401425248037","0.294820467392849","0.391982383103225"
"CDU/CSU","1994","(3b) higher tertiary education","129","0.313880456734049","0.271609738377186","0.356151175090913"
"SPD","1994","(0) in school","","","",""
"SPD","1994","(1a) inadequately completed","100","0.745229678766062","0.67032724946019","0.820132108071934"
"SPD","1994","(1b) general elementary school","429","0.557254437191577","0.521442340520497","0.593066533862658"
"SPD","1994","(1c) basic vocational qualification","901","0.49868440667638","0.47548274086968","0.521886072483081"
"SPD","1994","(2b) intermediate general qualification","67","0.427304458981974","0.348402055869195","0.506206862094753"
"SPD","1994","(2a) intermediate vocational","384","0.392010943021232","0.360701767630332","0.423320118412131"
"SPD","1994","(2c_gen) general maturity certificate","87","0.403887367116377","0.33260096525553","0.475173768977224"
"SPD","1994","(2c_voc) vocational maturity certificate","107","0.401454956465265","0.340932764023077","0.461977148907453"
"SPD","1994","(3a) lower tertiary education","137","0.377570813955581","0.327973376165747","0.427168251745416"
"SPD","1994","(3b) higher tertiary education","151","0.300256010379647","0.258504418490493","0.342007602268801"
"FDP","1994","(0) in school","","","",""
"FDP","1994","(1a) inadequately completed","","","",""
"FDP","1994","(1b) general elementary school","","","",""
"FDP","1994","(1c) basic vocational qualification","35","0.0232378251518705","0.0162467684843908","0.0302288818193503"
"FDP","1994","(2b) intermediate general qualification","","","",""
"FDP","1994","(2a) intermediate vocational","","","",""
"FDP","1994","(2c_gen) general maturity certificate","","","",""
"FDP","1994","(2c_voc) vocational maturity certificate","","","",""
"FDP","1994","(3a) lower tertiary education","","","",""
"FDP","1994","(3b) higher tertiary education","39","0.104348884877796","0.0765023643417901","0.132195405413803"
"Grüne","1994","(0) in school","","","",""
"Grüne","1994","(1a) inadequately completed","","","",""
"Grüne","1994","(1b) general elementary school","","","",""
"Grüne","1994","(1c) basic vocational qualification","49","0.0252329156492581","0.0179553721200513","0.0325104591784648"
"Grüne","1994","(2b) intermediate general qualification","","","",""
"Grüne","1994","(2a) intermediate vocational","83","0.0760644410419274","0.0590629765425772","0.0930659055412775"
"Grüne","1994","(2c_gen) general maturity certificate","38","0.224158505919375","0.163571915855103","0.284745095983646"
"Grüne","1994","(2c_voc) vocational maturity certificate","47","0.186396132029675","0.138315211824949","0.2344770522344"
"Grüne","1994","(3a) lower tertiary education","42","0.131220504814348","0.0966766585578269","0.165764351070868"
"Grüne","1994","(3b) higher tertiary education","86","0.196617236875274","0.16041548023795","0.232818993512597"
"PDS/Linke","1994","(0) in school","","","",""
"PDS/Linke","1994","(1a) inadequately completed","","","",""
"PDS/Linke","1994","(1b) general elementary school","","","",""
"PDS/Linke","1994","(1c) basic vocational qualification","46","0.0206050047648662","0.0140130234775961","0.0271969860521363"
"PDS/Linke","1994","(2b) intermediate general qualification","","","",""
"PDS/Linke","1994","(2a) intermediate vocational","31","0.0168322325417873","0.00858213031092085","0.0250823347726537"
"PDS/Linke","1994","(2c_gen) general maturity certificate","","","",""
"PDS/Linke","1994","(2c_voc) vocational maturity certificate","","","",""
"PDS/Linke","1994","(3a) lower tertiary education","54","0.0954859200722662","0.0654187611367679","0.125553079007764"
"PDS/Linke","1994","(3b) higher tertiary education","49","0.0661190544566202","0.0434847751994744","0.088753333713766"
"NPD Combination","1994","(0) in school","","","",""
"NPD Combination","1994","(1a) inadequately completed","","","",""
"NPD Combination","1994","(1b) general elementary school","","","",""
"NPD Combination","1994","(1c) basic vocational qualification","41","0.0185915402549689","0.0123234787358117","0.024859601774126"
"NPD Combination","1994","(2b) intermediate general qualification","","","",""
"NPD Combination","1994","(2a) intermediate vocational","","","",""
"NPD Combination","1994","(2c_gen) general maturity certificate","","","",""
"NPD Combination","1994","(2c_voc) vocational maturity certificate","","","",""
"NPD Combination","1994","(3a) lower tertiary education","","","",""
"NPD Combination","1994","(3b) higher tertiary education","","","",""
"AfD","1994","(0) in school","","","",""
"AfD","1994","(1a) inadequately completed","","","",""
"AfD","1994","(1b) general elementary school","","","",""
"AfD","1994","(1c) basic vocational qualification","","","",""
"AfD","1994","(2b) intermediate general qualification","","","",""
"AfD","1994","(2a) intermediate vocational","","","",""
"AfD","1994","(2c_gen) general maturity certificate","","","",""
"AfD","1994","(2c_voc) vocational maturity certificate","","","",""
"AfD","1994","(3a) lower tertiary education","","","",""
"AfD","1994","(3b) higher tertiary education","","","",""
"Other","1994","(0) in school","","","",""
"Other","1994","(1a) inadequately completed","","","",""
"Other","1994","(1b) general elementary school","","","",""
"Other","1994","(1c) basic vocational qualification","","","",""
"Other","1994","(2b) intermediate general qualification","","","",""
"Other","1994","(2a) intermediate vocational","","","",""
"Other","1994","(2c_gen) general maturity certificate","","","",""
"Other","1994","(2c_voc) vocational maturity certificate","","","",""
"Other","1994","(3a) lower tertiary education","","","",""
"Other","1994","(3b) higher tertiary education","","","",""
"CDU/CSU","1995","(0) in school","","","",""
"CDU/CSU","1995","(1a) inadequately completed","","","",""
"CDU/CSU","1995","(1b) general elementary school","306","0.420245006902155","0.385244451043581","0.455245562760729"
"CDU/CSU","1995","(1c) basic vocational qualification","816","0.419999934788102","0.398110446857976","0.441889422718228"
"CDU/CSU","1995","(2b) intermediate general qualification","60","0.450551385373934","0.37272372574831","0.528379044999558"
"CDU/CSU","1995","(2a) intermediate vocational","494","0.46061139262159","0.431613370111375","0.489609415131805"
"CDU/CSU","1995","(2c_gen) general maturity certificate","68","0.319334137531795","0.260472921683173","0.378195353380417"
"CDU/CSU","1995","(2c_voc) vocational maturity certificate","117","0.34571259164181","0.293845880540434","0.397579302743186"
"CDU/CSU","1995","(3a) lower tertiary education","149","0.37411798781625","0.328058861815711","0.420177113816788"
"CDU/CSU","1995","(3b) higher tertiary education","173","0.327218422219922","0.288147907988305","0.36628893645154"
"SPD","1995","(0) in school","","","",""
"SPD","1995","(1a) inadequately completed","85","0.505089923705683","0.419797859380791","0.590381988030575"
"SPD","1995","(1b) general elementary school","391","0.51622744931935","0.480791622553506","0.551663276085194"
"SPD","1995","(1c) basic vocational qualification","950","0.485509878702557","0.463344021810197","0.507675735594917"
"SPD","1995","(2b) intermediate general qualification","62","0.395463967363112","0.318981336215499","0.471946598510725"
"SPD","1995","(2a) intermediate vocational","434","0.374960130508984","0.346795985844064","0.403124275173904"
"SPD","1995","(2c_gen) general maturity certificate","86","0.326625870532187","0.267416141524435","0.385835599539938"
"SPD","1995","(2c_voc) vocational maturity certificate","115","0.346163733922441","0.294281088012704","0.398046379832177"
"SPD","1995","(3a) lower tertiary education","148","0.342124750112598","0.296967323654383","0.387282176570813"
"SPD","1995","(3b) higher tertiary education","161","0.287460525173127","0.249773940574531","0.325147109771723"
"FDP","1995","(0) in school","","","",""
"FDP","1995","(1a) inadequately completed","","","",""
"FDP","1995","(1b) general elementary school","","","",""
"FDP","1995","(1c) basic vocational qualification","41","0.0259602846517631","0.0189078344700039","0.0330127348335222"
"FDP","1995","(2b) intermediate general qualification","","","",""
"FDP","1995","(2a) intermediate vocational","","","",""
"FDP","1995","(2c_gen) general maturity certificate","","","",""
"FDP","1995","(2c_voc) vocational maturity certificate","","","",""
"FDP","1995","(3a) lower tertiary education","","","",""
"FDP","1995","(3b) higher tertiary education","34","0.0698368779978155","0.0486134674400355","0.0910602885555955"
"Grüne","1995","(0) in school","","","",""
"Grüne","1995","(1a) inadequately completed","","","",""
"Grüne","1995","(1b) general elementary school","30","0.0293927489206993","0.0174158804584753","0.0413696173829233"
"Grüne","1995","(1c) basic vocational qualification","58","0.0275580365371788","0.0202977635431031","0.0348183095312546"
"Grüne","1995","(2b) intermediate general qualification","","","",""
"Grüne","1995","(2a) intermediate vocational","106","0.0887153875029614","0.0721738202221311","0.105256954783792"
"Grüne","1995","(2c_gen) general maturity certificate","64","0.286970953829748","0.229860955004652","0.344080952654844"
"Grüne","1995","(2c_voc) vocational maturity certificate","65","0.209579125617353","0.165192713367077","0.253965537867629"
"Grüne","1995","(3a) lower tertiary education","55","0.137326071736453","0.104564479715946","0.17008766375696"
"Grüne","1995","(3b) higher tertiary education","123","0.234468065142329","0.199189028725156","0.269747101559503"
"PDS/Linke","1995","(0) in school","","","",""
"PDS/Linke","1995","(1a) inadequately completed","","","",""
"PDS/Linke","1995","(1b) general elementary school","","","",""
"PDS/Linke","1995","(1c) basic vocational qualification","48","0.0198175555824907","0.0136363174981467","0.0259987936668348"
"PDS/Linke","1995","(2b) intermediate general qualification","","","",""
"PDS/Linke","1995","(2a) intermediate vocational","52","0.0295819527917773","0.0197249923776174","0.0394389132059372"
"PDS/Linke","1995","(2c_gen) general maturity certificate","","","",""
"PDS/Linke","1995","(2c_voc) vocational maturity certificate","","","",""
"PDS/Linke","1995","(3a) lower tertiary education","58","0.106495678950572","0.0771340947196434","0.135857263181501"
"PDS/Linke","1995","(3b) higher tertiary education","60","0.0780375387410121","0.055701733723865","0.100373343758159"
"NPD Combination","1995","(0) in school","","","",""
"NPD Combination","1995","(1a) inadequately completed","","","",""
"NPD Combination","1995","(1b) general elementary school","","","",""
"NPD Combination","1995","(1c) basic vocational qualification","","","",""
"NPD Combination","1995","(2b) intermediate general qualification","","","",""
"NPD Combination","1995","(2a) intermediate vocational","","","",""
"NPD Combination","1995","(2c_gen) general maturity certificate","","","",""
"NPD Combination","1995","(2c_voc) vocational maturity certificate","","","",""
"NPD Combination","1995","(3a) lower tertiary education","","","",""
"NPD Combination","1995","(3b) higher tertiary education","","","",""
"AfD","1995","(0) in school","","","",""
"AfD","1995","(1a) inadequately completed","","","",""
"AfD","1995","(1b) general elementary school","","","",""
"AfD","1995","(1c) basic vocational qualification","","","",""
"AfD","1995","(2b) intermediate general qualification","","","",""
"AfD","1995","(2a) intermediate vocational","","","",""
"AfD","1995","(2c_gen) general maturity certificate","","","",""
"AfD","1995","(2c_voc) vocational maturity certificate","","","",""
"AfD","1995","(3a) lower tertiary education","","","",""
"AfD","1995","(3b) higher tertiary education","","","",""
"Other","1995","(0) in school","","","",""
"Other","1995","(1a) inadequately completed","","","",""
"Other","1995","(1b) general elementary school","","","",""
"Other","1995","(1c) basic vocational qualification","","","",""
"Other","1995","(2b) intermediate general qualification","","","",""
"Other","1995","(2a) intermediate vocational","","","",""
"Other","1995","(2c_gen) general maturity certificate","","","",""
"Other","1995","(2c_voc) vocational maturity certificate","","","",""
"Other","1995","(3a) lower tertiary education","","","",""
"Other","1995","(3b) higher tertiary education","","","",""
"CDU/CSU","1996","(0) in school","","","",""
"CDU/CSU","1996","(1a) inadequately completed","","","",""
"CDU/CSU","1996","(1b) general elementary school","285","0.434705969877097","0.397419762934032","0.471992176820162"
"CDU/CSU","1996","(1c) basic vocational qualification","819","0.458870454788487","0.435882244613358","0.481858664963616"
"CDU/CSU","1996","(2b) intermediate general qualification","56","0.428266684893208","0.347725505383405","0.508807864403011"
"CDU/CSU","1996","(2a) intermediate vocational","493","0.490244345737954","0.46058080160664","0.519907889869268"
"CDU/CSU","1996","(2c_gen) general maturity certificate","59","0.33170415009581","0.264401990350858","0.399006309840761"
"CDU/CSU","1996","(2c_voc) vocational maturity certificate","92","0.323762918671085","0.269247680065233","0.378278157276938"
"CDU/CSU","1996","(3a) lower tertiary education","144","0.371004917309493","0.325239264189008","0.416770570429979"
"CDU/CSU","1996","(3b) higher tertiary education","185","0.364729931457276","0.324538156049607","0.404921706864946"
"SPD","1996","(0) in school","","","",""
"SPD","1996","(1a) inadequately completed","75","0.478692948629491","0.387392169090909","0.569993728168073"
"SPD","1996","(1b) general elementary school","328","0.483209642492486","0.44562259602764","0.520796688957333"
"SPD","1996","(1c) basic vocational qualification","796","0.437045739679952","0.414162922623511","0.459928556736394"
"SPD","1996","(2b) intermediate general qualification","52","0.366906666904964","0.288459771348407","0.445353562461522"
"SPD","1996","(2a) intermediate vocational","378","0.334445098692855","0.306449479553709","0.362440717832001"
"SPD","1996","(2c_gen) general maturity certificate","60","0.286645476866175","0.222006507588157","0.351284446144193"
"SPD","1996","(2c_voc) vocational maturity certificate","101","0.322568406710304","0.268105789042236","0.377031024378372"
"SPD","1996","(3a) lower tertiary education","131","0.297992973889393","0.254661850545713","0.341324097233074"
"SPD","1996","(3b) higher tertiary education","156","0.280867564643923","0.243341975044578","0.318393154243269"
"FDP","1996","(0) in school","","","",""
"FDP","1996","(1a) inadequately completed","","","",""
"FDP","1996","(1b) general elementary school","","","",""
"FDP","1996","(1c) basic vocational qualification","31","0.0231513834258665","0.016213746070489","0.0300890207812441"
"FDP","1996","(2b) intermediate general qualification","","","",""
"FDP","1996","(2a) intermediate vocational","","","",""
"FDP","1996","(2c_gen) general maturity certificate","","","",""
"FDP","1996","(2c_voc) vocational maturity certificate","","","",""
"FDP","1996","(3a) lower tertiary education","","","",""
"FDP","1996","(3b) higher tertiary education","","","",""
"Grüne","1996","(0) in school","","","",""
"Grüne","1996","(1a) inadequately completed","","","",""
"Grüne","1996","(1b) general elementary school","34","0.0384766595003083","0.024009215853144","0.0529441031474727"
"Grüne","1996","(1c) basic vocational qualification","60","0.0315916044793637","0.0235225136786332","0.0396606952800942"
"Grüne","1996","(2b) intermediate general qualification","","","",""
"Grüne","1996","(2a) intermediate vocational","112","0.0845267164771435","0.0680201953371751","0.101033237617112"
"Grüne","1996","(2c_gen) general maturity certificate","52","0.300113358231044","0.234600630566657","0.365626085895431"
"Grüne","1996","(2c_voc) vocational maturity certificate","66","0.257801745249915","0.20683841916206","0.308765071337769"
"Grüne","1996","(3a) lower tertiary education","64","0.166806396894755","0.13148763094769","0.202125162841819"
"Grüne","1996","(3b) higher tertiary education","125","0.233974927926287","0.198625821099661","0.269324034752912"
"PDS/Linke","1996","(0) in school","","","",""
"PDS/Linke","1996","(1a) inadequately completed","","","",""
"PDS/Linke","1996","(1b) general elementary school","","","",""
"PDS/Linke","1996","(1c) basic vocational qualification","59","0.0236400275830372","0.0166313116106334","0.030648743555441"
"PDS/Linke","1996","(2b) intermediate general qualification","","","",""
"PDS/Linke","1996","(2a) intermediate vocational","49","0.0283350260864907","0.0184891175286181","0.0381809346443632"
"PDS/Linke","1996","(2c_gen) general maturity certificate","","","",""
"PDS/Linke","1996","(2c_voc) vocational maturity certificate","","","",""
"PDS/Linke","1996","(3a) lower tertiary education","71","0.113697322660487","0.0836232422798143","0.143771403041159"
"PDS/Linke","1996","(3b) higher tertiary education","55","0.0643448200545126","0.0438574128231138","0.0848322272859114"
"NPD Combination","1996","(0) in school","","","",""
"NPD Combination","1996","(1a) inadequately completed","","","",""
"NPD Combination","1996","(1b) general elementary school","","","",""
"NPD Combination","1996","(1c) basic vocational qualification","","","",""
"NPD Combination","1996","(2b) intermediate general qualification","","","",""
"NPD Combination","1996","(2a) intermediate vocational","","","",""
"NPD Combination","1996","(2c_gen) general maturity certificate","","","",""
"NPD Combination","1996","(2c_voc) vocational maturity certificate","","","",""
"NPD Combination","1996","(3a) lower tertiary education","","","",""
"NPD Combination","1996","(3b) higher tertiary education","","","",""
"AfD","1996","(0) in school","","","",""
"AfD","1996","(1a) inadequately completed","","","",""
"AfD","1996","(1b) general elementary school","","","",""
"AfD","1996","(1c) basic vocational qualification","","","",""
"AfD","1996","(2b) intermediate general qualification","","","",""
"AfD","1996","(2a) intermediate vocational","","","",""
"AfD","1996","(2c_gen) general maturity certificate","","","",""
"AfD","1996","(2c_voc) vocational maturity certificate","","","",""
"AfD","1996","(3a) lower tertiary education","","","",""
"AfD","1996","(3b) higher tertiary education","","","",""
"Other","1996","(0) in school","","","",""
"Other","1996","(1a) inadequately completed","","","",""
"Other","1996","(1b) general elementary school","","","",""
"Other","1996","(1c) basic vocational qualification","","","",""
"Other","1996","(2b) intermediate general qualification","","","",""
"Other","1996","(2a) intermediate vocational","","","",""
"Other","1996","(2c_gen) general maturity certificate","","","",""
"Other","1996","(2c_voc) vocational maturity certificate","","","",""
"Other","1996","(3a) lower tertiary education","","","",""
"Other","1996","(3b) higher tertiary education","","","",""
"CDU/CSU","1997","(0) in school","","","",""
"CDU/CSU","1997","(1a) inadequately completed","","","",""
"CDU/CSU","1997","(1b) general elementary school","266","0.419348753994782","0.38150128341909","0.457196224570474"
"CDU/CSU","1997","(1c) basic vocational qualification","714","0.414709216514716","0.391526942346226","0.437891490683206"
"CDU/CSU","1997","(2b) intermediate general qualification","46","0.400090086013348","0.318053095151988","0.482127076874707"
"CDU/CSU","1997","(2a) intermediate vocational","404","0.462857641994469","0.431495414843924","0.494219869145014"
"CDU/CSU","1997","(2c_gen) general maturity certificate","54","0.318815966357606","0.249373154023925","0.388258778691286"
"CDU/CSU","1997","(2c_voc) vocational maturity certificate","95","0.321370163509492","0.265036839324012","0.377703487694972"
"CDU/CSU","1997","(3a) lower tertiary education","128","0.346963433695295","0.299782088837584","0.394144778553006"
"CDU/CSU","1997","(3b) higher tertiary education","164","0.356668353133705","0.314889919998243","0.398446786269168"
"SPD","1997","(0) in school","","","",""
"SPD","1997","(1a) inadequately completed","74","0.69890110239775","0.610309629104515","0.787492575690986"
"SPD","1997","(1b) general elementary school","336","0.521769460038831","0.483456166975346","0.560082753102317"
"SPD","1997","(1c) basic vocational qualification","837","0.484501488191999","0.460985695817266","0.508017280566732"
"SPD","1997","(2b) intermediate general qualification","52","0.38284718166163","0.30145233807538","0.464242025247881"
"SPD","1997","(2a) intermediate vocational","372","0.356229045165664","0.326108083818784","0.386350006512545"
"SPD","1997","(2c_gen) general maturity certificate","55","0.340812532586696","0.270182844444239","0.411442220729152"
"SPD","1997","(2c_voc) vocational maturity certificate","96","0.371401157508069","0.313116460581567","0.42968585443457"
"SPD","1997","(3a) lower tertiary education","134","0.332382553202478","0.285690533418753","0.379074572986203"
"SPD","1997","(3b) higher tertiary education","144","0.290254629723737","0.250668479906923","0.329840779540551"
"FDP","1997","(0) in school","","","",""
"FDP","1997","(1a) inadequately completed","","","",""
"FDP","1997","(1b) general elementary school","","","",""
"FDP","1997","(1c) basic vocational qualification","","","",""
"FDP","1997","(2b) intermediate general qualification","","","",""
"FDP","1997","(2a) intermediate vocational","","","",""
"FDP","1997","(2c_gen) general maturity certificate","","","",""
"FDP","1997","(2c_voc) vocational maturity certificate","","","",""
"FDP","1997","(3a) lower tertiary education","","","",""
"FDP","1997","(3b) higher tertiary education","","","",""
"Grüne","1997","(0) in school","","","",""
"Grüne","1997","(1a) inadequately completed","","","",""
"Grüne","1997","(1b) general elementary school","","","",""
"Grüne","1997","(1c) basic vocational qualification","58","0.0346054948667487","0.0260050028947631","0.0432059868387343"
"Grüne","1997","(2b) intermediate general qualification","","","",""
"Grüne","1997","(2a) intermediate vocational","95","0.08904662889778","0.071132516651317","0.106960741144243"
"Grüne","1997","(2c_gen) general maturity certificate","39","0.225299607311321","0.163044907274551","0.287554307348091"
"Grüne","1997","(2c_voc) vocational maturity certificate","55","0.221493671104422","0.171402883312235","0.27158445889661"
"Grüne","1997","(3a) lower tertiary education","51","0.163627236781799","0.126959217484815","0.200295256078783"
"Grüne","1997","(3b) higher tertiary education","119","0.231021954074574","0.194261065630628","0.267782842518521"
"PDS/Linke","1997","(0) in school","","","",""
"PDS/Linke","1997","(1a) inadequately completed","","","",""
"PDS/Linke","1997","(1b) general elementary school","","","",""
"PDS/Linke","1997","(1c) basic vocational qualification","48","0.0181738992814403","0.011888401224497","0.0244593973383835"
"PDS/Linke","1997","(2b) intermediate general qualification","","","",""
"PDS/Linke","1997","(2a) intermediate vocational","41","0.0246689027131886","0.0149125065239671","0.0344252989024102"
"PDS/Linke","1997","(2c_gen) general maturity certificate","","","",""
"PDS/Linke","1997","(2c_voc) vocational maturity certificate","","","",""
"PDS/Linke","1997","(3a) lower tertiary education","64","0.11271202767067","0.0813663877108225","0.144057667630517"
"PDS/Linke","1997","(3b) higher tertiary education","47","0.0577871738575048","0.0374358513978181","0.0781384963171915"
"NPD Combination","1997","(0) in school","","","",""
"NPD Combination","1997","(1a) inadequately completed","","","",""
"NPD Combination","1997","(1b) general elementary school","","","",""
"NPD Combination","1997","(1c) basic vocational qualification","34","0.0179113897172215","0.0116706175166551","0.0241521619177879"
"NPD Combination","1997","(2b) intermediate general qualification","","","",""
"NPD Combination","1997","(2a) intermediate vocational","33","0.0326458289970135","0.0214683186374147","0.0438233393566123"
"NPD Combination","1997","(2c_gen) general maturity certificate","","","",""
"NPD Combination","1997","(2c_voc) vocational maturity certificate","","","",""
"NPD Combination","1997","(3a) lower tertiary education","","","",""
"NPD Combination","1997","(3b) higher tertiary education","","","",""
"AfD","1997","(0) in school","","","",""
"AfD","1997","(1a) inadequately completed","","","",""
"AfD","1997","(1b) general elementary school","","","",""
"AfD","1997","(1c) basic vocational qualification","","","",""
"AfD","1997","(2b) intermediate general qualification","","","",""
"AfD","1997","(2a) intermediate vocational","","","",""
"AfD","1997","(2c_gen) general maturity certificate","","","",""
"AfD","1997","(2c_voc) vocational maturity certificate","","","",""
"AfD","1997","(3a) lower tertiary education","","","",""
"AfD","1997","(3b) higher tertiary education","","","",""
"Other","1997","(0) in school","","","",""
"Other","1997","(1a) inadequately completed","","","",""
"Other","1997","(1b) general elementary school","","","",""
"Other","1997","(1c) basic vocational qualification","","","",""
"Other","1997","(2b) intermediate general qualification","","","",""
"Other","1997","(2a) intermediate vocational","","","",""
"Other","1997","(2c_gen) general maturity certificate","","","",""
"Other","1997","(2c_voc) vocational maturity certificate","","","",""
"Other","1997","(3a) lower tertiary education","","","",""
"Other","1997","(3b) higher tertiary education","","","",""
"CDU/CSU","1998","(0) in school","","","",""
"CDU/CSU","1998","(1a) inadequately completed","","","",""
"CDU/CSU","1998","(1b) general elementary school","267","0.380458578970221","0.34506961840218","0.415847539538262"
"CDU/CSU","1998","(1c) basic vocational qualification","728","0.393771810252642","0.371738868476244","0.41580475202904"
"CDU/CSU","1998","(2b) intermediate general qualification","47","0.412909998578726","0.334117929855715","0.491702067301738"
"CDU/CSU","1998","(2a) intermediate vocational","412","0.404499216847206","0.375678451689735","0.433319982004676"
"CDU/CSU","1998","(2c_gen) general maturity certificate","58","0.307476271447978","0.24287468434705","0.372077858548906"
"CDU/CSU","1998","(2c_voc) vocational maturity certificate","93","0.260969077273507","0.212624887034818","0.309313267512196"
"CDU/CSU","1998","(3a) lower tertiary education","130","0.299639183274143","0.257866985473729","0.341411381074556"
"CDU/CSU","1998","(3b) higher tertiary education","178","0.334735032221579","0.296881288636071","0.372588775807087"
"SPD","1998","(0) in school","","","",""
"SPD","1998","(1a) inadequately completed","75","0.582319190033152","0.490572709372751","0.674065670693554"
"SPD","1998","(1b) general elementary school","394","0.543793615463103","0.50748776003138","0.580099470894827"
"SPD","1998","(1c) basic vocational qualification","966","0.503620068445419","0.481072966248026","0.526167170642812"
"SPD","1998","(2b) intermediate general qualification","64","0.394930859525773","0.316702270239763","0.473159448811783"
"SPD","1998","(2a) intermediate vocational","473","0.404326752697779","0.37550796004515","0.433145545350407"
"SPD","1998","(2c_gen) general maturity certificate","69","0.309181418824774","0.244480752477721","0.373882085171827"
"SPD","1998","(2c_voc) vocational maturity certificate","131","0.409366930231082","0.355237467327363","0.4634963931348"
"SPD","1998","(3a) lower tertiary education","168","0.365920303010303","0.321997274180171","0.409843331840435"
"SPD","1998","(3b) higher tertiary education","199","0.325226870451908","0.287648925532342","0.362804815371474"
"FDP","1998","(0) in school","","","",""
"FDP","1998","(1a) inadequately completed","","","",""
"FDP","1998","(1b) general elementary school","","","",""
"FDP","1998","(1c) basic vocational qualification","","","",""
"FDP","1998","(2b) intermediate general qualification","","","",""
"FDP","1998","(2a) intermediate vocational","","","",""
"FDP","1998","(2c_gen) general maturity certificate","","","",""
"FDP","1998","(2c_voc) vocational maturity certificate","","","",""
"FDP","1998","(3a) lower tertiary education","","","",""
"FDP","1998","(3b) higher tertiary education","32","0.0559128227083061","0.0374829352227604","0.0743427101938517"
"Grüne","1998","(0) in school","","","",""
"Grüne","1998","(1a) inadequately completed","","","",""
"Grüne","1998","(1b) general elementary school","","","",""
"Grüne","1998","(1c) basic vocational qualification","54","0.0291467960124189","0.0215609450333323","0.0367326469915055"
"Grüne","1998","(2b) intermediate general qualification","","","",""
"Grüne","1998","(2a) intermediate vocational","109","0.0955211335628236","0.0782605910691592","0.112781676056488"
"Grüne","1998","(2c_gen) general maturity certificate","51","0.297632227983771","0.233623039535976","0.361641416431565"
"Grüne","1998","(2c_voc) vocational maturity certificate","63","0.204349903734868","0.159961785061174","0.248738022408563"
"Grüne","1998","(3a) lower tertiary education","79","0.168423917308264","0.134298342108477","0.202549492508051"
"Grüne","1998","(3b) higher tertiary education","133","0.213128178124777","0.180278330577266","0.245978025672289"
"PDS/Linke","1998","(0) in school","","","",""
"PDS/Linke","1998","(1a) inadequately completed","","","",""
"PDS/Linke","1998","(1b) general elementary school","","","",""
"PDS/Linke","1998","(1c) basic vocational qualification","57","0.019066277132254","0.0128991216847823","0.0252334325797258"
"PDS/Linke","1998","(2b) intermediate general qualification","","","",""
"PDS/Linke","1998","(2a) intermediate vocational","53","0.0305697960593972","0.02046075315801","0.0406788389607843"
"PDS/Linke","1998","(2c_gen) general maturity certificate","","","",""
"PDS/Linke","1998","(2c_voc) vocational maturity certificate","","","",""
"PDS/Linke","1998","(3a) lower tertiary education","61","0.0983121486909464","0.0711628380671801","0.125461459314713"
"PDS/Linke","1998","(3b) higher tertiary education","52","0.0659509641195457","0.0460416481961826","0.0858602800429087"
"NPD Combination","1998","(0) in school","","","",""
"NPD Combination","1998","(1a) inadequately completed","","","",""
"NPD Combination","1998","(1b) general elementary school","","","",""
"NPD Combination","1998","(1c) basic vocational qualification","","","",""
"NPD Combination","1998","(2b) intermediate general qualification","","","",""
"NPD Combination","1998","(2a) intermediate vocational","","","",""
"NPD Combination","1998","(2c_gen) general maturity certificate","","","",""
"NPD Combination","1998","(2c_voc) vocational maturity certificate","","","",""
