"party","year","e11102","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","2008","Not Employed","1548","0.456900519631645","0.440116984829314","0.473684054433975"
"CDU/CSU","2008","Employed","1952","0.375257819040985","0.361831648296453","0.388683989785516"
"SPD","2008","Not Employed","1180","0.371290040193914","0.355011527078959","0.38756855330887"
"SPD","2008","Employed","1620","0.333314244262601","0.320242775146727","0.346385713378476"
"FDP","2008","Not Employed","142","0.0387622048910602","0.0322586236524376","0.0452657861296827"
"FDP","2008","Employed","323","0.0594569052336005","0.0528995701655245","0.0660142403016765"
"Grüne","2008","Not Employed","185","0.0494011806342351","0.0420998803000312","0.056702480968439"
"Grüne","2008","Employed","657","0.143602554761789","0.133878315391055","0.153326794132523"
"PDS/Linke","2008","Not Employed","286","0.0683157253770265","0.0598155548484242","0.0768158959056289"
"PDS/Linke","2008","Employed","324","0.0622758776124014","0.0555749589178743","0.0689767963069286"
"NPD Combination","2008","Not Employed","20","","",""
"NPD Combination","2008","Employed","85","0.0183393495456136","0.0146187791022693","0.0220599199889579"
"AfD","2008","Not Employed","","","",""
"AfD","2008","Employed","","","",""
"Other","2008","Not Employed","23","","",""
"Other","2008","Employed","35","0.00775324954300906","0.00532110937756165","0.0101853897084565"
"CDU/CSU","2009","Not Employed","1410","0.441746201492835","0.424486360663874","0.459006042321795"
"CDU/CSU","2009","Employed","1648","0.353018055178934","0.339040825457072","0.366995284900796"
"SPD","2009","Not Employed","1042","0.35139978744735","0.334806829153766","0.367992745740933"
"SPD","2009","Employed","1346","0.295924135855089","0.282574282780999","0.309273988929179"
"FDP","2009","Not Employed","221","0.0625642138211701","0.0541470013286039","0.0709814263137364"
"FDP","2009","Employed","423","0.0964549122758174","0.0878208802895092","0.105088944262126"
"Grüne","2009","Not Employed","195","0.05856688957275","0.0504056646880146","0.0667281144574854"
"Grüne","2009","Employed","670","0.160116485898064","0.149391317574831","0.170841654221296"
"PDS/Linke","2009","Not Employed","260","0.0691519492190717","0.06033382644867","0.0779700719894734"
"PDS/Linke","2009","Employed","278","0.058290033078761","0.0514377973054831","0.065142268852039"
"NPD Combination","2009","Not Employed","25","","",""
"NPD Combination","2009","Employed","77","0.0255368568620679","0.020923224408402","0.0301504893157338"
"AfD","2009","Not Employed","","","",""
"AfD","2009","Employed","","","",""
"Other","2009","Not Employed","27","","",""
"Other","2009","Employed","49","0.0106595208512675","0.00765608545605678","0.0136629562464782"
"CDU/CSU","2010","Not Employed","1649","0.423580305328523","0.4081961612032","0.438964449453846"
"CDU/CSU","2010","Employed","2527","0.347502839033199","0.336398537728206","0.358607140338192"
"SPD","2010","Not Employed","1275","0.358070193214619","0.343143489547813","0.372996896881425"
"SPD","2010","Employed","1967","0.288162263214041","0.27760061245185","0.298723913976231"
"FDP","2010","Not Employed","219","0.0510195320564065","0.0441688639586831","0.0578702001541298"
"FDP","2010","Employed","536","0.073773053405243","0.067677258718481","0.0798688480920049"
"Grüne","2010","Not Employed","386","0.0764252103032888","0.0681535934207727","0.0846968271858049"
"Grüne","2010","Employed","1283","0.165759815227288","0.157088041734363","0.174431588720212"
"PDS/Linke","2010","Not Employed","361","0.078345927533764","0.0699797275562475","0.0867121275112806"
"PDS/Linke","2010","Employed","546","0.0874146737368263","0.0808282198302033","0.0940011276434492"
"NPD Combination","2010","Not Employed","41","0.0065341232061953","0.004025668914769","0.00904257749762161"
"NPD Combination","2010","Employed","123","0.0227023042004611","0.0192287734135168","0.0261758349874054"
"AfD","2010","Not Employed","","","",""
"AfD","2010","Employed","","","",""
"Other","2010","Not Employed","32","0.00602470835720378","0.00361540290454955","0.00843401380985801"
"Other","2010","Employed","82","0.0146850511829427","0.0118799533420859","0.0174901490237996"
"CDU/CSU","2011","Not Employed","1700","0.431184383964482","0.415587364654359","0.446781403274604"
"CDU/CSU","2011","Employed","1858","0.341994044936753","0.32916576068411","0.354822329189396"
"SPD","2011","Not Employed","1332","0.367704682766314","0.352519014597974","0.382890350934655"
"SPD","2011","Employed","1502","0.298907171260213","0.286527750612323","0.311286591908102"
"FDP","2011","Not Employed","109","0.0245283178764414","0.0196567858882838","0.029399849864599"
"FDP","2011","Employed","217","0.0326297316652468","0.0278252392789274","0.0374342240515663"
"Grüne","2011","Not Employed","407","0.101945224140625","0.0924159636604288","0.111474484620822"
"Grüne","2011","Employed","1184","0.224432540771699","0.213150255071442","0.235714826471957"
"PDS/Linke","2011","Not Employed","272","0.059938524840412","0.0524627623484491","0.067414287332375"
"PDS/Linke","2011","Employed","326","0.0616705220860319","0.0551653186433109","0.0681757255287528"
"NPD Combination","2011","Not Employed","20","","",""
"NPD Combination","2011","Employed","91","0.019405055966057","0.0156747310138005","0.0231353809183135"
"AfD","2011","Not Employed","","","",""
"AfD","2011","Employed","","","",""
"Other","2011","Not Employed","33","0.00632872727991756","0.00383123646095008","0.00882621809888505"
"Other","2011","Employed","75","0.0209609333139992","0.0170870216828554","0.0248348449451431"
"CDU/CSU","2012","Not Employed","1713","0.453422567408689","0.437644036560894","0.469201098256485"
"CDU/CSU","2012","Employed","1797","0.338701766521862","0.325684818972199","0.351718714071526"
"SPD","2012","Not Employed","1331","0.356174266614978","0.340996614849415","0.37135191838054"
"SPD","2012","Employed","1537","0.311143080650739","0.298409623564526","0.323876537736951"
"FDP","2012","Not Employed","94","0.0241858305071965","0.0193166798562292","0.0290549811581639"
"FDP","2012","Employed","150","0.0261554762960364","0.0217658467289653","0.0305451058631075"
"Grüne","2012","Not Employed","340","0.0835544160377326","0.0747838586462471","0.092324973429218"
"Grüne","2012","Employed","1050","0.209999412867704","0.198796666849316","0.221202158886091"
"PDS/Linke","2012","Not Employed","260","0.0578870125124839","0.0504853170404271","0.0652887079845407"
"PDS/Linke","2012","Employed","281","0.0539260604515529","0.0477136001053449","0.060138520797761"
"NPD Combination","2012","Not Employed","20","","",""
"NPD Combination","2012","Employed","69","0.0178142858650953","0.0141761177964268","0.0214524539337639"
"AfD","2012","Not Employed","","","",""
"AfD","2012","Employed","","","",""
"Other","2012","Not Employed","66","0.0180268489293377","0.0138098949099258","0.0222438029487497"
"Other","2012","Employed","194","0.0422599173470106","0.0367265449894911","0.0477932897045302"
"CDU/CSU","2013","Not Employed","2132","0.444869794379169","0.431007650048442","0.458731938709896"
"CDU/CSU","2013","Employed","1830","0.378444296009192","0.364677877200628","0.392210714817756"
"SPD","2013","Not Employed","1722","0.354919540537054","0.341572394078171","0.368266686995938"
"SPD","2013","Employed","1409","0.301609861167833","0.288582640032302","0.314637082303364"
"FDP","2013","Not Employed","127","0.0266624147623151","0.0221687774769502","0.03115605204768"
"FDP","2013","Employed","157","0.0288547374088173","0.0241032385551913","0.0336062362624432"
"Grüne","2013","Not Employed","539","0.0975252831698565","0.0892498133472634","0.10580075299245"
"Grüne","2013","Employed","984","0.205442676885079","0.193974670723237","0.216910683046922"
"PDS/Linke","2013","Not Employed","307","0.052517076030345","0.04629475387951","0.0587393981811799"
"PDS/Linke","2013","Employed","248","0.0488116965926724","0.0426955882533619","0.054927804931983"
"NPD Combination","2013","Not Employed","21","","",""
"NPD Combination","2013","Employed","42","0.0129954439037054","0.00978078346344541","0.0162101043439654"
"AfD","2013","Not Employed","","","",""
"AfD","2013","Employed","","","",""
"Other","2013","Not Employed","89","0.0188806291385832","0.015084109214015","0.0226771490631514"
"Other","2013","Employed","98","0.0238412880327006","0.0195111170814192","0.028171458983982"
"CDU/CSU","2014","Not Employed","1941","0.457524524588651","0.442815840866432","0.472233208310869"
"CDU/CSU","2014","Employed","2863","0.370405239250237","0.359500049656572","0.381310428843902"
"SPD","2014","Not Employed","1467","0.338441794375085","0.324471595438862","0.352411993311308"
"SPD","2014","Employed","2125","0.30144289257736","0.291080319901177","0.311805465253544"
"FDP","2014","Not Employed","104","0.0251994165787514","0.0205720948202053","0.0298267383372974"
"FDP","2014","Employed","208","0.0256135633915738","0.0220460572993485","0.0291810694837991"
"Grüne","2014","Not Employed","363","0.0706250760348586","0.0630610762969105","0.0781890757728068"
"Grüne","2014","Employed","1399","0.183700233901185","0.174955556391912","0.192444911410457"
"PDS/Linke","2014","Not Employed","372","0.0727566406859949","0.0650881525336043","0.0804251288383854"
"PDS/Linke","2014","Employed","564","0.0680794628056043","0.0623914363364931","0.0737674892747155"
"NPD Combination","2014","Not Employed","27","","",""
"NPD Combination","2014","Employed","75","0.0118766574626418","0.00943031754300503","0.0143229973822786"
"AfD","2014","Not Employed","72","0.0147612634444566","0.0112007791807192","0.0183217477081939"
"AfD","2014","Employed","147","0.0196811853143632","0.0165444822981309","0.0228178883305956"
"Other","2014","Not Employed","61","0.0134144797805186","0.0100179857787832","0.0168109737822541"
"Other","2014","Employed","152","0.0192007652970347","0.0161018233832102","0.0222997072108592"
"CDU/CSU","2015","Not Employed","1791","0.468778098285333","0.453297973141644","0.484258223429023"
"CDU/CSU","2015","Employed","2355","0.373861532144201","0.36193978908327","0.385783275205133"
"SPD","2015","Not Employed","1281","0.328273180578716","0.313706289584429","0.342840071573002"
"SPD","2015","Employed","1708","0.27689554204839","0.265869803874408","0.287921280222372"
"FDP","2015","Not Employed","104","0.0245166188969587","0.0197193611789877","0.0293138766149296"
"FDP","2015","Employed","174","0.0250770372892402","0.0212242730299745","0.0289298015485059"
"Grüne","2015","Not Employed","338","0.0751465540681538","0.0669686159607043","0.0833244921756032"
"Grüne","2015","Employed","1187","0.185953222357259","0.176366377289285","0.195540067425232"
"PDS/Linke","2015","Not Employed","318","0.0628779148391561","0.0553478281357837","0.0704080015425285"
"PDS/Linke","2015","Employed","523","0.0734152154556169","0.0669885632913954","0.0798418676198384"
"NPD Combination","2015","Not Employed","24","","",""
"NPD Combination","2015","Employed","77","0.0135293138496381","0.0106826961083172","0.016375931590959"
"AfD","2015","Not Employed","92","0.025461484682871","0.020575026453136","0.0303479429126061"
"AfD","2015","Employed","185","0.0316618724820566","0.0273473673729588","0.0359763775911544"
"Other","2015","Not Employed","44","0.0088028756696742","0.00590523101758833","0.0117005203217601"
"Other","2015","Employed","118","0.0196062643735979","0.0161900362407666","0.0230224925064291"
"CDU/CSU","2016","Not Employed","1542","0.456616229728044","0.440085620629859","0.473146838826229"
"CDU/CSU","2016","Employed","2131","0.351759183826017","0.339642120563423","0.363876247088611"
"SPD","2016","Not Employed","1033","0.299039167639721","0.283845215073252","0.314233120206189"
"SPD","2016","Employed","1452","0.256938262179052","0.245850770493146","0.268025753864959"
"FDP","2016","Not Employed","115","0.0319476506301775","0.0261114698266734","0.0377838314336816"
"FDP","2016","Employed","172","0.0287185147980738","0.0244805239967539","0.0329565055993937"
"Grüne","2016","Not Employed","300","0.0885997578124781","0.0791693453068097","0.0980301703181465"
"Grüne","2016","Employed","1243","0.20179271040221","0.191608741882965","0.211976678921454"
"PDS/Linke","2016","Not Employed","281","0.0627695493661773","0.0547202597548033","0.0708188389775513"
"PDS/Linke","2016","Employed","435","0.0675777512290029","0.0612081147380094","0.0739473877199964"
"NPD Combination","2016","Not Employed","17","","",""
"NPD Combination","2016","Employed","54","0.0127926480674069","0.0099410331155169","0.0156442630192969"
"AfD","2016","Not Employed","167","0.0496106457173532","0.0424045823931248","0.0568167090415815"
"AfD","2016","Employed","359","0.0567464793621664","0.0508757758856865","0.0626171828386463"
"Other","2016","Not Employed","33","0.00859587156030052","0.0055322848758373","0.0116594582447637"
"Other","2016","Employed","120","0.0236744501360709","0.0198166142887159","0.0275322859834258"
"CDU/CSU","2017","Not Employed","1843","0.419465235667309","0.404397028394285","0.434533442940332"
"CDU/CSU","2017","Employed","2456","0.345158596697497","0.333874542631179","0.356442650763815"
"SPD","2017","Not Employed","1293","0.350656328767211","0.33608572225932","0.365226935275102"
"SPD","2017","Employed","1918","0.294856987894763","0.284034376580586","0.30567959920894"
"FDP","2017","Not Employed","146","0.0357661142174848","0.0300955462873136","0.041436682147656"
"FDP","2017","Employed","296","0.0441200804641317","0.0392458331294721","0.0489943277987913"
"Grüne","2017","Not Employed","324","0.0733272971304411","0.0653676189947169","0.0812869752661654"
"Grüne","2017","Employed","1108","0.154949067255538","0.146360441645605","0.163537692865472"
"PDS/Linke","2017","Not Employed","306","0.0649604369147543","0.0574348747926142","0.0724859990368943"
"PDS/Linke","2017","Employed","523","0.0771880075615648","0.0708534064005134","0.0835226087226162"
"NPD Combination","2017","Not Employed","18","","",""
"NPD Combination","2017","Employed","70","0.00894058782689444","0.00670639512982035","0.0111747805239685"
"AfD","2017","Not Employed","158","0.0459437722022594","0.0395508444943524","0.0523366999101663"
"AfD","2017","Employed","361","0.0593953127729311","0.0537852541185991","0.0650053714272631"
"Other","2017","Not Employed","32","0.00684389275042992","0.00432644862973073","0.00936133687112911"
"Other","2017","Employed","87","0.0153913595266797","0.0124695085716606","0.0183132104816989"
"CDU/CSU","2018","Not Employed","1824","0.422963139441467","0.408015129090356","0.437911149792579"
"CDU/CSU","2018","Employed","2319","0.326706199452154","0.315696345823221","0.337716053081087"
"SPD","2018","Not Employed","1142","0.309721288239618","0.295730953050547","0.323711623428688"
"SPD","2018","Employed","1608","0.241292709988247","0.231248638880363","0.25133678109613"
"FDP","2018","Not Employed","170","0.0408789719702952","0.0348877275106847","0.0468702164299057"
"FDP","2018","Employed","379","0.0544803321345792","0.0491524365319343","0.0598082277372241"
"Grüne","2018","Not Employed","463","0.0940718922931287","0.0852389140938604","0.102904870492397"
"Grüne","2018","Employed","1344","0.186100470468035","0.176964394884044","0.195236546052026"
"PDS/Linke","2018","Not Employed","350","0.0693523542818668","0.0616654124089592","0.0770392961547744"
"PDS/Linke","2018","Employed","647","0.0890851420316375","0.082397976387767","0.0957723076755081"
"NPD Combination","2018","Not Employed","8","","",""
"NPD Combination","2018","Employed","22","","",""
"AfD","2018","Not Employed","200","0.0504908639382287","0.043865857172792","0.0571158707036654"
"AfD","2018","Employed","525","0.0814369525953843","0.0750164978125508","0.0878574073782177"
"Other","2018","Not Employed","39","0.0105094754419652","0.00742396734116013","0.0135949835427702"
"Other","2018","Employed","127","0.0187680829815186","0.0155824455898664","0.0219537203731707"
"CDU/CSU","2019","Not Employed","1419","0.395633154180746","0.37995542358587","0.411310884775622"
"CDU/CSU","2019","Employed","2383","0.282537908103093","0.2724249199803","0.292650896225887"
"SPD","2019","Not Employed","907","0.263061263964995","0.248944645211552","0.277177882718437"
"SPD","2019","Employed","1223","0.182695562522866","0.174016005060966","0.191375119984765"
"FDP","2019","Not Employed","191","0.049749640418056","0.0427785528782621","0.0567207279578499"
"FDP","2019","Employed","498","0.0519719787933755","0.0469861556621896","0.0569578019245614"
"Grüne","2019","Not Employed","625","0.147886766861993","0.136505257650438","0.159268276073548"
"Grüne","2019","Employed","2139","0.277676616842385","0.267617099434452","0.287736134250317"
"PDS/Linke","2019","Not Employed","305","0.0729229890911137","0.064586624908136","0.0812593532740915"
"PDS/Linke","2019","Employed","618","0.0873614651514271","0.0810191033847836","0.0937038269180706"
"NPD Combination","2019","Not Employed","7","","",""
"NPD Combination","2019","Employed","23","","",""
"AfD","2019","Not Employed","212","0.0545413229795916","0.047260664625988","0.0618219813331953"
"AfD","2019","Employed","537","0.089142843503968","0.0827424005103769","0.0955432864975591"
"Other","2019","Not Employed","71","0.0151071024668919","0.0111962482042319","0.0190179567295519"
"Other","2019","Employed","193","0.0254633077414122","0.0219249791490365","0.0290016363337878"
