"party","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Grüne","1993","16-34 y.","Other degree","9","","",""
"Grüne","1993","16-34 y.","no degree/no degree yet","12","","",""
"Grüne","1993","35-65 y.","lower secondary degree","34","0.0246037638252295","0.016566144805643","0.032641382844816"
"Grüne","1993","35-65 y.","secondary school degree","47","0.0714283902250894","0.0511890649285564","0.0916677155216223"
"Grüne","1993","35-65 y.","college entrance qualification","95","0.188341085821823","0.15400168318696","0.222680488456686"
"Grüne","1993","35-65 y.","Other degree","12","","",""
"Grüne","1993","35-65 y.","no degree/no degree yet","4","","",""
"Grüne","1993","66 and older","lower secondary degree","1","","",""
"Grüne","1993","66 and older","secondary school degree","4","","",""
"Grüne","1993","66 and older","college entrance qualification","2","","",""
"Grüne","1993","66 and older","Other degree","","","",""
"Grüne","1993","66 and older","no degree/no degree yet","","","",""
"PDS/Linke","1993","16-34 y.","lower secondary degree","2","","",""
"PDS/Linke","1993","16-34 y.","secondary school degree","18","","",""
"PDS/Linke","1993","16-34 y.","college entrance qualification","9","","",""
"PDS/Linke","1993","16-34 y.","Other degree","","","",""
"PDS/Linke","1993","16-34 y.","no degree/no degree yet","2","","",""
"PDS/Linke","1993","35-65 y.","lower secondary degree","33","0.0139515213266586","0.00786602475907055","0.0200370178942466"
"PDS/Linke","1993","35-65 y.","secondary school degree","20","","",""
"PDS/Linke","1993","35-65 y.","college entrance qualification","29","","",""
"PDS/Linke","1993","35-65 y.","Other degree","1","","",""
"PDS/Linke","1993","35-65 y.","no degree/no degree yet","","","",""
"PDS/Linke","1993","66 and older","lower secondary degree","17","","",""
"PDS/Linke","1993","66 and older","secondary school degree","6","","",""
"PDS/Linke","1993","66 and older","college entrance qualification","5","","",""
"PDS/Linke","1993","66 and older","Other degree","1","","",""
"PDS/Linke","1993","66 and older","no degree/no degree yet","","","",""
"NPD Combination","1993","16-34 y.","lower secondary degree","26","","",""
"NPD Combination","1993","16-34 y.","secondary school degree","29","","",""
"NPD Combination","1993","16-34 y.","college entrance qualification","5","","",""
"NPD Combination","1993","16-34 y.","Other degree","1","","",""
"NPD Combination","1993","16-34 y.","no degree/no degree yet","2","","",""
"NPD Combination","1993","35-65 y.","lower secondary degree","43","0.0363213589226111","0.0266143983513958","0.0460283194938265"
"NPD Combination","1993","35-65 y.","secondary school degree","10","","",""
"NPD Combination","1993","35-65 y.","college entrance qualification","7","","",""
"NPD Combination","1993","35-65 y.","Other degree","","","",""
"NPD Combination","1993","35-65 y.","no degree/no degree yet","","","",""
"NPD Combination","1993","66 and older","lower secondary degree","6","","",""
"NPD Combination","1993","66 and older","secondary school degree","2","","",""
"NPD Combination","1993","66 and older","college entrance qualification","5","","",""
"NPD Combination","1993","66 and older","Other degree","","","",""
"NPD Combination","1993","66 and older","no degree/no degree yet","","","",""
"AfD","1993","16-34 y.","lower secondary degree","","","",""
"AfD","1993","16-34 y.","secondary school degree","","","",""
"AfD","1993","16-34 y.","college entrance qualification","","","",""
"AfD","1993","16-34 y.","Other degree","","","",""
"AfD","1993","16-34 y.","no degree/no degree yet","","","",""
"AfD","1993","35-65 y.","lower secondary degree","","","",""
"AfD","1993","35-65 y.","secondary school degree","","","",""
"AfD","1993","35-65 y.","college entrance qualification","","","",""
"AfD","1993","35-65 y.","Other degree","","","",""
"AfD","1993","35-65 y.","no degree/no degree yet","","","",""
"AfD","1993","66 and older","lower secondary degree","","","",""
"AfD","1993","66 and older","secondary school degree","","","",""
"AfD","1993","66 and older","college entrance qualification","","","",""
"AfD","1993","66 and older","Other degree","","","",""
"AfD","1993","66 and older","no degree/no degree yet","","","",""
"Other","1993","16-34 y.","lower secondary degree","8","","",""
"Other","1993","16-34 y.","secondary school degree","7","","",""
"Other","1993","16-34 y.","college entrance qualification","2","","",""
"Other","1993","16-34 y.","Other degree","","","",""
"Other","1993","16-34 y.","no degree/no degree yet","","","",""
"Other","1993","35-65 y.","lower secondary degree","8","","",""
"Other","1993","35-65 y.","secondary school degree","7","","",""
"Other","1993","35-65 y.","college entrance qualification","3","","",""
"Other","1993","35-65 y.","Other degree","2","","",""
"Other","1993","35-65 y.","no degree/no degree yet","1","","",""
"Other","1993","66 and older","lower secondary degree","4","","",""
"Other","1993","66 and older","secondary school degree","","","",""
"Other","1993","66 and older","college entrance qualification","2","","",""
"Other","1993","66 and older","Other degree","","","",""
"Other","1993","66 and older","no degree/no degree yet","","","",""
"CDU/CSU","1994","16-34 y.","lower secondary degree","82","0.269964787814839","0.224358695274257","0.315570880355421"
"CDU/CSU","1994","16-34 y.","secondary school degree","123","0.274521364737101","0.234046068218913","0.314996661255289"
"CDU/CSU","1994","16-34 y.","college entrance qualification","100","0.282119136063304","0.238976923811539","0.325261348315069"
"CDU/CSU","1994","16-34 y.","Other degree","4","","",""
"CDU/CSU","1994","16-34 y.","no degree/no degree yet","16","","",""
"CDU/CSU","1994","35-65 y.","lower secondary degree","569","0.382746645909018","0.358016961926941","0.407476329891094"
"CDU/CSU","1994","35-65 y.","secondary school degree","273","0.483175032607078","0.444277016900537","0.522073048313619"
"CDU/CSU","1994","35-65 y.","college entrance qualification","151","0.330129408727415","0.2887858878006","0.371472929654231"
"CDU/CSU","1994","35-65 y.","Other degree","33","0.167594182952472","0.113917132615836","0.221271233289109"
"CDU/CSU","1994","35-65 y.","no degree/no degree yet","9","","",""
"CDU/CSU","1994","66 and older","lower secondary degree","261","0.453949834269144","0.41249135085237","0.495408317685919"
"CDU/CSU","1994","66 and older","secondary school degree","78","0.581776292214572","0.49632366098529","0.667228923443855"
"CDU/CSU","1994","66 and older","college entrance qualification","36","0.463129954233189","0.352470936213009","0.573788972253369"
"CDU/CSU","1994","66 and older","Other degree","4","","",""
"CDU/CSU","1994","66 and older","no degree/no degree yet","2","","",""
"SPD","1994","16-34 y.","lower secondary degree","210","0.54172884908432","0.490543031995953","0.592914666172688"
"SPD","1994","16-34 y.","secondary school degree","207","0.433689048513503","0.388741463904275","0.47863663312273"
"SPD","1994","16-34 y.","college entrance qualification","181","0.392859093662256","0.346039989178111","0.439678198146401"
"SPD","1994","16-34 y.","Other degree","24","","",""
"SPD","1994","16-34 y.","no degree/no degree yet","30","0.398378977035771","0.2811539348769","0.515604019194643"
"SPD","1994","35-65 y.","lower secondary degree","761","0.524869928870245","0.499462352167937","0.550277505572552"
"SPD","1994","35-65 y.","secondary school degree","258","0.403003127767899","0.364822444301423","0.441183811234375"
"SPD","1994","35-65 y.","college entrance qualification","166","0.318617141379673","0.277653357419742","0.359580925339605"
"SPD","1994","35-65 y.","Other degree","140","0.751837632491571","0.689761934603068","0.813913330380074"
"SPD","1994","35-65 y.","no degree/no degree yet","77","0.773728746958392","0.688690230691029","0.858767263225755"
"SPD","1994","66 and older","lower secondary degree","247","0.460284706625068","0.418780812788733","0.501788600461403"
"SPD","1994","66 and older","secondary school degree","30","0.278668637144653","0.200998412601979","0.356338861687326"
"SPD","1994","66 and older","college entrance qualification","28","","",""
"SPD","1994","66 and older","Other degree","7","","",""
"SPD","1994","66 and older","no degree/no degree yet","4","","",""
"FDP","1994","16-34 y.","lower secondary degree","4","","",""
"FDP","1994","16-34 y.","secondary school degree","7","","",""
"FDP","1994","16-34 y.","college entrance qualification","18","","",""
"FDP","1994","16-34 y.","Other degree","","","",""
"FDP","1994","16-34 y.","no degree/no degree yet","1","","",""
"FDP","1994","35-65 y.","lower secondary degree","29","","",""
"FDP","1994","35-65 y.","secondary school degree","20","","",""
"FDP","1994","35-65 y.","college entrance qualification","40","0.0924236478432968","0.0669610309876387","0.117886264698955"
"FDP","1994","35-65 y.","Other degree","3","","",""
"FDP","1994","35-65 y.","no degree/no degree yet","","","",""
"FDP","1994","66 and older","lower secondary degree","15","","",""
"FDP","1994","66 and older","secondary school degree","4","","",""
"FDP","1994","66 and older","college entrance qualification","5","","",""
"FDP","1994","66 and older","Other degree","","","",""
"FDP","1994","66 and older","no degree/no degree yet","","","",""
"Grüne","1994","16-34 y.","lower secondary degree","31","0.0750459085191291","0.0479801004428947","0.102111716595363"
"Grüne","1994","16-34 y.","secondary school degree","76","0.174361797707954","0.139949774308752","0.208773821107155"
"Grüne","1994","16-34 y.","college entrance qualification","97","0.238006864280714","0.19718148567577","0.278832242885659"
"Grüne","1994","16-34 y.","Other degree","10","","",""
"Grüne","1994","16-34 y.","no degree/no degree yet","15","","",""
"Grüne","1994","35-65 y.","lower secondary degree","40","0.0289353698043646","0.0204069272788298","0.0374638123298994"
"Grüne","1994","35-65 y.","secondary school degree","34","0.0411139418745773","0.0256584965553584","0.0565693871937962"
"Grüne","1994","35-65 y.","college entrance qualification","90","0.196090221161532","0.161184105726303","0.23099633659676"
"Grüne","1994","35-65 y.","Other degree","5","","",""
"Grüne","1994","35-65 y.","no degree/no degree yet","3","","",""
"Grüne","1994","66 and older","lower secondary degree","1","","",""
"Grüne","1994","66 and older","secondary school degree","6","","",""
"Grüne","1994","66 and older","college entrance qualification","2","","",""
"Grüne","1994","66 and older","Other degree","","","",""
"Grüne","1994","66 and older","no degree/no degree yet","","","",""
"PDS/Linke","1994","16-34 y.","lower secondary degree","3","","",""
"PDS/Linke","1994","16-34 y.","secondary school degree","27","","",""
"PDS/Linke","1994","16-34 y.","college entrance qualification","17","","",""
"PDS/Linke","1994","16-34 y.","Other degree","","","",""
"PDS/Linke","1994","16-34 y.","no degree/no degree yet","3","","",""
"PDS/Linke","1994","35-65 y.","lower secondary degree","47","0.0178965621713829","0.0111513663402377","0.024641758002528"
"PDS/Linke","1994","35-65 y.","secondary school degree","33","0.0254999169964419","0.013229373883328","0.0377704601095558"
"PDS/Linke","1994","35-65 y.","college entrance qualification","40","0.0464733530769663","0.0279662553680759","0.0649804507858567"
"PDS/Linke","1994","35-65 y.","Other degree","3","","",""
"PDS/Linke","1994","35-65 y.","no degree/no degree yet","","","",""
"PDS/Linke","1994","66 and older","lower secondary degree","25","","",""
"PDS/Linke","1994","66 and older","secondary school degree","7","","",""
"PDS/Linke","1994","66 and older","college entrance qualification","3","","",""
"PDS/Linke","1994","66 and older","Other degree","1","","",""
"PDS/Linke","1994","66 and older","no degree/no degree yet","","","",""
"NPD Combination","1994","16-34 y.","lower secondary degree","27","","",""
"NPD Combination","1994","16-34 y.","secondary school degree","15","","",""
"NPD Combination","1994","16-34 y.","college entrance qualification","1","","",""
"NPD Combination","1994","16-34 y.","Other degree","2","","",""
"NPD Combination","1994","16-34 y.","no degree/no degree yet","2","","",""
"NPD Combination","1994","35-65 y.","lower secondary degree","25","","",""
"NPD Combination","1994","35-65 y.","secondary school degree","7","","",""
"NPD Combination","1994","35-65 y.","college entrance qualification","3","","",""
"NPD Combination","1994","35-65 y.","Other degree","1","","",""
"NPD Combination","1994","35-65 y.","no degree/no degree yet","","","",""
"NPD Combination","1994","66 and older","lower secondary degree","1","","",""
"NPD Combination","1994","66 and older","secondary school degree","2","","",""
"NPD Combination","1994","66 and older","college entrance qualification","4","","",""
"NPD Combination","1994","66 and older","Other degree","","","",""
"NPD Combination","1994","66 and older","no degree/no degree yet","","","",""
"AfD","1994","16-34 y.","lower secondary degree","","","",""
"AfD","1994","16-34 y.","secondary school degree","","","",""
"AfD","1994","16-34 y.","college entrance qualification","","","",""
"AfD","1994","16-34 y.","Other degree","","","",""
"AfD","1994","16-34 y.","no degree/no degree yet","","","",""
"AfD","1994","35-65 y.","lower secondary degree","","","",""
"AfD","1994","35-65 y.","secondary school degree","","","",""
"AfD","1994","35-65 y.","college entrance qualification","","","",""
"AfD","1994","35-65 y.","Other degree","","","",""
"AfD","1994","35-65 y.","no degree/no degree yet","","","",""
"AfD","1994","66 and older","lower secondary degree","","","",""
"AfD","1994","66 and older","secondary school degree","","","",""
"AfD","1994","66 and older","college entrance qualification","","","",""
"AfD","1994","66 and older","Other degree","","","",""
"AfD","1994","66 and older","no degree/no degree yet","","","",""
"Other","1994","16-34 y.","lower secondary degree","7","","",""
"Other","1994","16-34 y.","secondary school degree","12","","",""
"Other","1994","16-34 y.","college entrance qualification","4","","",""
"Other","1994","16-34 y.","Other degree","","","",""
"Other","1994","16-34 y.","no degree/no degree yet","","","",""
"Other","1994","35-65 y.","lower secondary degree","13","","",""
"Other","1994","35-65 y.","secondary school degree","9","","",""
"Other","1994","35-65 y.","college entrance qualification","7","","",""
"Other","1994","35-65 y.","Other degree","1","","",""
"Other","1994","35-65 y.","no degree/no degree yet","4","","",""
"Other","1994","66 and older","lower secondary degree","4","","",""
"Other","1994","66 and older","secondary school degree","1","","",""
"Other","1994","66 and older","college entrance qualification","","","",""
"Other","1994","66 and older","Other degree","","","",""
"Other","1994","66 and older","no degree/no degree yet","","","",""
"CDU/CSU","1995","16-34 y.","lower secondary degree","120","0.357105627719528","0.307950388041568","0.406260867397488"
"CDU/CSU","1995","16-34 y.","secondary school degree","186","0.312779100937507","0.274207413208806","0.351350788666209"
"CDU/CSU","1995","16-34 y.","college entrance qualification","145","0.316491294587868","0.275393506432954","0.357589082742783"
"CDU/CSU","1995","16-34 y.","Other degree","29","","",""
"CDU/CSU","1995","16-34 y.","no degree/no degree yet","22","","",""
"CDU/CSU","1995","35-65 y.","lower secondary degree","636","0.401574311673259","0.377294780974275","0.425853842372243"
"CDU/CSU","1995","35-65 y.","secondary school degree","358","0.467272147102452","0.432458683090485","0.502085611114419"
"CDU/CSU","1995","35-65 y.","college entrance qualification","189","0.337539152717874","0.299088633327311","0.375989672108436"
"CDU/CSU","1995","35-65 y.","Other degree","102","0.441833025697898","0.382707556341572","0.500958495054224"
"CDU/CSU","1995","35-65 y.","no degree/no degree yet","18","","",""
"CDU/CSU","1995","66 and older","lower secondary degree","280","0.456591423636796","0.416867079027032","0.496315768246561"
"CDU/CSU","1995","66 and older","secondary school degree","85","0.624613891404617","0.545525678370958","0.703702104438275"
"CDU/CSU","1995","66 and older","college entrance qualification","40","0.471269957439642","0.363880680972363","0.57865923390692"
"CDU/CSU","1995","66 and older","Other degree","10","","",""
"CDU/CSU","1995","66 and older","no degree/no degree yet","1","","",""
"SPD","1995","16-34 y.","lower secondary degree","180","0.470533575266926","0.419328126043672","0.52173902449018"
"SPD","1995","16-34 y.","secondary school degree","225","0.420939123655966","0.379864522277535","0.462013725034397"
"SPD","1995","16-34 y.","college entrance qualification","164","0.322346920065818","0.281048730787272","0.363645109344364"
"SPD","1995","16-34 y.","Other degree","34","0.522223123801857","0.409922567578087","0.634523680025628"
"SPD","1995","16-34 y.","no degree/no degree yet","41","0.326762171037295","0.237891932874532","0.415632409200059"
"SPD","1995","35-65 y.","lower secondary degree","788","0.518054764390969","0.493306833539873","0.542802695242065"
"SPD","1995","35-65 y.","secondary school degree","291","0.375276091377916","0.341490688565283","0.409061494190549"
"SPD","1995","35-65 y.","college entrance qualification","183","0.311903420593637","0.274233492335077","0.349573348852196"
"SPD","1995","35-65 y.","Other degree","138","0.4339940353616","0.374985364852617","0.493002705870583"
"SPD","1995","35-65 y.","no degree/no degree yet","61","0.593168213123149","0.489943225673704","0.696393200572594"
"SPD","1995","66 and older","lower secondary degree","272","0.45664516885941","0.41692045095915","0.496369886759671"
"SPD","1995","66 and older","secondary school degree","39","0.268789027204072","0.196379791621941","0.341198262786204"
"SPD","1995","66 and older","college entrance qualification","25","","",""
"SPD","1995","66 and older","Other degree","7","","",""
"SPD","1995","66 and older","no degree/no degree yet","8","","",""
"FDP","1995","16-34 y.","lower secondary degree","4","","",""
"FDP","1995","16-34 y.","secondary school degree","5","","",""
"FDP","1995","16-34 y.","college entrance qualification","12","","",""
"FDP","1995","16-34 y.","Other degree","1","","",""
"FDP","1995","16-34 y.","no degree/no degree yet","1","","",""
"FDP","1995","35-65 y.","lower secondary degree","26","","",""
"FDP","1995","35-65 y.","secondary school degree","25","","",""
"FDP","1995","35-65 y.","college entrance qualification","33","0.0606865969614739","0.0412727466416478","0.0801004472813"
"FDP","1995","35-65 y.","Other degree","5","","",""
"FDP","1995","35-65 y.","no degree/no degree yet","1","","",""
"FDP","1995","66 and older","lower secondary degree","20","","",""
"FDP","1995","66 and older","secondary school degree","4","","",""
"FDP","1995","66 and older","college entrance qualification","7","","",""
"FDP","1995","66 and older","Other degree","","","",""
"FDP","1995","66 and older","no degree/no degree yet","","","",""
"Grüne","1995","16-34 y.","lower secondary degree","32","0.0883088144940546","0.0591997958636522","0.117417833124457"
"Grüne","1995","16-34 y.","secondary school degree","82","0.155468559098995","0.125322482561333","0.185614635636657"
"Grüne","1995","16-34 y.","college entrance qualification","140","0.291318936462118","0.251169882938025","0.331467989986211"
"Grüne","1995","16-34 y.","Other degree","10","","",""
"Grüne","1995","16-34 y.","no degree/no degree yet","32","0.341311854484397","0.251471426499622","0.431152282469171"
"Grüne","1995","35-65 y.","lower secondary degree","43","0.0282757565407697","0.0200659892317218","0.0364855238498176"
"Grüne","1995","35-65 y.","secondary school degree","55","0.0758349084235674","0.057362694360712","0.0943071224864227"
"Grüne","1995","35-65 y.","college entrance qualification","129","0.23439842126959","0.199952422945384","0.268844419593796"
"Grüne","1995","35-65 y.","Other degree","17","","",""
"Grüne","1995","35-65 y.","no degree/no degree yet","4","","",""
"Grüne","1995","66 and older","lower secondary degree","4","","",""
"Grüne","1995","66 and older","secondary school degree","6","","",""
"Grüne","1995","66 and older","college entrance qualification","3","","",""
"Grüne","1995","66 and older","Other degree","","","",""
"Grüne","1995","66 and older","no degree/no degree yet","","","",""
"PDS/Linke","1995","16-34 y.","lower secondary degree","8","","",""
"PDS/Linke","1995","16-34 y.","secondary school degree","46","0.0768665094792294","0.0547048420623101","0.0990281768961487"
"PDS/Linke","1995","16-34 y.","college entrance qualification","27","","",""
"PDS/Linke","1995","16-34 y.","Other degree","","","",""
"PDS/Linke","1995","16-34 y.","no degree/no degree yet","7","","",""
"PDS/Linke","1995","35-65 y.","lower secondary degree","45","0.0167957313625823","0.0104310956736487","0.0231603670515159"
"PDS/Linke","1995","35-65 y.","secondary school degree","42","0.0306054039210943","0.0185866638058379","0.0426241440363506"
"PDS/Linke","1995","35-65 y.","college entrance qualification","43","0.0457301041119071","0.0287438846206594","0.0627163236031548"
"PDS/Linke","1995","35-65 y.","Other degree","5","","",""
"PDS/Linke","1995","35-65 y.","no degree/no degree yet","","","",""
"PDS/Linke","1995","66 and older","lower secondary degree","25","","",""
"PDS/Linke","1995","66 and older","secondary school degree","10","","",""
"PDS/Linke","1995","66 and older","college entrance qualification","8","","",""
"PDS/Linke","1995","66 and older","Other degree","1","","",""
"PDS/Linke","1995","66 and older","no degree/no degree yet","","","",""
"NPD Combination","1995","16-34 y.","lower secondary degree","15","","",""
"NPD Combination","1995","16-34 y.","secondary school degree","7","","",""
"NPD Combination","1995","16-34 y.","college entrance qualification","1","","",""
"NPD Combination","1995","16-34 y.","Other degree","1","","",""
"NPD Combination","1995","16-34 y.","no degree/no degree yet","1","","",""
"NPD Combination","1995","35-65 y.","lower secondary degree","17","","",""
"NPD Combination","1995","35-65 y.","secondary school degree","9","","",""
"NPD Combination","1995","35-65 y.","college entrance qualification","","","",""
"NPD Combination","1995","35-65 y.","Other degree","1","","",""
"NPD Combination","1995","35-65 y.","no degree/no degree yet","","","",""
"NPD Combination","1995","66 and older","lower secondary degree","1","","",""
"NPD Combination","1995","66 and older","secondary school degree","","","",""
"NPD Combination","1995","66 and older","college entrance qualification","","","",""
"NPD Combination","1995","66 and older","Other degree","","","",""
"NPD Combination","1995","66 and older","no degree/no degree yet","","","",""
"AfD","1995","16-34 y.","lower secondary degree","","","",""
"AfD","1995","16-34 y.","secondary school degree","","","",""
"AfD","1995","16-34 y.","college entrance qualification","","","",""
"AfD","1995","16-34 y.","Other degree","","","",""
"AfD","1995","16-34 y.","no degree/no degree yet","","","",""
"AfD","1995","35-65 y.","lower secondary degree","","","",""
"AfD","1995","35-65 y.","secondary school degree","","","",""
"AfD","1995","35-65 y.","college entrance qualification","","","",""
"AfD","1995","35-65 y.","Other degree","","","",""
"AfD","1995","35-65 y.","no degree/no degree yet","","","",""
"AfD","1995","66 and older","lower secondary degree","","","",""
"AfD","1995","66 and older","secondary school degree","","","",""
"AfD","1995","66 and older","college entrance qualification","","","",""
"AfD","1995","66 and older","Other degree","","","",""
"AfD","1995","66 and older","no degree/no degree yet","","","",""
"Other","1995","16-34 y.","lower secondary degree","6","","",""
"Other","1995","16-34 y.","secondary school degree","4","","",""
"Other","1995","16-34 y.","college entrance qualification","3","","",""
"Other","1995","16-34 y.","Other degree","1","","",""
"Other","1995","16-34 y.","no degree/no degree yet","3","","",""
"Other","1995","35-65 y.","lower secondary degree","11","","",""
"Other","1995","35-65 y.","secondary school degree","9","","",""
"Other","1995","35-65 y.","college entrance qualification","4","","",""
"Other","1995","35-65 y.","Other degree","3","","",""
"Other","1995","35-65 y.","no degree/no degree yet","3","","",""
"Other","1995","66 and older","lower secondary degree","2","","",""
"Other","1995","66 and older","secondary school degree","","","",""
"Other","1995","66 and older","college entrance qualification","","","",""
"Other","1995","66 and older","Other degree","","","",""
"Other","1995","66 and older","no degree/no degree yet","","","",""
"CDU/CSU","1996","16-34 y.","lower secondary degree","110","0.395784555591596","0.342205082985142","0.44936402819805"
"CDU/CSU","1996","16-34 y.","secondary school degree","188","0.380510977403797","0.338165912327585","0.42285604248001"
"CDU/CSU","1996","16-34 y.","college entrance qualification","136","0.309301342319148","0.266878391054798","0.351724293583497"
"CDU/CSU","1996","16-34 y.","Other degree","31","0.429639037177971","0.307401503058578","0.551876571297364"
"CDU/CSU","1996","16-34 y.","no degree/no degree yet","28","","",""
"CDU/CSU","1996","35-65 y.","lower secondary degree","622","0.430855441999299","0.405171535958071","0.456539348040526"
"CDU/CSU","1996","35-65 y.","secondary school degree","348","0.475401454861282","0.440466751750779","0.510336157971786"
"CDU/CSU","1996","35-65 y.","college entrance qualification","182","0.35765295189241","0.317848076685315","0.397457827099505"
"CDU/CSU","1996","35-65 y.","Other degree","96","0.418357647621097","0.355687390028933","0.481027905213261"
"CDU/CSU","1996","35-65 y.","no degree/no degree yet","20","","",""
"CDU/CSU","1996","66 and older","lower secondary degree","284","0.483753311429378","0.442942290030797","0.524564332827959"
"CDU/CSU","1996","66 and older","secondary school degree","85","0.606741221266428","0.525826966797081","0.687655475735775"
"CDU/CSU","1996","66 and older","college entrance qualification","33","0.492580468406744","0.376290808506371","0.608870128307117"
"CDU/CSU","1996","66 and older","Other degree","11","","",""
"CDU/CSU","1996","66 and older","no degree/no degree yet","4","","",""
"SPD","1996","16-34 y.","lower secondary degree","145","0.375498475179459","0.32244132219348","0.428555628165439"
"SPD","1996","16-34 y.","secondary school degree","182","0.364231884209939","0.322261711710826","0.406202056709053"
"SPD","1996","16-34 y.","college entrance qualification","136","0.263948770430831","0.223493089764454","0.304404451097208"
"SPD","1996","16-34 y.","Other degree","22","","",""
"SPD","1996","16-34 y.","no degree/no degree yet","29","","",""
"SPD","1996","35-65 y.","lower secondary degree","661","0.472847438621598","0.446952632231212","0.498742245011985"
"SPD","1996","35-65 y.","secondary school degree","258","0.328335624247028","0.295484637207414","0.361186611286642"
"SPD","1996","35-65 y.","college entrance qualification","174","0.308791688105535","0.270424694450065","0.347158681761005"
"SPD","1996","35-65 y.","Other degree","120","0.447112372229921","0.383945933548761","0.510278810911081"
"SPD","1996","35-65 y.","no degree/no degree yet","55","0.577096303678983","0.468158295037244","0.686034312320722"
"SPD","1996","66 and older","lower secondary degree","237","0.432320797255637","0.391864008728152","0.472777585783121"
"SPD","1996","66 and older","secondary school degree","37","0.26877135305404","0.1953365117642","0.34220619434388"
"SPD","1996","66 and older","college entrance qualification","22","","",""
"SPD","1996","66 and older","Other degree","7","","",""
"SPD","1996","66 and older","no degree/no degree yet","9","","",""
"FDP","1996","16-34 y.","lower secondary degree","2","","",""
"FDP","1996","16-34 y.","secondary school degree","4","","",""
"FDP","1996","16-34 y.","college entrance qualification","8","","",""
"FDP","1996","16-34 y.","Other degree","","","",""
"FDP","1996","16-34 y.","no degree/no degree yet","1","","",""
"FDP","1996","35-65 y.","lower secondary degree","19","","",""
"FDP","1996","35-65 y.","secondary school degree","22","","",""
"FDP","1996","35-65 y.","college entrance qualification","29","","",""
"FDP","1996","35-65 y.","Other degree","2","","",""
"FDP","1996","35-65 y.","no degree/no degree yet","1","","",""
"FDP","1996","66 and older","lower secondary degree","18","","",""
"FDP","1996","66 and older","secondary school degree","6","","",""
"FDP","1996","66 and older","college entrance qualification","3","","",""
"FDP","1996","66 and older","Other degree","","","",""
"FDP","1996","66 and older","no degree/no degree yet","","","",""
"Grüne","1996","16-34 y.","lower secondary degree","31","0.107406254620662","0.0734816489881807","0.141330860253144"
"Grüne","1996","16-34 y.","secondary school degree","76","0.130260554987258","0.100904110988205","0.15961699898631"
"Grüne","1996","16-34 y.","college entrance qualification","139","0.333699249165528","0.29042012775678","0.376978370574276"
"Grüne","1996","16-34 y.","Other degree","8","","",""
"Grüne","1996","16-34 y.","no degree/no degree yet","24","","",""
"Grüne","1996","35-65 y.","lower secondary degree","48","0.035239041924821","0.0256757834601874","0.0448023003894547"
"Grüne","1996","35-65 y.","secondary school degree","73","0.0986005931454519","0.0777455227378988","0.119455663553005"
"Grüne","1996","35-65 y.","college entrance qualification","131","0.243544557057101","0.207899330161752","0.279189783952451"
"Grüne","1996","35-65 y.","Other degree","17","","",""
"Grüne","1996","35-65 y.","no degree/no degree yet","2","","",""
"Grüne","1996","66 and older","lower secondary degree","3","","",""
"Grüne","1996","66 and older","secondary school degree","2","","",""
"Grüne","1996","66 and older","college entrance qualification","3","","",""
"Grüne","1996","66 and older","Other degree","","","",""
"Grüne","1996","66 and older","no degree/no degree yet","","","",""
"PDS/Linke","1996","16-34 y.","lower secondary degree","7","","",""
"PDS/Linke","1996","16-34 y.","secondary school degree","35","0.0709321334444513","0.0485424665201004","0.0933218003688022"
"PDS/Linke","1996","16-34 y.","college entrance qualification","28","","",""
"PDS/Linke","1996","16-34 y.","Other degree","1","","",""
"PDS/Linke","1996","16-34 y.","no degree/no degree yet","6","","",""
"PDS/Linke","1996","35-65 y.","lower secondary degree","51","0.0227777456468541","0.0150396154766889","0.0305158758170193"
"PDS/Linke","1996","35-65 y.","secondary school degree","58","0.0397555471071301","0.0260876080587873","0.0534234861554729"
"PDS/Linke","1996","35-65 y.","college entrance qualification","39","0.0319849145615746","0.0173720905613359","0.0465977385618133"
"PDS/Linke","1996","35-65 y.","Other degree","2","","",""
"PDS/Linke","1996","35-65 y.","no degree/no degree yet","","","",""
"PDS/Linke","1996","66 and older","lower secondary degree","33","0.0388292236141066","0.0230525121915052","0.0546059350367081"
"PDS/Linke","1996","66 and older","secondary school degree","8","","",""
"PDS/Linke","1996","66 and older","college entrance qualification","9","","",""
"PDS/Linke","1996","66 and older","Other degree","1","","",""
"PDS/Linke","1996","66 and older","no degree/no degree yet","","","",""
"NPD Combination","1996","16-34 y.","lower secondary degree","20","","",""
"NPD Combination","1996","16-34 y.","secondary school degree","15","","",""
"NPD Combination","1996","16-34 y.","college entrance qualification","3","","",""
"NPD Combination","1996","16-34 y.","Other degree","","","",""
"NPD Combination","1996","16-34 y.","no degree/no degree yet","3","","",""
"NPD Combination","1996","35-65 y.","lower secondary degree","17","","",""
"NPD Combination","1996","35-65 y.","secondary school degree","12","","",""
"NPD Combination","1996","35-65 y.","college entrance qualification","1","","",""
"NPD Combination","1996","35-65 y.","Other degree","","","",""
"NPD Combination","1996","35-65 y.","no degree/no degree yet","","","",""
"NPD Combination","1996","66 and older","lower secondary degree","","","",""
"NPD Combination","1996","66 and older","secondary school degree","1","","",""
"NPD Combination","1996","66 and older","college entrance qualification","1","","",""
"NPD Combination","1996","66 and older","Other degree","","","",""
"NPD Combination","1996","66 and older","no degree/no degree yet","","","",""
