"party","year","education","n","percent","lower_confidence","upper_confidence"
"NPD Combination","1994","lower secondary degree","53","0.0170503843482569","0.0118731919512302","0.0222275767452837"
"NPD Combination","1994","secondary school degree","24","","",""
"NPD Combination","1994","college entrance qualification","8","","",""
"NPD Combination","1994","Other degree","3","","",""
"NPD Combination","1994","no degree/no degree yet","2","","",""
"AfD","1994","lower secondary degree","","","",""
"AfD","1994","secondary school degree","","","",""
"AfD","1994","college entrance qualification","","","",""
"AfD","1994","Other degree","","","",""
"AfD","1994","no degree/no degree yet","","","",""
"Other","1994","lower secondary degree","24","","",""
"Other","1994","secondary school degree","22","","",""
"Other","1994","college entrance qualification","11","","",""
"Other","1994","Other degree","1","","",""
"Other","1994","no degree/no degree yet","4","","",""
"CDU/CSU","1995","lower secondary degree","1036","0.414047959857547","0.394873838620032","0.433222081095063"
"CDU/CSU","1995","secondary school degree","629","0.452746125115578","0.427454984332283","0.478037265898874"
"CDU/CSU","1995","college entrance qualification","374","0.343814524944108","0.316433822194995","0.371195227693221"
"CDU/CSU","1995","Other degree","141","0.417460538829343","0.366869680431637","0.468051397227048"
"CDU/CSU","1995","no degree/no degree yet","41","0.25119190313025","0.191531229027865","0.310852577232636"
"SPD","1995","lower secondary degree","1240","0.495146039449711","0.475683090308383","0.514608988591039"
"SPD","1995","secondary school degree","555","0.3681682329164","0.34366234117156","0.39267412466124"
"SPD","1995","college entrance qualification","372","0.31373979431989","0.286991358801489","0.340488229838292"
"SPD","1995","Other degree","179","0.436494132124084","0.385614954264497","0.487373309983672"
"SPD","1995","no degree/no degree yet","110","0.425410063935165","0.357398469012576","0.493421658857754"
"FDP","1995","lower secondary degree","50","0.0208428821643575","0.0152817375544091","0.0264040267743059"
"FDP","1995","secondary school degree","34","0.0255511218114805","0.0175337663041359","0.0335684773188251"
"FDP","1995","college entrance qualification","52","0.0562228984953302","0.0429440471936812","0.0695017497969792"
"FDP","1995","Other degree","6","","",""
"FDP","1995","no degree/no degree yet","2","","",""
"Grüne","1995","lower secondary degree","79","0.0273080088411239","0.0209635907243706","0.0336524269578771"
"Grüne","1995","secondary school degree","143","0.0890173437577479","0.0745483278119638","0.103486359703532"
"Grüne","1995","college entrance qualification","272","0.234465790360692","0.210043228490485","0.2588883522309"
"Grüne","1995","Other degree","27","","",""
"Grüne","1995","no degree/no degree yet","36","0.259648598400799","0.199335447891057","0.319961748910542"
"PDS/Linke","1995","lower secondary degree","78","0.0228232193246215","0.0170097667957071","0.0286366718535359"
"PDS/Linke","1995","secondary school degree","98","0.0456581865665169","0.0350520325162852","0.0562643406167485"
"PDS/Linke","1995","college entrance qualification","78","0.044726872183724","0.0328112364356204","0.0566425079318276"
"PDS/Linke","1995","Other degree","6","","",""
"PDS/Linke","1995","no degree/no degree yet","7","","",""
"NPD Combination","1995","lower secondary degree","33","0.0130179971761877","0.00860548606017253","0.0174305082922028"
"NPD Combination","1995","secondary school degree","16","","",""
"NPD Combination","1995","college entrance qualification","1","","",""
"NPD Combination","1995","Other degree","2","","",""
"NPD Combination","1995","no degree/no degree yet","1","","",""
"AfD","1995","lower secondary degree","","","",""
"AfD","1995","secondary school degree","","","",""
"AfD","1995","college entrance qualification","","","",""
"AfD","1995","Other degree","","","",""
"AfD","1995","no degree/no degree yet","","","",""
"Other","1995","lower secondary degree","19","","",""
"Other","1995","secondary school degree","13","","",""
"Other","1995","college entrance qualification","7","","",""
"Other","1995","Other degree","4","","",""
"Other","1995","no degree/no degree yet","6","","",""
"CDU/CSU","1996","lower secondary degree","1016","0.444752505337943","0.42454872981489","0.464956280860997"
"CDU/CSU","1996","secondary school degree","621","0.474128705875025","0.448248487910173","0.500008923839877"
"CDU/CSU","1996","college entrance qualification","351","0.352577343182291","0.324135705662548","0.381018980702034"
"CDU/CSU","1996","Other degree","138","0.452991235987657","0.398451234678874","0.507531237296441"
"CDU/CSU","1996","no degree/no degree yet","52","0.384901793883529","0.31478703826999","0.455016549497069"
"SPD","1996","lower secondary degree","1043","0.451984737511126","0.431750434882586","0.472219040139667"
"SPD","1996","secondary school degree","477","0.326947591267329","0.302634309409971","0.351260873124688"
"SPD","1996","college entrance qualification","332","0.292240127240683","0.265166506417092","0.319313748064274"
"SPD","1996","Other degree","149","0.40222761404836","0.348502546803187","0.455952681293533"
"SPD","1996","no degree/no degree yet","93","0.356135617574417","0.287132751062031","0.425138484086803"
"FDP","1996","lower secondary degree","39","0.020534063051027","0.0147682289378023","0.0262998971642516"
"FDP","1996","secondary school degree","32","0.0290996413275346","0.0203877746395054","0.0378115080155639"
"FDP","1996","college entrance qualification","40","0.0429553147042269","0.0308852941287546","0.0550253352796992"
"FDP","1996","Other degree","2","","",""
"FDP","1996","no degree/no degree yet","2","","",""
"Grüne","1996","lower secondary degree","82","0.031077944128191","0.0240228860877894","0.0381330021685926"
"Grüne","1996","secondary school degree","151","0.0894994042192778","0.0747038832580172","0.104294925180538"
"Grüne","1996","college entrance qualification","273","0.255630305724334","0.229662577258188","0.281598034190481"
"Grüne","1996","Other degree","25","","",""
"Grüne","1996","no degree/no degree yet","26","","",""
"PDS/Linke","1996","lower secondary degree","91","0.0280492399041651","0.0213363007695079","0.0347621790388223"
"PDS/Linke","1996","secondary school degree","101","0.0464622036277546","0.03555285224362","0.0573715550118893"
"PDS/Linke","1996","college entrance qualification","76","0.0419965435784654","0.0300560092347009","0.0539370779222299"
"PDS/Linke","1996","Other degree","4","","",""
"PDS/Linke","1996","no degree/no degree yet","6","","",""
"NPD Combination","1996","lower secondary degree","37","0.0169620544502878","0.0117121137651112","0.0222119951354645"
"NPD Combination","1996","secondary school degree","28","","",""
"NPD Combination","1996","college entrance qualification","5","","",""
"NPD Combination","1996","Other degree","","","",""
"NPD Combination","1996","no degree/no degree yet","3","","",""
"AfD","1996","lower secondary degree","","","",""
"AfD","1996","secondary school degree","","","",""
"AfD","1996","college entrance qualification","","","",""
"AfD","1996","Other degree","","","",""
"AfD","1996","no degree/no degree yet","","","",""
"Other","1996","lower secondary degree","16","","",""
"Other","1996","secondary school degree","20","","",""
"Other","1996","college entrance qualification","7","","",""
"Other","1996","Other degree","2","","",""
"Other","1996","no degree/no degree yet","3","","",""
"CDU/CSU","1997","lower secondary degree","903","0.408870840977551","0.388493549743122","0.42924813221198"
"CDU/CSU","1997","secondary school degree","507","0.445333080563491","0.418073996847089","0.472592164279893"
"CDU/CSU","1997","college entrance qualification","336","0.349147171179746","0.319806180342606","0.378488162016885"
"CDU/CSU","1997","Other degree","123","0.435250617332199","0.378578164964134","0.491923069700263"
"CDU/CSU","1997","no degree/no degree yet","45","0.317415147237269","0.247029258717583","0.387801035756956"
"SPD","1997","lower secondary degree","1083","0.494246283142045","0.473523244396865","0.514969321887226"
"SPD","1997","secondary school degree","479","0.353718320498391","0.327494718675932","0.379941922320851"
"SPD","1997","college entrance qualification","316","0.317482971283554","0.288831556144954","0.346134386422154"
"SPD","1997","Other degree","146","0.47069096762773","0.413635533978877","0.527746401276584"
"SPD","1997","no degree/no degree yet","83","0.431073351903188","0.356187948004537","0.505958755801839"
"FDP","1997","lower secondary degree","37","0.0193315938561221","0.0136246038164639","0.0250385838957802"
"FDP","1997","secondary school degree","27","","",""
"FDP","1997","college entrance qualification","40","0.041319171098869","0.0290690061884192","0.0535693360093188"
"FDP","1997","Other degree","1","","",""
"FDP","1997","no degree/no degree yet","2","","",""
"Grüne","1997","lower secondary degree","73","0.0306295780158386","0.0234874508219156","0.0377717052097617"
"Grüne","1997","secondary school degree","127","0.0939138740115485","0.0779145269035112","0.109913221119586"
"Grüne","1997","college entrance qualification","236","0.230526327598932","0.204603267785504","0.256449387412359"
"Grüne","1997","Other degree","18","","",""
"Grüne","1997","no degree/no degree yet","25","","",""
"PDS/Linke","1997","lower secondary degree","79","0.0229528308880576","0.016745740277299","0.0291599214988163"
"PDS/Linke","1997","secondary school degree","88","0.0430574459378467","0.0319242536868295","0.0541906381888639"
"PDS/Linke","1997","college entrance qualification","66","0.0381579782501064","0.0263663530907961","0.0499496034094167"
"PDS/Linke","1997","Other degree","3","","",""
"PDS/Linke","1997","no degree/no degree yet","5","","",""
"NPD Combination","1997","lower secondary degree","42","0.0159004542359351","0.0107156009395831","0.0210853075322872"
"NPD Combination","1997","secondary school degree","37","0.0283989767885568","0.0192883559969962","0.0375095975801174"
"NPD Combination","1997","college entrance qualification","11","","",""
"NPD Combination","1997","Other degree","","","",""
"NPD Combination","1997","no degree/no degree yet","5","","",""
"AfD","1997","lower secondary degree","","","",""
"AfD","1997","secondary school degree","","","",""
"AfD","1997","college entrance qualification","","","",""
"AfD","1997","Other degree","","","",""
"AfD","1997","no degree/no degree yet","","","",""
"Other","1997","lower secondary degree","19","","",""
"Other","1997","secondary school degree","12","","",""
"Other","1997","college entrance qualification","9","","",""
"Other","1997","Other degree","3","","",""
"Other","1997","no degree/no degree yet","3","","",""
"CDU/CSU","1998","lower secondary degree","929","0.382695497515953","0.363562358529905","0.401828636502001"
"CDU/CSU","1998","secondary school degree","512","0.393443823247086","0.3683340512984","0.418553595195773"
"CDU/CSU","1998","college entrance qualification","342","0.310169008514905","0.283953815905963","0.336384201123848"
"CDU/CSU","1998","Other degree","124","0.421909121295352","0.366484123167739","0.477334119422965"
"CDU/CSU","1998","no degree/no degree yet","48","0.330440704617642","0.261340492350165","0.399540916885118"
"SPD","1998","lower secondary degree","1282","0.515358214938563","0.495685021734403","0.535031408142723"
"SPD","1998","secondary school degree","599","0.395420958676041","0.37028923512046","0.420552682231623"
"SPD","1998","college entrance qualification","424","0.341541635221202","0.314665396653922","0.368417873788482"
"SPD","1998","Other degree","155","0.483309658639495","0.427227324563114","0.539391992715877"
"SPD","1998","no degree/no degree yet","94","0.484279043899824","0.410862604563483","0.557695483236165"
"FDP","1998","lower secondary degree","37","0.0183011299566058","0.0130247273565569","0.0235775325566546"
"FDP","1998","secondary school degree","33","0.0226053761319359","0.0149651409097543","0.0302456113541175"
"FDP","1998","college entrance qualification","55","0.0568940455183682","0.0437661185339508","0.0700219725027856"
"FDP","1998","Other degree","2","","",""
"FDP","1998","no degree/no degree yet","4","","",""
"Grüne","1998","lower secondary degree","71","0.02746103662726","0.0210279144997338","0.0338941587547862"
"Grüne","1998","secondary school degree","156","0.105195821248836","0.0894259141904429","0.12096572830723"
"Grüne","1998","college entrance qualification","285","0.231398759725417","0.207497898234697","0.255299621216136"
"Grüne","1998","Other degree","14","","",""
"Grüne","1998","no degree/no degree yet","13","","",""
"PDS/Linke","1998","lower secondary degree","82","0.0219754189885222","0.0162043894817525","0.027746448495292"
"PDS/Linke","1998","secondary school degree","97","0.0425271071739262","0.0321551180593833","0.052899096288469"
"PDS/Linke","1998","college entrance qualification","71","0.0409286829178751","0.0297001804902877","0.0521571853454624"
"PDS/Linke","1998","Other degree","5","","",""
"PDS/Linke","1998","no degree/no degree yet","9","","",""
"NPD Combination","1998","lower secondary degree","45","0.017380132749145","0.012235798928173","0.022524466570117"
"NPD Combination","1998","secondary school degree","32","0.0247601407852747","0.0167728744874499","0.0327474070830996"
"NPD Combination","1998","college entrance qualification","7","","",""
"NPD Combination","1998","Other degree","1","","",""
"NPD Combination","1998","no degree/no degree yet","7","","",""
"AfD","1998","lower secondary degree","","","",""
"AfD","1998","secondary school degree","","","",""
"AfD","1998","college entrance qualification","","","",""
"AfD","1998","Other degree","","","",""
"AfD","1998","no degree/no degree yet","","","",""
"Other","1998","lower secondary degree","33","0.0168285692239509","0.0117651014589465","0.0218920369889552"
"Other","1998","secondary school degree","25","","",""
"Other","1998","college entrance qualification","12","","",""
"Other","1998","Other degree","4","","",""
"Other","1998","no degree/no degree yet","3","","",""
"CDU/CSU","1999","lower secondary degree","1079","0.424075226659475","0.405187723576119","0.442962729742832"
"CDU/CSU","1999","secondary school degree","677","0.441218693645536","0.417643178981605","0.464794208309467"
"CDU/CSU","1999","college entrance qualification","440","0.35245570373355","0.326867204500968","0.378044202966131"
"CDU/CSU","1999","Other degree","115","0.400898617585291","0.344973806820547","0.456823428350035"
"CDU/CSU","1999","no degree/no degree yet","48","0.32284325483532","0.25356937217298","0.392117137497659"
"SPD","1999","lower secondary degree","1295","0.492431265113497","0.473324355126483","0.511538175100512"
"SPD","1999","secondary school degree","681","0.379151883630341","0.356115590897667","0.402188176363014"
"SPD","1999","college entrance qualification","486","0.35404180790142","0.328427225341117","0.379656390461723"
"SPD","1999","Other degree","151","0.522201485447954","0.465201002927228","0.579201967968681"
"SPD","1999","no degree/no degree yet","93","0.47334471963491","0.399370386888412","0.547319052381408"
"FDP","1999","lower secondary degree","35","0.0142287969493877","0.00970250699676057","0.0187550869020149"
"FDP","1999","secondary school degree","35","0.0269142202280585","0.0192303546322816","0.0345980858238353"
"FDP","1999","college entrance qualification","66","0.0588751104372532","0.0462670785219095","0.0714831423525969"
"FDP","1999","Other degree","5","","",""
"FDP","1999","no degree/no degree yet","5","","",""
"Grüne","1999","lower secondary degree","57","0.0210642615428982","0.0155761816130203","0.026552341472776"
"Grüne","1999","secondary school degree","125","0.0732173506202886","0.06084907234213","0.0855856288984471"
"Grüne","1999","college entrance qualification","251","0.179413376850735","0.158861692114227","0.199965061587242"
"Grüne","1999","Other degree","19","","",""
"Grüne","1999","no degree/no degree yet","13","","",""
"PDS/Linke","1999","lower secondary degree","106","0.0287235481821849","0.0223400213249042","0.0351070750394657"
"PDS/Linke","1999","secondary school degree","123","0.0489509838558832","0.0387063731800707","0.0591955945316958"
"PDS/Linke","1999","college entrance qualification","79","0.043823493770623","0.0328592082638125","0.0547877792774335"
"PDS/Linke","1999","Other degree","4","","",""
"PDS/Linke","1999","no degree/no degree yet","8","","",""
"NPD Combination","1999","lower secondary degree","29","","",""
"NPD Combination","1999","secondary school degree","40","0.0207342456459041","0.0139686241236835","0.0274998671681247"
"NPD Combination","1999","college entrance qualification","6","","",""
"NPD Combination","1999","Other degree","","","",""
"NPD Combination","1999","no degree/no degree yet","2","","",""
"AfD","1999","lower secondary degree","","","",""
"AfD","1999","secondary school degree","","","",""
"AfD","1999","college entrance qualification","","","",""
"AfD","1999","Other degree","","","",""
"AfD","1999","no degree/no degree yet","","","",""
"Other","1999","lower secondary degree","29","","",""
"Other","1999","secondary school degree","23","","",""
"Other","1999","college entrance qualification","11","","",""
"Other","1999","Other degree","1","","",""
"Other","1999","no degree/no degree yet","6","","",""
"CDU/CSU","2000","lower secondary degree","1758","0.396650923669283","0.382166525145564","0.411135322193001"
"CDU/CSU","2000","secondary school degree","1184","0.424183365337567","0.406161769727204","0.44220496094793"
"CDU/CSU","2000","college entrance qualification","956","0.366696059898693","0.348599177833192","0.384792941964194"
"CDU/CSU","2000","Other degree","210","0.455358744017852","0.410094661418406","0.500622826617299"
"CDU/CSU","2000","no degree/no degree yet","69","0.370503165200505","0.305185420600412","0.435820909800598"
"SPD","2000","lower secondary degree","2243","0.520419007917362","0.505627261239824","0.535210754594901"
"SPD","2000","secondary school degree","1134","0.388373721285644","0.370601475669669","0.406145966901618"
"SPD","2000","college entrance qualification","936","0.339702263001758","0.321916861905652","0.357487664097865"
"SPD","2000","Other degree","196","0.394970820226381","0.350539186651398","0.439402453801363"
"SPD","2000","no degree/no degree yet","90","0.398434044860192","0.332218754349947","0.464649335370437"
"FDP","2000","lower secondary degree","69","0.0182162415534567","0.0142566607110696","0.0221758223958439"
"FDP","2000","secondary school degree","72","0.0272843300500301","0.0213438174222227","0.0332248426778375"
"FDP","2000","college entrance qualification","143","0.0592689848684651","0.0504016927637108","0.0681362769732193"
"FDP","2000","Other degree","7","","",""
"FDP","2000","no degree/no degree yet","1","","",""
"Grüne","2000","lower secondary degree","87","0.0192261257423594","0.0151603610703269","0.0232918904143919"
"Grüne","2000","secondary school degree","197","0.0714221549628263","0.0620314119946286","0.080812897931024"
"Grüne","2000","college entrance qualification","471","0.171244642012776","0.157097581539787","0.185391702485765"
"Grüne","2000","Other degree","32","0.0790949481099102","0.0545646167357903","0.10362527948403"
"Grüne","2000","no degree/no degree yet","25","","",""
"PDS/Linke","2000","lower secondary degree","134","0.0263537755282909","0.021610985285922","0.0310965657706598"
"PDS/Linke","2000","secondary school degree","208","0.0579363062807839","0.0494172820171898","0.066455330544378"
"PDS/Linke","2000","college entrance qualification","189","0.0527537004991529","0.0443590530305071","0.0611483479677987"
"PDS/Linke","2000","Other degree","14","","",""
"PDS/Linke","2000","no degree/no degree yet","13","","",""
"NPD Combination","2000","lower secondary degree","47","0.00938832688627649","0.00653298756329249","0.0122436662092605"
"NPD Combination","2000","secondary school degree","58","0.0182549156520011","0.0133732997715909","0.0231365315324112"
"NPD Combination","2000","college entrance qualification","13","","",""
"NPD Combination","2000","Other degree","1","","",""
"NPD Combination","2000","no degree/no degree yet","5","","",""
"AfD","2000","lower secondary degree","","","",""
"AfD","2000","secondary school degree","","","",""
"AfD","2000","college entrance qualification","","","",""
"AfD","2000","Other degree","","","",""
"AfD","2000","no degree/no degree yet","","","",""
"Other","2000","lower secondary degree","44","0.00974559870297164","0.00683696148263681","0.0126542359233065"
"Other","2000","secondary school degree","36","0.0125452064311482","0.0084866476783097","0.0166037651839868"
"Other","2000","college entrance qualification","16","","",""
"Other","2000","Other degree","5","","",""
"Other","2000","no degree/no degree yet","7","","",""
"CDU/CSU","2001","lower secondary degree","1472","0.398161259783767","0.382420044710109","0.413902474857425"
"CDU/CSU","2001","secondary school degree","1018","0.41106125768016","0.391941698580343","0.430180816779978"
"CDU/CSU","2001","college entrance qualification","794","0.345828275989946","0.326994335980105","0.364662215999787"
"CDU/CSU","2001","Other degree","179","0.450325424717449","0.401010795660161","0.499640053774737"
"CDU/CSU","2001","no degree/no degree yet","62","0.361386156179501","0.293256479529422","0.429515832829579"
"SPD","2001","lower secondary degree","1893","0.51323575071268","0.497163138403428","0.529308363021932"
"SPD","2001","secondary school degree","1032","0.403980730574021","0.384912955817714","0.423048505330327"
"SPD","2001","college entrance qualification","888","0.350534405138667","0.331641077807438","0.369427732469897"
"SPD","2001","Other degree","176","0.451228406379945","0.401904923059554","0.500551889700336"
"SPD","2001","no degree/no degree yet","79","0.400105413175538","0.330626007874242","0.469584818476833"
"FDP","2001","lower secondary degree","83","0.0247634108482094","0.0197661858141847","0.0297606358822341"
"FDP","2001","secondary school degree","88","0.0350282779229943","0.0278840348179325","0.0421725210280561"
"FDP","2001","college entrance qualification","146","0.0679346365430293","0.0579706332667525","0.0778986398193061"
"FDP","2001","Other degree","6","","",""
"FDP","2001","no degree/no degree yet","3","","",""
"Grüne","2001","lower secondary degree","69","0.0183693309470886","0.0140512636099415","0.0226873982842357"
"Grüne","2001","secondary school degree","179","0.0706547908442721","0.0606973238092487","0.0806122578792956"
"Grüne","2001","college entrance qualification","445","0.178514925717367","0.163351331496993","0.193678519937741"
"Grüne","2001","Other degree","19","","",""
"Grüne","2001","no degree/no degree yet","27","","",""
"PDS/Linke","2001","lower secondary degree","122","0.0266799559851597","0.0214980554820967","0.0318618564882228"
"PDS/Linke","2001","secondary school degree","148","0.0491776803613168","0.0407748955572934","0.0575804651653403"
"PDS/Linke","2001","college entrance qualification","156","0.0513406958079784","0.0426019107138364","0.0600794809021205"
"PDS/Linke","2001","Other degree","6","","",""
"PDS/Linke","2001","no degree/no degree yet","15","","",""
"NPD Combination","2001","lower secondary degree","40","0.00821343994146825","0.00531115309026817","0.0111157267926683"
"NPD Combination","2001","secondary school degree","44","0.0153065766343095","0.0105359097649528","0.0200772435036663"
"NPD Combination","2001","college entrance qualification","8","","",""
"NPD Combination","2001","Other degree","1","","",""
"NPD Combination","2001","no degree/no degree yet","4","","",""
"AfD","2001","lower secondary degree","","","",""
"AfD","2001","secondary school degree","","","",""
"AfD","2001","college entrance qualification","","","",""
"AfD","2001","Other degree","","","",""
"AfD","2001","no degree/no degree yet","","","",""
"Other","2001","lower secondary degree","36","0.0105768517816268","0.00728729092999731","0.0138664126332563"
"Other","2001","secondary school degree","35","0.0147906859829261","0.0100998748156917","0.0194814971501605"
"Other","2001","college entrance qualification","13","","",""
"Other","2001","Other degree","4","","",""
"Other","2001","no degree/no degree yet","1","","",""
"CDU/CSU","2002","lower secondary degree","1509","0.404674927475346","0.388676985558786","0.420672869391906"
"CDU/CSU","2002","secondary school degree","1219","0.437308164531785","0.419044948019498","0.455571381044072"
"CDU/CSU","2002","college entrance qualification","1138","0.338971328080231","0.322980068749418","0.354962587411045"
"CDU/CSU","2002","Other degree","197","0.493527435264506","0.444654471431015","0.542400399097997"
"CDU/CSU","2002","no degree/no degree yet","70","0.296703308894693","0.236340806933647","0.357065810855739"
"SPD","2002","lower secondary degree","1743","0.499880855048235","0.48358399739669","0.51617771269978"
"SPD","2002","secondary school degree","1053","0.371092622378678","0.353306442797852","0.388878801959504"
"SPD","2002","college entrance qualification","1211","0.353032081170358","0.336887027443049","0.369177134897667"
"SPD","2002","Other degree","159","0.39418912761492","0.346419053301639","0.4419592019282"
"SPD","2002","no degree/no degree yet","80","0.391453771322095","0.326959108142777","0.455948434501413"
"FDP","2002","lower secondary degree","85","0.0253498440728879","0.0202265898749153","0.0304730982708606"
"FDP","2002","secondary school degree","134","0.0376067193503502","0.030602541201682","0.0446108974990184"
"FDP","2002","college entrance qualification","275","0.0805817021078076","0.0713864037586601","0.0897770004569552"
"FDP","2002","Other degree","10","","",""
"FDP","2002","no degree/no degree yet","10","","",""
"Grüne","2002","lower secondary degree","64","0.0174986631336356","0.0132249743754113","0.0217723518918598"
"Grüne","2002","secondary school degree","163","0.0593149242706303","0.0506182684024815","0.068011580138779"
"Grüne","2002","college entrance qualification","513","0.158397381493455","0.146062966019501","0.17073179696741"
"Grüne","2002","Other degree","22","","",""
"Grüne","2002","no degree/no degree yet","32","0.142086679142094","0.0959511890733489","0.188222169210838"
"PDS/Linke","2002","lower secondary degree","157","0.0366876141549616","0.0305602006811991","0.0428150276287242"
"PDS/Linke","2002","secondary school degree","186","0.0613241552632654","0.0524908797509267","0.0701574307756041"
"PDS/Linke","2002","college entrance qualification","198","0.0569473270951712","0.0491185183653171","0.0647761358250253"
"PDS/Linke","2002","Other degree","9","","",""
"PDS/Linke","2002","no degree/no degree yet","21","","",""
"NPD Combination","2002","lower secondary degree","21","","",""
"NPD Combination","2002","secondary school degree","42","0.0188918026980594","0.0138794304028664","0.0239041749932524"
"NPD Combination","2002","college entrance qualification","13","","",""
"NPD Combination","2002","Other degree","","","",""
"NPD Combination","2002","no degree/no degree yet","1","","",""
"AfD","2002","lower secondary degree","","","",""
"AfD","2002","secondary school degree","","","",""
"AfD","2002","college entrance qualification","","","",""
"AfD","2002","Other degree","","","",""
"AfD","2002","no degree/no degree yet","","","",""
"Other","2002","lower secondary degree","37","0.0111644899696535","0.00773984660983751","0.0145891333294696"
"Other","2002","secondary school degree","37","0.014461611507232","0.0100662633024415","0.0188569597120225"
"Other","2002","college entrance qualification","18","","",""
"Other","2002","Other degree","5","","",""
"Other","2002","no degree/no degree yet","6","","",""
"CDU/CSU","2003","lower secondary degree","1623","0.440491870544569","0.42423423252446","0.456749508564677"
"CDU/CSU","2003","secondary school degree","1408","0.474220003431688","0.456155085101013","0.492284921762363"
"CDU/CSU","2003","college entrance qualification","1299","0.364933974132723","0.348837227740658","0.381030720524788"
"CDU/CSU","2003","Other degree","190","0.50364386257552","0.453439197482308","0.553848527668733"
"CDU/CSU","2003","no degree/no degree yet","100","0.39191084864778","0.333134524150692","0.450687173144867"
"SPD","2003","lower secondary degree","1622","0.47113001841262","0.454783316348877","0.487476720476362"
"SPD","2003","secondary school degree","997","0.346200121999476","0.328988172462486","0.363412071536465"
"SPD","2003","college entrance qualification","1040","0.297198156316583","0.28191683122291","0.312479481410255"
"SPD","2003","Other degree","150","0.359498441908694","0.311315401095141","0.407681482722247"
"SPD","2003","no degree/no degree yet","79","0.30457114032356","0.249160153648303","0.359982126998816"
"FDP","2003","lower secondary degree","75","0.0215357951348017","0.0167820244611855","0.0262895658084179"
"FDP","2003","secondary school degree","118","0.0364630192504833","0.029681850602967","0.0432441878979996"
"FDP","2003","college entrance qualification","243","0.0699072129817308","0.0613812067493415","0.07843321921412"
"FDP","2003","Other degree","5","","",""
"FDP","2003","no degree/no degree yet","11","","",""
"Grüne","2003","lower secondary degree","96","0.026940953040823","0.0216386887032516","0.0322432173783944"
"Grüne","2003","secondary school degree","229","0.081913498522359","0.0719923128647246","0.0918346841799934"
"Grüne","2003","college entrance qualification","673","0.219601476981617","0.20575952427079","0.233443429692444"
"Grüne","2003","Other degree","24","","",""
"Grüne","2003","no degree/no degree yet","53","0.154986371775256","0.111414745848462","0.19855799770205"
"PDS/Linke","2003","lower secondary degree","108","0.0240661542445749","0.0190473663930542","0.0290849420960956"
"PDS/Linke","2003","secondary school degree","124","0.0398042397497494","0.0327314850339483","0.0468769944655505"
"PDS/Linke","2003","college entrance qualification","157","0.0410378028009813","0.0344047369745777","0.0476708686273848"
"PDS/Linke","2003","Other degree","6","","",""
"PDS/Linke","2003","no degree/no degree yet","11","","",""
"NPD Combination","2003","lower secondary degree","20","","",""
"NPD Combination","2003","secondary school degree","34","0.0130448829380977","0.00893988604403295","0.0171498798321625"
"NPD Combination","2003","college entrance qualification","9","","",""
"NPD Combination","2003","Other degree","","","",""
"NPD Combination","2003","no degree/no degree yet","4","","",""
"AfD","2003","lower secondary degree","","","",""
"AfD","2003","secondary school degree","","","",""
"AfD","2003","college entrance qualification","","","",""
"AfD","2003","Other degree","","","",""
"AfD","2003","no degree/no degree yet","","","",""
"Other","2003","lower secondary degree","38","0.010000852266571","0.00674232607179297","0.013259378461349"
"Other","2003","secondary school degree","25","","",""
"Other","2003","college entrance qualification","15","","",""
"Other","2003","Other degree","6","","",""
"Other","2003","no degree/no degree yet","7","","",""
"CDU/CSU","2004","lower secondary degree","1364","0.453848282605263","0.435746877576751","0.471949687633775"
"CDU/CSU","2004","secondary school degree","1186","0.494121785521645","0.474300241570196","0.513943329473094"
"CDU/CSU","2004","college entrance qualification","1200","0.385985996994329","0.368790364329977","0.403181629658681"
"CDU/CSU","2004","Other degree","164","0.508041108209294","0.453771944941299","0.562310271477289"
"CDU/CSU","2004","no degree/no degree yet","80","0.390629617227052","0.325413923819557","0.455845310634548"
"SPD","2004","lower secondary degree","1238","0.447213103531209","0.429135684876635","0.465290522185783"
"SPD","2004","secondary school degree","768","0.314135298575501","0.295732872316005","0.332537724834998"
"SPD","2004","college entrance qualification","882","0.281997681840995","0.26610383810307","0.29789152557892"
"SPD","2004","Other degree","114","0.330796685704261","0.279722799160442","0.38187057224808"
"SPD","2004","no degree/no degree yet","71","0.390628707933635","0.325413041772675","0.455844374094595"
"FDP","2004","lower secondary degree","68","0.0269784389882156","0.0210876980135643","0.032869179962867"
"FDP","2004","secondary school degree","97","0.0312166178049923","0.0243221022755323","0.0381111333344523"
"FDP","2004","college entrance qualification","211","0.0706317514691971","0.0615819896353069","0.0796815133030872"
"FDP","2004","Other degree","10","","",""
"FDP","2004","no degree/no degree yet","8","","",""
"Grüne","2004","lower secondary degree","68","0.0242175048507652","0.0186284098038763","0.0298065998976541"
"Grüne","2004","secondary school degree","188","0.0779940034780375","0.0673624930428957","0.0886255139131793"
"Grüne","2004","college entrance qualification","599","0.206978278614652","0.192667997228535","0.221288560000769"
"Grüne","2004","Other degree","24","","",""
"Grüne","2004","no degree/no degree yet","40","0.130006137195688","0.0850520811375743","0.174960193253803"
"PDS/Linke","2004","lower secondary degree","114","0.0312713124105244","0.0249431965690972","0.0375994282519517"
"PDS/Linke","2004","secondary school degree","140","0.05320307677836","0.0443050382168007","0.0621011153399193"
"PDS/Linke","2004","college entrance qualification","162","0.0453988502696267","0.0380456456674377","0.0527520548718157"
"PDS/Linke","2004","Other degree","7","","",""
