"party","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"Grüne","1996","Employed","Male","210","0.104560256589079","0.0916263308116642","0.117494182366494"
"Grüne","1996","Employed","Female","205","0.15650011337579","0.137183178965788","0.175817047785793"
"PDS/Linke","1996","Not Employed","Male","50","0.0437320582013872","0.0293623466806684","0.0581017697221061"
"PDS/Linke","1996","Not Employed","Female","63","0.0369948337356826","0.0261748730227976","0.0478147944485677"
"PDS/Linke","1996","Employed","Male","87","0.03067260816852","0.0233840863677567","0.0379611299692833"
"PDS/Linke","1996","Employed","Female","80","0.031502064500237","0.0222154542186435","0.0407886747818306"
"NPD Combination","1996","Not Employed","Male","7","","",""
"NPD Combination","1996","Not Employed","Female","7","","",""
"NPD Combination","1996","Employed","Male","52","0.0288896654989883","0.0218096467839737","0.0359696842140028"
"NPD Combination","1996","Employed","Female","10","","",""
"AfD","1996","Not Employed","Male","","","",""
"AfD","1996","Not Employed","Female","","","",""
"AfD","1996","Employed","Male","","","",""
"AfD","1996","Employed","Female","","","",""
"Other","1996","Not Employed","Male","6","","",""
"Other","1996","Not Employed","Female","10","","",""
"Other","1996","Employed","Male","21","","",""
"Other","1996","Employed","Female","12","","",""
"CDU/CSU","1997","Not Employed","Male","299","0.403157321421552","0.368487457900083","0.437827184943021"
"CDU/CSU","1997","Not Employed","Female","512","0.467214854784158","0.438478730962001","0.495950978606316"
"CDU/CSU","1997","Employed","Male","722","0.388409616196643","0.366659715015191","0.410159517378096"
"CDU/CSU","1997","Employed","Female","416","0.348391002108977","0.32167696718429","0.375105037033664"
"SPD","1997","Not Employed","Male","344","0.468457577722571","0.433188912722556","0.503726242722585"
"SPD","1997","Not Employed","Female","443","0.388793379417299","0.360716601506179","0.416870157328418"
"SPD","1997","Employed","Male","827","0.423033129774144","0.40098637834303","0.445079881205259"
"SPD","1997","Employed","Female","529","0.419554997153305","0.391886378640629","0.44722361566598"
"FDP","1997","Not Employed","Male","10","","",""
"FDP","1997","Not Employed","Female","25","","",""
"FDP","1997","Employed","Male","46","0.0276905992499111","0.0203682507179064","0.0350129477819158"
"FDP","1997","Employed","Female","27","","",""
"Grüne","1997","Not Employed","Male","36","0.0394617019106603","0.0257013300737139","0.0532220737476067"
"Grüne","1997","Not Employed","Female","91","0.0635019374465749","0.0494563230633979","0.0775475518297518"
"Grüne","1997","Employed","Male","186","0.100661304544123","0.0872344311321185","0.114088177956128"
"Grüne","1997","Employed","Female","177","0.163069129278267","0.142356121995071","0.183782136561464"
"PDS/Linke","1997","Not Employed","Male","51","0.0444850266413852","0.0299133140368367","0.0590567392459336"
"PDS/Linke","1997","Not Employed","Female","66","0.0352458471721203","0.0246250744195982","0.0458666199246425"
"PDS/Linke","1997","Employed","Male","71","0.0218502425731146","0.0153262601194069","0.0283742250268223"
"PDS/Linke","1997","Employed","Female","53","0.0241912352728392","0.0155768583983502","0.0328056121473282"
"NPD Combination","1997","Not Employed","Male","17","","",""
"NPD Combination","1997","Not Employed","Female","13","","",""
"NPD Combination","1997","Employed","Male","59","0.0300671628528774","0.0224463897130235","0.0376879359927314"
"NPD Combination","1997","Employed","Female","10","","",""
"AfD","1997","Not Employed","Male","","","",""
"AfD","1997","Not Employed","Female","","","",""
"AfD","1997","Employed","Male","","","",""
"AfD","1997","Employed","Female","","","",""
"Other","1997","Not Employed","Male","12","","",""
"Other","1997","Not Employed","Female","8","","",""
"Other","1997","Employed","Male","18","","",""
"Other","1997","Employed","Female","10","","",""
"CDU/CSU","1998","Not Employed","Male","345","0.378868548950868","0.347972059315835","0.409765038585901"
"CDU/CSU","1998","Not Employed","Female","552","0.441291722387447","0.414735547005676","0.467847897769218"
"CDU/CSU","1998","Employed","Male","747","0.354540992453852","0.334473699807838","0.374608285099865"
"CDU/CSU","1998","Employed","Female","391","0.285192909142479","0.26133663253162","0.309049185753338"
"SPD","1998","Not Employed","Male","460","0.490205488645797","0.458366463349912","0.522044513941682"
"SPD","1998","Not Employed","Female","566","0.415697117869153","0.389338805183443","0.442055430554863"
"SPD","1998","Employed","Male","996","0.445280167340621","0.424431670607961","0.466128664073282"
"SPD","1998","Employed","Female","636","0.446173267124572","0.41990825507489","0.472438279174254"
"FDP","1998","Not Employed","Male","15","","",""
"FDP","1998","Not Employed","Female","29","","",""
"FDP","1998","Employed","Male","62","0.0350609261752134","0.02734509242058","0.0427767599298469"
"FDP","1998","Employed","Female","34","0.0307738399204158","0.0216486422065238","0.0398990376343077"
"Grüne","1998","Not Employed","Male","41","0.0364676388106236","0.0245288553130776","0.0484064223081696"
"Grüne","1998","Not Employed","Female","101","0.0596118977069504","0.0469490868074582","0.0722747086064426"
"Grüne","1998","Employed","Male","204","0.097981516377285","0.0855105238261407","0.110452508928429"
"Grüne","1998","Employed","Female","223","0.181802212232086","0.161423928426157","0.202180496038016"
"PDS/Linke","1998","Not Employed","Male","57","0.0426799485089328","0.0298059450147228","0.0555539520031428"
"PDS/Linke","1998","Not Employed","Female","70","0.0318621210889057","0.0224688678092764","0.0412553743685351"
"PDS/Linke","1998","Employed","Male","81","0.0252926874634388","0.018706170357278","0.0318792045695996"
"PDS/Linke","1998","Employed","Female","62","0.0282601403483358","0.0195042353680684","0.0370160453286032"
"NPD Combination","1998","Not Employed","Male","17","","",""
"NPD Combination","1998","Not Employed","Female","13","","",""
"NPD Combination","1998","Employed","Male","55","0.0225271361900092","0.0163023194497725","0.0287519529302458"
"NPD Combination","1998","Employed","Female","12","","",""
"AfD","1998","Not Employed","Male","","","",""
"AfD","1998","Not Employed","Female","","","",""
"AfD","1998","Employed","Male","","","",""
"AfD","1998","Employed","Female","","","",""
"Other","1998","Not Employed","Male","12","","",""
"Other","1998","Not Employed","Female","12","","",""
"Other","1998","Employed","Male","38","0.0193165739995806","0.0135429208259115","0.0250902271732498"
"Other","1998","Employed","Female","18","","",""
"CDU/CSU","1999","Not Employed","Male","368","0.420964129199436","0.389318220897963","0.45261003750091"
"CDU/CSU","1999","Not Employed","Female","596","0.467952928171968","0.441665012119308","0.494240844224628"
"CDU/CSU","1999","Employed","Male","912","0.396654712397068","0.377021418353453","0.416288006440683"
"CDU/CSU","1999","Employed","Female","536","0.357924669476675","0.334204082724868","0.381645256228482"
"SPD","1999","Not Employed","Male","444","0.47281997116741","0.440818520461166","0.504821421873654"
"SPD","1999","Not Employed","Female","571","0.40023832439393","0.374425903538665","0.426050745249195"
"SPD","1999","Employed","Male","1042","0.430039456942588","0.410170253914652","0.449908659970525"
"SPD","1999","Employed","Female","705","0.447406457915822","0.422803311788637","0.472009604043008"
"FDP","1999","Not Employed","Male","8","","",""
"FDP","1999","Not Employed","Female","31","0.026385303080202","0.0179411781496399","0.0348294280107641"
"FDP","1999","Employed","Male","77","0.0400320057773088","0.0321645202708076","0.04789949128381"
"FDP","1999","Employed","Female","31","0.0219309586262801","0.0146840934222397","0.0291778238303205"
"Grüne","1999","Not Employed","Male","36","0.0327494046396066","0.0213413000784356","0.0441575092007775"
"Grüne","1999","Not Employed","Female","92","0.0577794879805388","0.0454869044605166","0.0700720715005611"
"Grüne","1999","Employed","Male","172","0.0749279147649334","0.0643618441087352","0.0854939854211316"
"Grüne","1999","Employed","Female","176","0.115093418788431","0.0993023844797167","0.130884453097145"
"PDS/Linke","1999","Not Employed","Male","58","0.0424228618391083","0.0295038543103385","0.055341869367878"
"PDS/Linke","1999","Not Employed","Female","77","0.0393299774852906","0.0290892923275261","0.0495706626430551"
"PDS/Linke","1999","Employed","Male","97","0.0282906652215144","0.0216364986764135","0.0349448317666154"
"PDS/Linke","1999","Employed","Female","91","0.040909663113065","0.0311084613723891","0.0507108648537408"
"NPD Combination","1999","Not Employed","Male","8","","",""
"NPD Combination","1999","Not Employed","Female","7","","",""
"NPD Combination","1999","Employed","Male","54","0.0176570423898215","0.0123714405231354","0.0229426442565075"
"NPD Combination","1999","Employed","Female","12","","",""
"AfD","1999","Not Employed","Male","","","",""
"AfD","1999","Not Employed","Female","","","",""
"AfD","1999","Employed","Male","","","",""
"AfD","1999","Employed","Female","","","",""
"Other","1999","Not Employed","Male","13","","",""
"Other","1999","Not Employed","Female","10","","",""
"Other","1999","Employed","Male","31","0.012398202506765","0.00795726974246661","0.0168391352710633"
"Other","1999","Employed","Female","18","","",""
"CDU/CSU","2000","Not Employed","Male","687","0.426120974922853","0.402460211963104","0.449781737882602"
"CDU/CSU","2000","Not Employed","Female","1077","0.453112355686245","0.433324095145497","0.472900616226993"
"CDU/CSU","2000","Employed","Male","1499","0.37863214124042","0.363440318629769","0.393823963851071"
"CDU/CSU","2000","Employed","Female","919","0.34547046656966","0.327403063197762","0.363537869941557"
"SPD","2000","Not Employed","Male","767","0.455244425227383","0.431417101104514","0.479071749350252"
"SPD","2000","Not Employed","Female","1000","0.40393272160923","0.38442719094149","0.423438252276971"
"SPD","2000","Employed","Male","1683","0.435792083611211","0.420261563312488","0.451322603909934"
"SPD","2000","Employed","Female","1158","0.445168030894533","0.426285144665694","0.464050917123372"
"FDP","2000","Not Employed","Male","32","0.0206940100826137","0.0138826530345852","0.0275053671306422"
"FDP","2000","Not Employed","Female","63","0.0346557185008424","0.0273848853383876","0.0419265516632971"
"FDP","2000","Employed","Male","133","0.0358594228989906","0.0300357284880026","0.0416831173099786"
"FDP","2000","Employed","Female","64","0.0270629015107916","0.0208975873138443","0.0332282157077388"
"Grüne","2000","Not Employed","Male","51","0.0256662811557775","0.0180999132822157","0.0332326490293394"
"Grüne","2000","Not Employed","Female","145","0.055968273815444","0.0468309321842237","0.0651056154466643"
"Grüne","2000","Employed","Male","301","0.0844094637953023","0.0757023751149982","0.0931165524756064"
"Grüne","2000","Employed","Female","315","0.121005742742805","0.108614306020621","0.133397179464988"
"PDS/Linke","2000","Not Employed","Male","105","0.0526135290801303","0.0419312377326091","0.0632958204276515"
"PDS/Linke","2000","Not Employed","Female","114","0.037897721270283","0.0303071793708853","0.0454882631696807"
"PDS/Linke","2000","Employed","Male","188","0.0391696800908277","0.0330935773137645","0.0452457828678908"
"PDS/Linke","2000","Employed","Female","151","0.042433301382221","0.0347744510662332","0.0500921516982088"
"NPD Combination","2000","Not Employed","Male","19","","",""
"NPD Combination","2000","Not Employed","Female","12","","",""
"NPD Combination","2000","Employed","Male","66","0.0140919190127353","0.0104001881529065","0.0177836498725641"
"NPD Combination","2000","Employed","Female","27","","",""
"AfD","2000","Not Employed","Male","","","",""
"AfD","2000","Not Employed","Female","","","",""
"AfD","2000","Employed","Male","","","",""
"AfD","2000","Employed","Female","","","",""
"Other","2000","Not Employed","Male","17","","",""
"Other","2000","Not Employed","Female","20","","",""
"Other","2000","Employed","Male","46","0.0120452893505132","0.00862861264958519","0.0154619660514411"
"Other","2000","Employed","Female","27","","",""
"CDU/CSU","2001","Not Employed","Male","611","0.415040048570229","0.390269571758219","0.43981052538224"
"CDU/CSU","2001","Not Employed","Female","878","0.45765177560973","0.436032571863503","0.479270979355957"
"CDU/CSU","2001","Employed","Male","1264","0.371984412668581","0.355699685145182","0.38826914019198"
"CDU/CSU","2001","Employed","Female","780","0.32297976560898","0.304165481242508","0.341794049975452"
"SPD","2001","Not Employed","Male","703","0.46129040497927","0.436229839691279","0.486350970267262"
"SPD","2001","Not Employed","Female","856","0.405869464258228","0.384560264856927","0.42717866365953"
"SPD","2001","Employed","Male","1447","0.431156558626264","0.414470767996652","0.447842349255877"
"SPD","2001","Employed","Female","1072","0.461949704664459","0.441890763438286","0.482008645890632"
"FDP","2001","Not Employed","Male","39","0.0311429014315042","0.0224104597198602","0.0398753431431483"
"FDP","2001","Not Employed","Female","59","0.0333039922463184","0.0255177821490386","0.0410902023435983"
"FDP","2001","Employed","Male","164","0.0511654001414079","0.0437417694626875","0.0585890308201283"
"FDP","2001","Employed","Female","64","0.0303128678075939","0.0234147826580425","0.0372109529571452"
"Grüne","2001","Not Employed","Male","48","0.0283542730965809","0.0200099804202468","0.036698565772915"
"Grüne","2001","Not Employed","Female","128","0.0531055824152859","0.0433746630575928","0.0628365017729791"
"Grüne","2001","Employed","Male","267","0.0863729493908032","0.0769082622325768","0.0958376365490295"
"Grüne","2001","Employed","Female","300","0.124678697453827","0.111387041261229","0.137970353646425"
"PDS/Linke","2001","Not Employed","Male","101","0.0550884444944923","0.043618742561609","0.0665581464273755"
"PDS/Linke","2001","Not Employed","Female","93","0.0358510651546002","0.0277832469807039","0.0439188833284964"
"PDS/Linke","2001","Employed","Male","135","0.0323157867198517","0.0263576960436536","0.0382738773960498"
"PDS/Linke","2001","Employed","Female","118","0.0412558351028423","0.0332539321477358","0.0492577380579488"
"NPD Combination","2001","Not Employed","Male","10","","",""
"NPD Combination","2001","Not Employed","Female","9","","",""
"NPD Combination","2001","Employed","Male","66","0.0153786421298565","0.0112326685023266","0.0195246157573865"
"NPD Combination","2001","Employed","Female","15","","",""
"AfD","2001","Not Employed","Male","","","",""
"AfD","2001","Not Employed","Female","","","",""
"AfD","2001","Employed","Male","","","",""
"AfD","2001","Employed","Female","","","",""
"Other","2001","Not Employed","Male","8","","",""
"Other","2001","Not Employed","Female","17","","",""
"Other","2001","Employed","Male","41","0.0116262503232353","0.00801453634694837","0.0152379642995223"
"Other","2001","Employed","Female","24","","",""
"CDU/CSU","2002","Not Employed","Male","682","0.416900399415823","0.393103230638779","0.440697568192868"
"CDU/CSU","2002","Not Employed","Female","957","0.448845668633224","0.427855875897766","0.469835461368683"
"CDU/CSU","2002","Employed","Male","1564","0.387633705491731","0.372370207074347","0.402897203909116"
"CDU/CSU","2002","Employed","Female","952","0.340614526571673","0.322978687257055","0.358250365886291"
"SPD","2002","Not Employed","Male","704","0.442253065397194","0.418281754467208","0.46622437632718"
"SPD","2002","Not Employed","Female","867","0.4091345116637","0.388385357948928","0.429883665378471"
"SPD","2002","Employed","Male","1523","0.402015172683046","0.386654721058374","0.417375624307718"
"SPD","2002","Employed","Female","1173","0.445256414194089","0.426761764934035","0.463751063454143"
"FDP","2002","Not Employed","Male","60","0.0321255179612505","0.0236146794045585","0.0406363565179424"
"FDP","2002","Not Employed","Female","69","0.0334665399563028","0.0258766256592675","0.0410564542533382"
"FDP","2002","Employed","Male","265","0.0624605513708001","0.0548793966089086","0.0700417061326917"
"FDP","2002","Employed","Female","121","0.0324762893962766","0.0258798606979574","0.0390727180945958"
"Grüne","2002","Not Employed","Male","56","0.0268576962582684","0.0190547194104161","0.0346606731061207"
"Grüne","2002","Not Employed","Female","118","0.047630556036438","0.0386424420662182","0.0566186700066578"
"Grüne","2002","Employed","Male","290","0.078506813424229","0.0700805036784178","0.0869331231700402"
"Grüne","2002","Employed","Female","340","0.115607438926483","0.10370844361898","0.127506434233987"
"PDS/Linke","2002","Not Employed","Male","127","0.0654298620672644","0.0534946067010841","0.0773651174334446"
"PDS/Linke","2002","Not Employed","Female","125","0.0494280065731048","0.0402805138296224","0.0585754993165872"
"PDS/Linke","2002","Employed","Male","167","0.0394107743334517","0.033315208587796","0.0455063400791074"
"PDS/Linke","2002","Employed","Female","153","0.0492576374653524","0.0412045377931941","0.0573107371375108"
"NPD Combination","2002","Not Employed","Male","9","","",""
"NPD Combination","2002","Not Employed","Female","4","","",""
"NPD Combination","2002","Employed","Male","51","0.0134184922533799","0.00981390099039271","0.0170230835163671"
"NPD Combination","2002","Employed","Female","14","","",""
"AfD","2002","Not Employed","Male","","","",""
"AfD","2002","Not Employed","Female","","","",""
"AfD","2002","Employed","Male","","","",""
"AfD","2002","Employed","Female","","","",""
"Other","2002","Not Employed","Male","11","","",""
"Other","2002","Not Employed","Female","17","","",""
"Other","2002","Employed","Male","54","0.0165544904433621","0.0125571536602569","0.0205518272264673"
"Other","2002","Employed","Female","21","","",""
"CDU/CSU","2003","Not Employed","Male","758","0.442324046130911","0.418790665430914","0.465857426830908"
"CDU/CSU","2003","Not Employed","Female","1057","0.469816929187785","0.449181010217809","0.490452848157762"
"CDU/CSU","2003","Employed","Male","1712","0.425493866537961","0.409864175670362","0.44112355740556"
"CDU/CSU","2003","Employed","Female","1129","0.387497182076613","0.369701461480658","0.405292902672569"
"SPD","2003","Not Employed","Male","701","0.427270347951678","0.403830796441652","0.450709899461704"
"SPD","2003","Not Employed","Female","830","0.38474870425042","0.364631788075114","0.404865620425726"
"SPD","2003","Employed","Male","1315","0.354393268917723","0.339272176815654","0.369514361019792"
"SPD","2003","Employed","Female","1071","0.380951069187947","0.363212264747591","0.398689873628304"
"FDP","2003","Not Employed","Male","56","0.0281020598238404","0.0202713254219163","0.0359327942257645"
"FDP","2003","Not Employed","Female","71","0.0314248324937717","0.0242112715433101","0.0386383934442333"
"FDP","2003","Employed","Male","235","0.0583034059714546","0.050896124217453","0.0657106877254563"
"FDP","2003","Employed","Female","91","0.0271895600176359","0.021248793832661","0.0331303262026109"
"Grüne","2003","Not Employed","Male","80","0.0427827232371128","0.0331939607105738","0.0523714857636518"
"Grüne","2003","Not Employed","Female","168","0.0657444191373544","0.055497133276656","0.0759917049980528"
"Grüne","2003","Employed","Male","377","0.111173832828019","0.10123658532495","0.121111080331087"
"Grüne","2003","Employed","Female","463","0.164387328172243","0.150849034341575","0.177925622002911"
"PDS/Linke","2003","Not Employed","Male","94","0.0430917160481295","0.0334699423518906","0.0527134897443685"
"PDS/Linke","2003","Not Employed","Female","95","0.034797434155041","0.0272198738811644","0.0423749944289175"
"PDS/Linke","2003","Employed","Male","121","0.0287805873569401","0.0234953450206132","0.034065829693267"
"PDS/Linke","2003","Employed","Female","98","0.0296806926442901","0.0234816930072591","0.0358796922813212"
"NPD Combination","2003","Not Employed","Male","8","","",""
"NPD Combination","2003","Not Employed","Female","8","","",""
"NPD Combination","2003","Employed","Male","44","0.0131014435926196","0.00950682981919329","0.0166960573660459"
"NPD Combination","2003","Employed","Female","8","","",""
"AfD","2003","Not Employed","Male","","","",""
"AfD","2003","Not Employed","Female","","","",""
"AfD","2003","Employed","Male","","","",""
"AfD","2003","Employed","Female","","","",""
"Other","2003","Not Employed","Male","14","","",""
"Other","2003","Not Employed","Female","18","","",""
"Other","2003","Employed","Male","40","0.00875359479528345","0.00580889901641245","0.0116982905741544"
"Other","2003","Employed","Female","19","","",""
"CDU/CSU","2004","Not Employed","Male","693","0.455593813094043","0.430348664597856","0.48083896159023"
"CDU/CSU","2004","Not Employed","Female","920","0.497650271025793","0.47527976478292","0.520020777268665"
"CDU/CSU","2004","Employed","Male","1475","0.435893663831642","0.418923660164863","0.452863667498421"
"CDU/CSU","2004","Employed","Female","943","0.396687636781644","0.376971221195206","0.416404052368082"
"SPD","2004","Not Employed","Male","552","0.40487697847509","0.379994570207645","0.429759386742535"
"SPD","2004","Not Employed","Female","659","0.354615881235535","0.333211689559159","0.376020072911911"
"SPD","2004","Employed","Male","1066","0.330519301095964","0.314421053137978","0.34661754905395"
"SPD","2004","Employed","Female","824","0.361809141292094","0.342442800240757","0.38117548234343"
"FDP","2004","Not Employed","Male","42","0.0262053236641337","0.0181077304371733","0.0343029168910941"
"FDP","2004","Not Employed","Female","62","0.032489118142966","0.0245566653814323","0.0404215709044997"
"FDP","2004","Employed","Male","207","0.0600434699402477","0.0519133314215049","0.0681736084589905"
"FDP","2004","Employed","Female","84","0.0292952847059854","0.0224989470145599","0.0360916223974108"
"Grüne","2004","Not Employed","Male","72","0.034795564176743","0.025505919762488","0.044085208590998"
"Grüne","2004","Not Employed","Female","156","0.0611295394835575","0.0504109163042438","0.0718481626628712"
"Grüne","2004","Employed","Male","330","0.112336553840608","0.101529784409734","0.123143323271481"
"Grüne","2004","Employed","Female","381","0.161379087194445","0.146552575313338","0.176205599075552"
"PDS/Linke","2004","Not Employed","Male","102","0.0552455646452684","0.0436648416729786","0.0668262876175582"
"PDS/Linke","2004","Not Employed","Female","104","0.0421704037676958","0.0331783559144174","0.0511624516209743"
"PDS/Linke","2004","Employed","Male","123","0.0343651972484823","0.0281310501626075","0.0405993443343572"
"PDS/Linke","2004","Employed","Female","103","0.0376853471460343","0.0300103658116272","0.0453603284804414"
"NPD Combination","2004","Not Employed","Male","9","","",""
"NPD Combination","2004","Not Employed","Female","4","","",""
"NPD Combination","2004","Employed","Male","44","0.0161449783836757","0.0118318195011886","0.0204581372661627"
"NPD Combination","2004","Employed","Female","12","","",""
"AfD","2004","Not Employed","Male","","","",""
"AfD","2004","Not Employed","Female","","","",""
"AfD","2004","Employed","Male","","","",""
"AfD","2004","Employed","Female","","","",""
"Other","2004","Not Employed","Male","25","","",""
"Other","2004","Not Employed","Female","14","","",""
"Other","2004","Employed","Male","35","0.0106968356593802","0.00717634229516965","0.0142173290235907"
"Other","2004","Employed","Female","18","","",""
"CDU/CSU","2005","Not Employed","Male","680","0.431200106247957","0.406671583396675","0.455728629099239"
"CDU/CSU","2005","Not Employed","Female","869","0.457803444495615","0.435752499837559","0.47985438915367"
"CDU/CSU","2005","Employed","Male","1353","0.407214752015586","0.390252700291115","0.424176803740058"
"CDU/CSU","2005","Employed","Female","863","0.34733489767286","0.328092958459691","0.366576836886029"
"SPD","2005","Not Employed","Male","632","0.427021647822601","0.402522765858852","0.45152052978635"
"SPD","2005","Not Employed","Female","743","0.393777370918498","0.372152638436053","0.415402103400943"
"SPD","2005","Employed","Male","1099","0.343641238185034","0.327245113231046","0.360037363139022"
"SPD","2005","Employed","Female","823","0.360699049127269","0.341292218917833","0.380105879336705"
"FDP","2005","Not Employed","Male","53","0.0292699647635367","0.0209213860616651","0.0376185434654084"
"FDP","2005","Not Employed","Female","59","0.0236515286556384","0.0169257692561687","0.030377288055108"
"FDP","2005","Employed","Male","199","0.0520483500112547","0.0443797777392724","0.059716922283237"
"FDP","2005","Employed","Female","88","0.0364913972542011","0.0289134343140718","0.0440693601943304"
"Grüne","2005","Not Employed","Male","61","0.0343164502038006","0.0253003068709215","0.0433325935366797"
"Grüne","2005","Not Employed","Female","159","0.0630774576855381","0.0523178055965542","0.0738371097745219"
"Grüne","2005","Employed","Male","317","0.115251704134998","0.10422739244567","0.126276015824326"
"Grüne","2005","Employed","Female","431","0.199054308243895","0.182917532706412","0.215191083781377"
"PDS/Linke","2005","Not Employed","Male","103","0.0551723930718735","0.0438642990655097","0.0664804870782374"
"PDS/Linke","2005","Not Employed","Female","104","0.0408641261618367","0.0321017787171839","0.0496264736064896"
"PDS/Linke","2005","Employed","Male","137","0.0347544202785293","0.0284311481383049","0.0410776924187538"
"PDS/Linke","2005","Employed","Female","111","0.0392992046479988","0.0314465700714569","0.0471518392245407"
"NPD Combination","2005","Not Employed","Male","22","","",""
"NPD Combination","2005","Not Employed","Female","10","","",""
"NPD Combination","2005","Employed","Male","81","0.0343944796452371","0.028102864054779","0.0406860952356953"
"NPD Combination","2005","Employed","Female","20","","",""
"AfD","2005","Not Employed","Male","","","",""
"AfD","2005","Not Employed","Female","","","",""
"AfD","2005","Employed","Male","","","",""
"AfD","2005","Employed","Female","","","",""
"Other","2005","Not Employed","Male","15","","",""
"Other","2005","Not Employed","Female","17","","",""
"Other","2005","Employed","Male","37","0.0126950557293606","0.00882995425772341","0.0165601572009977"
"Other","2005","Employed","Female","16","","",""
"CDU/CSU","2006","Not Employed","Male","769","0.39763161277857","0.375214717807588","0.420048507749551"
"CDU/CSU","2006","Not Employed","Female","1055","0.462903353634628","0.442490102981531","0.483316604287725"
"CDU/CSU","2006","Employed","Male","1444","0.387385437769799","0.371371667568558","0.403399207971039"
"CDU/CSU","2006","Employed","Female","1056","0.360146624244095","0.342425941106924","0.377867307381265"
"SPD","2006","Not Employed","Male","732","0.429560342011866","0.406886721998804","0.452233962024928"
"SPD","2006","Not Employed","Female","854","0.391917402625004","0.37193170346552","0.411903101784488"
"SPD","2006","Employed","Male","1195","0.343535263236232","0.327924661242868","0.359145865229596"
"SPD","2006","Employed","Female","1031","0.37320689731404","0.355352816829713","0.391060977798367"
"FDP","2006","Not Employed","Male","76","0.0454659068776178","0.0359238374910545","0.055007976264181"
"FDP","2006","Not Employed","Female","63","0.0270086296966838","0.0203720157735785","0.0336452436197891"
"FDP","2006","Employed","Male","254","0.069533236044916","0.0611719141786599","0.077894557911172"
"FDP","2006","Employed","Female","113","0.0336579829285804","0.027000500518573","0.0403154653385878"
"Grüne","2006","Not Employed","Male","65","0.0282868187200438","0.0206929161738015","0.0358807212662862"
"Grüne","2006","Not Employed","Female","158","0.0543121520592191","0.0450339635002765","0.0635903406181617"
"Grüne","2006","Employed","Male","345","0.103484810924792","0.0934722442824833","0.1134973775671"
"Grüne","2006","Employed","Female","424","0.162756280058061","0.149129433051965","0.176383127064157"
"PDS/Linke","2006","Not Employed","Male","153","0.0790039830908949","0.0666485694775488","0.0913593967042409"
"PDS/Linke","2006","Not Employed","Female","140","0.053493691038717","0.0442816932838603","0.0627056887935738"
"PDS/Linke","2006","Employed","Male","192","0.0488217836933071","0.0417379875046561","0.0559055798819581"
"PDS/Linke","2006","Employed","Female","150","0.0501900918072988","0.0421302244241573","0.0582499591904402"
"NPD Combination","2006","Not Employed","Male","19","","",""
"NPD Combination","2006","Not Employed","Female","5","","",""
"NPD Combination","2006","Employed","Male","89","0.0373977935501521","0.0311608084749911","0.0436347786253132"
"NPD Combination","2006","Employed","Female","23","","",""
"AfD","2006","Not Employed","Male","","","",""
"AfD","2006","Not Employed","Female","","","",""
"AfD","2006","Employed","Male","","","",""
"AfD","2006","Employed","Female","","","",""
"Other","2006","Not Employed","Male","17","","",""
"Other","2006","Not Employed","Female","17","","",""
"Other","2006","Employed","Male","36","0.00984167478080214","0.0065966716886127","0.0130866778729916"
"Other","2006","Employed","Female","22","","",""
"CDU/CSU","2007","Not Employed","Male","674","0.408225178277008","0.384164411406537","0.43228594514748"
"CDU/CSU","2007","Not Employed","Female","886","0.445945758697709","0.423962376522083","0.467929140873335"
"CDU/CSU","2007","Employed","Male","1217","0.384360562123753","0.366962412905131","0.401758711342375"
"CDU/CSU","2007","Employed","Female","784","0.330014963868882","0.310701243311302","0.349328684426461"
"SPD","2007","Not Employed","Male","610","0.407647384601422","0.383591916345325","0.43170285285752"
"SPD","2007","Not Employed","Female","726","0.392625141633014","0.371028073034543","0.414222210231485"
"SPD","2007","Employed","Male","989","0.335936012097151","0.31904313312146","0.352828891072842"
"SPD","2007","Employed","Female","822","0.370839331424689","0.350999396055467","0.39067926679391"
"FDP","2007","Not Employed","Male","72","0.0451436976815116","0.0349800663412961","0.0553073290217271"
"FDP","2007","Not Employed","Female","68","0.0327088793675035","0.0248422483093097","0.0405755104256974"
"FDP","2007","Employed","Male","238","0.0678731588780991","0.0588770031863451","0.0768693145698531"
"FDP","2007","Employed","Female","90","0.0258978165316647","0.0193740199769867","0.0324216130863427"
"Grüne","2007","Not Employed","Male","79","0.0434858426111868","0.033501925289668","0.0534697599327055"
"Grüne","2007","Not Employed","Female","144","0.0655464201677068","0.0546010436907027","0.0764917966447108"
"Grüne","2007","Employed","Male","285","0.117768132991371","0.106239556368042","0.129296709614701"
"Grüne","2007","Employed","Female","406","0.192108559060585","0.175927146285963","0.208289971835207"
"PDS/Linke","2007","Not Employed","Male","139","0.0782697943586723","0.0651211694583655","0.0914184192589791"
"PDS/Linke","2007","Not Employed","Female","125","0.0541448288758334","0.0441363480084129","0.0641533097432538"
"PDS/Linke","2007","Employed","Male","166","0.0543817808675909","0.0462711422106711","0.0624924195245106"
"PDS/Linke","2007","Employed","Female","133","0.057435368672549","0.0478785828764491","0.0669921544686489"
"NPD Combination","2007","Not Employed","Male","17","","",""
"NPD Combination","2007","Not Employed","Female","5","","",""
"NPD Combination","2007","Employed","Male","72","0.0276803013923529","0.0218127030881229","0.0335478996965828"
"NPD Combination","2007","Employed","Female","22","","",""
"AfD","2007","Not Employed","Male","","","",""
"AfD","2007","Not Employed","Female","","","",""
"AfD","2007","Employed","Male","","","",""
