"party","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"NPD Combination","1985","middle vocational","Male","","","",""
"NPD Combination","1985","middle vocational","Female","","","",""
"NPD Combination","1985","vocational + Abi","Male","","","",""
"NPD Combination","1985","vocational + Abi","Female","","","",""
"NPD Combination","1985","higher vocational","Male","","","",""
"NPD Combination","1985","higher vocational","Female","","","",""
"NPD Combination","1985","higher education","Male","","","",""
"NPD Combination","1985","higher education","Female","","","",""
"AfD","1985","in school","Male","","","",""
"AfD","1985","in school","Female","","","",""
"AfD","1985","inadequately","Male","","","",""
"AfD","1985","inadequately","Female","","","",""
"AfD","1985","general elemantary","Male","","","",""
"AfD","1985","general elemantary","Female","","","",""
"AfD","1985","middle vocational","Male","","","",""
"AfD","1985","middle vocational","Female","","","",""
"AfD","1985","vocational + Abi","Male","","","",""
"AfD","1985","vocational + Abi","Female","","","",""
"AfD","1985","higher vocational","Male","","","",""
"AfD","1985","higher vocational","Female","","","",""
"AfD","1985","higher education","Male","","","",""
"AfD","1985","higher education","Female","","","",""
"Other","1985","in school","Male","","","",""
"Other","1985","in school","Female","","","",""
"Other","1985","inadequately","Male","","","",""
"Other","1985","inadequately","Female","","","",""
"Other","1985","general elemantary","Male","","","",""
"Other","1985","general elemantary","Female","","","",""
"Other","1985","middle vocational","Male","","","",""
"Other","1985","middle vocational","Female","","","",""
"Other","1985","vocational + Abi","Male","","","",""
"Other","1985","vocational + Abi","Female","","","",""
"Other","1985","higher vocational","Male","","","",""
"Other","1985","higher vocational","Female","","","",""
"Other","1985","higher education","Male","","","",""
"Other","1985","higher education","Female","","","",""
"CDU/CSU","1986","in school","Male","","","",""
"CDU/CSU","1986","in school","Female","","","",""
"CDU/CSU","1986","inadequately","Male","","","",""
"CDU/CSU","1986","inadequately","Female","","","",""
"CDU/CSU","1986","general elemantary","Male","127","0.381521254999062","0.335175109144502","0.427867400853621"
"CDU/CSU","1986","general elemantary","Female","399","0.478337509233255","0.445426706158484","0.511248312308027"
"CDU/CSU","1986","middle vocational","Male","639","0.415625034394919","0.391722076345696","0.439527992444142"
"CDU/CSU","1986","middle vocational","Female","517","0.447873196056688","0.420026286887439","0.475720105225936"
"CDU/CSU","1986","vocational + Abi","Male","","","",""
"CDU/CSU","1986","vocational + Abi","Female","","","",""
"CDU/CSU","1986","higher vocational","Male","131","0.618639758013","0.554014119803898","0.683265396222102"
"CDU/CSU","1986","higher vocational","Female","71","0.527988494156241","0.445879176946935","0.610097811365548"
"CDU/CSU","1986","higher education","Male","155","0.459226031210269","0.406641297205226","0.511810765215312"
"CDU/CSU","1986","higher education","Female","59","0.42270825407807","0.347561178348959","0.49785532980718"
"SPD","1986","in school","Male","","","",""
"SPD","1986","in school","Female","","","",""
"SPD","1986","inadequately","Male","78","0.810078456037253","0.731615777159226","0.88854113491528"
"SPD","1986","inadequately","Female","62","0.627455885165128","0.52216614990748","0.732745620422776"
"SPD","1986","general elemantary","Male","257","0.540472038548072","0.492923797896742","0.588020279199402"
"SPD","1986","general elemantary","Female","437","0.470530288003789","0.437645820893331","0.503414755114247"
"SPD","1986","middle vocational","Male","859","0.507261311365771","0.483013128399059","0.531509494332484"
"SPD","1986","middle vocational","Female","587","0.452220010416201","0.424348659701541","0.480091361130862"
"SPD","1986","vocational + Abi","Male","56","0.455605517773095","0.357003364744325","0.554207670801865"
"SPD","1986","vocational + Abi","Female","","","",""
"SPD","1986","higher vocational","Male","62","0.274929029294744","0.215524606231041","0.334333452358446"
"SPD","1986","higher vocational","Female","53","0.380164282431857","0.300322932053821","0.460005632809894"
"SPD","1986","higher education","Male","116","0.314491002966839","0.265496287958297","0.363485717975382"
"SPD","1986","higher education","Female","62","0.330800845504498","0.259226885836194","0.402374805172801"
"FDP","1986","in school","Male","","","",""
"FDP","1986","in school","Female","","","",""
"FDP","1986","inadequately","Male","","","",""
"FDP","1986","inadequately","Female","","","",""
"FDP","1986","general elemantary","Male","","","",""
"FDP","1986","general elemantary","Female","","","",""
"FDP","1986","middle vocational","Male","43","0.0282209040835117","0.0201888941609595","0.0362529140060639"
"FDP","1986","middle vocational","Female","45","0.0421295109840788","0.0308801811045346","0.0533788408636231"
"FDP","1986","vocational + Abi","Male","","","",""
"FDP","1986","vocational + Abi","Female","","","",""
"FDP","1986","higher vocational","Male","","","",""
"FDP","1986","higher vocational","Female","","","",""
"FDP","1986","higher education","Male","31","0.0978650731247614","0.0665114196202862","0.129218726629237"
"FDP","1986","higher education","Female","","","",""
"Grüne","1986","in school","Male","","","",""
"Grüne","1986","in school","Female","","","",""
"Grüne","1986","inadequately","Male","","","",""
"Grüne","1986","inadequately","Female","","","",""
"Grüne","1986","general elemantary","Male","","","",""
"Grüne","1986","general elemantary","Female","37","0.0355891589954089","0.0233833558842856","0.0477949621065323"
"Grüne","1986","middle vocational","Male","79","0.0405710043403373","0.0310019438971903","0.0501400647834844"
"Grüne","1986","middle vocational","Female","71","0.0531846295495599","0.0406183775188647","0.0657508815802551"
"Grüne","1986","vocational + Abi","Male","","","",""
"Grüne","1986","vocational + Abi","Female","","","",""
"Grüne","1986","higher vocational","Male","","","",""
"Grüne","1986","higher vocational","Female","","","",""
"Grüne","1986","higher education","Male","42","0.124958135254362","0.0900653829855347","0.15985088752319"
"Grüne","1986","higher education","Female","37","0.192633908687009","0.132641587161731","0.252626230212288"
"PDS/Linke","1986","in school","Male","","","",""
"PDS/Linke","1986","in school","Female","","","",""
"PDS/Linke","1986","inadequately","Male","","","",""
"PDS/Linke","1986","inadequately","Female","","","",""
"PDS/Linke","1986","general elemantary","Male","","","",""
"PDS/Linke","1986","general elemantary","Female","","","",""
"PDS/Linke","1986","middle vocational","Male","","","",""
"PDS/Linke","1986","middle vocational","Female","","","",""
"PDS/Linke","1986","vocational + Abi","Male","","","",""
"PDS/Linke","1986","vocational + Abi","Female","","","",""
"PDS/Linke","1986","higher vocational","Male","","","",""
"PDS/Linke","1986","higher vocational","Female","","","",""
"PDS/Linke","1986","higher education","Male","","","",""
"PDS/Linke","1986","higher education","Female","","","",""
"NPD Combination","1986","in school","Male","","","",""
"NPD Combination","1986","in school","Female","","","",""
"NPD Combination","1986","inadequately","Male","","","",""
"NPD Combination","1986","inadequately","Female","","","",""
"NPD Combination","1986","general elemantary","Male","","","",""
"NPD Combination","1986","general elemantary","Female","","","",""
"NPD Combination","1986","middle vocational","Male","","","",""
"NPD Combination","1986","middle vocational","Female","","","",""
"NPD Combination","1986","vocational + Abi","Male","","","",""
"NPD Combination","1986","vocational + Abi","Female","","","",""
"NPD Combination","1986","higher vocational","Male","","","",""
"NPD Combination","1986","higher vocational","Female","","","",""
"NPD Combination","1986","higher education","Male","","","",""
"NPD Combination","1986","higher education","Female","","","",""
"AfD","1986","in school","Male","","","",""
"AfD","1986","in school","Female","","","",""
"AfD","1986","inadequately","Male","","","",""
"AfD","1986","inadequately","Female","","","",""
"AfD","1986","general elemantary","Male","","","",""
"AfD","1986","general elemantary","Female","","","",""
"AfD","1986","middle vocational","Male","","","",""
"AfD","1986","middle vocational","Female","","","",""
"AfD","1986","vocational + Abi","Male","","","",""
"AfD","1986","vocational + Abi","Female","","","",""
"AfD","1986","higher vocational","Male","","","",""
"AfD","1986","higher vocational","Female","","","",""
"AfD","1986","higher education","Male","","","",""
"AfD","1986","higher education","Female","","","",""
"Other","1986","in school","Male","","","",""
"Other","1986","in school","Female","","","",""
"Other","1986","inadequately","Male","","","",""
"Other","1986","inadequately","Female","","","",""
"Other","1986","general elemantary","Male","","","",""
"Other","1986","general elemantary","Female","","","",""
"Other","1986","middle vocational","Male","","","",""
"Other","1986","middle vocational","Female","","","",""
"Other","1986","vocational + Abi","Male","","","",""
"Other","1986","vocational + Abi","Female","","","",""
"Other","1986","higher vocational","Male","","","",""
"Other","1986","higher vocational","Female","","","",""
"Other","1986","higher education","Male","","","",""
"Other","1986","higher education","Female","","","",""
"CDU/CSU","1987","in school","Male","","","",""
"CDU/CSU","1987","in school","Female","","","",""
"CDU/CSU","1987","inadequately","Male","","","",""
"CDU/CSU","1987","inadequately","Female","","","",""
"CDU/CSU","1987","general elemantary","Male","141","0.378053934695123","0.333001182225571","0.423106687164675"
"CDU/CSU","1987","general elemantary","Female","422","0.477905633416022","0.445870965119471","0.509940301712574"
"CDU/CSU","1987","middle vocational","Male","735","0.443185918292868","0.419838095878404","0.466533740707331"
"CDU/CSU","1987","middle vocational","Female","582","0.463779721456177","0.436978797580346","0.490580645332007"
"CDU/CSU","1987","vocational + Abi","Male","32","0.39676133635988","0.297861990067393","0.495660682652367"
"CDU/CSU","1987","vocational + Abi","Female","","","",""
"CDU/CSU","1987","higher vocational","Male","129","0.629286719355717","0.565317744761633","0.6932556939498"
"CDU/CSU","1987","higher vocational","Female","74","0.524543153636824","0.445151936292715","0.603934370980932"
"CDU/CSU","1987","higher education","Male","147","0.430297745554455","0.378793572464467","0.481801918644444"
"CDU/CSU","1987","higher education","Female","61","0.412395328559104","0.339461576699335","0.485329080418873"
"SPD","1987","in school","Male","","","",""
"SPD","1987","in school","Female","","","",""
"SPD","1987","inadequately","Male","70","0.679602085789101","0.587683637265323","0.771520534312879"
"SPD","1987","inadequately","Female","61","0.634967284540043","0.530763681872479","0.739170887207607"
"SPD","1987","general elemantary","Male","257","0.529492658376834","0.483117942789644","0.575867373964025"
"SPD","1987","general elemantary","Female","445","0.463305758192631","0.431326236068264","0.495285280316997"
"SPD","1987","middle vocational","Male","820","0.456225832487052","0.43281604224748","0.479635622726623"
"SPD","1987","middle vocational","Female","564","0.395941423558226","0.369658282367418","0.422224564749034"
"SPD","1987","vocational + Abi","Male","44","0.378226298001733","0.280192416098848","0.476260179904618"
"SPD","1987","vocational + Abi","Female","","","",""
"SPD","1987","higher vocational","Male","60","0.244041412872317","0.187155228929455","0.300927596815179"
"SPD","1987","higher vocational","Female","55","0.357163703416699","0.28098910891828","0.433338297915117"
"SPD","1987","higher education","Male","112","0.294924013067087","0.247488135019639","0.342359891114536"
"SPD","1987","higher education","Female","51","0.267747815202556","0.202145015705853","0.333350614699258"
"FDP","1987","in school","Male","","","",""
"FDP","1987","in school","Female","","","",""
"FDP","1987","inadequately","Male","","","",""
"FDP","1987","inadequately","Female","","","",""
"FDP","1987","general elemantary","Male","","","",""
"FDP","1987","general elemantary","Female","","","",""
"FDP","1987","middle vocational","Male","68","0.0424295874177713","0.032955921541146","0.0519032532943966"
