"party","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"PDS/Linke","1998","Urban Area","Male","58","0.0199114769805965","0.0140175227278702","0.0258054312333229","5"
"PDS/Linke","1998","Rural Area","Female","79","0.0647264388956677","0.0477299061028951","0.0817229716884404","5"
"SPD","1998","Rural Area","Male","382","0.410653850405026","0.379726826258683","0.441580874551369","2"
"SPD","1998","Urban Area","Female","892","0.445135610482934","0.422870917012043","0.467400303953826","2"
"SPD","1998","Rural Area","Female","310","0.384933778622541","0.351321024342492","0.418546532902591","2"
"SPD","1998","Urban Area","Male","1074","0.480663554436451","0.459583711615356","0.501743397257547","2"
"AfD","1999","Urban Area","Female","","","","","7"
"AfD","1999","Rural Area","Male","","","","","7"
"AfD","1999","Urban Area","Male","","","","","7"
"AfD","1999","Rural Area","Female","","","","","7"
"CDU/CSU","1999","Urban Area","Male","829","0.392844758294259","0.37263347869952","0.413056037888998","1"
"CDU/CSU","1999","Rural Area","Female","383","0.44933935749648","0.417506478354254","0.481172236638705","1"
"CDU/CSU","1999","Rural Area","Male","451","0.432412060200362","0.402824734131857","0.461999386268867","1"
"CDU/CSU","1999","Urban Area","Female","749","0.405924708794815","0.38448326359171","0.42736615399792","1"
"FDP","1999","Rural Area","Female","17","","","","3"
"FDP","1999","Rural Area","Male","21","","","","3"
"FDP","1999","Urban Area","Male","64","0.0338171379919273","0.0263366222027275","0.0412976537811272","3"
"FDP","1999","Urban Area","Female","45","0.0272832722767263","0.0201702857416103","0.0343962588118422","3"
"NPD Combination","1999","Urban Area","Male","38","0.0156093177654472","0.0104794146588374","0.0207392208720571","6"
"NPD Combination","1999","Urban Area","Female","9","","","","6"
"NPD Combination","1999","Rural Area","Male","24","","","","6"
"NPD Combination","1999","Rural Area","Female","10","","","","6"
"Other","1999","Rural Area","Male","13","","","","8"
"Other","1999","Rural Area","Female","12","","","","8"
"Other","1999","Urban Area","Male","31","0.0125567890704914","0.00794861561594255","0.0171649625250402","8"
"Other","1999","Urban Area","Female","16","","","","8"
"PDS/Linke","1999","Rural Area","Male","91","0.066869560322249","0.0519510433882465","0.0817880772562514","5"
"PDS/Linke","1999","Urban Area","Male","64","0.0187087894706928","0.013101470614848","0.0243161083265377","5"
"PDS/Linke","1999","Urban Area","Female","76","0.0303760847640458","0.0228826984449164","0.0378694710831752","5"
"PDS/Linke","1999","Rural Area","Female","92","0.0658515098521257","0.049979296286651","0.0817237234176004","5"
"SPD","1999","Rural Area","Male","424","0.403102327635586","0.373807035378435","0.432397619892738","2"
"SPD","1999","Urban Area","Female","903","0.431317851835885","0.409693451138094","0.452942252533676","2"
"SPD","1999","Rural Area","Female","373","0.3962471192503","0.364946038081157","0.427548200419444","2"
"SPD","1999","Urban Area","Male","1062","0.460544863696728","0.439917340126523","0.481172387266933","2"
"AfD","2000","Urban Area","Male","","","","","7"
"AfD","2000","Urban Area","Female","","","","","7"
"AfD","2000","Rural Area","Male","","","","","7"
"AfD","2000","Rural Area","Female","","","","","7"
"CDU/CSU","2000","Urban Area","Male","1414","0.371074396186354","0.355762841788369","0.386385950584339","1"
"CDU/CSU","2000","Rural Area","Female","664","0.447883610570823","0.422925536223823","0.472841684917822","1"
"CDU/CSU","2000","Rural Area","Male","772","0.449232008915572","0.426059068191636","0.472404949639508","1"
"CDU/CSU","2000","Urban Area","Female","1332","0.385263896201384","0.369293339587482","0.401234452815286","1"
"FDP","2000","Rural Area","Female","30","0.0245053968146647","0.0167454905650673","0.032265303064262","3"
"FDP","2000","Urban Area","Male","121","0.03363839683634","0.0279239180232097","0.0393528756494704","3"
"FDP","2000","Rural Area","Male","44","0.0247318567943623","0.0174966351713972","0.0319670784173275","3"
"FDP","2000","Urban Area","Female","97","0.0334733323728226","0.0275706021890346","0.0393760625566106","3"
"NPD Combination","2000","Urban Area","Male","55","0.0128559263526265","0.00928540932607164","0.0164264433791814","6"
"NPD Combination","2000","Urban Area","Female","21","","","","6"
"NPD Combination","2000","Rural Area","Male","30","0.0145118847599932","0.00894068072602937","0.0200830887939571","6"
"NPD Combination","2000","Rural Area","Female","18","","","","6"
"Other","2000","Rural Area","Male","27","","","","8"
"Other","2000","Rural Area","Female","16","","","","8"
"Other","2000","Urban Area","Male","36","0.00898265967692272","0.00599223926088145","0.011973080092964","8"
"Other","2000","Urban Area","Female","31","0.00920174462495657","0.00606828400502166","0.0123352052448915","8"
"PDS/Linke","2000","Rural Area","Male","162","0.0827985012661903","0.0699602735827396","0.0956367289496411","5"
"PDS/Linke","2000","Urban Area","Male","131","0.0274339224452538","0.02225674963924","0.0326110952512676","5"
"PDS/Linke","2000","Urban Area","Female","121","0.0277346288478003","0.0223457288491081","0.0331235288464926","5"
"PDS/Linke","2000","Rural Area","Female","144","0.0734654515807962","0.0603710530588763","0.086559850102716","5"
"SPD","2000","Rural Area","Male","658","0.374744961720151","0.352194369115515","0.397295554324787","2"
"SPD","2000","Rural Area","Female","570","0.381797273132519","0.357413829600433","0.406180716664605","2"
"SPD","2000","Urban Area","Female","1588","0.438816600038194","0.422531498587767","0.455101701488621","2"
"SPD","2000","Urban Area","Male","1792","0.469212671877646","0.453395301341296","0.485030042413996","2"
"AfD","2001","Urban Area","Male","","","","","7"
"AfD","2001","Urban Area","Female","","","","","7"
"AfD","2001","Rural Area","Male","","","","","7"
"AfD","2001","Rural Area","Female","","","","","7"
"CDU/CSU","2001","Rural Area","Female","553","0.444921317867198","0.417948384653507","0.471894251080889","1"
"CDU/CSU","2001","Rural Area","Male","652","0.435644474604201","0.410815361653694","0.460473587554707","1"
"CDU/CSU","2001","Urban Area","Female","1105","0.37202099273744","0.355030967787557","0.389011017687323","1"
"CDU/CSU","2001","Urban Area","Male","1223","0.365947276107072","0.349688934146737","0.382205618067406","1"
"FDP","2001","Rural Area","Male","54","0.0370337389547013","0.0275774001365361","0.0464900777728665","3"
"FDP","2001","Urban Area","Female","87","0.0313508965267255","0.0252253343460958","0.0374764587073552","3"
"FDP","2001","Urban Area","Male","149","0.0476889021412556","0.0404960291290522","0.0548817751534589","3"
"FDP","2001","Rural Area","Female","36","0.0331606564945161","0.0234421839372825","0.0428791290517497","3"
"NPD Combination","2001","Urban Area","Male","43","0.0104954810497612","0.0070558300991159","0.0139351320004065","6"
"NPD Combination","2001","Urban Area","Female","16","","","","6"
"NPD Combination","2001","Rural Area","Male","33","0.0155111512671068","0.00932321081710013","0.0216990917171134","6"
"NPD Combination","2001","Rural Area","Female","8","","","","6"
"Other","2001","Urban Area","Male","33","0.00949240522306395","0.00621959104577009","0.0127652194003578","8"
"Other","2001","Urban Area","Female","24","","","","8"
"Other","2001","Rural Area","Male","16","","","","8"
"Other","2001","Rural Area","Female","17","","","","8"
"PDS/Linke","2001","Urban Area","Male","99","0.0251707990671112","0.019883704548926","0.0304578935852963","5"
"PDS/Linke","2001","Urban Area","Female","94","0.0267419108982441","0.0210710635120793","0.0324127582844088","5"
"PDS/Linke","2001","Rural Area","Male","137","0.0757168181908419","0.0624698219979248","0.088963814383759","5"
"PDS/Linke","2001","Rural Area","Female","117","0.0705240576936689","0.0566278269123573","0.0844202884749805","5"
"SPD","2001","Urban Area","Female","1435","0.451318782497864","0.433826782010619","0.46881078298511","2"
"SPD","2001","Urban Area","Male","1580","0.467142162354778","0.450302455756197","0.483981868953359","2"
"SPD","2001","Rural Area","Male","570","0.376702398062913","0.35243821751746","0.400966578608366","2"
"SPD","2001","Rural Area","Female","493","0.384510171722999","0.358105932922996","0.410914410523001","2"
"AfD","2002","Urban Area","Male","","","","","7"
"AfD","2002","Urban Area","Female","","","","","7"
"AfD","2002","Rural Area","Male","","","","","7"
"AfD","2002","Rural Area","Female","","","","","7"
"CDU/CSU","2002","Rural Area","Female","577","0.42765204933117","0.401425619265452","0.453878479396887","1"
"CDU/CSU","2002","Rural Area","Male","745","0.449091955498449","0.425062696941962","0.473121214054936","1"
"CDU/CSU","2002","Urban Area","Female","1332","0.386685230539262","0.370697024101054","0.402673436977471","1"
"CDU/CSU","2002","Urban Area","Male","1501","0.377352849406658","0.362173046785023","0.392532652028294","1"
"FDP","2002","Rural Area","Male","73","0.0338029057569331","0.0250723265573057","0.0425334849565605","3"
"FDP","2002","Rural Area","Female","47","0.0277574942775047","0.0190490362036623","0.0364659523513471","3"
"FDP","2002","Urban Area","Male","252","0.0592976800196427","0.0519013502888814","0.066694009750404","3"
"FDP","2002","Urban Area","Female","143","0.0347989777215507","0.0287820974044205","0.0408158580386809","3"
"NPD Combination","2002","Urban Area","Male","35","0.00984067354973997","0.00674940839146222","0.0129319387080177","6"
"NPD Combination","2002","Urban Area","Female","13","","","","6"
"NPD Combination","2002","Rural Area","Male","25","","","","6"
"NPD Combination","2002","Rural Area","Female","5","","","","6"
"Other","2002","Urban Area","Male","40","0.0127768426899665","0.00925969385962512","0.0162939915203078","8"
"Other","2002","Urban Area","Female","27","","","","8"
"Other","2002","Rural Area","Male","25","","","","8"
"Other","2002","Rural Area","Female","11","","","","8"
"PDS/Linke","2002","Urban Area","Male","131","0.0307016450345645","0.0252993180605784","0.0361039720085505","5"
"PDS/Linke","2002","Urban Area","Female","123","0.033082575179714","0.0272107435942727","0.0389544067651552","5"
"PDS/Linke","2002","Rural Area","Male","163","0.0929565149028572","0.0789287930413796","0.106984236764335","5"
"PDS/Linke","2002","Rural Area","Female","155","0.0965275680931615","0.0808727880938559","0.112182348092467","5"
"SPD","2002","Urban Area","Female","1549","0.438208640976119","0.421919160278756","0.454498121673481","2"
"SPD","2002","Rural Area","Male","543","0.348343829138216","0.325326947076342","0.37136071120009","2"
"SPD","2002","Urban Area","Male","1684","0.442364666843204","0.426810861380326","0.457918472306082","2"
"SPD","2002","Rural Area","Female","491","0.392048338655565","0.366168106521131","0.41792857079","2"
"AfD","2003","Urban Area","Male","","","","","7"
"AfD","2003","Urban Area","Female","","","","","7"
"AfD","2003","Rural Area","Male","","","","","7"
"AfD","2003","Rural Area","Female","","","","","7"
"CDU/CSU","2003","Rural Area","Female","700","0.492017249345352","0.466451893611519","0.517582605079185","1"
"CDU/CSU","2003","Urban Area","Male","1646","0.413845314339699","0.398341972173625","0.429348656505774","1"
"CDU/CSU","2003","Rural Area","Male","824","0.475996217660933","0.452100445180454","0.499891990141411","1"
"CDU/CSU","2003","Urban Area","Female","1486","0.407774911974095","0.391847718239274","0.423702105708917","1"
"FDP","2003","Rural Area","Male","71","0.0372904028895404","0.0282247663941431","0.0463560393849378","3"
"FDP","2003","Urban Area","Male","220","0.0516896808675548","0.0447205703109427","0.0586587914241669","3"
"FDP","2003","Rural Area","Female","42","0.0272202155958139","0.0188989335610839","0.0355414976305438","3"
"FDP","2003","Urban Area","Female","120","0.0301492681876005","0.0246071415235566","0.0356913948516443","3"
"NPD Combination","2003","Urban Area","Male","31","0.00783409405677278","0.00505894234031884","0.0106092457732267","6"
"NPD Combination","2003","Urban Area","Female","11","","","","6"
"NPD Combination","2003","Rural Area","Male","21","","","","6"
"NPD Combination","2003","Rural Area","Female","5","","","","6"
"Other","2003","Urban Area","Male","33","0.00919629448404781","0.00619159919210904","0.0122009897759866","8"
"Other","2003","Urban Area","Female","23","","","","8"
"Other","2003","Rural Area","Male","21","","","","8"
"Other","2003","Rural Area","Female","14","","","","8"
"PDS/Linke","2003","Urban Area","Female","83","0.0207437796758462","0.0161244631102276","0.0253630962414647","5"
"PDS/Linke","2003","Rural Area","Male","127","0.0674963424484567","0.0554925768976499","0.0795001079992635","5"
"PDS/Linke","2003","Urban Area","Male","88","0.020546670379252","0.0160812454675634","0.0250120952909406","5"
"PDS/Linke","2003","Rural Area","Female","110","0.0646275210276522","0.0520545407066431","0.0772005013486612","5"
"SPD","2003","Rural Area","Male","523","0.328517211981508","0.306044855294371","0.350989568668646","2"
"SPD","2003","Urban Area","Male","1493","0.400623998068236","0.385199240528527","0.416048755607944","2"
"SPD","2003","Urban Area","Female","1404","0.395802948236251","0.37995348991504","0.411652406557463","2"
"SPD","2003","Rural Area","Female","497","0.346946517125203","0.322605269517519","0.371287764732887","2"
"AfD","2004","Rural Area","Male","","","","","7"
"AfD","2004","Rural Area","Female","","","","","7"
"AfD","2004","Urban Area","Male","","","","","7"
"AfD","2004","Urban Area","Female","","","","","7"
"CDU/CSU","2004","Rural Area","Female","574","0.506964313506386","0.478570738175062","0.535357888837711","1"
"CDU/CSU","2004","Rural Area","Male","727","0.483333395805065","0.45767397125698","0.508992820353149","1"
"CDU/CSU","2004","Urban Area","Female","1289","0.428772893093688","0.411331699772972","0.446214086414405","1"
"CDU/CSU","2004","Urban Area","Male","1441","0.426674893529349","0.409845869723937","0.44350391733476","1"
"FDP","2004","Rural Area","Male","58","0.0416568336005737","0.0313974334734586","0.0519162337276888","3"
"FDP","2004","Rural Area","Female","39","0.0304837477013662","0.0207202835411683","0.0402472118615642","3"
"FDP","2004","Urban Area","Male","191","0.0507888104165312","0.043317868754357","0.0582597520787053","3"
"FDP","2004","Urban Area","Female","107","0.0311218656960527","0.0250022306858862","0.0372415007062191","3"
"NPD Combination","2004","Rural Area","Male","20","","","","6"
"NPD Combination","2004","Rural Area","Female","6","","","","6"
"NPD Combination","2004","Urban Area","Male","33","0.0112515354459462","0.00766265734393379","0.0148404135479586","6"
"NPD Combination","2004","Urban Area","Female","10","","","","6"
"Other","2004","Urban Area","Male","30","0.0101841879691696","0.00676793283768442","0.0136004431006549","8"
"Other","2004","Urban Area","Female","18","","","","8"
"Other","2004","Rural Area","Male","30","0.0174763990756888","0.0107479373327994","0.0242048608185782","8"
"Other","2004","Rural Area","Female","14","","","","8"
"PDS/Linke","2004","Urban Area","Male","91","0.0249398237560108","0.0196337620062235","0.030245885505798","5"
"PDS/Linke","2004","Urban Area","Female","92","0.0292319153999086","0.0232952234749953","0.0351686073248219","5"
"PDS/Linke","2004","Rural Area","Male","134","0.0837776179540054","0.0695516191618816","0.0980036167461293","5"
"PDS/Linke","2004","Rural Area","Female","115","0.0705796878388193","0.0560338695911066","0.085125506086532","5"
"SPD","2004","Urban Area","Male","1214","0.381539584542834","0.365011000311582","0.398068168774085","2"
"SPD","2004","Rural Area","Male","404","0.293755070550791","0.270367308189103","0.317142832912478","2"
"SPD","2004","Urban Area","Female","1135","0.374447675293704","0.357391347982546","0.391504002604861","2"
"SPD","2004","Rural Area","Female","348","0.311657538414979","0.285352841109314","0.337962235720644","2"
"AfD","2005","Urban Area","Male","","","","","7"
"AfD","2005","Rural Area","Male","","","","","7"
"AfD","2005","Rural Area","Female","","","","","7"
"AfD","2005","Urban Area","Female","","","","","7"
"CDU/CSU","2005","Rural Area","Female","534","0.46776182358374","0.439412675760383","0.496110971407097","1"
"CDU/CSU","2005","Rural Area","Male","679","0.476792411076626","0.451040121220044","0.502544700933208","1"
"CDU/CSU","2005","Urban Area","Female","1198","0.382678777637549","0.365632290635526","0.399725264639571","1"
"CDU/CSU","2005","Urban Area","Male","1354","0.391351390609352","0.374809630651448","0.407893150567257","1"
"FDP","2005","Rural Area","Male","66","0.0421659875589472","0.0318040628350911","0.0525279122828033","3"
"FDP","2005","Urban Area","Male","186","0.0448514027368045","0.0378362288111642","0.0518665766624447","3"
"FDP","2005","Urban Area","Female","111","0.030439659217601","0.024414487716019","0.036464830719183","3"
"FDP","2005","Rural Area","Female","36","0.0280449505113275","0.018664470994","0.0374254300286549","3"
"NPD Combination","2005","Rural Area","Male","46","0.0450831677942676","0.0343851293556873","0.0557812062328479","6"
"NPD Combination","2005","Rural Area","Female","10","","","","6"
"NPD Combination","2005","Urban Area","Male","57","0.0200703705455995","0.015317126677374","0.024823614413825","6"
"NPD Combination","2005","Urban Area","Female","20","","","","6"
"Other","2005","Urban Area","Male","32","0.0108970857147464","0.00737831571293404","0.0144158557165587","8"
"Other","2005","Urban Area","Female","19","","","","8"
"Other","2005","Rural Area","Male","20","","","","8"
"Other","2005","Rural Area","Female","14","","","","8"
"PDS/Linke","2005","Urban Area","Male","96","0.0255944584984774","0.0202419446202545","0.0309469723767003","5"
"PDS/Linke","2005","Urban Area","Female","97","0.0269916317360249","0.0213078818753676","0.0326753815966822","5"
"PDS/Linke","2005","Rural Area","Male","144","0.0830184729252867","0.0687925048056953","0.0972444410448781","5"
"PDS/Linke","2005","Rural Area","Female","118","0.077583835602545","0.0623845321391191","0.0927831390659708","5"
"SPD","2005","Urban Area","Male","1318","0.407096819081329","0.390445229378248","0.42374840878441","2"
"SPD","2005","Rural Area","Male","413","0.28613945129007","0.262836564343393","0.309442338236747","2"
"SPD","2005","Rural Area","Female","369","0.314859675627893","0.288470677844352","0.341248673411435","2"
"SPD","2005","Urban Area","Female","1197","0.399960008216967","0.382778531756714","0.41714148467722","2"
"AfD","2006","Urban Area","Male","","","","","7"
"AfD","2006","Rural Area","Male","","","","","7"
"AfD","2006","Rural Area","Female","","","","","7"
"AfD","2006","Urban Area","Female","","","","","7"
"CDU/CSU","2006","Rural Area","Female","670","0.457350863189161","0.432055596263268","0.482646130115054","1"
"CDU/CSU","2006","Rural Area","Male","744","0.443026007970844","0.419093888552713","0.466958127388974","1"
"CDU/CSU","2006","Urban Area","Female","1441","0.394479172650267","0.378560369558257","0.410397975742278","1"
"CDU/CSU","2006","Urban Area","Male","1469","0.36964098929049","0.354152127265493","0.385129851315487","1"
"FDP","2006","Urban Area","Female","131","0.0303246858896269","0.0247394032667987","0.035909968512455","3"
"FDP","2006","Rural Area","Male","87","0.0603722947141905","0.0488974758025969","0.0718471136257841","3"
"FDP","2006","Urban Area","Male","243","0.0615840585399601","0.0538702774790449","0.0692978396008753","3"
"FDP","2006","Rural Area","Female","45","0.0303497068761025","0.0216392732889546","0.0390601404632504","3"
"NPD Combination","2006","Rural Area","Male","49","0.0376607036264594","0.0284888436267978","0.0468325636261209","6"
"NPD Combination","2006","Rural Area","Female","7","","","","6"
"NPD Combination","2006","Urban Area","Female","21","","","","6"
"NPD Combination","2006","Urban Area","Male","59","0.023636878096382","0.0187623092576493","0.0285114469351146","6"
"Other","2006","Urban Area","Male","33","0.00986950005810563","0.00669752865837128","0.01304147145784","8"
"Other","2006","Urban Area","Female","27","","","","8"
"Other","2006","Rural Area","Male","20","","","","8"
"Other","2006","Rural Area","Female","12","","","","8"
"PDS/Linke","2006","Urban Area","Male","170","0.043732504989282","0.0371706392442731","0.050294370734291","5"
"PDS/Linke","2006","Urban Area","Female","139","0.036519235930644","0.030409587868345","0.0426288839929431","5"
"PDS/Linke","2006","Rural Area","Male","175","0.0971850934610673","0.0829142947368263","0.111455892185308","5"
"PDS/Linke","2006","Rural Area","Female","151","0.0929451916138756","0.0782022147055052","0.107688168522246","5"
"SPD","2006","Urban Area","Male","1429","0.398430905803257","0.382721681747587","0.414140129858928","2"
"SPD","2006","Urban Area","Female","1392","0.398800786476358","0.382852242745807","0.41474933020691","2"
"SPD","2006","Rural Area","Female","493","0.339024168414456","0.314988119649392","0.363060217179521","2"
"SPD","2006","Rural Area","Male","498","0.311428536960259","0.289118370805083","0.333738703115435","2"
"AfD","2007","Urban Area","Male","","","","","7"
"AfD","2007","Rural Area","Male","","","","","7"
"AfD","2007","Rural Area","Female","","","","","7"
"AfD","2007","Urban Area","Female","","","","","7"
"CDU/CSU","2007","Rural Area","Female","519","0.459095144840191","0.430817732875549","0.487372556804834","1"
"CDU/CSU","2007","Rural Area","Male","634","0.446339999812316","0.420281525544505","0.472398474080126","1"
"CDU/CSU","2007","Urban Area","Male","1257","0.371078959187238","0.354361813073895","0.38779610530058","1"
"CDU/CSU","2007","Urban Area","Female","1151","0.365106550137513","0.348014236822927","0.3821988634521","1"
"FDP","2007","Rural Area","Male","82","0.0641528142742289","0.0513086801771713","0.0769969483712864","3"
"FDP","2007","Urban Area","Female","122","0.0316057896293045","0.0253949541622927","0.0378166250963163","3"
"FDP","2007","Rural Area","Female","36","0.0234371085518698","0.0148523122719621","0.0320219048317775","3"
"FDP","2007","Urban Area","Male","228","0.0580284359924294","0.0499380314096043","0.0661188405752546","3"
"NPD Combination","2007","Rural Area","Female","8","","","","6"
"NPD Combination","2007","Rural Area","Male","42","0.0332282190453957","0.0238329327114264","0.042623505379365","6"
"NPD Combination","2007","Urban Area","Male","47","0.0169508494543296","0.0124838668548818","0.0214178320537774","6"
"NPD Combination","2007","Urban Area","Female","19","","","","6"
"Other","2007","Urban Area","Male","32","0.0100481061952506","0.00659682722798804","0.0134993851625131","8"
"Other","2007","Urban Area","Female","18","","","","8"
"Other","2007","Rural Area","Male","16","","","","8"
"Other","2007","Rural Area","Female","12","","","","8"
"PDS/Linke","2007","Urban Area","Female","125","0.0379720397659122","0.0311867809115438","0.0447572986202806","5"
"PDS/Linke","2007","Rural Area","Male","155","0.103845554854712","0.0878543976563915","0.119836712053032","5"
"PDS/Linke","2007","Rural Area","Female","133","0.104642664433038","0.0872734386008362","0.122011890265239","5"
"PDS/Linke","2007","Urban Area","Male","150","0.046201900061765","0.0389376789350515","0.0534661211884785","5"
"SPD","2007","Urban Area","Male","1201","0.387718615133908","0.370858335800331","0.404578894467485","2"
"SPD","2007","Urban Area","Female","1181","0.412157736917672","0.39468331806401","0.429632155771334","2"
"SPD","2007","Rural Area","Male","398","0.296719908691588","0.272773962053688","0.320665855329487","2"
"SPD","2007","Rural Area","Female","367","0.299443603258965","0.273453563690134","0.325433642827795","2"
"AfD","2008","Urban Area","Male","","","","","7"
"AfD","2008","Urban Area","Female","","","","","7"
"AfD","2008","Rural Area","Male","","","","","7"
"AfD","2008","Rural Area","Female","","","","","7"
"CDU/CSU","2008","Rural Area","Male","607","0.460142000089956","0.433335830419892","0.48694816976002","1"
"CDU/CSU","2008","Urban Area","Male","1244","0.388792894818122","0.371435676194685","0.406150113441559","1"
"CDU/CSU","2008","Urban Area","Female","1134","0.386121944279321","0.368325531798334","0.403918356760309","1"
"CDU/CSU","2008","Rural Area","Female","515","0.470339649505102","0.441454746770726","0.499224552239478","1"
"FDP","2008","Rural Area","Female","33","0.0225330480529085","0.0139443488110377","0.0311217472947793","3"
"FDP","2008","Urban Area","Female","139","0.0406293061346445","0.0334125489510512","0.0478460633182379","3"
"FDP","2008","Rural Area","Male","69","0.0552334414712318","0.0429473891160295","0.0675194938264341","3"
"FDP","2008","Urban Area","Male","224","0.067936412899445","0.0589765605351275","0.0768962652637625","3"
"NPD Combination","2008","Urban Area","Male","46","0.0158527106812959","0.0114052860818389","0.0203001352807529","6"
"NPD Combination","2008","Urban Area","Female","17","","","","6"
"NPD Combination","2008","Rural Area","Male","36","0.0286095123840356","0.0196434613899563","0.0375755633781149","6"
"NPD Combination","2008","Rural Area","Female","6","","","","6"
"Other","2008","Urban Area","Male","22","","","","8"
"Other","2008","Urban Area","Female","13","","","","8"
"Other","2008","Rural Area","Male","12","","","","8"
"Other","2008","Rural Area","Female","11","","","","8"
"PDS/Linke","2008","Urban Area","Male","172","0.0516274328185139","0.0437486970913522","0.0595061685456757","5"
"PDS/Linke","2008","Urban Area","Female","129","0.0379493334052135","0.0309649155356771","0.0449337512747498","5"
"PDS/Linke","2008","Rural Area","Male","167","0.122550674636174","0.104913950219108","0.14018739905324","5"
"PDS/Linke","2008","Rural Area","Female","142","0.105255025962098","0.0874952518686332","0.123014800055562","5"
"SPD","2008","Rural Area","Female","342","0.305325998678867","0.278673446766943","0.331978550590792","2"
"SPD","2008","Urban Area","Male","1052","0.360955118231227","0.343854214609559","0.378056021852895","2"
"SPD","2008","Rural Area","Male","361","0.257267961786681","0.233757671831968","0.280778251741395","2"
"SPD","2008","Urban Area","Female","1045","0.394309619331687","0.376445846359867","0.412173392303507","2"
"AfD","2009","Urban Area","Female","","","","","7"
"AfD","2009","Urban Area","Male","","","","","7"
"AfD","2009","Rural Area","Male","","","","","7"
"AfD","2009","Rural Area","Female","","","","","7"
"CDU/CSU","2009","Rural Area","Female","470","0.462055449274683","0.431856588860986","0.492254309688381","1"
"CDU/CSU","2009","Rural Area","Male","534","0.421358246280594","0.394212239777019","0.448504252784168","1"
"CDU/CSU","2009","Urban Area","Male","1067","0.366260222494072","0.34820429564251","0.384316149345634","1"
"CDU/CSU","2009","Urban Area","Female","987","0.378497803998591","0.359919062771592","0.39707654522559","1"
"FDP","2009","Rural Area","Female","56","0.0586595318687274","0.0444258448742958","0.072893218863159","3"
"FDP","2009","Urban Area","Female","189","0.065381552227721","0.055912466293304","0.074850638162138","3"
"FDP","2009","Rural Area","Male","106","0.102848833918135","0.0861491667800226","0.119548501056247","3"
"FDP","2009","Urban Area","Male","293","0.0957230975616928","0.084696830259806","0.10674936486358","3"
"NPD Combination","2009","Rural Area","Male","41","0.0471226646141946","0.0354731257532166","0.0587722034751727","6"
"NPD Combination","2009","Urban Area","Male","37","0.0191251864806095","0.0139920943827745","0.0242582785784446","6"
"NPD Combination","2009","Urban Area","Female","18","","","","6"
"NPD Combination","2009","Rural Area","Female","6","","","","6"
"Other","2009","Urban Area","Female","22","","","","8"
"Other","2009","Rural Area","Male","12","","","","8"
"Other","2009","Urban Area","Male","35","0.0116358620591106","0.00761677700351138","0.0156549471147099","8"
"Other","2009","Rural Area","Female","7","","","","8"
"PDS/Linke","2009","Urban Area","Female","114","0.0378070569570464","0.0305010380903839","0.045113075823709","5"
"PDS/Linke","2009","Urban Area","Male","147","0.0494917216536519","0.0413631608560595","0.0576202824512443","5"
"PDS/Linke","2009","Rural Area","Male","155","0.105772511141884","0.0888647645039694","0.122680257779799","5"
"PDS/Linke","2009","Rural Area","Female","122","0.117889461023155","0.0983562452879384","0.137422676758373","5"
"SPD","2009","Urban Area","Male","890","0.334118354098448","0.316440965276161","0.351795742920735","2"
"SPD","2009","Rural Area","Female","275","0.252170734538924","0.225866642206983","0.278474826870865","2"
"SPD","2009","Rural Area","Male","346","0.265072579073399","0.240807598754062","0.289337559392737","2"
"SPD","2009","Urban Area","Female","877","0.353947959750107","0.335630437500961","0.372265481999252","2"
"AfD","2010","Urban Area","Female","","","","","7"
"AfD","2010","Urban Area","Male","","","","","7"
"AfD","2010","Rural Area","Male","","","","","7"
"AfD","2010","Rural Area","Female","","","","","7"
"CDU/CSU","2010","Urban Area","Male","1370","0.351835262136908","0.336464669582878","0.367205854690937","1"
"CDU/CSU","2010","Rural Area","Female","693","0.433694863843231","0.409968648184374","0.457421079502089","1"
"CDU/CSU","2010","Urban Area","Female","1381","0.364692368486824","0.349628043710944","0.379756693262704","1"
"CDU/CSU","2010","Rural Area","Male","732","0.429147539762744","0.405763318700192","0.452531760825296","1"
"FDP","2010","Rural Area","Female","96","0.0607246011090468","0.0492908194919562","0.0721583827261374","3"
"FDP","2010","Rural Area","Male","111","0.0836424053552224","0.0705625360522416","0.0967222746582031","3"
"FDP","2010","Urban Area","Female","238","0.0586864464279744","0.0513306388685841","0.0660422539873647","3"
"FDP","2010","Urban Area","Male","310","0.0632396045685685","0.0554055415323946","0.0710736676047424","3"
"NPD Combination","2010","Urban Area","Female","35","0.0090136928229998","0.00605581997977467","0.0119715656662249","6"
"NPD Combination","2010","Rural Area","Male","51","0.0378960459171004","0.0288748190514165","0.0469172727827842","6"
"NPD Combination","2010","Urban Area","Male","62","0.0176926678233881","0.0134494181834062","0.0219359174633699","6"
"NPD Combination","2010","Rural Area","Female","16","","","","6"
"Other","2010","Urban Area","Female","30","0.00657489995953284","0.00404556448393476","0.00910423543513092","8"
"Other","2010","Urban Area","Male","46","0.0156022561797141","0.0116133186461098","0.0195911937133183","8"
"Other","2010","Rural Area","Male","22","","","","8"
"Other","2010","Rural Area","Female","16","","","","8"
"PDS/Linke","2010","Urban Area","Female","219","0.0523913399046398","0.0454180365295253","0.0593646432797543","5"
"PDS/Linke","2010","Urban Area","Male","237","0.0757896960349964","0.0672710864624547","0.0843083056075382","5"
