"party","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"SPD","1986","Baden-Württemberg","Urban Area","376","0.396040302436736","0.361696131786324","0.430384473087147"
"SPD","1986","Baden-Württemberg","Rural Area","55","0.353935662761899","0.274724913780539","0.433146411743258"
"SPD","1986","Bavaria","Urban Area","218","0.435294323879887","0.391032719658375","0.479555928101399"
"SPD","1986","Bavaria","Rural Area","112","0.261337468541456","0.218652520076183","0.304022417006728"
"SPD","1986","Berlin","Urban Area","90","0.494611402408564","0.420746770356718","0.56847603446041"
"SPD","1986","Berlin","Rural Area","","","",""
"SPD","1986","Brandenburg","Urban Area","","","",""
"SPD","1986","Brandenburg","Rural Area","","","",""
"SPD","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"SPD","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"SPD","1986","Saxony","Urban Area","","","",""
"SPD","1986","Saxony","Rural Area","","","",""
"SPD","1986","Saxony-Anhalt","Urban Area","","","",""
"SPD","1986","Saxony-Anhalt","Rural Area","","","",""
"SPD","1986","Thuringia","Urban Area","","","",""
"SPD","1986","Thuringia","Rural Area","","","",""
"FDP","1986","Schleswig-Holstein","Urban Area","","","",""
"FDP","1986","Schleswig-Holstein","Rural Area","6","","",""
"FDP","1986","Hamburg","Urban Area","4","","",""
"FDP","1986","Hamburg","Rural Area","1","","",""
"FDP","1986","Lower Saxony","Urban Area","12","","",""
"FDP","1986","Lower Saxony","Rural Area","14","","",""
"FDP","1986","Bremen","Urban Area","","","",""
"FDP","1986","Bremen","Rural Area","","","",""
"FDP","1986","North Rhine-Westphalia","Urban Area","52","0.0358330611990956","0.0266621462680113","0.0450039761301799"
"FDP","1986","North Rhine-Westphalia","Rural Area","","","",""
"FDP","1986","Hesse","Urban Area","9","","",""
"FDP","1986","Hesse","Rural Area","1","","",""
"FDP","1986","Rhineland-Palatinate,Saarland","Urban Area","6","","",""
"FDP","1986","Rhineland-Palatinate,Saarland","Rural Area","2","","",""
"FDP","1986","Baden-Württemberg","Urban Area","34","0.0517658301009158","0.0362076514497863","0.0673240087520453"
"FDP","1986","Baden-Württemberg","Rural Area","2","","",""
"FDP","1986","Bavaria","Urban Area","18","","",""
"FDP","1986","Bavaria","Rural Area","4","","",""
"FDP","1986","Berlin","Urban Area","5","","",""
"FDP","1986","Berlin","Rural Area","","","",""
"FDP","1986","Brandenburg","Urban Area","","","",""
"FDP","1986","Brandenburg","Rural Area","","","",""
"FDP","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"FDP","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"FDP","1986","Saxony","Urban Area","","","",""
"FDP","1986","Saxony","Rural Area","","","",""
"FDP","1986","Saxony-Anhalt","Urban Area","","","",""
